prerogatief	130-530-B
projectie	132-1012-B
projectiel	107-2974-B,132-971-B
projectietoestel	132-1033-B
projector	132-1060-B
proletarier	132-1080-B
proloog	132-1171-B
promenade	119-2734-B
promotie	78-2047-B,132-1468-B
promoveren	78-2027-B
prompt	5-966-B,88-738-B,132-1590-B,134-330-B
pronken	53-2549-B,70-919-B,119-2751-B
prooi	5-3140-B,130-3265-B,135-673-B
prop	33-2669-B,35-1619-B,102-721-B,126-3076-B,164-2499-B,186-1147-B
propaganda	132-2043-B,133-2892-B
propeller	83-2306-B,132-2138-B
proper	34-3088-B,111-1853-B,111-1906-B,174-2623-B,178-2310-B
proportie	132-3071-B,137-888-B
proportioneel	132-3157-B,132-3209-B
proseliet	132-3561-B
prospect	123-2615-B,132-3600-B
prospectus	133-90-B
prostituee	133-362-B,189-1184-B
prostitueren	133-338-B
protectoraat	133-622-B
protest	31-565-B,133-696-B,133-850-B,140-3107-B
protestant	133-753-B
protestantisme	133-798-B
protestants	133-775-B
protesteren	133-712-B,140-3128-B
protocol	107-1266-B,133-907-B
protoplasma	133-925-B
prototype	13-3691-B,133-964-B
provianderen	133-1291-B,133-1630-B,168-2068-B
proviandering	30-2873-B
provinciaal	133-1512-B
provincialisme	133-1535-B
provincie	42-3114-B,133-1493-B
provisie	37-2188-B,133-1653-B,133-1778-B,168-2088-B
provisiekamer	97-1343-B,119-2143-B,164-2697-B
provisiekast	97-1364-B,119-2164-B
proza	132-3507-B
pruik	123-903-B,123-3162-B,189-1854-B
pruim	127-21-B
pruis	1-3006-B
pruisen	1-2990-B
pruisisch	1-3021-B
prullaria	47-1050-B,146-314-B,146-421-B,178-0-B
psalm	133-2329-B
psalmboek	133-2341-B
pseudoniem	133-2359-B
psychiater	133-2480-B,154-1514-B
psychiatrie	133-2504-B
psychiatrisch	133-2426-B,133-2452-B
psychisch	133-2527-B,133-2545-B
psychologie	133-2614-B
psycholoog	133-2565-B
puberteit	7-1386-B,133-2680-B
publiceren	133-3031-B,140-1479-B
publiek	17-941-B,133-2730-B,133-2954-B
pudding	45-2993-B,133-3148-B
pui	65-3035-B
puikje	44-196-B
puimsteen	134-58-B
puin	47-1067-B,146-332-B,146-438-B
puinhoop	146-977-B
puist	125-440-B
puistje	125-453-B
pukkel	125-468-B
pul	183-3177-B,184-2522-B
pulver	80-2905-B,129-453-B
punch	134-199-B
punctuatie	134-406-B
punt	55-971-B,60-54-B,85-2757-B,94-330-B,94-781-B,104-294-B,112-1160-B,121-2761-B,123-422-B,127-822-B,160-1901-B,161-784-B,164-2216-B,168-639-B,175-1427-B,175-2390-B
puntdicht	61-2317-B
puntig	121-2811-B,127-968-B,153-85-B,160-1925-B
pupil	134-726-B
purgatorium	134-1125-B
purgeren	35-69-B,134-1166-B
puritanisme	134-1214-B
puritein	134-1197-B
purper	134-1332-B
pus	134-1929-B
put	31-543-B,31-721-B,188-1156-B
putten	55-2547-B
putter	78-35-B
puur	34-3101-B,125-2803-B,134-1010-B,134-1080-B,137-2045-B,153-1069-B
puzzel	60-1869-B,134-2427-B,144-0-B
pygmee	124-3000-B,134-2549-B
pyjama	119-945-B,134-2562-B
pyriet	134-2611-B
pyrotechniek	134-2625-B
quadrille	134-2783-B
quaker	1-3054-B
quarantaine	135-363-B
quitte	62-2715-B,135-3020-B,161-2457-B
ra	7-3718-B,12-1593-B,191-2555-B
raad	7-3434-B,42-2500-B,42-2513-B,42-2561-B
raadgeving	7-3446-B,42-2574-B
raadplegen	40-3003-B
raadsel	60-1883-B,110-2140-B,131-1636-B,134-2441-B,144-14-B
raadselachtig	18-1960-B,45-604-B,60-1921-B,60-1945-B,110-2040-B,134-2514-B
raadzaam	7-3464-B,64-1720-B,138-3096-B
raaf	137-1802-B
raam	28-1586-B,73-17-B,73-131-B,189-2794-B
raap	180-155-B
raar	45-1945-B,45-2071-B,74-1077-B,115-891-B,122-196-B,135-1154-B,146-1375-B,165-1032-B,165-1101-B,188-982-B
raaskallen	137-1747-B
raat	36-3074-B,85-1692-B
rabarber	124-2601-B,143-3082-B
rabat	2-1129-B,52-3199-B,138-847-B
rabauw	78-337-B
rabbi	136-285-B
rabbijn	136-297-B
racen	136-654-B,136-774-B,146-1807-B
rachitis	143-3374-B
racisme	136-736-B,136-787-B
rad	188-1894-B
radar	136-867-B
radeloos	50-1917-B,54-727-B
radeloosheid	50-1743-B,50-1976-B,54-833-B
raden	7-3571-B,80-1904-B
radheid	160-1056-B
radiator	136-1005-B
radicaal	55-2284-B,65-2542-B,136-1058-B,136-1179-B
radijs	136-1226-B
radio	136-1214-B,190-384-B
radiolamp	183-2027-B
radium	136-1240-B
radius	136-1273-B
raffinaderij	139-1463-B
raffineren	139-1410-B
rag	36-650-B
rage	6-1842-B,103-2394-B
rail	136-1614-B
raken	8-678-B,20-2392-B,30-2657-B,38-3798-B,66-859-B,76-1742-B,80-737-B,85-60-B,88-2404-B,165-2838-B,170-483-S,176-2332-B
raket	107-2993-B,145-317-B
ram	136-2337-B,179-2363-B
raming	62-1769-B,62-1914-B,62-2440-B,183-1790-B
rammelaar	27-21-B
ramp	28-1864-B,30-2475-B,52-2146-B
rampspoed	178-1507-B
rand	24-2013-B,26-1621-B,26-1794-B,58-130-B,73-2126-B,98-1896-B,100-738-B,104-58-B,118-982-B,123-730-B,144-96-B,144-1305-B,169-688-B,184-1693-B
randgebied	118-997-B,123-745-B
rang	48-2584-B,62-1460-B,78-1877-B,117-642-B,128-1507-B,135-136-B,136-2865-B,137-903-B,137-1349-B,162-2306-B,163-245-B,163-636-B,163-981-B,174-2807-B
rangeren	103-2890-B
rangorde	117-653-B
rank	156-1728-B,156-2067-B
rans	136-2590-B
ransel	18-1391-B,82-2175-B,96-1090-B,146-661-B
ransig	136-2602-B
rantsoen	10-1505-B,137-1392-B,152-2724-B
ranzig	136-2616-B,136-2875-B
rap	7-2007-B,9-65-B,9-3238-B,112-1854-B
rapen	36-2108-B,75-1968-B
rapier	137-373-B
rapport	4-3686-B,137-408-B,141-1827-B
rapsodie	143-2826-B
ras	26-180-B,136-665-B,164-1523-B,165-587-B,183-2828-B
rasp	79-463-B,137-732-B
raspen	79-299-B,137-742-B
rat	137-802-B
ratelpopulier	15-1790-B
rationalisme	137-1481-B
rationeel	137-1424-B
rauw	44-2982-B,85-327-B,137-1685-B,137-2054-B,145-2024-B,159-512-B,180-2832-B
ravage	146-991-B
ravijn	78-771-B,137-1889-B
ravitaillering	30-2896-B
razen	23-2401-B,28-687-B,86-1990-B,136-1473-B,137-1763-B,144-2661-B,164-2804-B
razernij	102-2288-B,136-576-B
reactie	137-2292-B
reactionair	137-2309-B,137-2333-B
realisme	137-2842-B
realist	137-2859-B
realiteit	6-1049-B,137-2875-B
rebel	138-953-B
rebelleren	138-965-B,143-2384-B
rebels	138-1079-B
rebus	138-1338-B
recenseren	143-2049-B
recensie	44-1671-B,113-1654-B,143-2067-B
recentelijk	97-2199-B,138-1864-B
recept	72-1064-B,130-707-B,138-2044-B
receptief	88-3587-B,138-1999-B
recette	89-2353-B
rechercheur	50-3125-B
recht	42-1051-B,52-971-B,52-1333-B,57-702-B,63-507-B,95-1384-B,97-2798-B,127-80-B,132-2362-B,135-2929-B,138-542-B,144-757-B,161-2471-B,161-2563-B,165-125-B,171-1832-B,182-1779-B,187-1105-B
rechtbank	178-1606-B
rechter	95-582-B,95-1762-B
rechthoek	114-1846-B,139-305-B
rechthoekig	139-325-B,144-842-B,161-2484-B
rechtmatig	95-1618-B,98-2338-B,144-964-B
rechtop	52-1348-B,60-1000-B,61-3392-B,165-140-B,182-1793-B,182-1882-B
rechtopstaand	26-1928-B,182-1809-B,184-2216-B
rechts	144-769-B
rechtsgeding	6-381-B,98-36-B
rechtstreeks	52-984-B,52-1365-B,55-1528-B,88-755-B,100-440-B,127-943-B,165-157-B
rechtszaal	43-605-B
rechtvaardig	66-374-B,95-1634-B,95-1837-B,144-782-B,144-882-B,144-984-B
rechtvaardigheid	61-3067-B,66-503-B,95-1778-B,95-1857-B,144-933-B
rechtzinnig	117-2197-B
recitatief	138-2425-B
reciteren	138-2481-B
reclame	6-1562-B,7-3166-B,7-3358-B,7-3380-B,133-2913-B
recommandatie	138-3146-B
reconstructie	138-3339-B
record	138-3439-B
rector	83-237-B,131-396-B,139-400-B,187-577-B
recu	5-2523-B,138-1524-B
redacteur	58-542-B
redden	130-1693-B,139-594-B,142-524-B,143-966-B,147-2090-B,148-1104-B
redding	139-86-B,142-538-B,147-2105-B,147-2190-B,148-1189-B
reddingsboot	99-1366-B
reddingsgordel	99-1342-B
rede	116-2968-B,138-555-B,144-2417-B,144-2459-B,144-2470-B,160-880-B
redelijk	137-1443-B,137-1506-B
reden	4-3702-B,28-2409-B,31-118-B,89-1289-B,104-2516-B,114-3480-B,138-567-B,149-1156-B,166-2798-B
redenaar	116-3001-B,143-2888-B
redeneren	14-828-B,138-580-B
rederijkerskunst	143-2844-B
redetwist	14-968-B,41-2346-B,53-2767-B,53-2909-B,135-526-B
redetwisten	14-844-B,53-2927-B
redevoering	52-3313-B,116-2981-B,160-892-B
redigeren	58-426-B
redoute	139-705-B
reduceren	139-808-B
reductie	139-994-B
ree	145-474-B
reeds	10-2298-B,192-40-B
reeel	6-998-B,137-2805-B
reeks	14-2669-B,31-2858-B,68-2722-B,100-195-B,132-743-B,136-2745-B,136-2887-B,145-1408-B,145-2597-B,146-1817-B,151-1752-B,151-2164-B,152-60-B,165-3109-B,167-1878-B,174-2817-B,177-1260-B,179-2667-B
reep	19-1104-B,137-2111-B,166-137-B,166-258-B,171-951-B
referentie	139-1226-B,139-1314-B
reflecteren	139-1536-B
refrein	27-1772-B,33-2242-B,139-1966-B
regel	29-1300-B,100-206-B,113-441-B,114-2139-B,140-180-B,146-1249-B
regelen	6-3362-B,14-2456-B,117-668-B,117-1207-B
regeling	14-2606-B
regelmatig	62-2727-B,140-52-B,140-120-B,170-833-B,170-876-B
regen	136-1856-B,154-1122-B
regenboog	136-1880-B
regenboogvlies	93-3086-B
regenen	136-1867-B
regeneratie	139-2842-B
regenjas	102-1800-B,102-1989-B,102-2025-B,136-1898-B,187-2175-B
regenmantel	136-1916-B
regenworm	57-1804-B
regeren	41-2228-B,78-1091-B,140-292-B,146-1260-B
regering	7-442-B,41-2244-B,78-1209-B,140-306-B,146-1273-B
regeringloosheid	11-2350-B
regie	52-1164-B
regiment	139-2896-B
regio	14-554-B,139-2980-B
regionaal	139-3028-B
regisseur	52-1426-B,131-2951-B
register	90-200-B,138-3453-B,139-3101-B,139-3220-B,145-776-B,170-2141-B
registreren	60-2946-B,60-2981-B,61-71-B,138-3469-B,139-3119-B
regres	13-375-B
reguleren	42-1065-B
rei	33-2257-B
reiger	84-862-B
rein	32-2553-B,34-3112-B,34-3320-B,66-392-B,134-1020-B,153-1080-B,185-2067-B,189-635-B
reinigen	34-3123-B
reis	45-33-B,84-2217-B,95-312-B,176-2653-B,178-72-B,178-2441-B,186-892-B
reisgids	80-2209-B,80-2283-B
reisplan	94-427-B,145-2408-B
reizen	95-325-B,176-2663-B,178-84-B
reiziger	176-2731-B,178-98-B,178-116-B,186-941-B,187-2639-B
rek	21-1688-B,57-1989-B,136-815-B,190-2899-B
rekbaar	54-218-B,58-2205-B,165-2178-B,172-2023-B
rekbaarheid	58-2294-B
rekel	78-361-B
rekenaar	28-2053-B
rekenbord	2-640-B
rekenen	4-3716-B,28-1953-B,33-3004-B,38-2864-B,42-2713-B,46-715-B,49-1026-B,68-2530-B,128-2661-B,137-913-B,138-2601-B,142-37-B
rekening	4-3732-B,22-1197-B,28-2032-B,28-2097-B,32-3070-B,93-2764-B,138-2690-B,149-1168-B,171-136-B
rekenkunde	14-1473-B
rekenkunst	14-1495-B
rekenmachine	28-2073-B
rekenschap	4-3749-B,64-3291-B
rekest	123-3638-B
rekken	59-62-B,65-1062-B,165-1997-B
rekruut	55-1881-B,139-254-B
rekwireren	37-1335-B,142-310-B
rekwisitie	142-333-B
rel	9-509-B,144-1657-B,179-2019-B
relaas	110-3010-B,164-2936-B,170-2961-B
relatie	16-2360-B,39-3706-B,100-612-B,140-838-B,140-1091-B
relatief	140-1226-B,140-1268-B
religie	140-1903-B
religieus	140-1961-B
rem	25-1552-B,190-1522-S
remedie	105-676-B,140-2570-B
remise	140-3018-B
renbaan	84-2925-B
rennen	136-674-B,146-1827-B,146-2370-B,149-1010-B
renoveren	141-107-B,141-223-B
rente	89-2368-B,92-3487-B,122-2289-B,122-2363-B
reparatie	106-117-B,141-685-B,141-773-B
repareren	27-2596-B,69-2866-B,106-14-B,141-702-B
repertoire	141-1204-B,141-1226-B
repetitie	141-1268-B
reproduceren	140-3702-B,141-2697-B,143-1113-B
reptiel	141-2908-B
republiek	37-2888-B,141-2924-B
republikeins	141-2962-B
reputatie	66-1375-B,83-872-B,141-364-B,141-1842-B,141-3218-B,141-3341-B,146-1446-B,146-1542-B,162-2320-B
rescript	142-476-B
reseda	106-2797-B,142-757-B
reserve	142-872-B
reserveren	24-1205-B,50-2994-B,142-1004-B,143-263-B
reservering	24-1268-B
reservoir	34-951-B,142-1037-B,171-686-B
resideren	2-2196-B,57-774-B,100-1884-B
resistent	88-1262-B
resolutie	142-1873-B
resorberen	3-2604-B,155-1889-B
respect	62-1646-B,142-2239-B
respectabel	142-2302-B
respecteren	142-2255-B
rest	18-2349-B,140-2288-B,140-3076-B,142-1257-B,142-1271-B,142-1284-B,142-2764-B
restaurant	142-2865-B
restauratie	142-2887-B,142-3061-B
resten	140-2187-B,163-1162-B
resteren	140-2201-B,163-1174-B
restitueren	141-834-B
resultaat	58-917-B,60-63-B,93-3594-B,115-2363-B,117-2966-B,131-3077-B,142-3633-B,182-2120-B
resultante	143-103-B
resulteren	142-3650-B
resume	3-1265-B
resumeren	3-3047-B,143-124-B,168-383-B,168-487-B
retoriek	143-2870-B
retoucheren	143-779-B
retourneren	143-1133-B
reuk	115-1043-B,115-1162-B,123-170-B,148-2775-B,157-1060-B
reumatiek	143-2909-B
reus	76-2014-B,175-1841-B
reusachtig	36-2705-B,36-2788-B,60-2568-B,60-2702-B,75-1063-B,76-2025-B,76-2381-B,86-1887-B,88-1044-B,88-1104-B,174-1962-B,175-1864-B,184-42-B,186-2764-B
reutelen	137-1610-B
reuzel	97-1331-B,167-2354-B,171-50-B
reverence	25-505-B,114-1254-B
reviseren	118-1884-B,143-2183-B
revisie	118-1903-B,143-2200-B,143-2254-B
revolutie	143-2443-B
revolutionair	143-2480-B
revolver	143-2578-B
revue	102-2398-B,123-586-B,143-2083-B,143-2612-B
rib	46-334-B,143-3182-B
ribbe	20-1356-B,76-2702-B,143-3190-B
ribbel	143-3200-B,144-107-B
ribstuk	46-345-B
richel	98-1907-B
richten	6-2234-B,9-1993-B,52-1004-B,80-2224-B,98-258-B,99-388-B,103-1749-B,127-833-B,152-70-B,154-2363-B,163-1955-B,177-1272-B,179-2678-B
richter	95-596-B
richting	20-1724-B,22-652-B,43-449-B,52-1180-B,100-217-B,146-1838-B,152-82-B,170-2239-B,172-1224-B,172-1887-B,178-1127-B,187-2576-B
ridderorde	47-3000-B,117-682-B
ridicuul	144-279-B
rieken	148-1452-B,157-1071-B
riem	21-1600-B,25-1043-B,76-2745-B,114-938-B,138-309-B,156-2161-B,165-1271-B,174-59-B
riet	29-1099-B,139-1037-B
rif	98-1920-B,139-1057-B,145-219-B
rij	36-2996-B,137-0-B,174-2828-B
rijk	4-37-B,42-17-B,59-1759-B,67-392-B,76-141-B,96-649-B,116-2869-B,126-2513-B,132-285-B,138-286-B,143-3278-B,143-3343-B,187-2856-B,188-1391-B
rijkdom	3-3596-B,8-1838-B,103-1542-B,116-2852-B,143-3328-B,187-2791-B
rijkelijk	25-230-B,76-155-B
rijm	143-3099-B,144-1332-B
rijp	73-2697-B,85-263-B,85-300-B,104-2693-B,144-1828-B
rijst	143-3235-B
rijstrook	42-1438-B,120-3097-B
rijwiel	22-792-B,22-1070-B
rijzen	169-2902-B
rillen	70-1503-B,135-3092-B,153-2505-B,154-1649-B,178-886-B
rimboe	95-1303-B
rimpel	74-1675-B,100-231-B,133-3100-B,146-622-B,191-2092-B
ring	19-220-B,34-106-B,85-2285-B,144-1505-B,145-2258-B
ringduif	124-2876-B
ringeloren	27-1088-B,180-1394-B
rinkelbom	171-196-B,175-577-B
rinkelen	33-1348-B,34-2051-B,34-2082-B,34-2379-B,94-1015-B,94-1896-B,137-1626-B,144-1515-B,175-1149-B
rinoceros	143-2946-B,143-2983-B
riool	152-1236-B
rips	141-630-B
ris	151-2177-B,152-95-B,165-3122-B
risico	32-76-B,82-2312-B,123-298-B,144-1994-B,184-1288-B
riskeren	82-2326-B,144-2006-B,184-1303-B
rist	145-1421-B,151-2188-B,152-103-B
rit	56-1002-B,144-29-B,146-1851-B
rite	144-2172-B
ritme	28-1441-B,28-1470-B,99-2675-B,143-3122-B,170-2315-B
ritmisch	143-3135-B,143-3153-B
ritselen	146-2476-B,170-249-B
ritueel	144-2193-B
ritus	117-874-B,144-2182-B
rivaal	144-2276-B
rivier	144-2309-B
rivierkreeft	43-2851-B,43-2903-B
rob	149-3023-B
robijn	146-572-B
robot	145-110-B
robuust	69-1918-B,166-2281-B
rochelen	137-1642-B,160-2488-B
rococo	145-330-B
roddelen	156-1069-B
rododendron	143-3004-B
roebel	145-1868-B,146-544-B
roede	22-1771-B,47-1235-B,122-2460-B,127-1374-B,145-371-B,145-1074-B,170-337-B,184-1704-B
roedel	70-1799-B,84-276-B
roeien	105-1042-B,119-135-B,133-3368-B,145-2607-B,149-2656-B
roeiriem	114-947-B
roeispaan	114-960-B
roek	145-1132-B
roem	31-1265-B,66-1390-B,77-1659-B,83-890-B,85-1796-B,141-381-B,141-3239-B,141-3358-B,146-1462-B,146-1559-B
roemeen	1-3100-B
roemeens	1-3117-B
roemen	37-1712-B,77-1417-B,97-2374-B,129-1227-B
roemenie	1-3082-B,1-3135-B
roemrijk	77-1538-B,87-3288-B
roemruchtig	66-1710-B,77-1556-B
roemvol	66-1729-B,77-1577-B
roep	28-2420-B,45-458-B,66-1400-B,83-903-B,141-393-B,141-3255-B,141-3370-B,146-1473-B,146-1571-B,154-705-B
roepen	28-2430-B,34-1657-B,34-1738-B,45-467-B,85-1016-B,149-1922-B,154-716-B
roer	19-2085-B,32-674-B,80-2815-B,83-2401-B,125-1171-B,144-436-B,146-692-B,179-1538-B
roeren	8-691-B,109-2507-B,164-1317-B,176-2344-B
