demote	49-1779-B
disburden	52-2235-B
disburse	52-2255-B,52-2272-B
disbursement	52-2292-B,52-2313-B
disc	52-2334-B,52-2355-B
discard	52-2367-B
discern	52-2384-B,52-2406-B
discharge	52-2424-B,52-2443-B,52-2461-B,52-2483-B,52-2504-B,52-2522-B,52-2542-B,52-2559-B,52-2578-B,52-2598-B,52-2617-B,52-2637-B,52-2655-B,52-2675-B
disciple	52-2695-B
discipline	52-2713-B,52-2735-B
disclosure	52-2752-B,52-2776-B
discolor	52-2798-B,52-2818-B
discomfit	52-2839-B
discomfiture	52-2858-B
disconnect	52-2881-B,52-2901-B
disconsolate	52-2925-B
disconsolately	52-2945-B
discontented	52-2967-B
discontinuation	52-2989-B
discontinue	52-3015-B
discord	52-3036-B,52-3052-B,52-3076-B,52-3095-B,52-3109-B
discount	52-3127-B,52-3143-B,52-3164-B,52-3182-B,52-3199-B,52-3214-B
discourage	52-3238-B,52-3257-B
discourse	52-3280-B,52-3297-B,52-3313-B,52-3335-B
discourteous	52-3353-B
discourteously	52-3376-B
discover	52-3401-B
discovery	52-3420-B
discreet	52-3441-B,52-3461-B,52-3479-B
discreetly	52-3499-B,52-3521-B,53-0-B
discrepancy	53-22-B
discrete	53-43-B,53-63-B,53-81-B
discretion	53-102-B,53-120-B,53-141-B,53-166-B
discriminate	53-193-B
discrimination	53-220-B
discus	53-249-B
discuss	53-263-B,53-282-B,53-299-B,53-317-B
discussion	53-336-B,53-358-B,53-375-B
disdain	53-396-B,53-415-B
disdainful	53-434-B
disease	53-458-B,53-477-B,53-491-B
diseased	53-506-B
disembark	53-520-B
disembarkation	53-537-B
disencumber	53-560-B
disentangle	53-582-B
disfavor	53-604-B,53-622-B
disfavour	53-639-B,53-658-B
disfigure	53-676-B
disgrace	53-696-B
disgraceful	53-714-B
disguise	53-738-B
disgust	53-757-B,53-772-B,53-788-B,53-801-B,53-817-B,53-833-B
disgusting	53-849-B
dish	53-873-B,53-886-B,53-898-B
dishearten	53-911-B
dishonor	53-934-B
dishonour	53-951-B
dishonourable	53-969-B,53-991-B
disinclination	53-1014-B
disinclined	53-1038-B
disinfect	53-1058-B,53-1082-B
disinherit	53-1103-B
disintegrate	53-1123-B
disinter	53-1146-B
disinterested	53-1164-B
disk	53-1190-B,53-1211-B
dislike	53-1223-B,53-1238-B,53-1257-B,53-1271-B
dislodge	53-1288-B
disloyal	53-1306-B,53-1323-B
disloyally	53-1343-B,53-1362-B
dismal	53-1384-B,53-1401-B,53-1418-B,53-1432-B,53-1449-B,53-1466-B,53-1480-B,53-1496-B,53-1515-B,53-1533-B,53-1550-B,53-1569-B,53-1581-B,53-1600-B,53-1620-B,53-1632-B,53-1647-B,53-1663-B,53-1677-B,53-1694-B,53-1710-B
dismember	53-1729-B
dismiss	53-1748-B,53-1765-B,53-1785-B,53-1802-B,53-1820-B
dismissal	53-1836-B
disobedient	53-1856-B,53-1881-B
disobediently	53-1905-B
disorder	53-1932-B,53-1949-B,53-1966-B,53-1982-B,53-1999-B,53-2019-B
disorderly	53-2032-B
disown	53-2052-B
disparity	53-2072-B
dispassionate	53-2091-B,53-2110-B
dispatch	53-2136-B,53-2153-B,53-2171-B,53-2192-B
dispel	53-2211-B
dispensary	53-2230-B
dispense	53-2250-B
dispenser	53-2268-B,53-2288-B
dispersal	53-2307-B
disperse	53-2330-B
dispersion	53-2351-B,53-2375-B
dispirit	53-2399-B
displace	53-2420-B,53-2440-B
display	53-2459-B,53-2480-B,53-2497-B,53-2516-B,53-2534-B,53-2549-B,53-2565-B,53-2589-B,53-2603-B
displeased	53-2622-B
displeasing	53-2642-B
disposable	53-2666-B
disposition	53-2689-B,53-2706-B
disproof	53-2726-B
disputation	53-2747-B,53-2767-B
dispute	53-2789-B,53-2807-B,53-2825-B,53-2844-B,53-2860-B,53-2876-B,53-2893-B,53-2909-B,53-2927-B,53-2947-B,53-2961-B,53-2977-B
disquiet	53-2998-B,53-3020-B
disquisition	53-3042-B
disrobe	53-3068-B
disrupt	53-3086-B
disruption	53-3109-B
dissatisfied	53-3133-B
dissect	53-3155-B,53-3172-B
dissection	53-3198-B
dissemble	53-3216-B,53-3237-B,53-3257-B
dissembler	53-3276-B
dissension	53-3298-B,53-3317-B,53-3344-B,53-3366-B
dissent	53-3387-B
dissertation	53-3407-B,53-3432-B
dissimilar	53-3458-B
dissimilarity	53-3482-B
dissimulate	53-3505-B,53-3528-B
dissipate	53-3550-B,53-3568-B,53-3589-B,53-3610-B
dissipated	53-3632-B
dissolute	53-3653-B
dissolution	53-3673-B
dissolve	53-3695-B,53-3714-B,53-3732-B
dissuade	53-3750-B
distance	53-3767-B,53-3784-B,53-3803-B,53-3817-B
distant	53-3839-B,54-0-B,54-13-B,54-25-B,54-39-B,54-60-B,54-82-B
distaste	54-101-B,54-117-B,54-137-B,54-155-B
distasteful	54-172-B
distensible	54-196-B,54-218-B
distil	54-238-B,54-253-B,54-272-B,54-289-B
distill	54-303-B,54-319-B,54-339-B
distiller	54-357-B
distinct	54-375-B,54-394-B,54-410-B,54-425-B,54-447-B,54-469-B
distinction	54-485-B,54-509-B
distinguish	54-536-B,54-558-B,54-582-B
distinguished	54-608-B
distract	54-631-B,54-649-B,54-670-B
distracted	54-689-B,54-704-B,54-727-B,54-747-B,54-768-B
distraction	54-787-B,54-809-B,54-833-B,54-858-B,54-883-B
distress	54-902-B,54-921-B,54-940-B,54-957-B,54-974-B,54-991-B,54-1005-B,54-1019-B,54-1034-B,54-1051-B,54-1071-B,54-1091-B
distressed	54-1105-B
distribute	54-1126-B,54-1150-B,54-1173-B,54-1194-B,54-1215-B,54-1235-B,54-1256-B
distribution	54-1276-B,54-1301-B,54-1325-B,54-1348-B
distributor	54-1374-B
district	54-1395-B,54-1413-B,54-1437-B,54-1452-B,54-1470-B,54-1486-B,54-1500-B,54-1519-B,54-1535-B
distrust	54-1549-B
disturb	54-1569-B,54-1588-B,54-1605-B,54-1620-B,54-1641-B
disturbance	54-1659-B,54-1686-B,54-1706-B
disunite	54-1729-B,54-1747-B
ditch	54-1765-B,54-1778-B,54-1792-B,54-1804-B,54-1817-B,54-1828-B,54-1844-B
ditto	54-1856-B
diurnal	54-1869-B
divan	54-1887-B,54-1899-B
dive	54-1914-B,54-1926-B,54-1943-B
diver	54-1955-B
diverge	54-1968-B,54-1987-B
divergent	54-2007-B
diverse	54-2027-B,54-2047-B
diversification	54-2068-B,54-2096-B
diversion	54-2124-B,54-2144-B,54-2166-B,54-2184-B,54-2207-B
diversity	54-2224-B,54-2246-B
divert	54-2272-B,54-2288-B,54-2304-B,54-2320-B
divest	54-2339-B
divide	54-2356-B,54-2372-B,54-2390-B,54-2408-B,54-2421-B,54-2436-B,54-2454-B,54-2470-B,54-2486-B,54-2502-B,54-2518-B
dividend	54-2534-B,54-2551-B
divination	54-2569-B
divine	54-2593-B,54-2612-B,54-2626-B,54-2643-B
diving	54-2662-B
divinity	54-2676-B,54-2700-B
division	54-2717-B,54-2735-B,54-2756-B,54-2772-B,54-2789-B,54-2807-B,54-2830-B,54-2849-B,54-2867-B
divorce	54-2886-B,54-2908-B,54-2925-B
divorced	54-2943-B
dizziness	54-2963-B,54-2986-B
do	54-3006-B,54-3018-B,54-3029-B,54-3041-B,54-3049-B,54-3058-B,54-3072-B,54-3086-B,54-3099-B,188-1424-S,188-1445-S,188-1463-S,188-1482-S
do well	111-1434-S
doable	54-3113-B
doc	54-3132-B
docile	54-3143-B
docility	54-3159-B
dock	54-3181-B,54-3190-B
docket	54-3202-B
dockyard	54-3216-B,54-3237-B
doctor	54-3251-B,54-3263-B,54-3281-B,54-3295-B,54-3309-B,54-3327-B
doctrine	54-3342-B,54-3360-B
document	54-3374-B,54-3388-B,54-3406-B,54-3424-B,54-3446-B,54-3462-B,54-3482-B
documental	54-3496-B
documentary	54-3519-B
dodder	54-3543-B
dodge	54-3556-B,54-3569-B,54-3581-B,55-0-B
dodgy	55-11-B
doe	55-22-B
dog	55-32-B,55-49-B,55-58-B
doge	55-72-B
dogged	55-82-B,55-100-B
dogma	55-114-B,55-126-B,55-145-B
doing	55-160-B
dole	55-171-B,55-184-B
doleful	55-195-B,55-211-B
doll	55-227-B,55-236-B
dollar	55-250-B
dolorous	55-264-B
domain	55-282-B,55-296-B,55-310-B,55-322-B
dome	55-338-B,55-347-B,55-359-B
domestic	55-371-B,55-386-B,55-405-B,55-422-B,55-439-B
domesticate	55-458-B
domesticated	55-477-B
domicile	55-500-B,55-519-B
dominate	55-539-B
dominion	55-556-B,55-572-B
domino	55-594-B
donate	55-608-B,55-628-B
donation	55-644-B,55-661-B,55-679-B,55-693-B
done	55-712-B
donkey	55-726-B
doom	55-738-B,55-747-B,55-760-B,55-775-B
door	55-792-B,55-802-B,55-814-B
doorkeeper	55-827-B
doorman	55-846-B
doorway	55-862-B
dope	55-877-B
dormant	55-892-B
dosage	55-907-B
dose	55-920-B
dossier	55-931-B,55-947-B
dot	55-963-B,55-971-B,55-980-B,55-992-B,55-1001-B
double	55-1015-B,55-1029-B,55-1043-B,55-1067-B,55-1084-B,55-1102-B
doubly	55-1121-B,55-1135-B,55-1152-B
doubt	55-1170-B,55-1183-B,55-1197-B
doubtful	55-1214-B,55-1231-B
douche	55-1254-B,55-1268-B
dough	55-1284-B,55-1297-B,55-1308-B
doughty	55-1320-B,55-1335-B,55-1349-B
dour	55-1362-B
dove	55-1371-B
down	55-1381-B,55-1394-B,55-1404-B,55-1414-B,55-1430-B,55-1444-B,55-1456-B,55-1467-B,55-1481-B,179-1874-S,179-1897-S
downfall	55-1491-B
downright	55-1510-B,55-1528-B
downstairs	55-1551-B,55-1570-B,55-1593-B
downward	55-1610-B
dowry	55-1630-B
doze	55-1648-B,55-1661-B,55-1673-B
dozen	55-1688-B,55-1701-B
dozer	55-1717-B
drab	55-1733-B
drachm	55-1743-B
drachma	55-1758-B
draco	55-1774-B
draft	55-1786-B,55-1800-B,55-1811-B,55-1825-B,55-1841-B,55-1854-B,55-1867-B
draftee	55-1881-B
drag	55-1897-B,55-1912-B,55-1924-B,55-1937-B
dragon	55-1955-B,55-1968-B
