bebeklik	102-1312-B
belirli	28-2877-B,37-2059-B,37-2091-S,49-886-B,49-918-S,52-1967-B,85-2232-B,133-1900-B,168-830-B,178-770-B,205-2334-B
belirli ozel titiz ayrıntı	133-1919-B
belirmek	8-3150-B,68-454-B
belirsiz	6-2590-B,54-27-B,57-1988-B,59-1474-B,60-613-B,66-2690-B,72-887-B,92-1762-B,101-1099-B,101-3277-B,128-2004-B
belirsiz iki anlamlı	6-2609-B
belirsizlik	6-2546-B,61-152-B,92-1628-B,128-2021-B,135-2721-B,204-610-B
belirtec	153-287-B
belirten	101-2109-B
belirti	101-2014-B,101-2150-B,146-1610-B,170-2557-B,171-1884-B,177-2589-B,189-2072-B,195-1443-B
belirtme	50-1694-B,178-962-B
belirtmek	22-1117-B,22-2774-B,50-1787-B,51-2578-B,52-2373-B,68-472-B,68-928-B,70-898-B,74-1793-B,99-984-B,99-1162-B,117-0-B,125-454-B,143-2939-B,171-2299-B,178-168-B,178-1735-B,181-2493-B
belirtmek secmek	51-2598-B
belit	13-2972-B
beliğ	78-2788-B
belkemiği	14-194-B,178-2703-B
belki	111-2074-B,112-2063-B,118-1955-B,135-3258-B,136-1330-B
bellek	119-2045-B
belleme	132-2298-B
bellemek	50-617-B,177-2221-B
belli	23-0-B,68-714-B,70-2220-B,117-19-B,127-1046-B,130-3356-B,171-2024-B
belli acık	68-668-S,128-3041-B
belli gorunen	8-2846-S
bellilik	198-2695-B
bellisiz	101-1119-B,101-1595-B,204-628-B
ben	122-1584-B
bencil	63-97-B
bencillik	63-111-B,167-271-B
bende	43-3046-B,164-41-B,173-1571-B,186-359-B
benek	59-982-B,77-2923-B,81-2196-B,115-2507-B,178-1126-B,179-1058-B,179-1987-B
beneklenmek	47-742-B
benekli	47-761-B,179-2232-B,189-2931-B
beni	118-2138-B
beniadem	96-2641-B,96-2770-B
benimseme	3-3254-B,64-236-B,67-720-B
benimsemek	3-3270-B,64-254-B,64-347-S,67-833-B,96-2351-B
benimsemek kabul etmek	3-3287-B
benlik	101-3463-B
bent	10-2415-B,46-3101-S,106-1229-B,132-2970-B,133-2902-B,157-2090-B,185-1095-B
bent hendek	53-3062-S
benzemek	20-2687-B,35-3278-B,114-802-B,118-102-B,157-1836-B
benzen	17-1667-B
benzer	5-1751-B,5-2350-B,7-868-B,38-890-B,38-1754-B,112-1961-B,118-117-B,133-15-B,171-2973-B,180-596-B
benzer aynı	5-2363-B
benzerlik	7-920-B,7-997-S,35-3358-B,112-2160-B,133-31-B,133-164-B,163-2131-B,167-509-B,171-3020-B
benzetme	35-3379-B,120-2612-B
benzetmek	11-2410-B,11-2626-B,98-1473-B,112-2144-B,144-2406-B
benzeyiş	38-1009-B,95-2110-B,112-2179-B
benzeş	95-2131-B
benzeşme	4-2186-S,7-938-B,112-2198-B
benzin	17-1682-B,84-729-B
benzol	17-1697-B
beraat	2-3606-B
beraber	1-1657-B,35-1622-B,36-3764-B,60-123-S,195-1220-B
beraber yinede	126-1569-S
berabere	60-377-B
beraberlik	23-579-B
berat	30-15-B
berbat	13-2644-B,60-453-B,69-241-B
berbat etme	24-474-S
berber	15-712-B,90-2180-B
bere	88-2021-B,97-647-B,101-1326-B,101-1418-B,111-1882-B,185-560-B
bere curuk	40-3437-B
bereket	1-3053-B,75-882-B,82-2072-B,119-3025-B,140-247-B
bereketli	1-3123-B,71-1847-B,73-2922-B,74-2052-B,75-898-B,78-3175-B,84-2447-B,115-1818-B,140-265-B,140-372-B,146-114-B,146-2393-B,159-1344-B,191-2354-B
bereketli verimli	75-916-B
bereketsiz	118-2156-B
berelemek	23-806-B,118-1644-B
bergamot	17-1818-B
berguzar	198-1505-B
beri	81-2301-B
beriki	94-3028-B
berk	185-878-B
berrak	22-2316-B,32-1105-B,112-2741-B,113-643-B,115-632-B,115-1254-B,167-2946-B,170-433-B,197-1334-B,207-256-B
berraklık	32-48-B,49-1029-B,171-2871-B
berzah	106-1109-B
besbelli	14-1529-B,128-3062-B
besili	173-1830-B
besin	79-2027-B,128-341-B,128-425-B
besinli	128-356-B,128-476-B
besleme	91-579-B,127-2066-B,128-494-B,167-3228-B,188-2689-B
beslemek	45-2339-B,79-937-B,80-3330-B,108-124-B,116-984-B,127-2049-B,128-51-B,128-235-B,188-15-B
beslenme	5-2382-B,127-2086-B
beslenmek	113-1380-B
besleyici	128-373-B,128-512-B
beste	36-2383-B,51-1428-B,168-1416-B,199-1632-B
besteci	36-2119-B
bestekar	36-2136-B
bestelemek	36-2017-B,36-2093-S
beter	213-1955-B
betik	127-1199-B
betim	98-915-B
betimleme	98-929-B,144-1271-B
beton	37-2076-B,134-1883-B
beton somut belirli	37-2091-B
bey	67-894-B
beyaban	208-2134-B,208-2400-B
beyan	2-1483-B,51-1896-B,145-2467-S,153-2962-B
beyanat	181-2803-B
beyanname	14-2139-B,48-1370-B,145-2487-B
beyaz	10-174-B,18-2695-B,19-1795-B,211-588-B
beyazlanmak	19-268-B,211-774-B
beyazlatmak	18-2561-B,19-239-S,19-287-B,211-600-B,211-793-B
beyazlık	175-841-B,211-618-B
beygir	58-2098-B,96-703-B
beyhude	1-1395-B,64-1900-B,204-674-B
beyhude boş	83-1500-B
beyin	134-865-B
beyit	42-2715-B,57-2347-B,185-1108-B,205-2073-B
beylik	40-3882-B
beynelmilel	105-0-B
bez	33-393-B,71-2329-B,84-1366-S,118-580-B
bezdirmek	199-824-B
beze	120-20-B
bezgin	59-1974-B,171-1025-B,209-2288-B
bezginlik	55-4101-B,58-2730-B,147-2528-B,191-2312-B
bezi	42-1017-S,53-1198-S,61-236-S,61-2107-S,125-700-S
bezi paspas	123-213-S
bezi tuval	26-1082-S
bezik	17-2753-B
bezmek	209-2301-B
beğendirmek	154-170-B
beğeni	191-980-B
beğenilmek	167-404-B
beğenme	9-2170-B
beğenme uygun gorme	9-2433-B
beğenmek	9-371-B,9-2513-B,26-3215-B,53-2618-B,65-1566-B,73-1110-B,155-3039-B
beğenmeme onaylamama	54-3154-B
beğenmez	73-2818-S
beğenmiş	36-941-S,37-63-S
beş	77-678-B
beş misli	77-688-B
beşbıyık	119-873-B
beşer	96-2660-B,123-943-B,135-2300-B
beşeriyet	8-653-B,96-2676-B,96-2790-B,117-350-B
beşik	15-2347-B,43-1628-B
beşinci	76-0-B
beşiz	150-3297-B
beşparmak	181-1911-B
biat	95-1502-B
biber	18-1689-B,37-2628-B,135-2466-B
biberiye	160-2748-B
biberlemek	135-2479-B
biberli	135-2571-B
biberlik	169-197-B
bibliyografya	17-2860-B
biblo	16-13-B,46-108-B,198-835-B
bicici	153-730-B
bicilmez	102-809-S
bicim	46-1621-B,73-2259-B,80-1205-B,116-1490-B,140-2163-B,169-738-B,169-927-S,185-572-B,199-2466-B
bicimci	203-2039-B
bicimcilik	80-1638-B
bicimini bozmak	57-3037-B
bicimlendirmek	80-1217-B,122-438-B,169-751-B
bicimli	32-814-B,46-1168-B,169-989-B,198-623-B
bicimsel	80-1523-B
bicimsiz	13-2760-B,18-1910-B,33-1097-B,80-1238-B,80-2059-B,202-83-B
bicimsiz sıkıntılı	13-2717-S
bicimsizlik	49-1379-B
bicki	46-1632-B
bicmek	9-1227-S,46-1643-B,92-249-B,124-199-B,153-717-B,169-2020-B
bicmek takdir etmek	11-2059-S
biftek	16-1721-B,182-909-B
bigudi	46-424-B
bikini	18-136-B
bikir	116-746-B
bilakis	158-3477-B
bilardo	18-639-B
bildik	2-3229-B
bildiri	7-2592-B,14-2153-B,23-2881-B,35-2487-B,62-1399-B,117-121-B,145-2510-B,145-2531-S,146-3495-B
bildirme	4-1098-B,55-2605-B,101-2033-B
bildirme kahinlik	147-969-S
bildirmek	4-1117-B,7-2609-B,35-2194-B,48-1490-B,66-501-B,98-2688-B,102-2833-B,127-1683-B,129-2377-B,142-845-B,143-3040-S,146-3293-B,149-1119-B,191-2608-B
bildirmek tanıtmak	2-3200-B
bile	67-3106-B,67-3158-S,149-1401-S,205-2347-B,214-1559-B,214-1603-B
bile bile	149-1401-B
bilek	214-310-B
bileklik	188-358-B
bilemek	62-1086-B,89-95-B,89-268-S,95-2189-B,169-1541-B
bilen	61-2185-S
bilen kimse	87-1552-S
bilenme	210-2390-B
bilet	18-443-B,194-1541-B
bilet ucreti	73-1632-B
biletci	37-3142-B
bileyici	89-302-B
bilezik	14-2678-B,21-1944-B,21-1961-S
bileği	7-2371-S
bileşik	36-1418-B,36-2195-B,36-2671-B
bileşim	34-2133-B,36-2214-B,36-2689-B,39-2207-B
bileşim alaşım	36-2707-B
bileştirmek	6-2136-S
bilfiil	3-960-B
bilge	163-951-B
bilgece	212-869-B
bilgelik	212-785-B
bilgi	2-3249-B,102-2967-B,104-1819-B,109-0-B,109-100-B,111-575-B,111-2238-B,114-1949-B,127-1700-B,127-1920-B,164-2960-B
bilgi vermek	102-2850-B
bilgili	70-117-B,94-257-B,104-1695-B
bilgin	148-3202-B,164-840-B,164-2666-B
bilgisiz	64-1914-B,97-2889-B,98-143-B
bilhassa	70-2598-B,133-1960-B,134-2910-B,178-368-B,178-787-B
bilim	164-2974-B
bilim dalı	55-826-B
bilimsel	164-3044-B
bilimsel olmayan	202-2797-B
bilinc	38-3217-B
bilincli	13-2494-B,38-3071-B
bilincli şuurlu	38-3091-B
bilinclilik	167-2045-B
bilincsiz	201-1339-B
bilinemezcilik	5-674-B
bilinen	73-258-B,100-3502-B
bilinmedik	101-1618-B
bilinmeyen	101-1643-B,202-1438-B,202-1460-B
bilinmez	128-3307-B
bilirkişi	13-722-B,107-1287-B,154-1999-B
billur	45-1452-B
bilme	33-2818-B,73-431-B
bilmece	65-1470-B,149-2878-B,159-1563-B,211-1209-B
bilmece bulmaca	149-2893-B
bilmece kalbur	159-1578-B
bilmek	108-405-B,154-40-B,201-2050-B
bilmek farkında olmak	13-2510-B
bilmeyen	98-311-S
bilmez	103-1932-S
bilmiş	176-2383-B
bilye	4-3070-B,5-3145-B,14-1775-B,117-868-B,117-948-S,191-1502-B
bin	193-3012-B
bina	23-2361-B,62-1475-B,66-2945-B,71-2895-B,185-1142-B
binaenaleyh	38-3869-B,66-3010-B,79-1679-B,210-2236-B
bindirme	209-2735-B
bindirmek	23-3069-B,32-81-B,159-1614-B
binek arabası	27-913-B
biner	18-820-B
binici	96-763-B,159-1659-B
bininci	120-2433-B
biniş	87-1876-B,123-2055-B,123-2335-B,160-1072-B
binme	123-2351-B,159-1629-B
binme gezinti	159-1640-B
binmek	46-2288-S,63-2999-S,85-432-B,123-2068-B
bir	97-2111-B,101-2430-B,172-1245-B,176-1017-B,176-1436-B,193-2343-S,202-1007-B
bir araya getirmek	11-1759-B,84-898-B
bir daha	4-2924-B
bir kararda	202-587-B
bir kimse	176-1510-B,176-1576-B
bir yana	11-689-B
bir zevkle seyretmek	86-610-S
bira	5-2021-B,16-1801-B
bira fabrikası	22-1894-B
biracı	22-1879-B
birader	23-598-B
birahane	5-2030-B,148-1218-B
birahaneci	148-1441-B
biraz	8-1511-B,13-2687-B,176-1419-S,176-1445-B,176-1737-B
birazdan	144-1166-B
birazdan derhal şimdi	144-1185-B
birbirinden ayrılmak	58-617-B
birbirini izleyen	167-2766-B
birden	131-1041-B
birden akmak akıtmak yuzu	78-3191-B
birdenbire	63-323-B,90-2939-B,131-2106-B,170-1795-B,170-2141-B,173-1033-B,187-111-B
birer birer saymak	66-438-B
birer saymak	66-438-S
birey	101-3314-B
birey fert kimse	101-3331-B
bireyci	101-3484-B
bireycilik	101-3506-B
bireyleştirme	101-3720-B
bireyleştirmek	101-3749-B
bireysel	31-2388-B,101-3359-B,101-3531-B
bireşim	189-2678-B
biri	8-1521-B,8-1651-B,8-1677-S,8-2243-S,116-2386-B,129-1851-B,176-1529-B,176-1594-B
biricik	68-3476-S,129-1992-B,175-3111-B,176-63-S,202-929-S
biriken	45-2677-S
birikinti	50-3126-B,60-2418-B
birikintisi	141-1694-S
birikmek	2-2064-B,34-856-B,45-34-B,45-2638-B,138-949-B
birikmiş biriken	45-2677-B
biriktirme	2-2170-B
biriktirmek	2-2084-B,6-2273-B,34-873-B,45-2656-B,60-1026-B,84-385-B,84-924-B,94-3101-B,95-102-B,138-963-B,164-867-B,183-2659-B
birim	202-1016-B
birinci	76-2847-B,83-176-B,103-273-B,144-127-B,145-90-B,145-190-B
birinci başlıca	145-204-B
birincilik	76-2861-B
birisi	8-1530-B,8-1663-B,129-1860-B,176-1543-B,176-1607-B
birkac	8-1541-B,168-1963-B,176-1456-B,204-2312-B
birleşik	37-3417-B,38-2349-B,74-2188-B,176-533-B
birleşme	2-1278-B,6-56-B,33-1577-B,33-3000-B,38-2231-B,39-1041-B,83-1247-S,107-268-B,107-2084-B,111-33-B,119-1198-B,158-2572-S,202-540-B,202-801-B,202-1165-B
birleşme bağlac	38-2253-B
birleşmek	2-1795-B,6-918-B,11-1787-B,14-2294-B,33-1557-B,34-2285-B,37-3439-B,38-1617-B,38-1639-S,38-2053-B,38-2601-B,39-900-B,39-1323-B,89-1603-B,100-3874-B,107-283-B,117-1736-B,119-1011-B,202-1116-B
birleştirme	34-2154-B,39-1065-B,111-2871-B,202-562-B
birleştirmek	11-1807-B,11-2646-B,34-2304-B,36-2734-B,37-3462-B,38-2072-B,38-2620-B,39-923-B,42-2585-B,100-3897-B,107-299-B,108-2450-B,111-50-B,117-1753-B,119-3202-B,194-1930-B,202-624-B
birleştirmek kurmak	11-1848-S
birleştirmek ortaklık	11-2670-B
birleştirmek sağlamlaştırmak	39-949-B
birlik	6-113-S,11-2785-B,23-614-B,34-2179-B,34-2326-B,39-1092-B,74-3176-B,176-822-B,176-863-S,202-817-B,202-961-B,202-1181-B
birlikte	6-1717-S,35-1637-B,38-2284-B,107-364-B,170-2298-B,172-676-B,195-1237-B,202-975-B
birliği	34-365-S
birtakım	176-1469-B,187-1739-B
bisiklet	17-3063-B,46-2273-B
bisikletci	46-2405-B
bisiklete binmek	46-2288-B
biskuvi	18-1429-B,41-951-B
bitek	152-357-B,159-1359-B,204-3077-B
biteviye	39-1723-B
bitik	207-2924-B
bitim	70-803-B,192-2029-B
bitirme	136-469-B,192-2047-B
bitirme sonuclandırmak	37-1360-B
bitirmek	10-1252-B,22-431-B,32-799-B,37-1394-B,39-3279-B,39-3332-S,52-2393-B,53-513-B,64-2980-B,69-1448-B,71-464-B,76-1448-B,76-2148-B,136-328-B,161-494-B,163-2793-B,170-644-B,192-1953-B,194-1948-B,208-1757-B,211-2519-B
bitiş	76-1398-B,212-33-B
bitişik	3-2253-B,3-2287-S,38-2178-B,40-959-B,42-857-B,77-1806-S
bitişme	107-2103-B,107-2186-B,107-2848-B,111-2892-B,119-1216-B
bitişmek	24-2593-B,38-2094-B,202-1133-B
bitiştirme	10-2563-B
bitiştirmek	3-2345-B,12-990-B,38-2112-B,38-2642-B,42-2606-B,107-379-B,162-812-B,194-1961-B
bitki	94-381-S,139-1447-B,204-2913-B,213-2113-B
bitki fabrika dikmek kurmak	139-1459-B
bitki sapı	181-263-B
bitkin	58-1975-B,59-621-B,62-2570-B,106-1641-B,212-2960-B,213-1721-B
bitkin gorunuşlu	90-1984-B
bitkinlik	69-1465-B,74-203-B,109-2462-B,110-596-B
bitkisel	204-2929-B,204-3092-B
bitli	114-2598-B
bitme	45-2034-B,72-653-B
bitmek	28-1507-B,34-2522-B,37-1412-B,45-2050-B,64-2993-B,70-729-B,72-514-B,72-2026-B,76-2164-B,85-2123-B,133-2615-B,138-1800-B,162-829-B,192-1972-B
bitmek durmak	28-1520-B
bitmez tukenmez	65-26-B
bitmiş	71-306-S,131-1437-B
biyofizik	18-1193-B
biyografi	18-1138-B,112-780-B,119-1880-B
biyokimya	18-1115-B
biyolog	18-1158-B
biyoloji	18-1176-B
biyopsi	18-1214-B
biyosfer	18-1229-B
biz	13-2842-B,20-715-B,183-236-B
bizi	203-2576-B
bizim	131-199-B
bizon	18-1515-B
bizzat	94-1989-B,106-1440-B,124-3005-B,129-1936-B,136-3139-B,136-3468-B
blof	19-2864-B
blok	19-1512-B,19-1522-B,132-425-B
blokaj	19-1635-B,128-2802-B
bloknot	132-434-B,190-16-B
boa	20-178-B
bobin	20-582-B
bobrek	108-1005-B
boca	111-1010-B
bocalama	79-132-B
bocalamak	79-149-B,212-2231-B
bocek	23-2037-B,103-2128-B
bocek tahtakurusu	23-2048-B
bocekcil	103-2157-B
bocekli	23-2157-B
bocurgat	210-2526-B,211-2492-B,211-2875-B
bodrum	28-1853-B
bodur	61-1246-B,115-30-B,148-1980-B,160-2256-B,165-2381-B,170-1812-B,180-751-B,180-1456-B,183-1719-B,185-1437-B,185-2743-B
bodurluk	183-1674-B
bohca	24-303-B,131-3406-B,132-188-B,132-217-B
bohca paket	24-278-S
bohcalamak	24-317-B
bok	23-2930-B,199-2158-B
boksor	148-2198-B
bol	1-3142-B,4-2491-B,7-336-B,7-388-S,7-676-S,21-1075-B,21-1128-B,41-1307-B,62-3276-S,71-1867-B,71-1899-S,82-2601-B,84-2466-B,91-689-B,93-2114-B,109-3040-B,109-3050-S,110-1633-B,111-2987-B,115-1833-B,140-218-B,140-285-B,146-1409-B,159-1370-B,159-1379-S,159-1849-B,177-2162-B,211-1298-B
bol bol	7-676-B,109-3050-B,159-1379-B
bol olma	1-1441-B
bolen	56-582-B,58-1685-B
bolero	20-1273-B
bolge	31-1804-B,57-3728-B,58-1486-B,143-1495-B,155-226-B,166-1610-B,208-558-B,214-2761-B
bolge cevre	143-1511-B
bolge ilce kaza	57-3744-B
bolgesel	155-327-B,205-1880-B
bolgesi	39-1985-S
bollaştırmak	7-576-B,211-1440-B
bolluk	1-3071-B,4-2505-B,7-639-B,71-1783-B,86-1933-B,110-1071-B,140-180-B,140-389-B,145-2931-B,150-1047-B,183-2677-B,209-1753-B
bolluk refah	147-2227-B
bolme	9-1076-B,29-688-B,33-255-B,56-2303-B,57-3517-B,58-1502-B,133-2236-B,133-2303-S,164-3150-B,165-1608-B
bolme bolum	16-196-B
bolmek	18-1462-S,21-2390-B,32-1556-B,57-3435-B,58-1064-B,58-1870-B,133-1415-B,167-2457-B,168-1905-B,187-1652-B
bolmek kesişmek	105-384-S
bolmeli	167-2503-B
boluk	166-1625-B,198-1398-B
bolum	16-196-S,21-2405-B,28-22-B,28-468-B,58-1518-B,66-1432-S,138-504-B,161-2015-B,166-2967-B
bolumlemek	161-2030-B
bolunme	58-1535-B,164-2566-B,165-0-B,179-918-B
bolunmek	32-1571-B,72-2053-B,179-934-B
bolunmez	101-3779-B,202-1069-B
boluntu	71-3218-B,164-2583-B
boluşmek	169-1045-B
boluşturme	6-284-B
boluşturmek	6-305-B
boluşturmek dağıtmak	6-154-B
bomba	20-1585-B,95-1579-B
bombalamak	20-1596-B
bombardıman	26-310-B,184-285-B
bombardıman etmek	20-1612-B,169-2567-B
bombası	88-2728-S
bon	98-1338-B,125-263-B,125-299-S,204-1736-B
bonbon	26-0-B,26-42-S,37-3332-B,87-1066-B,140-1118-B
boncuk	16-467-B
boncuk tespih	16-479-B
boncuklu	16-509-B
bone	33-3095-B
bonjur	46-1924-B
bonluk	97-2214-B,125-274-B,172-137-B,204-1747-B
bono	132-2572-B
bonservis	29-2024-B,154-217-B,192-2948-B
bora	77-2715-B,83-2123-B,90-1068-B,90-1078-S,180-958-B,183-2909-B,192-145-B,211-2533-B
boraks	20-2674-B
boralı	180-970-B
borazan	198-2800-B,198-2847-B
borc	10-1692-S,47-3024-B,61-2209-B,111-2755-B,128-1169-B
borc acık zimmet	47-3036-B
borclandırmak	29-2651-B
borclanma	113-2244-B
borclu	16-2577-B,16-2672-B,95-503-B
borclu olmak	131-2865-B
borcluyu sıkıştırmak	61-1272-B
borda	195-2704-B
borek	77-1719-B
borek turta	138-473-B
boru	23-2194-B,83-409-S,138-2190-B,199-658-B
boru sesi patlama	18-2925-B
borucu	77-555-S
borulce	134-2233-B
borusu	196-1616-S
borş	21-0-B
bostan	84-83-B
bostan korkuluğu	164-2039-B
boy	70-3528-B,111-1605-B,116-478-B,182-153-B
boya	132-960-B,180-3127-B,180-3164-S
boyamak	34-1532-B,61-2543-B,98-1428-B,132-971-B,195-50-S
boyanmak	180-3138-B
boyası	113-561-S
boykot	21-1818-B
boylam	114-692-B
boylamak	109-1906-B
boyle	72-1285-S,175-979-B,186-3330-B
