zurafa	85-1782-B
şarkıcı	29-1625-B,124-2061-B,172-1172-B,176-1993-B,207-399-B
şarlatan	64-1482-B,72-1741-S,72-1823-B,149-3127-B
şarlatanlık	64-1519-B
şarlatanlık aldatma yalan	96-2986-B
şart	31-2075-B,32-653-B,37-2745-B,148-108-B,148-165-B,150-574-B,157-1992-B,158-1258-B,185-341-B,192-1874-B,209-2721-B
şart koşul	148-77-S
şartname	178-1005-B
şartsız	157-2072-B
şat	61-1116-B
şataf	179-526-B
şatafatlı	15-1438-B,94-1562-B,115-2115-B,130-3105-B
şatafatsız	139-869-B
şayak	82-608-B,167-3000-B
şayet	97-2537-B,135-2853-B,135-3295-B
şayia	93-86-B,156-2859-B,162-698-B
şaşaa	62-3202-B,86-575-B,86-1416-B
şaşaalı	22-2449-B,77-1525-B,86-591-B,116-382-B,151-1320-B,154-3294-B,158-305-B
şaşakalmak	11-3472-B,11-3623-B
şaşkın	4-3054-B,18-2775-B,47-2151-B,58-1946-B,159-3112-B,169-2297-B,171-2820-B,173-1182-B,209-1625-B
şaşkınlık	39-1957-B,55-1485-B,79-236-B,82-2311-B,118-2068-B,124-432-B,136-2824-B,149-2944-B,149-2984-B,150-989-B,185-2903-B,188-1697-B,212-2785-B,212-2897-B
şaşmak	11-3494-B,117-1966-B,212-2806-B
şaşmaz	102-1177-B,182-893-B,184-491-B,201-3658-B
şaşı	180-1994-B
şaşı gozluk	87-217-B
şaşılacak	125-3030-B,145-3020-S,145-3052-B,212-2838-B,212-2938-B
şaşılık	27-2570-B,180-2009-B
şaşırmak	52-3349-B,114-2079-B,149-2965-B
şaşırtma bozma	14-969-B
şaşırtmak	6-2425-B,11-3512-B,14-994-B,14-2105-B,16-2110-B,17-2624-B,21-1664-B,38-1175-S,38-1292-B,57-3208-B,63-3156-B,79-258-B,82-2332-B,88-1728-B,105-1255-B,125-0-B,128-822-B,136-2777-B,141-3177-B,180-2940-B,185-2788-B,185-2971-B,188-1720-B,200-1718-B
şaşırtmak hayrete duşmek	11-3534-B
şaşırtıcı	149-3027-B,170-1114-B,178-2903-B,181-2449-B
şebboy	85-1460-B,183-1585-B
şebeke	120-336-B,126-1266-B,126-1392-B,133-2838-B
şebnem	53-630-B
şecere	73-683-B,84-1901-B,135-155-B
şef	26-2423-B,30-1425-B,30-1909-B,37-3249-B,92-2128-B,144-1660-B,145-841-B,187-2565-B
şefaat	119-485-B
şeffaf	22-2467-B,32-1297-B,45-1483-B,45-1553-B,53-1217-B,84-1416-B,97-1109-B,112-2755-B,197-1353-B
şeffaflık	197-1286-B
şefi	115-2781-S
şefkat	36-22-B,74-2663-B,84-3084-B,111-1753-B,139-67-B,189-2326-B
şefkat nezaket	108-1555-B
şefkat yumuşaklık	32-1738-B
şefkatli	17-1537-B,29-3202-B,32-1787-B,36-88-B,74-2679-B,119-2847-B,192-1075-B
şefkatsiz	91-2135-B,119-2907-B,155-2343-B,202-1420-B
şeftali	134-2476-B
şehevi	27-557-S
şehir	31-2362-B,139-459-B,196-1475-B
şehit	117-1917-B
şehre ait	203-2140-B
şehriye	127-593-B,205-1741-S
şehvet	37-2243-B,51-3085-B,112-319-B,115-1927-B,167-1900-B
şehvet duşkunu	111-2690-B
şehvet hırs	115-1940-B
şehvetli	96-1514-B,110-381-B,163-1212-B,207-1322-B
şeker	26-29-B,187-525-B
şeker bonbon	26-42-B
şeker hastalığı	53-886-B
şekeri	53-862-S
şekerleme	26-62-B,37-3395-B,59-2598-B,80-3039-B,140-1140-B,144-1509-B,175-524-B,189-679-B,189-786-B
şekerleme kısa uyku	125-620-B
şekerli	187-538-B,189-696-B
şekil	38-212-B,38-989-B,40-1702-B,46-1897-B,49-3569-B,53-1014-B,62-2952-B,73-2379-B,74-1932-B,76-247-B,80-1511-B,98-902-B,113-107-B,116-1694-B,122-380-B,122-426-B,122-536-B,137-1976-B,167-589-B,168-2832-B,169-914-B,178-755-B
şekil bicim	169-927-B
şekilcilik	80-1616-B
şekillendirmek	64-131-B,169-947-B
şekilsiz	80-2078-B,100-2374-B,169-969-B
şekilsizlik	55-3916-B
şekli	80-1582-B
şelale	27-3081-B,209-215-B
şema	53-1029-B
şempanze	30-2378-B
şemsiye	200-2877-B
şemsiyelik	200-2895-B
şemsiyesi	133-596-S,187-1932-S
şen	5-1714-B,19-1376-B,30-1249-B,30-1348-B,33-2121-B,41-709-B,75-1340-B,75-1519-B,82-1428-B,84-1486-B,84-2733-B,86-53-B,91-1595-B,107-705-B,107-1030-B,112-1873-B,120-316-B,136-1833-B,139-2477-B,179-2885-B,212-511-B
şen neşeli	75-1532-B
şenaat	102-1276-B
şeneltmek	141-2080-B
şeni	89-1020-B,206-1331-B
şenlik	75-1486-B,75-1608-B,75-3252-B,120-245-B,121-1050-B,141-2153-B,158-2907-B
şer	68-906-B,91-2896-B
şerare	177-2725-B
şerc	8-1266-B
şeref	44-315-B,53-3047-B,62-704-B,86-1430-B,109-243-B,157-1246-B
şeref vermek	53-2908-B
şerefli	86-1260-B,87-861-B,95-2553-B
şerefsiz	56-391-B,97-2769-B,102-3532-B
şerefsizlik	12-1525-B,56-459-B
şerh	35-516-B,69-576-B,70-2015-B,86-1643-B,133-526-B
şerik	133-2385-B
şerir	68-916-B
şerit	14-2396-B,21-2299-B,41-1738-B,73-2105-B,78-2953-B,109-667-B,138-2336-B,159-1297-S,184-1441-B,185-354-B,185-547-B,189-2920-B,191-238-B,191-328-B
şerit dantel	109-610-S
şev	17-2850-B,29-937-B,192-836-B
şevk	5-1775-B,9-3705-B,10-40-B,14-2667-B,62-557-B,63-625-B,65-3260-B,75-1110-B,75-1232-B,75-1292-B,86-1880-B,93-305-B,108-936-B,115-2054-B,120-1332-B,129-2181-B,132-2104-B,135-2456-B,205-2311-B,214-2459-B
şevket	116-1334-B
şevketli	148-2330-B
şevkli	1-908-B,5-775-B,5-2618-B,10-0-B,61-2842-B,62-573-B,75-1246-B,75-3110-B,75-3224-B,135-2661-B,208-1180-B
şevksizlik	109-2560-B
şey	13-62-B,14-231-B,40-2337-B,65-3583-B,80-889-S,98-1527-S,128-983-B,140-1396-B,193-2141-B,197-1844-S,198-407-S
şey beraber	60-123-S
şeye gucu yeten	6-1007-S
şeye inanan	44-362-S
şeyh	169-2495-B
şeytan	43-1851-B,45-2800-B,50-1089-B,52-2988-B,52-3540-B,75-2986-B,109-84-B,174-862-B,186-3231-B
şeytan cin	50-1103-B
şeytan iblis	52-3554-B
şeytanca	33-731-B,102-1857-S
şeytanca bir zevkle seyretmek	86-610-B
şeytani	52-3608-B
şeytanlık	43-1800-B,45-2816-B,52-3670-B,186-2767-B
şeytansacı	94-134-B
şezlong	114-2570-B
şiar	174-28-B
şiddet	11-1203-B,64-1386-S,64-1424-B,77-1705-B,80-131-B,83-1113-S,83-1139-B,93-1503-B,99-484-B,104-2407-B,115-2066-B,159-2576-B,182-1151-B,184-2212-B,184-2525-B,204-3147-B,206-1876-B
şiddetle arzu etmek	43-763-B
şiddetlendirmek	5-178-B,36-2827-B,68-1223-B,169-1659-B
şiddetlenme	68-1251-B
şiddetli	14-770-B,18-1812-B,20-1042-B,48-3197-B,60-64-B,60-1900-B,70-3029-B,75-3125-B,80-148-B,83-546-B,91-2151-B,93-1517-B,94-1512-B,96-1528-B,99-397-B,104-2307-S,104-2349-B,104-2442-B,108-109-B,134-294-B,159-2644-B,161-2455-B,168-2122-B,169-1486-B,174-1302-B,176-2988-B,181-2092-B,182-2282-B,184-2902-B,185-1026-B,192-228-B,196-49-B,197-2935-B,204-3164-B,206-609-B,206-1937-B
şiddetli acı	5-811-B
şiddetli arzu	43-2382-B
şiddetli duşkun olmak	108-0-S
şiddetli gurultulu	20-1063-B
şiddetli keskin akıllı	3-1206-B
şiddetli ofkeli	83-564-B
şiddetli ruzgar	18-3032-B
şiddetli sert	60-82-B
şifa	46-65-B,92-2647-S
şifahen	205-1163-B
şifon	30-1960-B
şifoniyer	60-314-B,60-937-B
şifre	31-1250-B,33-2379-S
şifresini cozmek	48-1139-S
şiir	110-2292-B,140-2188-B,140-2242-B,176-1910-B,205-2136-B
şikar	83-2681-B,150-1303-B
şikayet	36-1122-B,77-1390-B,124-1746-B,139-931-B,139-947-B
şikayet etmek	36-1007-B,89-2284-S
şilep	81-2761-B
şilin	170-146-B
şilt	139-1948-B
şilte	118-1462-B
şimali	20-2791-B
şimdi	107-2560-B,127-2257-B,127-2268-B,144-1185-S,144-1234-B,176-2152-B,195-1107-B
şimdiden	6-1325-B
şimdiki	98-1818-B,103-3529-B,144-947-B,144-987-B
şimdiki zaman	144-964-B
şimdilik	144-1251-B
şimşek	112-1802-B
şimşir	21-1762-B
şirin	45-2836-B,46-2004-B,48-73-B,87-2389-B,119-1586-B,189-711-B
şirin nazik bağışlayıcı	87-2405-B
şirket	35-3183-B,37-736-B,41-2337-B,76-2787-B,133-2400-B,175-1953-B
şirkete ait	41-2273-S
şirpence	8-585-B,26-2913-B
şirret	18-1646-B
şistli	169-335-B
şive	2-262-B,97-2270-B,105-1059-B,137-2910-B,205-1955-B
şive ağız	2-236-S
şive lehce deyim	97-2282-B
şiş	18-2494-B,23-2504-S,23-2589-B,24-82-B,84-1161-B,115-1418-B,127-25-B,147-3180-B,199-2258-B
şişe	7-690-B,21-320-B
şişe termos	77-2119-S
şişirme	205-1214-B
şişirmek	14-1084-B,19-1459-B,23-2716-B,53-3186-B,57-2311-B,69-2599-B,148-2062-S,148-2102-B,189-1006-B,203-1753-B
şişirmek enflasyon	102-2549-B
şişkin	19-2680-B,148-2183-B,199-2271-B
şişkinlik	199-2287-B
şişko	31-700-S
şişlemek	172-3041-B
şişlik	189-1023-B
şişman	41-2423-B,54-284-B,74-427-B,78-290-B,82-2797-B,141-2848-B
şişmanca	140-1494-B
şişmanlamak	74-358-B,149-2765-B,161-825-B
şişmanlatmak	74-379-B,78-305-B,140-1511-B
şişmanlık	16-1763-B,41-2399-B,64-198-B
şişmek	17-510-B,18-262-B,19-1476-B,23-2732-B,57-2330-B,69-2617-B,76-1029-B,160-455-B
şnorkel	175-585-B
şofben	85-900-B
şofor	30-577-B,60-1792-B
şohret	28-1710-B,29-2296-B,73-194-B,86-1443-B,109-256-B,110-1576-B,117-1466-B,125-509-B,127-1394-B,127-2000-B,148-1596-B,156-1675-B,156-2873-B,157-1222-S,157-1264-B,157-1334-B
şohretli	98-748-B,127-1408-B
şok	106-2040-B,185-2806-B,200-303-B
şolen	189-2382-B
şolen ziyafet	15-69-B
şomine	93-485-B
şort	170-1943-B
şose	28-1035-B,94-1696-B,115-2353-B
şoset	96-992-B,175-2087-B
şovale	62-289-B
şovalye	28-1266-B,108-2413-B
şovalyelik	30-2815-B,108-2430-B
şoyle	175-1069-B,186-3367-B
şoyle boyle	72-1285-B
şoyle ki	125-556-S
şu	193-408-B,193-2521-B
şua	16-705-B,86-29-B,152-2540-B
şube	21-2459-B,24-1003-B,50-2472-B,51-3238-B,186-1614-B,186-2417-B
şuh	41-1680-B,112-1888-B
şukran	19-819-B,88-1445-B,193-306-B
şukretme	96-954-B
şukretmek	143-470-B
şukur	80-2853-S,143-489-B
şule	77-2024-B
şumul	71-44-B,110-1163-B,146-1390-B
şumullu	69-2850-B,70-3489-B,84-2006-B,84-2392-B,114-656-B,189-492-B,200-2916-B,211-1395-B
şuphe	55-2692-S,58-0-B,59-1420-B,121-2869-B,135-2873-B,150-940-B,150-1012-B,150-2143-B,157-2010-B,188-1572-B,188-2467-B
şuphe etmek	59-1434-B,150-2288-B
şuphecilik	126-332-B
şuphelenmek	59-1454-B,188-2259-B
şupheli	47-2774-B,59-1547-B,61-190-B,101-1716-B,114-1474-B,121-2886-B,143-1062-B,150-1933-B,150-2311-B,188-2281-B,188-2485-B,200-2856-B,201-654-B,204-658-B
şuphesiz	28-3025-B,57-2593-B,59-1585-B,62-338-B,142-415-B,166-1935-B,188-1052-B
şuracıkta	125-2410-B
şurup	171-330-B
şuur	38-3277-B,120-2992-B,167-1369-B
şuurlu	38-3091-S,38-3155-B
şuursuz	19-1105-B,34-313-B,201-1362-B
şuursuzluk	127-1642-B
şık	6-1676-B,30-1665-B,30-2624-B,30-3068-B,32-459-B,47-729-B,60-956-B,63-1511-B,126-2855-B,130-1226-B,180-361-B,188-2941-B,198-775-B
şık zarif	174-1318-B
şıklık	30-1676-B,63-1392-S,63-1419-B,76-1952-B
şımartmak	42-497-B,132-1990-B,179-1277-B
şımarık	137-192-B
şımarık arsız	137-208-B
şıngırtı	106-3068-B
şıpıdık	124-781-B,165-2645-B
şıra	124-2239-B
şırınga	59-1606-B,65-535-B,97-1357-B,180-2121-B,189-2726-B
