etene	208-2785-B
etmek	1-386-S,1-1042-S,1-1180-S,1-1219-S,2-324-S,2-3454-S,3-289-S,3-1692-S,3-3287-S,4-0-S,4-405-S,4-2229-S,4-2265-S,5-788-S,5-1336-S,5-1354-S,6-190-S,7-194-B,7-2545-S,7-2681-S,8-2032-S,9-786-S,11-2059-S,11-2242-S,11-2312-S,11-2572-S,11-2912-S,11-3403-S,11-3436-S,12-3145-S,13-1707-S,13-2388-S,14-165-S,15-197-S,16-768-S,16-1400-S,16-2460-S,17-2246-S,18-1979-S,18-2826-S,20-512-S,20-1612-S,21-144-S,21-205-S,23-1757-S,23-2269-S,25-1833-S,25-1896-S,25-2679-S,25-2947-S,26-2248-S,27-2785-S,28-1129-S,30-500-S,30-536-S,30-899-S,30-1184-S,31-183-S,31-457-S,31-1690-S,31-2603-S,31-2637-S,32-489-S,34-2987-S,35-233-S,35-1230-S,36-344-S,36-368-S,36-539-S,36-1007-S,37-0-S,37-217-S,37-2937-S,37-2986-S,37-3692-S,37-3713-S,39-573-S,39-878-S,40-407-S,40-1445-S,40-3110-S,41-640-S,41-1509-S,41-1620-S,43-763-S,46-22-S,47-50-S,47-392-S,50-195-S,50-1381-S,50-1892-S,50-2289-S,50-2385-S,50-3109-S,51-678-S,51-833-S,52-732-S,52-3002-S,53-1329-S,55-238-S,55-259-S,57-65-S,57-1256-S,57-2927-S,58-54-S,59-1434-S,61-2379-S,62-64-S,64-154-S,64-273-S,64-1668-S,64-2842-S,65-331-S,65-409-S,65-820-S,65-937-S,65-1422-S,65-1520-S,65-2400-S,65-2438-S,66-864-S,66-968-S,67-1516-S,67-2199-S,68-2048-S,68-2894-S,68-3195-S,69-352-B,69-366-S,69-385-S,69-1007-S,70-1719-S,70-1846-S,70-2250-S,70-2677-S,71-565-S,73-15-S,76-2362-S,76-2581-S,78-1071-S,78-2323-S,82-213-S,83-678-S,84-1274-S,87-1487-S,87-1603-S,89-2284-S,89-2407-S,89-2980-S,92-99-S,92-561-S,92-816-S,93-1788-S,93-2956-S,94-909-S,94-2224-S,95-3021-S,97-544-S,98-1506-S,99-1012-S,99-1196-S,100-1884-S,100-2561-S,101-1972-S,101-3905-S,102-3642-S,103-3046-S,104-180-S,104-1148-S,104-2740-S,104-3236-S,105-717-S,105-1592-S,105-2039-S,105-2992-S,105-3097-S,106-704-S,108-1080-S,110-688-S,110-775-S,111-2553-S,111-2955-S,113-1463-S,114-1626-S,117-34-S,117-708-S,117-1270-S,119-2115-S,120-2675-S,120-2833-S,122-192-S,122-1719-S,123-2135-S,123-2864-S,124-16-S,125-124-S,126-121-S,126-370-S,127-1233-S,127-1298-S,127-1727-S,128-805-S,128-911-S,128-1129-S,128-1313-S,128-1582-S,128-3530-S,129-1574-S,130-1684-S,131-1844-S,131-2913-S,134-1845-S,135-1270-S,136-785-S,136-2025-S,136-2307-S,136-3029-S,136-3118-S,136-3733-S,137-425-S,137-2235-S,137-2530-S,138-723-S,138-1216-S,139-616-S,140-1588-S,140-1860-B,140-2349-S,142-1378-S,143-675-S,143-3018-S,143-3413-S,144-903-S,144-1529-S,144-2161-S,144-3115-S,145-2737-S,145-2834-S,145-3156-S,146-3533-S,146-3568-S,147-572-S,147-2792-S,147-2830-S,147-3331-S,147-3557-S,150-2288-S,152-2271-S,153-2261-S,153-2303-S,154-193-S,155-504-S,155-2792-S,156-1131-B,156-2561-S,156-3228-S,157-465-S,157-1423-S,158-1006-S,158-2761-S,159-420-S,159-515-S,159-1720-S,159-1996-S,160-1012-S,161-2845-S,162-2847-S,162-2885-S,164-464-S,164-923-S,166-1048-S,166-2687-S,168-15-S,169-2567-S,170-1368-S,173-911-S,174-1830-S,175-194-S,175-2936-S,176-219-S,180-839-S,181-1377-S,183-712-S,187-168-S,187-554-S,187-3365-S,187-3386-S,188-290-S,188-478-S,188-1521-S,188-2523-S,189-176-S,191-2058-S,191-2548-S,193-242-S,194-214-S,195-2885-S,196-228-S,196-458-B,196-2102-S,197-1971-S,197-2496-S,198-1744-S,199-1615-S,200-133-S,206-1360-S,206-2845-S,207-624-S,207-1591-S,207-2222-S,208-2489-S,209-845-S,209-2820-S,213-1809-S,213-1827-S,213-2459-S,214-1700-S
etmek atamak	39-2156-S
etmek bırakmak	1-11-S
etmek dağıtmak	55-0-S
etmek edinmek	145-2756-S
etmek fark etmek	55-259-S
etmek guvenmek	37-3857-S,153-3178-S
etmek harcamak	69-3514-S
etmek itiraf etmek	37-3713-S
etmek kalkışmak	47-804-S
etmek kulak vermek	93-1806-S
etmek kullanmak	69-1314-S
etmek kurmak	39-2749-S
etmek kutsamak	38-3349-S
etmek kınamak	37-2416-S
etmek kıymetini anlama	9-1302-S
etmek rahat vermemek	91-1627-S
etmek saymak	153-3124-S
etmek saymamak	57-218-S
etmek seckin	57-2885-S
etmek tevdi etmek	35-1230-S
etmek vazgecmek	80-2142-S
etmek yalvarmak	66-282-S
etmemek	55-1097-S,55-3508-S,56-1760-S,154-3398-S,155-1137-S
etmiş	14-2871-S
etnoloji	67-2604-B
etol	183-1822-B
etraf	6-2682-B,65-3649-B,66-818-B,150-1362-B,155-253-B,188-1855-B
etraflı	7-360-B,36-2900-B,36-2995-B,69-1608-B,133-2000-B
etrafına	1-1480-B
etrafında	1-1496-B
etsiz	111-206-B
ettirmek	23-1777-S,65-791-S,69-973-B,69-1030-S,92-1110-B,123-2883-S,145-2783-B
etut	44-2185-B,185-1950-B
etyemez	204-3058-B
ev	1-1100-B,42-939-S,59-117-B,61-2460-B,90-1616-B,95-1601-B,96-1796-B,139-242-B,157-2193-B,168-1643-B,192-1202-B
ev hayvanı	137-1276-B
ev idaresi	119-2135-B
ev işi	96-1951-B
ev kadını	95-1901-B
ev kulube	42-959-S
evc	187-1361-B
evcil	59-36-B,59-68-S,137-1292-B
evcilleştirmek	59-89-B,190-2319-B
evcimen	59-51-B
evde yapılmış	95-1875-B
evermek	117-1773-B
evet	214-1120-B
evgin	144-1934-B
evham	206-2627-B
evi	73-1897-S
evlat	51-1675-B,129-1116-B,176-1777-B
evlatlık	80-3346-B
evlendirmek	117-1787-B,118-387-B,194-2009-B,214-1886-B
evlenme	67-739-B,117-1648-B,118-141-B,118-1107-B,179-2297-B
evlenmek	117-1805-B,118-404-B,118-427-S
evlenmemiş	172-1256-B
evlilik	117-1665-B,118-1125-B,210-83-B
evlilik dışı	98-105-S
evlilikle ilgili	38-2133-B
evliya	163-1099-B
evliyalar	163-1130-B
evliyalık	163-1150-B
evrak cantası	141-2552-B
evre	137-2139-S
evren	42-441-B,43-2930-B,115-2564-B,189-2759-B,202-1299-B,213-1518-B
evrensel	35-1653-B,42-302-B,62-992-B,132-2130-B,202-1248-B
evrim	68-1035-B
evvel	5-701-B,8-230-B,16-2032-B,144-3042-B,145-1187-B
evvela	76-2878-B
evvelce	6-1295-B,144-3057-B,176-1652-B
evvelki	8-411-B,14-89-B,80-1853-B,103-289-B,110-705-B,144-3074-B,145-284-B,145-1199-B
ey	10-2428-B,129-1150-B
eyalet	26-1004-B,147-3594-B,181-2548-B
eyer	163-225-B
eyerlemek	163-237-B
eylem	35-937-B
eylem hareket belge	48-2985-B
eylemci	3-752-B
eylemcilik	3-715-B
eylemek	58-1998-B
eylemsiz	134-335-B
eyup	106-3123-B
ez il mek	45-1071-S
eza	91-2475-B,103-668-B,195-2826-B,196-184-B
ezberden	161-80-B
ezberlemek	109-11-B,119-2012-B
ezgi	110-2045-B,119-1603-B
ezici	93-1342-B,130-995-B,182-1214-B,197-2884-B
ezilme	86-2057-B,174-1336-B
ezilmek	45-987-B,174-1349-B
ezilmiş	180-1414-B
ezinc	195-2838-B
eziyet	102-2678-B,148-3338-B,195-2853-B,196-196-B
ezme	45-1001-B,89-127-B,149-556-B,165-2486-B
ezme pure	117-2162-B
ezmek	22-148-B,23-823-B,45-840-S,45-1012-B,89-138-B,117-2178-B,118-1672-B,150-1552-B,150-1966-B,162-888-B,174-1363-B,180-1430-B,180-1798-B,181-576-B,182-1232-B,188-3296-B,197-2322-S
ezmek parcalamak	174-1375-B
eğdirmek	48-1651-B
eğe	76-763-B
eğelemek	76-773-B
eğer	68-261-B,97-2491-B
eğik	128-1414-B,146-3374-B
eğiklik	147-590-B,194-2373-B
eğilim	4-2119-B,9-3095-S,27-2221-B,51-2929-B,56-3428-B,60-1044-B,100-2029-B,111-355-B,128-1428-B,135-1011-B,140-1870-B,143-3087-B,145-2576-B,147-610-B,162-898-B,192-787-B,197-2955-B
eğilimli	146-3386-B
eğiliş	46-1001-B
eğilme	61-278-B,78-428-B,100-2160-B,111-217-B,146-3402-B,163-714-B,183-2258-B
eğilmek	26-811-B,46-1089-B,48-1669-B,61-291-B,100-2176-B,111-230-B,179-2952-B,183-2272-B,189-25-B,194-2387-B,199-2788-B
eğilmez	159-2400-B
eğilmez sert	159-2415-B
eğim	17-1617-B,138-2780-B,173-966-B
eğirme	178-2842-B
eğirmen	178-2632-B
eğitici	102-3052-B
eğitim	33-2412-S,62-1687-B,104-433-B,200-776-B
eğitim ve oğretim	62-1705-B
eğitimi	90-1196-S
eğitimsel	62-1736-B
eğitme	62-1757-B
eğitmek	104-346-B,191-1725-B
eğitmen	104-364-B
eğlence	27-595-B,41-672-B,58-746-B,65-3029-B,75-1570-B,83-2582-B,110-253-B,133-2487-B,139-2133-B,151-409-B,154-943-S,154-3605-B,158-2796-B,179-1724-B
eğlenceler	106-3088-B
eğlenceli	65-2960-B,75-1305-B,83-443-B
eğlendi	58-944-S
eğlendirmek	7-793-B,65-2937-B,154-902-B,154-3621-B
eğlendirmek guldurmek	7-812-B
eğlenme	56-3048-B,122-222-B,159-1740-B
eğlenmek	49-3235-B,56-3065-B,78-2340-B,82-3071-B,106-2346-B,107-524-B,107-607-B,107-2317-B,110-267-B,110-1326-B,122-236-B,139-2147-B,154-924-B,159-1758-B,165-80-B,179-1739-B,196-1533-B
eğlenmek mest olmak	158-2811-B
eğlenti	58-2009-B,106-1821-B,110-282-B,120-176-B,158-2890-B,159-2923-B,179-2776-B
eğleşmek	113-1417-B
eğme	17-911-B
eğmek	17-769-B,17-804-S,21-1455-B,26-825-B,40-1651-B,46-1104-B,48-1686-B,78-339-B,97-90-B,100-2193-B,102-2578-B,140-1882-B,183-2287-B,189-39-B,194-2401-B
eğmez	101-3818-S
eğri	17-1628-B,31-1715-B,46-1117-B,128-1444-B,172-2982-B,203-195-B
eğri meyilli	128-1458-B
eğri yan ters	13-2881-B
eğrice	140-1214-B
eğrili	46-1183-B
eğrilik	9-3601-B,27-2234-B,46-1020-B,78-495-B,195-501-B,208-1378-B
eğrilme	46-1039-B
eğrilmek	208-1392-B,211-2601-B
eğriltmek	172-2993-B
eğrim	211-273-B
eş	33-2465-B,35-2877-B,39-1342-B,59-1193-B,59-1317-B,61-1400-B,61-1500-B,66-1815-B,74-3059-B,118-155-B,118-418-B,121-2555-B,133-2359-B,179-2328-B,211-1589-B
eş arkadaş evlenmek	118-427-B
eş ortaklık	35-2844-S
eşanlamlı	189-2550-B
eşarp	13-3175-B,108-455-B
eşek	11-1360-B,53-1281-B,59-646-B
eşeklik	114-2628-B
eşelemek	89-2042-B,165-1225-B
eşey	168-2248-B
eşeysiz	11-620-B
eşhas	27-2248-B
eşik	171-2679-B,182-1875-B,194-270-B,205-1359-B
eşit	33-2477-B,35-310-B,66-1825-B,66-2596-B,67-3247-B,112-1973-B,163-2146-B
eşit olmayan	201-3218-B
eşitlemek	66-1916-B,66-2067-B
eşitlik	66-2613-B,67-3258-B,95-2150-B,132-2748-B,133-946-B
eşitlik adalet	66-2494-B
eşitsiz	201-3240-B
eşitsizlik	56-1869-B,102-572-B
eşkenar	66-2173-B
eşkenar dortgen	115-519-B
eşkıya	22-11-B,22-2266-B,194-1220-B
eşlemek	118-165-B,118-454-B
eşlik	35-3004-B,35-3088-B
eşsiz	35-3295-B,100-2682-B,103-176-B,118-337-B,127-538-B,129-2005-B,172-1438-B,187-2668-B,202-904-B
eşya	35-1541-B,35-1557-S,83-648-B,83-700-B,84-1611-B,119-2781-S,193-2100-B
eşya giyim vites	84-1622-B
eşyası	14-1099-S
faal	3-607-B,5-477-S,5-2521-B,24-2329-B,61-2643-B,65-585-B,86-2260-B,91-1795-B,113-1901-B,120-2159-B,130-141-B,150-2409-B,161-1023-B,184-2279-B
faal canlı	22-2915-B
faaliyet	3-425-B,3-797-B,4-3165-B,65-683-B,139-2162-B
faaliyet telaş	24-2257-B
fabl	71-2261-B
fabrika	67-1607-B,72-86-B,103-3369-B,120-2377-B,139-1518-B,170-1633-B
fabrika dikmek kurmak	139-1459-S
fabrikası	22-1894-S
fabrikator	145-3375-B
faceta	17-2739-B
facia	27-3130-S,196-2241-B
fahiş	44-1135-B
fahişe	42-3271-B,59-2628-B,91-2778-B,97-999-B,106-1653-B,122-1742-B,147-2473-B,184-2047-B,185-1358-B,211-1109-B
fahişelik	91-2807-B,211-1136-B
fahrenhayt	72-445-B
faik	143-3146-B,187-2585-B,196-2999-B,197-21-B
faikıyet	68-2403-B
fail	3-619-B,4-3181-B,4-3285-B
faiz	104-3033-B,158-2418-B
faizci	122-2117-B
fakat	5-1835-B,96-2023-B
fakih	26-630-B
fakir	10-655-B,72-1852-B,98-3055-B,101-2549-B,126-50-B,141-1747-B
fakirleştirmek	99-1840-B
fakirlik	142-2592-B,208-183-B
faksimile	71-3077-B
fakulte	72-153-B,72-278-S
fal	13-244-B
falan	176-1622-B
falcı	58-1184-B,208-950-B
falso	19-2902-B
familya	197-3381-B
fanfar	73-1364-B,78-2050-B
fani	123-957-B,136-1655-B,197-467-B,197-700-B
fanila	201-2032-B
fantezi	71-1389-B
fanus	109-2601-B
far	92-2336-B
faraziye	97-1683-B
faraş	61-2123-B
farbala	78-1913-B,82-853-B,161-2608-B,204-876-B
farekulağı	130-2004-B,138-1389-B
fark	40-2273-B,53-1895-B,56-1891-B,57-2636-B,58-873-B,58-1569-B,118-1277-B,129-183-S
fark etmek	55-259-S
farklı	53-2025-B,55-3043-B,56-1851-B,57-1135-B,57-2500-B,202-1542-B,204-2121-B,204-2346-B
farklı ayrı	57-2517-B
farklılaşmak	53-2069-B
farklılık	57-1154-B,102-595-B,204-2231-B
farklılık ayrılık	55-2936-B
farksız	101-2467-B,146-2893-B
farkına varmak	127-1747-B,135-2933-B
farkına varmak gormek	16-2606-B
farkında olmak	13-2510-S
farmakoloji	137-2010-B
farmason	117-2292-B
fars	73-1556-B
farz	11-3020-B,38-1937-B,128-1186-B,144-2207-B
farz etmek	188-478-B
fasih	78-2802-B
fasile	73-624-B
fasit	134-2639-B
fasla	1-2034-B
fasulye	16-715-B
fasıl	10-2439-B,20-1976-B,29-1951-B,166-1641-B
fasıla	22-492-B,28-3310-B,55-1896-B,57-1869-B,83-2956-B,94-1030-B,104-3745-B,105-321-B,105-568-B,115-1086-B,133-899-B,134-1807-B,177-2018-B,198-2308-B,204-41-B
fasıla sure	105-585-B
fasılalı	55-1984-B,104-3766-B
fasılasız	28-1611-B,100-1530-B,176-578-B,195-1255-B
fatalizm	73-3052-B
fatih	206-688-B
fatura	18-454-B,105-3082-B
faul	81-29-B
fayans	64-2412-B,72-467-B
fayda	13-1497-B,17-1308-B,62-2689-B,83-1932-B,87-510-B,146-961-B,168-143-B,203-2986-B
faydacıl	203-2964-B
faydalanmak	26-2071-B,120-2263-B,190-1165-B,199-2802-B
faydalı	4-629-B,13-1509-B,17-1267-B,87-521-B,93-3053-B,163-1845-B,168-332-B,213-2259-B
faydasız	82-2147-B,102-395-B,102-455-B,127-2593-B,131-101-B,146-1098-B,202-1981-B,203-2687-B,204-712-B,207-805-B
fayton	33-1469-B,137-1840-B
faz	137-2099-B
fazilet	68-2424-B,87-924-B,87-1984-B,120-47-S,120-68-B,206-2222-B
faziletli	68-2488-B
fazla	17-2681-B,39-109-B,52-3574-B,68-2792-B,68-3542-B,70-1136-B,71-683-B,88-2183-B,93-1354-B,123-1313-S,124-211-B,131-1477-B,140-1804-B,177-2478-B,187-2299-B,187-2687-B,187-2822-B,188-1649-B,195-2233-B
fazla buyuk	131-2494-B
fazla daha ote ayrıca	83-917-S
fazla onem vermek	131-2204-B
fazla para cekmek	131-1792-B
fazla tahmin etmek	131-1844-B
fazlalık	68-2805-B,68-3560-B,101-230-B,131-621-B,131-2185-B,131-2551-B,140-456-B,154-1708-B
faşist	73-2230-B
fecir	13-375-B,47-1897-B
feda etmek	162-2847-B
fedakar	6-1858-B
fedakarlık	162-2908-S
federasyon	74-2245-B
federatif	74-2207-B
felaket	14-2516-B,25-1126-B,27-3156-B,46-731-B,54-3431-B,73-3109-B,88-2841-B,91-2827-B,121-1119-B,121-2086-B,158-3494-B,196-2255-B
felaket afet	25-1104-B
felaket facia	27-3130-B
felc	8-2451-B,8-2480-S,132-1879-B
felcli	133-241-B
felsefe	137-2387-B
feminist	75-223-B
fen	164-2988-B
fena	6-3468-B,7-2492-B,49-2537-B,68-785-B,91-2906-B,97-3019-B,118-2187-B,125-1283-S,125-1951-B,126-89-B,127-2296-B,141-1758-B,141-1828-S
fenalaşma	52-1942-B
fenalaşmak	52-1850-B,72-2184-B,213-1967-B
fenalık	68-795-B
fenalık kotuluk	68-809-B
fener	16-405-B,77-1454-B,109-2615-B,137-2072-B
fener kulesi	112-1740-B
feneri	16-418-S
fenik	137-1826-B
fenni	164-3064-B,191-2115-B
fenomen	137-2198-B
feragat	1-1025-B,50-839-B,50-2529-B,55-1159-B,155-3020-B,156-246-B,188-1779-S,197-158-B,207-2386-B
ferah	35-1448-B,113-1605-B,211-1328-B
ferah kolaylık	62-240-S
ferahlama	155-2626-B
ferahlamak	160-214-B
ferahlatmak	65-1908-B
ferahlık	112-998-B
feraset	3-1056-B,12-171-B,55-360-B,135-1413-B
ferasetli	163-845-B,212-882-B
ferda	123-867-B
ferdi	101-3379-B
ferdiyet	101-3650-B,136-3368-B
ferdiyetcilik	101-3574-B
feribot	75-868-B
ferman	62-1424-B,116-2777-B,214-336-B
fermantasyon	75-633-B
ferment	66-1058-B
fermuar	214-2690-B
fersah	111-86-B
fert	101-3396-B,136-3153-B,202-1027-B
fert kimse	101-3331-S
feryat	36-1047-B,45-1335-B,109-1631-B,139-888-B,165-1576-B,170-2413-B,170-2993-B
feryat etmek	207-2222-B
ferz	150-1826-B
fes rengi	44-1328-B
fesahat	71-2909-B,78-2751-B
fesat	1-3155-B,42-29-B,51-32-B,58-93-B,121-1493-S,140-661-B,166-2389-B,172-1661-B
fesatcı	71-3325-B,76-2423-B,100-1219-B
feshetmek	1-1162-B,1-1864-B,7-2835-B,13-2234-B,18-2718-B,150-1564-B,153-1882-B,156-2088-B,157-1662-B,158-3511-B,159-362-B,168-934-B,204-163-B,208-1771-B
fesih	7-2933-B,156-2105-B,157-1699-B,159-328-B
fesleğen	15-2079-B
festival	75-1453-B,75-1589-B
fethetmek	38-2825-B,154-1548-B,186-637-B,211-2407-B
fethetmek zaptetmek	38-2843-B
fetih	38-2871-B
feveran	131-367-B,131-433-B,133-1210-B
fevkalade	68-2684-B,71-1126-B
feza	177-2032-B
fezleke	53-2698-B,154-608-B
fidan	194-2330-B
fidanlık	128-183-S,139-1652-B
fide	168-948-B
fidelik	166-2730-B
fidye	152-566-B
fifre	75-3267-B
figan	109-1650-B,139-902-B
fihrist	101-1864-B,113-848-B
fiil	3-280-B,3-441-B,3-815-B,48-3010-B,62-1996-B,64-2115-B,129-2869-B,136-924-B,139-2176-B
fiilen	206-2207-B
fikir	37-382-B,37-418-B,51-2375-B,59-2505-B,67-2067-B,97-1956-B,98-771-B,120-2879-B,127-1933-B,128-2380-B,130-302-B,139-1064-B,141-3241-B,153-1059-B,167-1272-B,171-1670-B,193-2202-B,193-2704-B,201-2229-B,207-612-B,212-1255-B
fikir adamı	94-1527-B
fikir goruş gebe kalma	37-435-B
fikir oğut	42-1332-S
fikirsiz	206-874-B
fil	25-1662-B
filbahri	32-1681-B
fildişi	106-1454-B
file	76-857-B
fileto	76-868-B,76-1043-B
filigran	209-287-B
filika	20-435-B
filiskin	135-1803-B
filistinli	137-2286-B
filiz	24-1091-B,24-2844-B,170-1436-B,179-2822-B,180-291-B
filizlenmek	85-235-B
film	26-2452-S
filo	180-884-B
filoloji	137-2348-B
filozof	137-2367-B
filtre	76-1146-B,110-2469-B
filum	137-2949-B
filvaki	199-232-B,205-1588-B
final	76-1353-B
finalist	76-1412-B
fincan	45-2870-B,104-1028-B
fincan tabağı	164-656-B
firar	67-375-B,78-611-B
firar kacış basamak	78-736-S
fire	208-2159-B
firkete	90-2199-B
firma	6-2058-B,76-2669-B,76-2729-S
firma ortaklık	37-582-B
firuze	200-620-B
fiske	19-1263-B,76-1101-B,77-315-S,78-529-B,78-1027-B,134-694-B
fitil	52-2765-B,83-1177-B
fitillemek	168-957-B
fitlemek	191-1303-B
fitne	25-339-B,166-2404-B
fitneci	71-3344-B,166-2441-B
fiyaka	19-174-B
fiyasko	75-2262-B
fiyat	29-2720-B,42-539-B,46-1708-B,46-3124-B,69-3580-B,76-377-B,144-3166-B,152-1336-B
fiyat maliyet zarar	42-550-B
fiyat ucret	152-1347-B
fiyonk	21-1466-B
fiziksel	137-2996-B
fizyonomi	137-3047-B
fiş	42-1762-B,80-1316-B,190-650-B
fişek	27-1417-B
fişeklik	27-1379-B
fişlemek	26-2979-B
flebit	137-2406-B
flit	78-1143-B
flora	78-1803-B
florin	78-1833-B
flort etmek	78-1071-B,137-2235-B
flort yapmak	78-1090-B
floş	78-1866-B
fobi	137-2505-B
fodra	185-2239-B
fok	165-3183-B
folklor	79-1574-B
fon	83-90-B,83-99-S
fondan	79-1958-B
fonem	137-2550-B
fonetik	137-2564-B
fonksiyon	82-3104-B
fonograf	87-2995-B
fonoloji	137-2598-B
forma	171-2086-B
formalite	80-1660-B
formasyon	80-1751-B
formol	80-1596-B
forum	80-3056-B
fosfat	137-2660-B
fosfor	137-2677-B
fosil	80-3248-B
fotojenik	137-2720-B
fotokimya	137-2695-B
fotomontaj	122-2964-B
fotosentez	137-2845-B
fotoğraf	15-2602-B,137-2741-B,170-2167-B,183-313-B
fotoğrafcı	137-2762-B
fotoğrafcılık	137-2789-B
fotr	75-187-B
frak	82-1279-B
frank	81-1622-B
frapan	77-2050-B
fren	21-2347-B,30-857-B,45-3091-B
frengi	142-3136-B
frenk	81-1684-B
frenlemek	21-2358-B,198-428-B
frenoloji	137-2928-B
fresk	81-2889-B
freze	161-1234-B
friksiyon	82-385-B
fruktoz	82-1896-B
fuar	72-1018-B
fuhuş	147-2492-B,211-1156-B
ful	189-2714-B
fulya	46-2626-B,107-773-B,125-812-B
funda	93-986-B,171-292-B
fundalık	23-973-B,93-998-B,165-2241-B,171-343-B
funya	52-2781-B
fusun	49-3253-B
futbol	175-1525-B
fıcı	15-1458-B,27-1884-B
fıcı dipcik	24-2635-B
fıcı varil	27-1897-B
fıcılamak	199-1531-B
fıkra	7-1662-B,10-2454-B,34-1818-B,92-1902-B,106-1239-B,125-942-B,125-993-B,132-2985-B,133-2945-B
fıkırdamak	24-694-B
fıkırtı	24-714-B
fındık	33-1850-B,76-679-B
fındık ağacı	92-1720-B
fındık ceviz vida	128-291-B
fındıkkıran	128-315-B
fırca	23-989-B
fırcalama	165-2257-B
fırcalamak	23-1003-B,61-2007-B,165-2275-B
fırcası	90-2154-S
fırdondu	204-1559-B
fırfır	82-867-B,161-2623-B
fırka	111-1398-B,166-1586-B,171-1314-B
fırlak	163-1444-B
fırlama	20-1445-B,47-1314-B
fırlamak	20-1459-B,21-758-B,22-506-B,47-1240-S,78-1110-B,78-1929-B,79-650-B,86-352-B,86-2268-B,107-1893-B,111-463-B,170-1448-B,181-2218-B
fırlatma	16-2817-B,27-2260-B,47-1172-B,93-1092-B,97-494-B,146-2064-B,149-2382-B,196-312-B
fırlatmak	16-2833-B,27-2275-B,47-1187-B,47-1328-B,63-344-B,78-1126-B,97-509-B,107-1908-B,111-478-B,138-2792-S,146-1945-B,167-826-B,170-1464-B,178-2521-B,179-2968-B,194-919-B,210-1518-B,211-0-B
fırlatış	171-836-B
fırlayış	78-1947-B,107-1924-B,111-494-B
fırsat	29-1069-B,75-2850-B,111-1497-B,128-3094-B,129-2759-B,130-515-B,165-204-B
fırsat vesile sebep	128-3111-B
fırsatcı	42-43-B
fırsatcılık	130-463-B
