wafuachuma	16-2842-B
wakifisha	118-2118-B,126-284-B,150-2666-B
wakifu	33-2162-B,126-1880-B,126-3294-B
wakili	4-340-B
wakilisha	12-829-B,30-1416-B,54-2382-B,128-2268-B
wakimbiaji	134-1293-B
wakimbizi	68-842-B,126-1643-B
wakimu	154-2392-B
wakina	44-976-B,60-716-B
wakinzani	105-2158-B
wako	174-2067-B
wakombozi	92-133-B
wakomunisti	30-2181-B
wakoo	78-1746-B,144-336-B,144-2069-B
wakopeshi	37-1127-B,167-421-B
wakopi	18-1707-B
wakora	13-1363-B,132-2031-B
wakubwa	165-795-S
wakufunzi	84-3411-B
wakulima	38-1771-B
wakunguni	80-860-B
wakupuzi	77-1466-B
wakusanya	29-2767-B
wakuu	53-2603-B,75-1964-B,91-41-B,95-2546-B,118-3008-B,154-619-B
wakwe	81-2836-B
wala	79-465-B,103-668-B,104-263-B
wala riba	167-438-B
walafi	71-65-B
walahi	82-2088-B,124-2515-B
walai	89-2171-B,90-2139-B
walaji	34-147-B
walakini	21-1948-B,79-478-B,103-1134-B,104-926-B
walamu	20-1389-B
walao	57-1193-B
walariba	167-455-B
walau	6-1057-B,8-962-B,57-1204-B,57-1215-B
wale	159-1318-B
walei	89-2183-B,90-2152-B
walenga	115-1543-B
walevi	5-2177-B
walezi	71-1756-B,104-1998-B,110-1534-B
wali	83-2538-B,95-840-B,131-2828-B
walii	135-248-B
walimaji	38-1791-B
walinda	42-226-B,121-1725-B
walio	136-523-B,170-1997-B,171-996-B
waliowengi	95-1407-B
walisha	23-2035-B,62-1278-B
walizi	37-1526-B
wallai	82-2102-B,124-2529-B
wamba	36-2240-B,108-945-B
wambiso	3-1212-B,3-1309-B,11-1767-B
wanaa	161-2381-B
wanaadamu	112-1998-B
wanachuo	136-1335-B
wanadi	11-3501-B
wanafiki	80-412-B
wanagenzi	8-3153-B,15-742-B
wanaharamu	14-309-B
wanahewa	113-2033-B
wanajeshi	145-2395-B
wanajimu	11-1081-B
wanakijiji	168-2172-B
wanakondoo	89-2234-B
wanamaji	135-203-B
wanamapinduzi	131-2318-B
wanambuzi	88-1939-B
wanamgambo	98-2626-B
wanamichezo	11-1426-B,31-838-B,114-2437-B,148-44-B
wanamuziki	101-2781-B
wanamwali	70-1478-B,95-852-B,168-2788-B
wanamwari	70-1493-B,95-869-B,168-2805-B
wananchi	27-2192-B
wanariadha	11-1446-B,148-66-B
wanasisimu	93-20-B
wanaume	98-147-B
wanda	63-1863-B,114-787-B,114-2627-B,148-1653-B
wandani	30-2424-B
wanenaji	71-1532-B,107-684-B
wanenea	4-356-B,37-2007-B,42-243-B,106-2210-B,114-2778-B,120-2999-B
wang ariza	146-827-B
wanga	10-888-B,22-478-B,33-1430-B,36-1058-B,39-1018-B,79-2752-B,83-2853-B,149-1028-B,173-2840-B
wangafu	20-481-B,27-3165-B,28-1576-B,47-1013-B,70-2772-B,85-1312-B,111-1132-B,123-2704-B,123-2721-B,162-394-B
wangavu	20-500-B,27-3181-B,28-1594-B,47-1033-B,70-2785-B,85-1333-B,111-1152-B,123-2738-B,123-2755-B,162-415-B
wangi	96-314-B
wangoja	138-3296-B,169-1213-B
wangu	99-73-B,102-218-B
wangurumizi	73-861-B
wangwa	44-1316-B,170-411-B,172-765-B
wania	44-1719-B
wanja	8-190-B,89-1363-B,96-1358-B
wanunuzi	21-2292-B
wanyakuzi	113-891-B,145-900-B
wanyama	7-634-B
wanyang anyi	132-2045-B
wanyonyaji	59-2958-B,153-1659-B
wanywa	51-1830-B
wanywaji	51-1845-B
wao	158-1916-B,158-1946-B,158-2832-B
waoka	13-187-B
waokaji	13-199-B
waokosi	63-1553-B,113-821-B
waombezi	4-373-B,114-2794-B
waombi	154-1134-B
waongeza	71-1548-B
waongofu	34-3224-B
waongozi	73-2691-B
waonyeshaji	59-438-B,111-2453-B
waosha	169-2594-B
waoshaji	169-2608-B
waozi	106-385-B
wapagazi	14-1593-B,23-2563-B,116-950-B
wapaji	50-2564-B,70-1712-B
wapakazi	114-2052-B
wapakizi	141-513-B
wapamba	41-1882-B
wapambaji	41-1900-B,165-2206-B
wapambi	41-1920-B
wapangaji	114-1492-B
wapanzi	114-1728-B,146-1932-B
waparuzi	21-555-B,80-876-B
wapatanishi	110-2836-B,125-2506-B
wapayukaji	26-150-B
wapelekwa	98-1269-B,99-2323-B
wapelelezaji	53-47-B,86-3057-B,97-1744-B
wapelelezi	86-3083-B,148-1390-B
wapenyezi	145-207-B,161-2395-B
wapenzi	19-112-B,40-1608-B,70-1596-B,94-1030-B
wapevu	3-2671-B
wapiga ngumi	18-2670-B
wapigaji	77-1482-B
wapima	97-1471-B
wapinduzi	131-2346-B
wapingani	105-2183-B
wapinzani	106-2227-B
wapo	70-1228-B
waponyi	113-607-B
wapotezi	147-2498-B
wapuzi	65-2286-B
wapyoro	80-431-B,91-2597-B
waraka	24-3043-B,50-1957-B,56-1021-B
wardi	133-593-B
warehani	14-26-B
warembo	167-2123-B
wargi	86-1013-B
wari	167-2089-B,167-2100-B,174-1228-B,174-1238-B
waria	88-385-B,173-1225-B,173-1238-B
waridi	133-604-B
warithi	76-708-B
warsha	173-1394-B,173-1410-B
warugaruga	73-2221-B,115-1327-B,132-2065-B
wasa	51-2436-B,66-425-B,120-17-B,169-2108-B
wasaa	91-1483-B,106-2572-B,133-299-B,146-1959-B,160-996-B
washa	79-2764-B,87-1356-B,88-2355-B,92-951-B,144-2267-B,149-1394-B,150-1649-B
washamba	18-1177-B,94-826-B
washerati	3-2960-B,40-2220-B,80-2873-B,119-2942-B
washirika	11-0-B
wasi	48-1888-B,48-1906-B,76-2621-B,85-691-B,102-116-B,125-658-B
wasia	172-913-B
wasifu	16-1529-B,16-1546-B,44-1027-B,44-1064-B,44-1083-B,56-1036-B,56-1051-B,59-2212-B,59-2583-B,130-2753-B,130-2767-B
wasikwao	36-616-B,167-1582-B,169-1509-B
wasili	8-1913-B,10-194-B,82-772-B,124-2076-B,125-1092-B
wasiliana	30-1960-B
wasimamizi	154-564-B
wasiri	32-2240-B
wasiwasi	8-838-B,8-855-B,33-835-B,37-1898-B,50-3060-B,50-3075-B,87-82-B,112-1000-B,137-1200-B,165-664-B,167-1305-B,173-1934-B,173-1949-B
wasomi	85-849-B
wastani	1-1314-B,9-879-B,12-1356-B,97-736-B,97-2280-B,100-717-B,149-821-B,149-838-B
wataawa	127-2029-B
watabibu	113-625-B
watani	16-1920-B,61-2155-B,77-2625-B
watawa	127-2047-B
watendaji	58-2952-B,98-2498-B
watesaji	112-1416-B,161-281-B
watoro	134-1209-B
watu	116-455-S
watu wa siasa	115-2537-B
watumiaji	119-1922-B
watumishi	73-2706-S,73-2740-S
watwana	124-1396-B
wauaji	88-2097-B,101-2545-B
wauguzi	107-1227-B
wauza	161-1569-B
wauzaji	161-1582-B
wavu	103-924-B
wawa	21-984-B,87-1368-B,105-2847-B,144-2280-B
wawakilishi	128-2616-B
wawia	37-1146-B
wawili	164-2635-B
wawindwa	118-2276-B
waya	172-2008-B,172-2018-B
wayawaya	148-2913-B,167-1202-B
wayo	145-2467-B
wayowayo	82-2037-B,148-3066-B
waza	11-368-B,33-1412-B,33-2692-B,80-1911-B,97-2145-B,116-119-B,126-1053-B,154-2451-B,159-889-B
wazalia	102-1396-B
wazao	26-2591-B,106-482-B
wazawa	83-2254-B,102-1411-B
wazi	22-1987-B,28-1403-B,28-1505-S,54-2532-B,57-2268-B,67-1308-B,105-2384-B,106-1560-B,106-1784-S,108-979-B,114-799-B,143-274-B
wazi wazi	28-1505-B,106-1784-B
wazimu	43-819-B,74-983-B,84-430-B,95-288-B,95-2820-B
wazira	99-328-B
waziri	99-297-B,149-2074-B
wazisha	116-132-B
waziwazi	22-1999-B,28-1414-B,67-1319-B,106-1570-B,108-990-B,114-810-B,143-287-B
wazo	159-1537-B
we	174-1822-B
wea	4-646-B,31-3557-B,153-2745-B
wee	174-1829-B
wehu	84-446-B,94-2001-B,95-168-B,95-303-B
weka	42-462-B,42-2553-B,43-2490-B,56-2933-B,67-558-B,84-2298-B,86-1354-B,88-1558-B,88-1569-B,106-1524-B,114-379-B,122-2711-B,129-2413-B,135-2894-B,139-2088-B
weka akiba	135-2905-B
weka rahani	101-158-B,110-2119-B
weka rangi	30-35-B,108-2409-B
weka rehani	101-180-B,110-2137-B,138-309-B
weka rimende	9-3058-B
weka rumande	9-3079-B
weka rumenda	9-3100-B
weka tayari	68-2118-B,121-2559-B
wekevu	53-372-B,68-460-B,99-1432-B,159-2246-B,159-2281-B
weko	111-245-B,128-2252-B,149-760-B
wekua	19-1570-B,45-242-B
weledi	3-1062-B,10-966-B,28-1840-B,85-869-B,143-1612-B,143-1717-B
weleka	23-2731-B
welfeya	121-584-B,171-415-B
wema	58-576-B,71-961-B,88-2809-B
wembamba	42-2973-B,144-749-B,159-701-B,159-901-B
wembe	89-736-B,124-1973-B
wendelezo	34-1660-B,147-869-B
wenga	48-1116-B,126-1895-B,127-0-B
wengi	96-325-B
wengine	107-2975-B
weni	114-1616-B
wenu	174-2077-B
wenye	172-2509-B
wenyeduka	141-1398-B
wenyekiti wenyeviti	25-477-B
wenyeviti	25-477-S
wenyewe	87-1486-B
wenzi	30-2642-B,67-2436-B,145-1903-B
wepesi	52-2419-B,75-1191-B,92-1251-B,123-1597-B,147-724-B
weredi	28-2021-B,143-1625-B
werevu	3-475-B,3-563-B,3-2551-B,28-2039-B,38-2296-B,40-2774-B,85-1354-B,111-1172-B,141-2835-B
wetu	107-3141-B
weuo	98-435-B
weupe	20-519-B,83-2089-B,83-3238-B,92-1268-B,108-2572-B,108-2681-B,142-2970-B,171-2714-B
weusi	16-2787-B,40-768-B,70-2374-B
weye	174-1837-B
weza	14-1471-B,22-1676-B,41-2651-B,55-713-B,108-609-B,108-871-B,108-1228-B
wezesha	12-850-B,54-2401-B,54-2592-B
wi	12-2722-B,57-2375-B
wia	138-1103-B
wiana	13-241-B,91-2249-B,96-2420-B,108-1260-B,129-2143-B
wianisha	96-2433-B
wiano	127-333-B,142-2609-B
wifi	143-898-B
wika	38-0-B
wiki	170-2739-B
wikiendi	170-2749-B
wili	164-2570-B
will set at seven o clock tonight	89-2675-S
wima	78-564-B,116-1798-B,120-1990-B,151-513-B,154-2363-B,166-1801-B,166-1891-B,168-838-B
wimbaji	143-437-B
wimbi	170-1151-B
wimbo	146-333-B
winchi	37-203-B,172-1217-B,172-1230-B,172-1518-B
winda	25-2813-B,45-3179-B,45-3192-B,79-2068-B,102-725-B,102-738-B,102-779-B,102-791-B,122-2325-B,137-1844-B
windows	172-1647-B
winga	59-1341-B
wingi	1-2273-B,5-2729-B,11-275-B,95-1427-B,101-1732-B,106-1251-B,107-1915-B,115-659-B,115-1409-B,123-173-B,172-1787-B
wingu	29-235-B
winja	171-2543-B
winji	37-216-B,172-1243-B,172-1534-B
wino	83-3095-B,83-3104-B
wino wa ngisi	139-595-B,139-615-B
winzani	170-2873-B,171-70-B
wishes	172-2259-B
wishwa	19-720-B,19-732-B,25-239-B,25-252-B
wiswa	19-744-B,25-265-B
wito	24-384-B,34-431-B,83-754-B,100-1838-B
wiva	132-917-B
wivi	21-769-B,132-2192-B,149-2927-B,158-1820-B
wivu	56-853-B,87-1905-B,87-2039-B,87-2053-B,95-1980-B,147-1718-B
wizani	170-2890-B,171-85-B
wizara	99-344-B,99-360-B
wizi	21-783-B,132-2205-B,149-2941-B,158-1831-B
woga	36-2795-B,62-590-B,62-600-B,67-2744-B,67-2756-B,103-807-B,122-2631-B,136-824-B,142-668-B,160-1101-B
woki	78-657-B
wokofu	43-442-B,129-1601-B,135-1106-B
wokovu	43-461-B,129-1615-B,135-1123-B
wokozi	43-480-B,129-1629-B,135-1140-B,135-2998-B
wolframi	164-928-B
wongo	41-82-B,41-898-B,43-835-B,49-1067-B,60-3072-B,67-1646-B,80-1789-B,92-737-B,94-2487-B,118-1676-B,166-1187-B,166-1273-B
wongofu	34-3124-B,36-40-B,60-2504-B,78-577-B,88-1343-B,88-1414-B,132-509-B,132-583-B,166-1908-B
wonyeshano	43-1530-B,59-394-B,141-2678-B
word lists	91-2413-S
worodha	16-1455-B,86-2304-B,86-3427-B,93-516-B,119-3184-B,126-2282-B
wororo	145-136-B,157-3021-B
wosia	30-1565-B,46-2726-B,84-2899-B,107-819-B,172-924-B
wote	57-1624-B
woto	45-2159-B,73-1124-B,167-2844-B,169-1886-B,169-1987-B
wounds	173-2961-B
wozo	36-562-B,40-2545-B,41-1353-B,41-1470-B,45-1175-B,122-2740-B,134-54-B
wusia	172-935-B
y	6-236-S
ya	1-1192-S,1-1218-S,1-1351-S,4-1165-S,4-1193-S,4-2869-S,6-354-S,6-2057-S,8-1024-S,15-440-S,15-456-S,15-1156-S,15-1640-S,15-2818-S,16-512-S,21-2440-B,32-107-S,58-737-S,58-2251-S,92-1609-S,105-3046-B,106-1151-S,129-1916-S,166-1741-S,173-47-S,173-65-S
ya abiria	21-1225-S
ya barafu	126-1452-S
ya chini	79-911-S,100-1013-S
ya chokaa	92-2037-S
ya damu	20-1629-S,34-2611-S
ya damu ya mzee	20-1547-S
ya farasi	30-98-S,65-1051-S
ya hewa	170-2459-S,170-2480-S
ya hivyo	100-2981-S,103-1060-S
ya kaule	52-2167-S
ya kibeberu	46-62-S
ya kibiriti	96-2544-S
ya kimbizi	161-361-S
ya kinyamkela	171-2037-S
ya kkuata	141-1866-S
ya kuiga	3-253-S,3-288-S,3-321-S,3-357-S
ya kujumlisha	156-1019-S
ya kukata	141-1842-S
ya kupaka	106-652-S,135-1157-S
ya kupura	164-419-S
ya kuzunguka	45-1486-S,45-1511-S
ya maakuli	126-586-S
ya maji	170-880-S
ya majina	133-122-S,133-616-S
ya maombolezo	89-2366-S
ya mataifa	85-3333-S
ya maua	18-2040-S
ya mavazi	61-1192-S,152-2925-S
ya mbuzi	88-1920-S
ya mdomo	93-241-S
ya meno	160-2286-S
ya mtu	70-651-S,70-672-S,70-697-S
ya mvua	29-247-S
ya mwaka	137-2160-S
ya mzee	20-1547-S
ya ndege	26-1966-S
ya ndevu	14-1517-S
ya ndovu	87-1531-S
ya ng ombe	15-200-S,22-685-S,22-722-S
ya nguvu	46-96-S
ya noti	136-240-S
ya nyuki	15-333-S,78-605-S,78-746-S,78-826-S
ya nyuma	4-1208-S
ya nywele	29-1873-S,74-810-S
ya pili	65-1791-B,103-1446-B,137-2578-B
ya pua	104-473-S
ya pumuzi	108-1316-S
ya pumzi	108-1338-S
ya rangi	20-858-S,99-1046-S
ya reli	124-272-S
ya sabuni	90-1336-S,153-1898-S
ya udongo	20-1575-S
ya ujambazi	159-2331-S
ya umeme	53-2741-S
ya uso	26-1217-S,66-1163-S,157-2532-S
ya uzalishi	16-1858-S
ya watumishi	73-2706-S
yabis	46-824-B,52-423-B,83-1148-B,132-601-B,133-2068-B,150-1214-B
yabisi	46-840-B,52-433-B,74-2923-B,83-1165-B,132-613-B,133-2079-B,150-1226-B
yadi	174-1248-B,174-1258-B
yahe	20-1309-B,123-2612-B
yai	53-1980-B
yaika	49-1170-B,65-540-B,93-265-B,97-2875-B
yakama	95-1442-B,123-2494-B,134-1350-B
yake	1-1294-S,9-828-S,75-15-S,76-1805-B,77-1153-B,87-1468-B,172-960-S
yakini	3-426-B,24-2890-B,42-1403-B,42-1528-B,42-1593-B,164-283-B
yakinia	41-1019-B
yako	174-2087-B
yakuti	133-1851-B
yakuwa	158-1727-B
yale	158-1739-B,159-1329-B
yaliyotangulia	117-1081-B,117-1936-B,120-447-B
yambo	159-739-B
yamkini	57-1460-B,92-1490-B,111-2903-B,116-1524-B,119-587-B
yana	75-960-B,75-1767-B
yangu	99-84-B,102-227-B,112-2265-S
yao	158-1926-B
yapata	1-1328-B,9-901-B,97-591-B,111-2919-B
yapi	171-1578-B
yard	174-1268-B
yasimini	87-1802-B
yatima	107-2650-B
yaya	12-2212-B,102-641-B,104-2011-B
yayuka	49-1186-B,65-552-B,93-280-B,97-2887-B
ye	171-1589-B,171-2836-B
yee	75-1901-B,87-1310-B,140-1941-B
yenu	174-2097-B
yenye	172-2520-B
yenye vipande vya kupigwa kwa vidole	88-1770-B
yenyewe	87-1501-B
yetu	107-3150-B
yeyuka	49-1203-B,65-565-B,93-296-B,97-2900-B
yitebi	174-2309-B
yitri	174-2326-B
yo	171-1598-B
yonga	148-2931-B,155-1355-B,155-2810-B
yongayonga	148-2946-B,155-1367-B,155-2823-B
yote	5-2445-B
you	174-1846-B
yowe	137-567-B
yoyoma	47-463-B
yu	158-1749-B
yua	169-1241-B,173-270-B
yuayua	93-2320-B,132-1454-B
yuga	148-2966-B,155-1384-B,155-2841-B
yugayuga	148-2980-B,155-1395-B,155-2853-B
yumba	133-93-B,148-2998-B,155-1410-B,167-1163-B
yumbayumba	133-105-B,148-3013-B,155-1422-B,167-1180-B
yumkini	57-1480-B,92-1505-B,111-2934-B,116-1544-B,119-607-B
yunifomu	165-3094-B
yupi	171-1607-B
yuranimu	166-2245-B
yusi	174-2206-B
yuzi	174-2217-B
za	105-3052-B,171-1369-S
za abiria	21-1247-S
za barafu	126-1483-S
za kale	8-324-S,66-2674-S
za kaule	52-2195-S
za kibiriti	96-2568-S
za kitanda	14-2732-S
za kukata	141-1890-S
za kupaka	106-676-S,135-1178-S
za kuzunguka	45-1536-S
za majina	133-144-S,133-640-S
za maombelezo	89-2398-S
