ukabaila	62-2539-B,81-1134-B,120-539-B
ukiri	2-309-B,3-2066-B,9-461-B,10-2474-B,32-1937-B,125-1678-B
ukiuaji	162-0-B
ukiwa	1-97-B,1-115-B,15-2717-B,44-2217-B,44-2234-B,45-559-B,45-1755-B,49-2240-B,93-2372-B,116-2799-B,145-2644-B,145-2782-B,169-1732-B
ukiziwi	40-1477-B
ukoa	15-1764-B
ukodishaji	128-1105-B,128-1133-B
ukoga	2-1551-B,17-1060-B,43-2607-B,92-331-B,98-2421-B,100-1815-B,156-2875-B
ukoka	12-1823-B,49-1519-B,63-1751-B
ukoloni	29-3072-B
ukoma	91-1948-B
ukomba	28-421-B,147-2917-B,156-2009-B
ukombe	28-433-B,147-2930-B,156-2022-B
ukombo	39-492-B
ukomboleo	43-341-B,63-1762-B,126-74-B,129-1525-B,135-1032-B
ukomboo	43-363-B,63-1777-B,124-1057-B,126-95-B,129-1542-B,135-1052-B
ukombozi	43-383-B,63-1790-B,92-94-B,124-1072-B,126-114-B,129-1557-B,135-1070-B
ukomeshaji	1-1046-B,39-237-B,151-27-B,158-474-B
ukoministi	30-2096-B
ukomo	40-1689-B,47-1736-B,55-210-B,63-1344-B,71-522-B,158-497-B
ukomunisti	30-2117-B
ukonge	62-2850-B
ukongwe	41-2219-B,62-1188-B
ukonjo	115-2064-B,132-2568-B,150-1128-B
ukono	158-66-B
ukonyezo	77-981-B
ukonzo	115-2076-B,132-2579-B,150-1141-B
ukoo	27-2834-B,44-898-B,46-3296-B,63-1187-B,92-2661-B,127-385-B,165-849-B
ukopaji	3-3091-B,37-1009-B,41-745-B,67-1543-B,93-1595-B
ukope	60-1559-B
ukopi	3-3107-B,3-3121-B,37-1024-B,37-1037-B,41-763-B,41-779-B,67-1557-B,67-1569-B,93-1608-B,93-1619-B
ukorofi	20-1985-B,29-978-B,79-0-B,95-2025-B,133-954-B,165-108-B
ukorogefu	33-687-B,48-2487-B,50-23-B,99-3035-B,99-3220-B
ukorogo	33-707-B,48-2506-B,50-45-B,99-3052-B,99-3238-B
ukosa	1-1776-B,41-3131-B,42-967-B,42-1194-B,56-1902-B,60-2280-B,61-2685-B,89-1730-B,99-2497-B,141-1703-B,169-1743-B
ukosefu	1-1790-B,41-3144-B,42-984-B,42-1208-B,56-1914-B,60-2294-B,61-2697-B,89-1741-B,99-2511-B,141-1718-B,141-1735-B,169-1754-B
ukosekanaji	1-1806-B,41-3159-B,42-1003-B,42-1224-B,56-1928-B,60-2310-B,61-2711-B,89-1754-B,99-2527-B,141-1752-B,169-1767-B
ukosekano	1-1826-B,41-3178-B,42-1026-B,42-1244-B,56-1946-B,60-2330-B,61-2729-B,89-1771-B,99-2547-B,141-1773-B,169-1784-B
ukosi	29-2468-B
ukosoaji	35-2914-B,37-2138-B
ukowo	46-3306-B,63-1198-B,165-868-B
ukuaji	45-2048-B,73-1031-B
ukubali	5-597-B,9-476-B,10-2487-B,32-888-B,32-1154-B,75-621-B,112-333-B
ukubwa	12-690-B,16-1138-B,22-2917-B,72-1344-B,81-1154-B,90-407-B,90-424-B,95-2754-B,117-370-B,118-2801-B,142-1682-B,143-1266-B,143-1278-B,169-281-B
ukucha	28-445-B,63-1893-B,160-1855-B
ukufi	74-1793-B
ukufurru	134-2197-B
ukufuru	17-436-B,83-898-B,165-444-B
ukulifu	8-1163-B,23-1718-B,83-18-B,129-3258-B,143-2244-B
ukulima	5-923-B,5-943-B,61-956-B
ukulivu	8-1178-B,23-1739-B,83-36-B,129-3278-B,143-2262-B
ukumbaji	122-2578-B
ukumbi	67-278-B,116-573-B
ukumbizi	54-473-B,122-2595-B,128-377-B
ukumbuko	98-131-B,125-2089-B
ukumbuo	13-1258-B,135-1860-B
ukumbusho	97-3049-B,100-2654-B,127-2984-B,146-1855-B
ukumbuu	13-1274-B,135-1873-B
ukumvi	19-697-B,25-214-B,80-36-B
ukunga	98-2109-B,98-2126-B
ukungu	39-2204-B,45-2579-B,99-2392-B,100-1583-B
ukunguni	80-782-B,83-54-B,90-2291-B
ukuni	63-2462-B
ukunjufu	26-1569-B,60-1293-B,69-64-B,69-2607-B
ukurasa	91-260-B,108-2157-B
ukurugenzi	91-72-B
ukuruti	2-2717-B,87-1379-B,113-2128-B,124-1423-B
ukurutu	2-2730-B,87-1392-B,113-2143-B,124-1436-B
ukuu	49-1537-B,54-1821-B,72-1361-B,154-652-B
ukuzaji	6-2290-B,38-1632-B,50-2202-B,55-2059-B,120-969-B
ukware	90-678-B,94-2313-B,138-3084-B
ukwasi	30-887-B,94-2460-B,170-2197-B
ukweli	67-1411-B,164-270-B
ukwenzi	137-523-B,141-2867-B
ulaanifu	39-2027-B
ulaanizi	39-2046-B
ulabibu	55-472-B,112-1455-B,112-1792-B,112-2878-B,152-1425-B
ulafi	71-123-B,72-1621-B
ulaga	88-2048-B
ulaghai	41-795-B,67-1581-B,81-1754-B,155-2346-B
ulaini	69-2846-B,88-2715-B,145-118-B,145-2152-B
ulainifu	69-2864-B,145-2168-B
ulainishaji	94-1376-B
ulaji	46-304-B,52-2704-B,52-2717-B,71-138-B,72-1541-B,104-1009-B,155-1031-B
ulalamishi	8-1680-B,100-51-B,114-2683-B,154-1186-B
ulalamizi	8-1698-B,100-70-B,114-2699-B,154-1210-B
ulalo	20-0-B,45-2889-B
ulanga	98-1727-B,156-1469-B
ulaya	49-2773-B
ule	158-1718-B
ulegeo	23-1760-B,55-1108-B,59-193-B,81-3104-B,90-2309-B,92-2385-B,143-2280-B,170-1846-B
ulegevu	23-1780-B,55-1126-B,59-211-B,81-3127-B,90-2325-B,92-2401-B,143-2297-B,170-1862-B
uletaji	43-516-B,154-1492-B
ulevi	5-2147-B,52-324-B,52-342-B,86-1068-B,86-1087-B,95-2808-B,170-1879-B
ulezi	125-87-B,166-1676-B
ulia	45-184-B,88-2060-B,101-2445-B
ulimaji	5-963-B,5-983-B,38-1652-B,38-1672-B,38-1692-B,61-972-B
ulimbukeni	83-564-B
ulimbwende	53-3019-B
ulimi	90-264-B
ulimi wa moto	64-1533-B
ulimwengu	173-1450-B,173-1466-B
ulinganifu	5-615-B,30-2656-B,30-2681-B,32-3022-B,56-1513-B,75-637-B,142-2550-B,156-294-B
ulinganisho	2-728-B,3-583-B,30-3061-B
ulingano	92-1694-B,142-2572-B
ulinganyifu	5-636-B,32-3044-B,56-1536-B,75-656-B,156-314-B
ulinzi	33-3750-B,34-2578-B,42-385-B,42-400-B,138-547-B,138-563-B,154-863-B,155-375-B,170-729-B
ulio	48-841-B,114-2237-B
ulishaji	62-1324-B
ulitima	49-2255-B,81-2902-B,116-2813-B,165-2530-B,165-2551-B
uliza	10-1628-B,84-16-B,86-305-B,123-998-B
ulizo	84-77-B,86-346-B,123-1129-B
ulofa	116-2829-B
ulozi	95-419-B,146-876-B,172-2371-B
ultima	49-2272-B,81-2921-B,116-2843-B,165-2572-B
uluzi	171-2608-B
ulwa	70-2669-B,78-1305-B
uma	16-2187-B,79-2800-B,150-1662-B
umaarufu	61-351-B,128-975-B,128-991-B
umahiri	28-1944-B,42-1857-B,143-1571-B,156-1225-B
umaji	39-2216-B,100-1599-B
umajimaji	39-2227-B,79-969-B,100-1614-B
umalaya	121-804-B
umalidadi	23-1108-B,53-3039-B,102-2178-B
umalizaji	32-721-B
umama	96-2799-B,101-370-B
umana	28-2606-B,63-515-B
umande	45-2590-B,65-1271-B,99-2404-B
umaridadi	4-678-B,23-1123-B,53-3058-B,102-2197-B
umasikini	49-2288-B,99-1557-B,116-2858-B
umaskini	49-2307-B,99-1574-B,116-2876-B
umathubuti	52-974-B,64-78-B,75-95-B,145-2555-B,148-2267-B
umati	10-2358-B,10-2373-B
umauma	103-1474-B
umba	37-774-B,66-2389-B,95-1560-B,140-1282-B
umbali	49-1307-B,128-99-B
umbea	71-1405-B
umbele	3-3239-B,15-512-B,16-901-B,52-1950-B,67-381-B,67-431-B,68-238-B,68-2480-B,68-2862-B,90-1223-B,118-1551-B,118-2245-B,119-3337-B,153-383-B
umbeya	38-2724-B
umbia	70-2093-B,145-1460-B
umbile	100-1826-B,124-2290-B,140-1321-B,149-2239-B
umbo	8-2134-B,20-2553-B,66-2559-B,113-676-B
umbua	36-434-B,42-1695-B,43-1593-B,43-2834-B,45-198-B,48-18-B,49-1771-B,88-2071-B,101-2991-B,105-689-B,147-2431-B,165-2319-B
ume	36-1502-B,95-1737-B,95-3022-B,96-1429-B,111-1377-B,152-749-B,168-2888-B
umeme	53-2741-S,53-2878-B,86-3675-B,92-1314-B
umhali	81-1629-B,81-1941-B
umika	38-2311-B
umilele	57-513-B,112-25-B,112-653-B
umilikaji	108-1296-B
umito	76-315-B,155-2085-B
umivu	108-2250-B,153-2276-B
umiza	79-2728-B,83-2839-B
umka	62-1853-B
umma	27-2209-B,27-2224-B,111-1578-B,116-427-B,116-441-B,116-471-B
umo	153-2292-B,161-235-B
umoja	5-658-B,5-2697-B,11-188-B,32-904-B,75-676-B,80-530-B,106-1223-B,106-1237-B,107-1722-B,143-500-B,165-3454-B,166-102-B
umomonyoko	56-1792-B
umoto	76-105-B,110-374-B,157-2231-B,169-1957-B
umotomoto	76-116-B,110-388-B,157-2249-B,169-1970-B
umri	4-1519-B,111-3020-B,160-964-B
umua	32-2831-B,149-2901-B
umuhimu	81-1172-B
umuka	62-1867-B,132-1079-B,155-1949-B
umungu	42-2208-B,50-646-B
umwagiliaji	116-2645-B
umwene	62-2558-B
umwinyi	62-2575-B,62-2593-B
unadhifu	28-908-B,102-2216-B,102-2234-B,107-1092-B,144-2409-B,144-2428-B
unafiki	49-983-B,80-322-B,80-340-B
unafki	40-2729-B
unajimu	11-1101-B,11-1136-B
unajisi	42-1337-B,44-1120-B
unda	10-2231-B,20-2528-B,33-3652-B,37-787-B,66-2400-B,95-1571-B
undani	32-2722-B,56-2670-B
uneemefu	1-2218-B,115-627-B,119-3059-B
uneemevu	1-2237-B,115-643-B,119-3078-B
unenaji	54-645-B,65-713-B,146-2666-B
unene	35-2454-B,61-2332-B,151-406-B,151-422-B,159-132-B
uneni	54-663-B,65-729-B,146-2683-B,146-2698-B,147-556-B
ung aro	20-444-B
unga	2-973-B,33-1556-B,33-2985-B,36-1046-B,56-2917-B,65-286-B,65-297-B,87-2604-B,93-84-B,97-653-B,99-2933-B,138-253-B
unga hesabu	3-645-B,161-528-B
unga mkono	154-1865-B
ungama	2-2627-B,3-2215-B,5-2906-B,31-3193-B,32-1886-B,71-2811-B,125-1956-B
ungamana	29-1829-B,85-2908-B
ungamanisha	166-0-B
ungana	30-389-B,33-1570-B,166-19-B
unganisha	30-405-B,87-2615-B,93-95-B,165-3129-B,166-33-B
ungo	98-335-S,121-3354-S,168-2873-B
ungua	45-858-B,47-1674-B,139-390-B,150-880-B
ungulia	13-147-B,21-936-B,63-2192-B
ungumu	32-2260-S,137-3013-S,155-133-S
unguza	21-950-B,25-1611-B,136-1680-B,136-1809-B,137-1717-B,143-407-B
unguzo	13-213-B,21-1039-B
ungwana	27-2438-B,53-1167-B,67-2351-B,71-1030-B,88-2731-B
ungwe	68-2374-S,68-2390-S
unika	31-1057-S,73-1267-S,116-2665-S
uniko	49-637-S,49-666-S
unong onezi	134-980-B,171-2310-B
unono	30-902-B,61-2346-B,94-2474-B,131-2849-B
ununaji	31-1148-B,47-1692-B,153-3034-B
ununo	31-1168-B,47-1715-B,153-3053-B
ununuzi	16-927-B,21-2307-B,106-124-B,118-2408-B,122-1483-B,123-2544-B
unya	26-1832-S,71-206-S,96-2116-S
unyaa	48-713-B,58-2439-B,63-1210-B,129-652-B
unyaji	57-677-B,166-2513-B
unyakuzi	43-2851-B,60-420-B,132-2127-B,138-1504-B
unyama	14-1693-B,15-2875-B,20-2003-B,29-997-B,121-1764-B,152-2603-B
unyamavu	123-1847-B,123-2007-B,142-1856-B,156-1134-B
unyang anyi	43-2872-B,60-439-B,132-2144-B,138-1521-B,167-471-B
unyanya	6-404-B,10-539-B,34-901-B,47-3347-B,47-3363-B
unyao	66-148-B,161-1157-B,161-1169-B
unyarafu	48-727-B,129-669-B
unyayo	145-2455-B
unyefu	39-2446-B,79-988-B,100-1633-B
unyege	44-2071-B,58-248-B,76-131-B,87-791-B,134-1758-B,150-1601-B,168-1491-B
unyeme	22-924-B,103-2652-B,166-2044-B
unyende	22-936-B,38-1303-B
unyenje	38-1315-B
unyenyekeo	42-565-B,79-1605-B,100-1138-B,105-887-B,130-3084-B,139-1771-B
unyenyekevu	42-586-B,79-1625-B,100-1157-B,105-913-B,130-3105-B,139-1792-B,153-224-B
unyenyevu	39-2462-B,100-1447-B
unyenyezi	65-1282-B,75-1863-B,75-1882-B,99-2416-B,167-1599-B
unyesi	54-494-B,58-2589-B
unyeti	10-557-B,31-3383-B,81-2488-B,84-1802-B,87-253-B,118-1570-B,138-3063-B,167-2499-B
unyevu	39-2481-B,79-1004-B,100-1649-B
unyimivu	99-1327-B,150-1726-B
unyofu	78-533-B,85-742-B,151-671-B,151-717-B
unyogofu	59-230-B,144-1867-B,144-1983-B,170-1894-B,170-2349-B
unyogovu	170-2368-B
unyong onyevu	59-250-B,144-1885-B,144-2005-B,170-1912-B,170-2387-B
unyonge	13-2796-B,43-3022-B,62-1207-B,62-1226-B,84-998-B,94-1285-B,97-897-B,97-2344-B,99-1590-B,116-2893-B,129-3298-B,170-1935-B,173-2655-B,174-493-B,174-514-B
unyonyaji	59-2895-B
unyoya	62-880-B,74-747-B
unyozi	13-2018-B,29-1900-B,74-771-B
unyumba	50-2224-B,79-308-B
unyumbufu	64-2590-B
unywaji	1-2082-B,16-576-B,39-2497-B,51-1862-B,79-1020-B,93-340-B,100-1665-B
uo	140-1999-B
uofisa	149-2389-B
uoga	36-2780-B,62-546-B,103-770-B,122-2612-B,142-655-B,160-1087-B
uogeleaji	14-359-B,155-2214-B
uokaji	13-227-B
uokosi	131-2584-B
uokotaji	47-2391-B,63-1597-B,131-2598-B
uokozi	43-404-B,129-1573-B,135-1089-B,135-2970-B
uombezi	8-2699-B,56-271-B,85-2740-B,112-3504-B,154-1233-B
uombi	8-2719-B,56-288-B,112-3521-B,154-1254-B
uongo	41-813-B,43-755-B,49-1005-B,61-70-B,61-170-B,67-1595-B,80-1742-B,92-673-B,92-683-B,118-1629-B,166-1215-B,166-1229-B
uongofu	34-3105-B,36-0-B,60-2472-B,78-548-B,88-1327-B,88-1397-B,132-487-B,132-547-B,166-1853-B
uongozi	73-2533-B,91-94-B,91-113-B,95-2365-B
uoni	142-1240-B
uonjaji	135-1268-B,157-191-B,158-1360-B
uonyo	169-2221-B
uoshaji	169-2639-B
uotaji	73-1045-B
uoto	73-739-B,73-1059-B
uovu	57-2365-B
uozi	170-2667-B
upaa	13-519-B,95-1628-B
upadre	118-2769-B
upagazi	172-2388-B
upaja	159-413-B
upaji	69-2492-B,70-1205-B,78-2723-B,91-2770-B
upakiaji	23-2225-B,23-2464-B,67-2166-B,93-1361-B
upakio	23-2240-B,23-2482-B,67-2183-B,93-1378-B
upakizi	23-2253-B,23-2498-B,67-2198-B,93-1393-B
upakuzi	139-1923-B
upamba	93-135-B
upambano	29-2992-B,30-3084-B,32-2986-B,47-315-B
upambanuzi	47-2819-B
upana	159-1236-B,172-455-B,172-467-B
upandaji	28-2292-B,114-1776-B
upande	9-1476-B,109-1695-B,113-1278-B,138-106-B
upandishajicheo	120-987-B
upanga	155-3157-S
upangaji	9-2906-B,114-1510-B
upanuzi	59-954-B,172-356-B
upanzi	114-1794-B
upapi	90-1297-B,152-176-B
upara	13-533-B,95-1640-B
upasi	7-2175-B,46-1616-B,163-1827-B
upataji	118-2422-B,167-2052-B
upatanisho	9-1202-B,11-1623-B,108-1375-B,125-2766-B
upatano	5-674-B,5-2712-B,33-3136-B,139-2555-B,162-2063-B,165-2053-B
upatikanaji	43-533-B,125-1072-B
upatilivu	129-201-B
upatilizo	2-2086-B,17-296-B,122-1278-B,129-220-B
upatu	71-709-B
upayukaji	82-670-B,82-823-B,82-3205-B
upekecho	7-2191-B,18-1606-B,51-1599-B,168-1507-B
upekee	93-2389-B,130-3227-B,137-2415-B,145-2797-B
upeketevu	10-574-B,34-918-B,47-3379-B
upekuzi	37-2157-B,38-2741-B,84-91-B,84-267-B,86-2890-B,137-1891-B,137-1958-B,137-1976-B
upele	113-2158-B,136-174-B
upelekaji	34-3352-B,43-554-B,162-228-B,162-251-B,162-330-B
upelekwa	99-2286-B
upelelezi	56-2506-B,86-2912-B,125-2840-B
upendezi	42-3187-B,74-2646-B
upendo	94-976-B
upenu	111-1524-B
upenyezi	19-2724-B,111-1091-B,145-341-B
upeo	8-1290-B,78-2094-B,160-2465-B
upepeo	61-693-B
upepo	172-1411-B
upesi	61-1387-B,75-1152-B,123-1534-S,123-1583-B,147-789-B,168-30-B
upeto	65-1620-B
upevu	97-432-B,132-929-B
upigaji	14-2239-B,151-2891-B
upigaji kura	169-580-B
upigaji kura 11 14	169-600-B
upiganaji	14-686-B,31-750-B,34-1460-B,63-587-B,132-1260-B
upigano	34-1478-B,63-635-B,132-1278-B
upigiaji	14-2255-B,151-2908-B
upikaji	35-66-B,35-266-B
upimaji	10-2659-B,37-2175-B,57-921-B,97-1487-B,125-2949-B,126-2325-B,167-1865-B,170-2841-B
upindani	105-1526-B,150-1276-B,152-1446-B
upinde	15-2131-B,18-2368-B
upinde wa mvua	124-428-B
upindo	18-1438-B,76-1392-B
upinduzi	131-2153-B
upingaji	106-2812-B,130-170-B
upinzani	46-1633-B,105-1306-B,105-2052-B,106-2832-B
upishi	35-82-B,35-282-B
upofu	17-1132-B
upokeaji	3-2384-B,29-2618-B,125-1455-B
upokezi	29-2638-B
upokonyaji	32-2848-B,60-461-B,138-1541-B
upokonyo	32-2872-B,60-482-B,138-1560-B
upole	6-1907-B,69-2884-B,69-2901-B,88-2748-B
uponyi	38-1487-B,43-423-B,129-1587-B,135-2984-B
upooza	52-726-B,84-634-B,104-1784-B,109-481-B,147-620-B
upotevu	44-2902-B,45-703-B,60-913-B,81-1871-B,94-563-B,167-2261-B,170-390-B
upotoe	23-401-B,36-525-B,42-1921-B,43-2763-B,105-1545-B,112-2946-B,112-2983-B,152-1468-B,172-245-B
upotovu	23-423-B,36-543-B,42-1939-B,43-2780-B,105-1562-B,112-2964-B,152-1488-B,172-263-B
upujufu	97-914-B
upumbavu	65-1872-B,65-2632-B,65-2653-B,80-1132-B,152-2620-B,152-2639-B,159-1596-B
upumuo	19-1662-B,19-2330-B,130-2174-B
upumzi	19-1675-B,19-2217-B,19-2347-B,130-2186-B
upunguaji	41-2142-B,41-3195-B,42-1047-B,47-116-B,61-2745-B,74-1895-B,81-3032-B,84-3582-B,119-437-B,126-338-B
upungufu	42-1068-B,42-1088-B,141-1792-B,141-1810-B
upunguzi	126-358-B
upuraji	14-2272-B
upurukushaji	23-1801-B,81-3151-B,103-255-B
upurukushani	23-1827-B,81-3180-B,103-279-B
upurukusho	23-1853-B,81-3209-B,103-303-B
upuuzi	65-2674-B,65-2693-B,71-1418-B,104-73-B
upuzi	65-1887-B,65-2352-S,65-2712-B,65-2730-B,71-1432-B,104-89-B,142-2163-S
upweke	93-2407-B,130-3245-B,137-2432-B,145-2813-B
upya	4-1141-B,4-1426-B,7-64-B,103-1276-B
uradhi	9-493-B,10-2502-B,31-919-B,32-1189-B,34-1294-B,135-1371-B,135-2189-B,135-2209-B
urafiki	67-2602-B
uragai	41-829-B,67-1607-B,81-1772-B,155-2362-B
urahisi	13-2175-B,26-251-B,26-303-B,52-2406-B,52-2431-S,52-2450-B,52-2465-B,52-2482-B
urai	3-2569-B,38-2234-B,64-2026-B,139-1814-B
uraia	27-2314-B,27-2332-B
uraibu	16-148-B
urais	118-251-B
urani	166-2231-B
urari	13-408-B,56-1194-B,57-1304-B,120-3017-B
urasharasha	51-2416-B
urasimu	21-719-B
uratibu	35-819-B,35-840-B,107-1741-B,107-1762-B
uraufu	31-38-B,69-2918-B,156-525-B
urefu	76-643-B,91-1682-B,91-1695-B,156-1938-B
urekebisho	3-1568-B,107-2042-B,128-1413-B
urembo	3-2480-B
urithi	15-2702-B,76-2088-B,83-2406-B,91-1177-B,153-1458-B
uritima	49-2325-B,81-2939-B,116-2909-B,165-2592-B
uroho	12-1268-B,71-153-B,72-1638-B,99-1348-B
urojo	99-3254-B
urongo	41-846-B,43-770-B,49-1025-B,61-86-B,61-184-B,67-1620-B,80-1757-B,92-693-B,92-704-B,118-1644-B,166-1243-B
urudishaji	125-2865-B,126-3009-B,130-2475-B
urujuwani	168-2692-B
urukaji	88-923-B,156-1453-B
urumo	49-2342-B,116-2925-B
uruzi	171-2497-B,171-2624-B
us	32-1994-S,78-1877-S,163-2734-S
usabaha	153-1476-B
usafari	88-353-B,162-1324-B,162-1354-B
usafi	28-929-B,67-1428-B,102-2252-B,107-1113-B,122-1830-B,164-296-B
usafidi	4-2068-B,28-947-B,45-2653-B,67-2372-B,102-2267-B,115-95-B
usafihi	1-2768-B,4-1125-B,10-594-B,10-612-B,31-3398-B,81-2505-B,84-1819-B,118-1589-B,118-2624-B,118-2638-B
usafiri	30-2049-B,88-369-B,162-655-B,162-1339-B,162-1373-B
usafirisha	30-2071-B,34-3373-B,48-2768-B,52-1414-B,162-673-B,162-717-B
usafirishaji	34-3395-B,48-2788-B,52-1430-B,162-694-B,162-743-B,162-771-B
usafishaji	28-869-B,122-1668-B
usaha	97-231-B,97-244-B
usahaulifu	66-1826-B
usahibu	67-2621-B
usahihi	2-1749-B,36-20-B,117-1512-B,122-848-B,132-565-B,164-315-B
usakaji	79-2096-B
usalama	134-2745-B,138-579-B
usalimini	134-2636-B
usaliti	16-258-B,162-1561-B
usanifu	10-944-B,36-3073-B,143-1585-B
usasi	10-956-B,79-2112-B
usawa	13-422-B,56-1209-B,57-1319-B,60-2489-B,91-2336-B,92-1712-B,123-80-B,142-2592-B,160-538-B
usawanisho	5-2313-B,9-2927-B,43-1048-B
useja	12-2281-B
usemaji	54-679-B,65-743-B,69-1147-B,94-294-B,120-1483-B,156-1774-B,156-1796-B
usemi	3-1006-B,11-3015-B,34-2953-B,46-170-B,59-3444-B,59-3461-B,116-1199-B,120-1205-B,136-95-B,147-569-B,173-1040-B
useremala	23-2384-B
ushababi	174-2165-B,174-2247-B
ushabaki	28-1963-B,38-2247-B,145-719-B,163-264-B,163-366-B
ushahidi	32-2742-B,57-2168-B,96-1292-B,120-1723-B,158-1322-B,173-179-B
ushairi	14-2448-B,115-1602-B
ushakii	36-1345-B
ushamba	29-1015-B,121-2580-B
ushambulizi	4-1841-B
ushanga	14-1094-B
ushango	6-1618-B,11-865-B,33-725-B,147-642-B
usharifu	46-1933-B,58-556-B,130-1210-B
usharika	30-2304-B,33-1212-B,35-623-B,109-1134-B,109-2417-B
ushaufu	41-863-B,43-786-B,167-2513-B
ushauri	4-222-B
ushawishi	4-2656-B,5-3023-B,55-3164-B,112-2831-B,157-2784-B
ushenzi	13-1949-B,76-174-B,108-2104-B,135-2674-B
ushetani	45-2449-B,134-1462-B,172-282-B
ushi	20-679-B,53-740-B,60-1418-B
ushikamano	3-1275-B,157-2836-B
ushimbu	117-863-B,142-64-B
ushinda	126-1909-B,127-2465-B,129-3206-B
ushindani	6-717-B,9-1863-B,31-772-B,34-1494-B,49-252-B,54-2558-B,63-603-B,63-652-B,90-1908-B,96-2592-B,132-1294-B,132-1312-B
ushinde	41-2664-B
ushindi	33-1760-B,33-1777-B,153-1173-B,153-1189-B,163-868-B,168-1905-B,168-1921-B
ushindwaji	41-2679-B
ushirika	11-206-B,29-2128-B,30-2323-B,33-1234-B,35-644-B,107-1783-B,109-2438-B,145-1832-B
ushirikiano	11-227-B,29-2151-B,35-665-B,35-689-B,107-1805-B,109-2459-B,145-1849-B,166-114-B,166-132-B
ushirikina	154-797-B
ushirikisho	11-251-B,29-2177-B,35-713-B,107-1830-B,109-2483-B,145-1869-B
ushirikishwaji	109-1882-B
ushonaji	102-3004-B,139-3093-B
ushoni	102-3024-B,102-3042-B,139-3109-B
ushono	139-3123-B,139-3137-B
