tambaza maneno	51-1097-B
tania	25-63-B,157-1195-B
taniana	87-2917-B
taniboi	76-1217-B
tanitani	10-1690-B
tanki	129-2647-B,156-2342-B
tano	63-314-S,63-335-S,68-1991-B,68-2004-B
tanta	49-3494-B,49-3512-B,103-2594-B,103-2606-B,133-1391-B,133-1401-B
tantabelua	49-3530-B,50-0-B,103-2618-B,103-2635-B,133-1411-B,133-1426-B
tantali	156-2353-B
tanu	64-1094-B,68-2017-B,68-2030-B
tanua	55-1902-B,59-850-B,82-1248-B,172-329-B
tanuka	172-342-B
tanuri	68-2043-B,68-2058-B
tanuru	68-2073-B,68-2088-B
tanzi	89-1027-B,89-1038-B,145-707-B,162-1045-B
tanzu	18-1937-B,19-839-B,19-852-B
tanzua	45-1037-B,59-3189-B,106-1511-B,165-1149-B
tao	15-2097-B,75-1648-B,138-149-B,164-2405-B,167-2755-B
tapa	123-2285-B,141-746-B,142-444-B,152-980-B,162-2351-B
tapakaa	136-899-B
tapanya	48-2955-B,148-1541-B,170-42-B
tapatapa	123-2298-B,141-759-B,142-458-B,162-2365-B
tapika	122-436-B,169-419-B
tapisha	1-2631-B
tapishi	102-1723-B,119-2399-B,169-449-B
tapisho	54-1619-B,102-1738-B,119-2417-B,169-482-B
tapo	50-934-B,104-2055-B
tapureta	164-2816-B,164-2836-B
taraa	80-988-B
tarabe	50-2980-B
taradadi	76-2531-B,82-1961-B,82-1981-B,167-1263-B,167-1284-B
taradhia	13-2125-B,49-2754-B,66-2004-B,109-843-B,127-3205-B,128-2782-B,128-3157-B,135-2510-B,169-2093-B
tarafa	21-1646-B,21-1662-B,52-1366-B,52-1378-B,109-1621-B,109-1633-B,140-1551-B,140-1564-B
tarafu	21-1678-B,21-1694-B,52-1390-B,52-1402-B,109-1645-B,109-1657-B,140-1577-B,140-1590-B
tarajali	8-3133-B,161-2080-B
taraji	44-1640-B,59-989-B,172-2197-B
tarajia	59-1004-B,85-1775-B
taraju	13-378-B,13-393-B,56-1475-B,56-1494-B,75-591-B,75-606-B
tarakibu	44-1490-B,44-1506-B,100-636-B,100-651-B,110-1715-B,110-1732-B,114-1298-B,114-1312-B
tarakiki	102-1008-B,144-732-B,144-1105-B
tarakimu	46-1738-B,46-1753-B,63-727-B,63-743-B,104-1832-B,104-1849-B
taratibu	22-1264-B,23-1403-B,31-2264-B,31-2283-B,107-1013-B,107-1028-B,107-1131-B,107-1678-B,107-1700-B,110-1749-B,119-900-B,119-919-B,123-1797-B,123-1946-B,138-2098-B,138-2123-B,144-1819-B,152-872-B,152-891-B,156-949-B,170-1420-B
tarazaki	95-1108-B,118-218-B,154-1832-B
tarazo	41-1738-B,41-1756-B,54-1447-B,54-1465-B
tarehe	27-922-B,27-939-B,27-1026-B,27-1044-B,40-854-B,40-866-B
tari	156-2050-B,156-2066-B
tarigia	111-3084-B,111-3103-B
tarihi	27-956-B,27-973-B,27-1062-B,27-1080-B,40-878-B,40-890-B,77-1272-B,77-1287-B
tarikhi	4-1495-B,4-1507-B,27-990-B,27-1008-B,56-1628-B,56-1640-B,77-1302-B,77-1318-B
tarishi	116-1826-B
tarjisi	53-1132-B,161-2176-B
taruma	91-940-B,131-2744-B,144-683-B,160-527-B
tarumbeta	163-2446-S
tasa	13-2531-B,150-584-B,150-599-B,169-2534-B,169-2549-B
tasawari	31-502-B,31-522-B,62-643-B,62-664-B,117-487-B,117-511-B
tasbihi	117-740-B,133-536-B,133-551-B
tashtiti	7-1692-B,82-399-B,82-419-B,84-2452-B,84-2473-B,121-2661-B,121-2682-B,121-2919-B,157-1208-B
tashwishi	33-576-B,33-596-B,165-620-B,165-642-B
tasi	64-729-B,64-739-B
tasifida	9-2629-B,28-723-B
tasihili	75-1309-B,123-1552-B,147-771-B
taslimu	55-2403-B,120-1013-B
tasliti	7-1708-B,16-190-B,41-529-B,82-278-B
tasua	27-3002-B,48-3102-B,59-2197-B
taswira	51-1050-B
tata	31-1993-B,32-3383-B,112-690-B,156-2174-B
tataga	37-2746-B,65-1432-B,151-2402-B
tatai	38-2123-B,41-66-B,144-2139-B,172-1050-B
tatanisha	112-704-B,156-2187-B
tatanua	47-3566-B,146-32-B,166-1438-B
tatarika	12-2124-B,26-56-B,36-3015-B,145-567-B
tathmini	57-842-B
tatia	31-2010-B,32-3397-B,172-1313-B,173-3019-B
tatiza	11-990-B,31-2028-B,86-1143-B,97-1709-B,112-723-B,122-2786-B
tatizi	119-782-B,119-797-B
tatu	159-919-S,159-963-S,159-985-S,159-2009-B
tatua	94-231-B,132-825-B,146-47-B,147-2166-B,166-1004-B,166-1454-B
taufiki	71-2055-B,71-2069-B
tauni	27-662-B,56-926-B
tawa	28-2483-B,45-2567-B,113-2459-B,127-2014-B,145-2692-B
tawakali	163-2811-B
tawala	50-2318-B,71-1725-B,95-2292-B,126-3067-B,134-190-B
tawalisha	81-3287-B
tawanya	48-2973-B,136-916-B,148-1559-B,151-2295-B,170-57-B
tawanyatawanya	48-2991-B,136-933-B
tawasufi	1-2136-B,100-751-B
tawaza	81-3309-B
tawazisha	28-1140-B
tawili	93-2447-B,156-1896-B
tawilisha	91-1775-B,120-471-B
tawisha	87-958-B,138-1186-B
taya	17-161-B,87-1864-B,128-3176-B
tayari	68-2118-S,117-2516-S,121-2559-S,124-2205-B
tayarisha	117-2585-B
tayibu	71-821-B,132-424-B,171-560-B
tazama	57-3180-B,84-2014-B,86-2635-B,105-1167-B,138-976-B,149-1149-B,158-800-B,164-369-B
tazamia	59-1020-B,84-2030-B,85-1791-B,86-2655-B,137-1297-B
tebo ya kujumlisha	156-1019-B
teende	54-205-B
tefu	145-2048-B,157-2993-B
tega	24-1024-B,41-546-B,41-1953-B,55-2522-B,56-96-B,86-1160-B,115-766-B,162-856-B
tega uchumi	86-2340-B
tegatega	56-109-B
tegemea	59-1036-B,125-1624-B,127-667-B,163-2827-B
tegemeo	59-1126-B,120-1957-B,121-1555-B,154-2321-B
tegemeza	155-931-B
tegua	148-333-B
teka	11-3066-B,15-2834-B,23-482-B,113-1763-B,115-1201-B,138-1419-B
teka nyara	88-1972-B
teke	31-1941-B,64-1235-B,64-1277-B,88-1838-S,88-1895-B,115-699-B,145-2058-B,174-1780-B
tekelea	124-2022-B
tekeleza	2-1072-B,2-2380-B,58-2821-B,58-2839-B,68-893-B,68-911-B
tekelezo	68-1022-B
tekenya	64-2402-B,87-1342-B,87-2431-B,140-405-B,160-348-B
teketa	38-703-B,71-307-B
teketea	45-1575-B
teketeke	62-1117-B,92-2285-B,145-2068-B,157-3005-B,170-1552-B
teketeza	45-58-B,133-2502-B
tekeza	11-3080-B,16-859-B
tekineti	157-1401-B
teknolojia	157-1592-B,157-1614-B
teksi	21-2525-B,157-406-B
tekua	45-76-B,133-2517-B,165-1280-B
tele	1-2362-B,115-603-B,115-615-B
telea	44-662-B,144-922-B,144-1338-B
teleka	18-366-B,35-0-B,155-1178-B
telekeza	74-1031-B
telemka	44-677-B,47-3511-B,89-2630-B,144-1490-B
telemsha	94-1236-B
telemusha	89-2644-B,94-1252-B
teleza	144-935-B,144-949-B,144-1350-B
telki	123-1569-B
teluri	157-2038-B
tema	27-793-B,39-1008-B,59-1166-B,144-297-B,147-1568-B
tembe	26-2031-B,50-2771-B,76-1605-B,76-1615-B,79-223-B,79-235-B,113-1739-B
tembea	152-435-B,169-1329-B,169-1475-B
tembelea	168-2999-B
tembeza	4-82-B,48-3117-B
tembezi	152-511-B,169-1395-B
tena	4-1415-B,7-32-B,68-2527-B,100-3003-B,103-824-B,128-1684-B,158-2155-B
tenda	2-1093-B,2-3047-B,50-1443-B,95-1520-B,111-2274-B
tendea	162-1847-B
tendeti	110-637-B,110-652-B
tendewa	165-1209-B
tendo	53-1586-B
tenga	5-2284-B,12-1542-B,14-261-B,32-2813-B,42-2467-B,44-694-B,47-1142-B,48-1464-B,58-2318-B,103-894-B,116-1943-B,118-2103-B,128-625-B,139-374-B
tenge	39-480-B
tengea	129-2397-B
tengemano	104-336-B,110-2597-B,148-2370-B,161-2596-B
tengeneza	9-2647-B,35-2661-B,53-817-B,64-1167-B,95-1532-B,98-275-B,117-2604-B,126-2674-B,128-1274-B,130-538-B,139-2170-B
tengenezo	9-2884-B,126-2881-B,128-1396-B
tengo	108-265-B
tengua	54-349-B,128-639-B
tengura	40-1776-B,47-3299-B,85-326-B,105-3236-B,136-2054-B
tenisi	158-80-B
tepe	19-594-B,156-2525-B
tepete	64-1247-B,64-1290-B,83-141-B,90-279-B,92-2299-B,93-639-B,143-2200-B
tepetevu	64-1261-B,64-1305-B,80-689-B,83-157-B,90-294-B,90-2386-B,92-2258-B,92-2311-B,93-620-B,93-655-B,143-2213-B
terafini	164-1367-B,164-1387-B
terekta	161-1335-B
teremka	44-709-B,47-3530-B,144-1363-B,144-1505-B
teremsha	89-2660-B,94-1269-B
teremuka	44-726-B,144-1377-B,144-1520-B
tesa	2-2261-B,4-1001-B,49-1911-B,74-2748-B,79-2706-B,107-63-B,112-1103-B,157-1224-B,161-191-B,163-1066-B
tesanya	7-2959-B
teseka	153-2093-B
teso	112-1342-B,153-2246-B
test	158-921-B
teta	9-1684-B,34-2225-B,49-34-B,106-2709-B,121-1810-B,123-392-B,143-2717-B
tetana	123-406-B
tete	71-2463-B,71-2474-B,126-389-B,150-446-B
tetea	11-1903-B,21-2670-B,34-2242-B,42-131-B,42-145-B,154-1850-B
tetekuwanga	26-2045-B
teteleza	7-2979-B
tetema	123-2315-B,140-420-B,162-2383-B
tetemaji	26-2068-B
tetemeka	140-434-B,141-776-B,162-2399-B
tetemeko	34-3685-B,52-2245-B,140-649-B,162-2532-B,162-2657-B
tetereka	148-2880-B,155-1340-B,155-2763-B
tetesi	134-967-B,171-2179-B
tetewanga	26-2088-B,26-2109-B,26-2130-B
teto	9-1833-B,104-2852-B,114-2673-B,121-1858-B
teua	27-732-B,103-2776-B,138-1684-B
teuka	15-1198-B,20-2143-B,21-1072-B
teule	27-409-B,27-879-B,138-1697-B
teuli	27-893-B
teuzi	27-745-B,39-1522-B,61-1652-B
tezi	164-692-B
tezo	75-377-B
thabiti	28-1389-B,63-2658-B,70-120-B,127-1606-B,138-294-B,149-2640-B,152-703-B,165-315-B
thama	6-503-B,92-1806-B,142-2745-B,158-2165-B
thamani	118-2380-B,118-2394-B,167-2024-B,167-2038-B
thamini	8-3029-B,8-3047-B,10-2622-B,25-2159-B,57-806-B,118-2290-B,130-825-B,167-1883-B
than as representatives of portugal	148-662-S
thari	39-2410-B,100-1547-B
thaura	131-2117-B,131-2218-S
thawabu	70-1157-B,70-1170-B,122-1259-B,125-2306-B,131-112-B,131-2530-B,131-2545-B
thawra	131-2135-B,131-2242-S
the kiswahili council has continued to produced new word lists	91-2413-B
the portuguese themselves thought of themselves more as spreaders of christianity than as representatives of portugal	148-662-B
the sun will set at seven o clock tonight	89-2675-B
thelatha	159-2020-B
thelathashara	159-1007-B
thelathini	159-1030-B
theluji	145-1222-B,145-1235-B
themani	53-2151-B
themanini	53-2247-B
themantashara	53-2224-B
themanya	53-2165-B
themselves more as spreaders of christianity than as representatives of portugal	148-662-S
themselves thought of themselves more as spreaders of christianity than as representatives of portugal	148-662-S
thenashara	164-1602-B
theneen	164-2612-B
thibitisha	4-924-B,32-2572-B,54-3178-B,56-2895-B,73-1430-B,95-1127-B,121-2432-B,128-890-B,151-1845-B
thibitisho	168-508-B
thori	159-1200-B
thought of themselves more as spreaders of christianity than as representatives of portugal	148-662-S
thubutisha	54-3200-B
thubutu	40-503-B,132-1168-B,164-381-B,168-286-B
thuluthi	159-933-B,159-948-B
thumu	69-893-B,69-906-B,69-919-B
thurea	25-856-B,25-874-B
tia	8-2776-B,24-1274-B,90-2024-B,114-368-B,119-2103-B,122-2702-B,166-2738-B
tia adhabu	25-2920-B,112-1119-B,122-1022-B
tia fitina	4-2251-B
tia fitna	4-2271-B
tia mbaroni	9-3000-B
tia nguvu	9-3020-B
tia nguvuni	9-3038-B
tia nuru	20-200-B,80-1629-B
tia pua	74-2935-B,157-2072-B
tia rahani	101-116-B,110-2085-B
tia rangi	30-18-B,108-2392-B
tia rehani	101-137-B,110-2102-B
tia risasi	145-2287-B
tiara	89-508-B,89-519-B
tiba	38-2599-B,38-2609-B,40-1588-B,97-2029-B,97-2043-B
tibu	38-2525-B,75-2161-B,111-2696-B,111-2709-B,162-1861-B
tibua	58-1425-B,99-2922-B,121-2937-B
tifu	38-690-B,52-1235-B,52-1270-B,63-1626-B,67-2315-B,94-43-B
tifua	140-450-B
tii	50-1453-B,94-1301-B,104-2366-B,104-2559-B
tiifu	94-1311-B,104-2380-B,153-94-B
tiisha	50-2335-B,152-3086-B,153-0-B
tija	82-746-B,119-2230-B,119-2248-B,119-2895-B,121-400-B,170-2185-B
tijara	98-574-B,119-2907-B
tike	57-2605-B,117-1497-B
tikisa	4-2290-B,49-3115-B,58-1439-B,140-463-B,141-946-B
tikisika	123-841-B,162-2435-B,166-967-B
tikiswa	123-858-B
tikita	26-1890-B,72-2842-B,96-2176-B,116-2387-B
tikiti	109-2830-B,160-280-B,160-294-B,160-308-B,170-962-B
tikiza	14-1444-B,55-682-B,153-2108-B,160-2001-B
tikti	109-2842-B,160-322-B
tilia mkazo	54-1976-B,151-2000-B
tilifika	41-2052-B
tilifu	45-91-B,133-2529-B,158-343-B
tilisha nyayo	130-190-B
timamu	31-1621-B,32-703-B,111-2114-B,117-3092-B
timazi	111-675-B,111-691-B,115-1095-B,115-1110-B
timba	46-1692-B,102-2831-B,102-2846-B
timbe	24-370-B
timbi	19-240-B,19-255-B
timia	2-1111-B,10-150-B,124-2037-B
timilifu	31-1498-B,34-182-B,61-2795-B,111-2048-B
timiliza	58-2857-B,68-929-B,111-2289-B,135-2528-B
timiza	2-1129-B,31-1517-B,63-2111-B,68-947-B,82-636-B,111-2066-B,124-2050-B
timizia	68-963-B
timka	40-796-B,64-2456-B,134-1131-B,134-1489-B,163-976-B
timu	34-464-B,157-760-B,157-770-B
timuka	64-2468-B,134-1142-B
tinda	102-2861-B,144-369-B,150-841-B
tindanga	162-1392-B
tindi	166-839-B
tindika	32-539-B,54-3382-B,60-2142-B
tindikali	65-979-B,65-994-B
tineja	157-1713-B
tinga	41-2622-B,108-593-B,133-57-B,140-477-B,161-503-B,168-1627-B
tingatinga	161-1351-B
tingetinge	19-2934-B,19-2952-B
tingisha	101-1453-B,140-490-B,168-1642-B
tingitingi	19-2970-B
tipwa	75-2336-B,152-718-B,152-2690-B,168-2057-B
tipwatipwa	75-2350-B,152-731-B,152-2703-B,168-2072-B
tiringa	104-537-B,136-1837-B
tiririka	51-1981-B,65-525-B,70-2077-B,144-1472-B,163-563-B
tirivyogo	97-2314-B
tirivyogo la maneno	101-2316-S,102-128-S
tisa	103-1871-B,103-1881-S,103-1903-S
tisaini	103-1965-B
tisashara	103-1925-B
tisatashara	103-1944-B
tisha	67-2975-B,86-925-B,98-159-B,136-726-B,159-1934-B
tishia	159-1950-B
tisho	136-785-B,159-1833-B
tishwa	67-2991-B,98-173-B
tisini	103-1980-B
tisti	63-2741-B,80-2910-B
tisu	101-2895-B
tita	21-426-B
titani	160-1551-B
titi	19-2080-B
titia	29-2286-B,148-2898-B
titiga	14-2078-B,77-1424-B,171-1830-B
titima	28-319-B,124-1654-B,133-69-B,134-694-B
titimka	64-2481-B,134-1154-B
tiva	142-0-B
to	104-530-B
to produced new word lists	91-2413-S
toa	41-3105-B,48-3134-B,54-1882-B,61-2661-B,87-1121-B,106-113-B,117-2992-B,119-2116-B,122-256-B,126-258-B,128-654-B,135-2874-B,141-2618-B,147-917-B,153-801-B,169-1683-B
toa nuru	141-219-B
toa pumuzi	58-3442-B
toa pumzi	58-3461-B
toa salaam	72-1913-B,135-795-B
toa salamu	72-1931-B,135-814-B
toamini	49-2914-B
toasi	39-1407-B
toba	32-1921-B,34-2528-B,109-1022-B,109-1034-B,111-545-B,111-1427-B,111-1442-B,126-2503-B,126-2515-B,127-3270-B,127-3283-B,128-1732-B,128-1748-B
tobo	77-2206-B
toboa	10-2544-B,84-1625-B,95-1148-B,109-2895-B,111-856-B,113-1517-B
tobwe	65-2245-B
tofaa	8-2631-B
tofali	19-2756-B
tofauti	41-3116-B,46-466-B,46-485-B,46-597-B,46-659-B,47-2594-B,49-204-B,49-939-B,49-1499-B,61-2671-B,123-621-B
tofautisha	49-1651-B
tofoa	39-1787-B,45-107-B,133-2542-B,148-2208-B,150-854-B
tofua	39-1801-B,45-122-B,133-2554-B,148-2220-B,150-867-B
toga	113-1531-B
tohara	27-1847-B,27-1867-B,122-1582-B
toja	51-1996-B,136-835-B,157-275-B
tojo	69-1188-B,69-1198-B,82-136-B,82-150-B
toka	68-181-B,91-718-B,123-2160-B,143-220-B
toka jasho	112-2543-B,155-1519-B
tokana	107-2315-B
tokea	8-1825-B,8-1839-B,68-191-B,74-2479-B,74-2493-B,105-2808-B,105-2821-B,143-231-B
tokea hapo	3-440-B,57-2618-B,76-1711-B,82-2070-B,124-2497-B
tokeapo	143-243-B
tokeo	33-2362-B,57-1436-B,130-2691-B,139-650-B
tokeza	8-1853-B,54-1527-B
tokezea	8-1868-B
tokomea	10-164-B,47-426-B,167-2364-B
tokomeza	7-954-B,45-137-B,136-957-B,148-590-B
tokosa	18-379-B,35-13-B,68-748-B
tokwa	17-563-B
tolatola	27-422-B
toleo	106-219-B
toli	19-605-B,35-1503-B,159-1722-B
toma	159-2865-B
tomasa	62-1423-B,148-1977-B
tomba	35-976-B,66-2713-B
tombana	35-992-B
tomea	114-1864-B
tomesha	82-294-B
tomoa	42-1647-B,113-1544-B
tona	51-2007-B,136-975-B,151-2310-B
tondoo	159-573-B
tondoti	128-1801-B
tone	50-2835-B
tonga	29-1525-B
tonge	94-1888-B
tongoza	138-792-B
toni	160-2116-B,160-2126-B
tonight	89-2675-S
tonoka	65-358-B,121-132-B
tononeka	65-375-B,121-148-B
tononoka	61-2394-B,65-394-B,121-166-B
top	60-1135-B
topas	136-1044-B
tope	101-1989-B
topito	24-739-B,144-1192-B,161-318-B
topoa	36-1123-B,60-1215-B,127-1182-B
tora	21-2683-B,107-1058-B,107-1075-B,126-2623-B,146-2802-B,146-2813-B
toroka	44-1165-B,56-2106-B,64-2495-B
torosha	54-560-B
tosa	148-1577-B,153-79-B,170-72-B
tosha	153-2363-B
tosheleza	68-980-B,135-2546-B
tota	51-2726-B,67-642-B,143-606-B
toto	109-1669-B
tovu	89-1829-B,99-2226-B
towashi	57-631-B
towea	64-2174-B,137-2102-B
toweka	47-445-B,167-2380-B
towelea	64-2188-B,137-2116-B
towesha	41-2729-B,45-155-B,49-1087-B,61-2428-B,89-1620-B,133-2566-B,136-989-B,169-1613-B
toza	18-2415-B,29-2604-B,60-561-B,81-1575-B,138-1431-B
transfoma	161-3099-B,161-3121-B
transista	161-3292-B
trekta	161-1370-B
tu	31-1801-B,88-1173-B,98-703-B,106-1314-B,167-770-B
tua	17-736-B,22-1520-B,44-2839-B,48-496-B,61-2058-B,74-1046-B,91-2661-B,130-1920-B,135-2565-B,143-2850-B,150-2656-B
tuama	153-481-B
tubu	126-2436-B,128-1700-B
tufaha	8-2643-B
tufani	79-2274-B,79-2291-B,157-2455-B,157-2470-B,164-2873-B
tufe	13-650-B,70-2352-B,70-2363-B
tuhuma	2-2033-B,2-2051-B,129-169-B,129-185-B,155-844-B,155-861-B
tuhumu	2-2230-B,155-535-B
tuili	46-2000-B,91-1819-B
tuilisha	42-431-B,42-2480-B,116-1959-B,120-490-B
tuiliza	42-447-B,42-2496-B,116-1978-B,120-508-B
tuka	116-1778-B,116-1788-B,120-1970-B,120-1980-B,154-2337-B,154-2350-B
tukana	1-2646-B,39-125-B,85-342-B,131-1351-B,155-1479-B
tukano	1-2732-B,85-510-B
tukia	8-1884-B,74-2507-B,105-2834-B
tukio	57-1448-B,74-2550-B,105-2968-B
tukizi	166-1302-S
tukufu	70-2551-B,71-2608-B,72-1232-B,78-1465-B,81-1367-B,95-1329-B,154-2661-B
tukusha	7-1723-B,161-205-B
tukutika	65-961-B,123-2330-B,142-476-B,162-2417-B
tukutiko	162-2673-B
tukutu	7-2400-B,63-97-B,87-332-B,103-755-B,112-3583-B,123-950-B,130-2222-B,163-2152-B
tukuza	57-2911-B,70-2517-B,78-1000-B
tule	99-1164-B,116-363-B
tuli	22-1324-B,83-481-B,123-1812-B,123-1823-B,142-1936-B,150-1347-B
tulia	127-682-B
tulii	22-1336-B,123-1963-B
tulivu	22-1278-B,23-1314-B,35-344-B,110-2735-B,123-1834-B,150-1358-B,161-2499-B
tuliza	5-2454-B,30-634-B,52-2367-B,108-1481-B,125-332-B,127-1917-B,139-2188-B,146-640-B
tuma	138-2644-B
tumai	15-1422-B,32-2167-B,44-1655-B,59-1052-B,78-1921-B,78-2014-B,172-2210-B
tumaini	15-1437-B,32-2090-B,32-2183-B,44-1669-B,59-1066-B,59-1146-B,78-2001-B,78-2028-B,163-2918-B,172-2222-B
tumainifu	32-2201-B,78-2044-B,127-1623-B,163-3023-B
tumba	13-598-B,13-609-B,20-2277-B,20-2287-B,23-3110-B,23-3121-B,34-510-B,34-526-B,36-2480-B,36-2492-B
tumbako	160-1788-B,160-1804-B
tumbasi	1-1695-B
tumbo	1-409-B,15-1566-B,15-1578-B,29-2116-B,56-32-B,56-47-B,121-2075-B,150-2327-B
tumbo la uzazi	173-374-B
tumbua	48-3147-B,49-741-B,51-765-B,57-2401-B
tumbuiza	6-2491-B,8-2353-B,22-1174-B,42-3153-B,55-2666-B,146-655-B
tumbuizo	126-1251-B
tumbuu	25-367-B,25-380-B
tumbuza	111-873-B
tume	4-1727-B,21-1710-B,30-1494-B,30-1510-B,54-2093-B,56-1821-B,98-1254-B,105-2657-B,128-2574-B,139-1411-B,156-2928-B
tumia	54-2060-B,59-2816-B,98-317-B,147-928-B,166-2747-B,167-679-B
tumikia	15-2418-B,139-1519-B
tumu	61-1749-B,61-1762-B,69-932-B,69-944-B,69-956-B
tuna	166-1513-B
tunda	69-1489-B,115-985-B
tundama	2-1627-B
tundawaa	67-1902-B
tundika	155-608-B
tundikia	74-2272-B,155-625-B
tundu	8-1249-B,77-2216-B,77-2227-B,77-2441-B,81-2604-B,84-1935-B,91-322-B,99-854-B,110-46-B,152-1352-B,163-2171-B,173-2498-B
