mpira	133-1576-B
mwao	82-3101-B,91-2650-B,120-1914-B,129-2249-B,158-1884-B
mwasherati	66-2918-B
mwashi	96-1557-B
mwasi	125-448-B
mwasikwao	36-593-B,167-1530-B,169-1490-B
mwatuko	37-1382-B
mwega	120-1924-B
mwehu	95-155-B
mweledi	85-828-B
mweleka	152-2042-B,174-375-B
mwelekeo	46-2888-B,82-582-B,157-2961-B
mwembamba	159-673-B
mwendelezo	34-1803-B,60-161-B
mwendeshaji	51-2177-B
mwendo	15-934-B,48-3016-B,49-1273-B,71-596-B,101-1606-B
mwenendo	15-950-B,32-1577-B,49-1289-B,162-2857-B
mwenge	63-2263-B
mwengo	144-2578-B,156-1306-B
mwenu	174-2014-B
mwenye kidomo	71-1625-B
mwenye kinyongo	80-251-B
mwenyeduka	141-1376-B
mwenyekiti	25-435-B
mwetu	107-3112-B
mwezi	148-1136-B
mwia	37-1098-B
mwiga	35-861-B
mwigo	35-1238-B
mwiko	89-1906-B,120-237-B,147-2881-B,163-2230-B
mwili	18-274-B
mwimo	50-2685-B
mwina	24-1675-B,77-2140-B,114-89-B
mwinamo	144-1634-B
mwindwa	118-2263-B
mwingi	96-268-B
mwingilio	56-386-B
mwinuko	76-590-B,144-1648-B
mwisho	32-779-B,55-135-B,63-1292-B,63-1404-B,87-213-B
mwishowe	32-799-B,63-1419-B,87-232-B
mwita	162-2088-S,162-2184-S
mwitikio	130-1582-B
mwito	8-1667-B,86-3215-B,169-64-B
mwitu	172-528-S
mwoka	13-161-B
mwokaji	13-173-B
mwokosi	63-1538-B,113-806-B
mwombezi	4-322-B,114-2761-B
mwombi	154-1116-B
mwongeza	71-1322-B
mwongofu	34-3207-B
mwongozi	73-2661-B
mwongozo	46-2907-B,73-2676-B,73-2793-B,96-80-B
mwonjo	158-889-B
mwonyeshaji	59-416-B,111-2431-B
mwonzi	154-102-B
mwororo	23-2766-S,72-2931-S
mwosha	169-2564-B
mwoshaji	169-2578-B
mwote	5-2417-B,55-3222-B,171-2891-B
mwozi	106-369-B
mwua	101-2516-B
mwuaji	88-2083-B
mwuguzi	107-1165-B
mwujiza	173-634-B
mwujizi	173-649-B
mwundo	66-2523-B,100-557-B
mwunzi	171-2574-B
mwuza	161-1525-B
mwuzaji	161-1538-B
myeyusho	97-2931-B,145-2878-B
mzaha	44-409-B,68-1493-B
mzalia	102-1369-B
mzao	26-2580-B,106-447-B
mzawa	83-2183-B,102-1383-B
mzee	20-1547-S
mzigo	21-656-B,93-1335-B
mzimu	6-2908-B,70-548-B
mzingile	89-1465-B
mzingo	27-1973-B
mzio	13-774-B,120-255-B,156-1071-B
mzizimo	35-422-B
mzofafa	152-1185-B
mzonazanje	145-485-B
mzubao	11-781-B,16-760-B
mzumai	98-2822-B
mzumbao	11-801-B,16-780-B,33-442-B,54-978-B
mzungu	45-2619-B
mzunguko	27-1767-B,56-612-B
na	6-486-B,7-25-B,21-1941-B,21-2424-B,47-2894-S,75-1747-S,75-1759-B,79-454-B,102-1915-S,102-1943-S,109-1350-S,172-2501-B
na faida	15-2435-S,69-115-S,119-2656-S
na hamu	44-1700-S
na hatia	83-3254-S
na hayo	103-1106-S
na kale	57-461-S
na kufumbua	153-1776-S
na mbili	164-1560-S,164-1581-S
na moja	54-272-S,54-292-S
na nane	53-2180-S,53-2202-S
na njia	169-1408-S
na nne	67-665-S,67-686-S
na pengine	111-2860-S
na rajua	78-1933-S
na saba	139-2661-S,139-2684-S
na sita	143-1147-S,143-1168-S
na tano	63-314-S,63-335-S
na tatu	159-963-S,159-985-S
na tisa	103-1881-S,103-1903-S
naam	24-2597-B,174-1654-B,174-1663-B
nabihi	104-658-B,111-1764-B,127-2696-B,165-1605-B
nadhari	23-968-B,23-981-B,27-394-B,33-2769-B,33-2791-B,41-1159-B,47-953-B,47-2665-B,69-2050-B,70-1779-B,88-617-B,93-2775-B,111-968-B,112-2292-B
nadharia	158-2228-B,158-2244-B
nadhifisha	9-2499-B,102-2108-B
nadhifu	28-739-B,102-2095-B,107-1181-B,160-391-B,171-784-B
nadi	7-1064-B,119-1245-B
nadra	124-1278-B,124-1299-B,136-586-B,165-903-B,166-1334-B
nafaika	121-18-B,172-1167-B
nafasi	91-1424-B,91-1439-B,160-853-B,160-865-B
nafidhi	76-972-B,118-118-B,121-1020-B,129-1359-B
nafisi	95-1058-B,154-1753-B
nafsi	19-2126-B,53-2084-S,53-2103-S,82-3486-B,112-2119-B,138-1847-B
nafsi yangu	112-2265-S
nafuu	3-3358-B,15-2566-B,69-190-B,73-958-B,81-2256-B,81-2348-B,82-1423-B,119-2854-B,125-2967-B,125-3383-B
nahau	57-1119-B,58-2762-B,71-2485-B,118-1962-B
naibu	43-3252-B,128-2427-B
nailon	104-2130-B
naitrojeni	103-2042-B
najisi	34-564-B,42-1262-B,44-1102-B,47-47-B,48-2284-B,63-1163-B,81-2672-B,115-2682-B,119-2328-B,119-2344-B,124-1171-B,145-2216-B,168-2337-B
nakala	10-1062-B,104-1641-B
nakama	45-1675-B,45-1694-B,131-847-B,131-862-B,168-109-B,168-126-B
nakawa	28-753-B,61-2778-B,80-2215-B,122-1525-B,146-1372-B
nakili	10-1077-B,35-1101-B,35-1249-B,87-1156-B,104-1655-B,161-2639-B,162-111-B
nakishi	107-2590-B
nakisi	39-221-B,39-1125-B,64-2263-B,91-2027-B,126-197-B,141-1587-B
nakshi	41-1630-B,41-1648-B
nakulu	35-1114-B,162-130-B
nama	53-2403-B,64-2612-B,115-686-B
namna	66-2535-B,100-570-B,109-206-B,110-1687-B,123-14-B,156-1082-B,170-1364-B,170-1374-B
namua	47-3549-B,60-1182-B,128-523-B
nanaa	99-483-B
nane	53-2139-B,53-2180-S,53-2202-S
nanga	6-2988-B
nangonango	173-1482-B
nanigwanzula	93-1220-B
nargisi	102-803-B
nasa	24-1000-B,72-207-B,138-1359-B,145-625-B,162-845-B
nasaba	44-883-B,89-244-B
nasaha	109-772-B,112-3442-B,112-3458-B,125-2132-B,125-2154-B
nasibu	2-584-S,25-744-B,44-2770-B,61-1980-B,94-626-S,94-648-S,94-683-B,94-1456-B,123-2936-S,123-2957-S,165-3318-S
nasihi	81-852-B,129-824-B
nasisi	112-3284-B
nata	3-1199-B,150-815-B
natiri	145-1971-B
nauli	67-2048-B,77-1063-B
nawa	169-2502-B
nawiri	70-2734-B,141-100-B,141-313-B,159-2402-B
nawisha	145-1410-B
nazaa	48-3461-B,49-791-B,78-2883-B,123-345-B
nazi	29-1512-B
ncha	55-146-B,60-1149-B,107-3218-B,110-2896-B,160-1394-B
nchi	52-2143-B,87-1287-S,89-2778-B
ndalo	45-2874-B
ndama ya mbuzi	88-1920-B
ndama ya ng ombe	22-722-B
ndani	81-2815-B,84-847-B,86-3498-B,172-2803-B
ndau	46-2561-B
ndefu	93-2436-B
ndege	5-1743-S,5-1767-S,26-1945-S,26-1966-S
nderemo	26-1486-B,30-755-B,30-771-B
ndevu	14-1517-S,14-1542-S
ndezi	51-2772-B,82-3566-B,90-1978-B,124-1502-B,144-698-B
ndia	45-1474-B,95-911-B,95-921-B,98-1662-B,98-1674-B,110-1100-B,110-1110-B,124-259-B,133-1204-B,133-1215-B,141-1828-B,170-1384-B,170-1393-B
ndia ya kukata	141-1842-B
ndia ya kuzunguka	45-1486-B
ndia ya reli	124-272-B
ndimi	90-235-B
ndimi za moto	64-1489-B
ndimu	92-1992-B
ndio	174-1672-B
ndio sababu	158-2555-B
ndiposa	33-2444-B
ndivyo	160-184-B
ndiyo	174-1681-B
ndoa	96-1107-B,97-60-B,170-2594-B
ndondi	18-2689-B,18-2703-B
ndoo	46-2573-B,136-1742-B
ndoto	51-1154-B,51-1166-B,51-1224-B,51-1239-B
ndovu	87-1531-S
ndovu kumla mwanawe	138-2835-S,158-515-S
nduli	101-2530-B,133-2200-B,160-63-B
ndume	95-1780-B,152-676-B
ndururu	92-1042-B,144-2206-B,159-688-B,165-1437-B,170-1527-B
nduvi	117-839-B,142-38-B
ndwele	80-1504-B,142-821-B
neema	1-2186-B,5-1285-B,30-787-B,69-2403-B,98-668-B,98-680-B,115-577-B,115-590-B,121-345-B,154-2133-B,170-2032-B,171-617-B
neemefu	1-2308-B,25-2427-B,69-2539-B,115-507-B,121-603-B
neemevu	1-2325-B,25-2446-B,69-2556-B,115-525-B,121-622-B
nektai	102-2876-B
neli	113-2621-B,164-466-B
nembo	93-2094-B,93-2105-B,137-1565-B,137-1576-B,157-317-B
nemesha	15-1861-B
nena	10-1105-B,41-1281-B,44-1522-B,73-199-B,98-466-B,102-543-B,136-12-B,146-2498-B,156-1671-B
nene	20-709-B,31-1483-B,35-2471-B,41-2415-B,61-1791-B,68-1105-B,158-2841-B
nenepa	159-15-B
nenepesha	61-2360-B
neno	4-578-B,10-2592-B,32-63-B,34-2202-S,40-2001-B,45-3104-B,47-3129-B,59-3380-B,90-250-B,104-2837-B,149-1954-B,167-741-B
neno siri	137-2707-B
neodimi	103-681-B
neoni	103-699-B
nepa	46-2434-B,134-2793-B,143-583-B
nepi	26-1154-B,26-1165-B
nesa	14-1914-B,15-1875-B,134-2803-B,151-2679-B
neva	103-721-B,103-732-B
new word lists	91-2413-S
ng aa	70-1926-B,70-2207-B,141-114-B,146-2324-B
ng akia	73-764-B,145-748-B
ng ala	70-1939-B,70-2222-B,141-127-B,146-2339-B
ng alia	141-141-B
ng aliza	115-2178-B
ng amba	164-1450-B,164-1465-B
ng ambo	1-1449-B
ng amua	47-1458-B,47-2241-B,124-2399-B,166-512-B
ng anda	74-1749-B,74-1765-B,113-2470-B,113-2482-B,148-214-B,148-227-B
ng ang ama	72-219-B,138-1371-B
ng ang anaa	172-1032-B,172-2634-B
ng ang ania	15-552-B,28-2324-B,34-1313-B,56-126-B,81-868-B,84-1566-B,112-1695-B,112-3109-B,114-2726-B
ng ang anivu	81-1465-B,112-1832-B
ng ara	70-1953-B,70-2238-B,141-156-B,146-2355-B
ng arange	75-2616-B,75-2636-B
ng arisha	115-2195-B,141-170-B
ng ariza	115-2213-B
ng ge	136-2241-B,136-2256-B
ng oa	60-533-B,77-1784-B,124-552-B,166-2086-B
ng ombe	15-200-S,22-663-S,22-685-S,22-722-S,22-744-B,24-1196-B,24-1211-B,36-2722-B,36-2734-B
ng ombe dume	20-2820-B,20-2838-B
ng ombe jike	36-2746-B,36-2763-B
ng ombe maksai	20-2922-B,20-2945-B
ng ong a	21-2334-B,79-649-B
ng ong ona	71-251-B
ng ota	14-1925-B,71-268-B,116-2271-B,124-1134-B,140-337-B,142-1065-B,156-2415-B
ng ungwe	68-2374-B,68-2390-B
ng uta	14-1938-B,71-281-B,116-2285-B,124-1146-B,140-351-B,142-1078-B,156-2427-B
ng wafua	145-794-B
ngabu	27-106-B,27-119-B,71-1577-B,71-1589-B
ngadu	36-2865-B,36-2876-B
ngalawa	108-213-B,108-231-B
ngama	16-1194-B,16-1206-B,77-1927-B,77-1938-B
ngambi	1-1464-B
ngano	171-1281-B,171-1293-B
ngao	60-1701-B,60-1713-B,140-2661-B,140-2673-B
ngara	77-259-B,77-270-B,91-594-B,91-608-B,143-1817-B,143-1828-B
ngazi	42-2136-B,42-2149-B,136-228-B
ngazi ya noti	136-240-B
nge	136-2271-B,136-2284-B
ngedere	100-2402-B,100-2417-B
ngema	71-755-B
ngeu	92-2569-B,92-2579-B,96-859-B,96-869-B
ngimbi	15-287-B
ngiri	169-2447-B,169-2461-B
ngisi	39-1235-B,39-1252-B,139-595-S,139-615-S
ngoa	44-1920-B,44-1932-B,56-796-B,56-806-B,87-1996-B,87-2010-B,94-2235-B,94-2245-B
ngogo	24-1168-B,24-1182-B,64-547-B,64-558-B
ngoja	149-2469-B,150-2604-B,169-1117-B
ngojeza	3-1453-B,116-1909-B
ngojo	110-1483-B,110-1496-B,149-2105-B,149-2119-B,155-337-B,155-356-B
ngole	151-3031-B,151-3044-B,164-1827-B,164-1839-B
ngoma	40-15-B,40-27-B,52-63-B,52-74-B,101-2736-B,101-2748-B
ngome	56-2158-B,56-2175-B,66-3064-B,66-3075-B,67-12-B,67-32-B,67-126-B,67-141-B
ngono	15-133-B,15-147-B,85-2827-B,85-2845-B,103-1803-B,103-1819-B
ngovi	65-2858-B,65-2873-B,66-1524-B,66-1539-B,77-281-B,77-292-B,91-622-B,91-636-B,117-2688-B,117-2702-B,143-1839-B,143-1850-B
ngoweo	133-476-B,133-488-B
ngozi	65-2888-B,66-0-B,77-303-B,77-314-B,91-650-B,91-664-B,143-1861-B,143-1872-B
nguchiro	100-2329-B,100-2347-B
ngumbaru	3-2641-B,3-2656-B
ngumbi	7-2820-B,7-2831-B
ngumi	18-2442-S,18-2634-S,18-2652-S,18-2670-S,64-865-B,122-830-S
ngungwi	98-2077-B,98-2093-B
nguo	16-1743-B,16-1753-B,28-2930-B,28-2941-B,29-166-B,29-180-B,51-1345-B,51-1356-B,60-1572-B,60-1584-B,69-1062-B,69-1075-B,90-1504-S,93-2131-B,93-2146-B,96-2741-B,96-2755-B,165-2428-S,165-3040-B
nguo za kitanda	14-2732-B
nguo za rasmi	165-3053-B
nguruma	15-1525-B,73-779-B,132-1480-B,134-662-B,160-112-B
ngurumo	132-1589-B,132-1605-B
nguruwe	15-181-S,116-668-B,116-681-B,116-705-S,155-2550-B,155-2564-B
nguruwe jike	146-1885-B,146-1902-B
nguruzi	111-391-B,111-403-B,115-1033-B,115-1046-B
nguu	110-2906-B,110-2916-B,153-3330-B,154-0-B
nguva	95-2560-B,95-2574-B,98-848-B
nguvu	9-3020-S,12-658-B,12-674-B,46-96-S,52-2037-S,55-779-S,55-898-B,55-911-B,66-661-B,66-673-B,81-1040-B,81-1057-B,83-1271-B,83-1287-B,110-241-B,110-255-B,110-406-S,117-346-B,117-358-B,127-2157-S,139-1172-B,139-1190-B,151-1552-B,151-1567-B,152-760-S,167-2860-B,167-2876-B,167-2940-S
nguvu ya umeme	53-2741-B
nguvufarasi	78-2467-B,78-2490-B
nguvuni	9-3038-S
nguyu	89-1335-B,89-1349-B
nguzi	77-2151-B,77-2162-B
nguzo	11-419-B,11-435-B,14-95-B,14-107-B,14-1259-B,14-1270-B,30-121-B,30-134-B,30-801-B,30-815-B,36-256-B,36-276-B,70-1362-B,70-1375-B,100-2624-B,100-2639-B,113-1925-B,113-1938-B,116-1743-B,116-1754-B,120-1617-B,120-1629-B,120-1935-B,120-1946-B,154-2147-B,154-2161-B
ngwe	109-635-B,109-647-B,115-803-B,115-813-B
ngwena	37-2506-B,37-2523-B
ni	6-1322-B,6-1328-B,9-1371-B,9-1378-B,14-878-B,87-902-B,87-908-B,174-1794-B
nia	5-1606-B,5-1614-B,33-1943-B,33-1958-B,33-2659-B,41-992-B,71-504-B,71-513-B,85-1737-B,85-2370-B,85-2384-B,85-2525-S,122-2137-B,122-2149-B,126-988-B,130-492-B,159-1513-B,159-1525-B,165-3293-S,165-3345-S
niaba	42-2809-B,43-3265-B,43-3278-B,43-3291-B,128-2448-B,128-2469-B,128-2490-B
niabu	42-2824-B,43-3304-B,43-3317-B,43-3330-B,128-2511-B,128-2532-B,128-2553-B
nidhamu	15-968-B,15-985-B,33-1973-B,33-1999-B,47-1270-B,47-1289-B,57-566-B,57-584-B,107-935-B,107-949-B
nikaha	96-1121-B,96-1137-B,170-2607-B,170-2622-B
nikahi	96-1153-B,96-1169-B,170-2637-B,170-2652-B
nikeli	103-1587-B
nili	82-3118-B,82-3130-B
ning inia	40-431-B,132-2272-B,155-1311-B,155-2679-B
ning inisha	155-551-B
ning iniza	155-572-B
nini	172-0-S
ninyi	174-1801-B
niobi	103-1994-B
nisha	149-960-B,149-973-B
nishaa	149-986-B,149-1000-B
nishai	53-387-B,53-402-B,83-403-B,83-422-B
