higad sang suba	34-289-S
huad	7-3650-B,8-360-B,14-2626-B,19-2780-B
huaran	14-477-B
huaron	42-1300-B
hubag	3-2853-B,43-212-B
hubaran	43-2640-B
hubaron	23-2075-B
hublas	26-1329-B,27-678-B
hublasan	9-2297-B
hubo	43-767-B
huboan	43-806-B
hubog	12-167-B,18-653-B
hubon	18-721-B,41-1907-B
hudiyo	21-2094-B
huebes	41-2180-B
huebesssanto	19-2311-B
hugakan	23-2135-B
hugakum	17-2543-B
hugakumon	17-2556-B,17-3051-B
hugasan	22-1344-B
hugnatan	40-3077-B
hugot	41-2429-B
hugotsmga pagtiguha	10-368-B
hugton	6-1373-B
hugyaw	5-3166-B
hukman	7-999-B
hukmanan	7-3350-S,8-610-B
hukom	23-3278-B,45-338-S
hukson	10-3517-B
hulag	1-867-B,9-1427-S,25-1859-B,25-3149-B
hulagan	15-2552-B,36-415-B
hulagon	26-209-B
hulam	4-90-B
hulas	25-2049-B,38-2895-B
hulatan	23-1422-B
hulatlakat	22-978-B
hulaton	2-2429-B,14-1444-B
hulip	29-1026-B
hulipan	29-1038-B
hulohapulason	16-156-B
hulonan	34-1060-B
hulot balatonan	29-158-B
hulot paligosan	2-3315-S
hulot tulugan	3-424-B
hulotssa ospital	45-157-B
hulukmongan	18-1264-B
hululatan	44-3242-B
hulusayon	32-459-B
humalampang	22-1751-S
humangon	34-75-B
humanon	7-211-B,24-486-B
humapon	29-2598-B
humibi	8-1424-B,45-1489-B
humon	30-2317-B,46-221-B
humonon	46-232-B
humugpa	22-620-B
humulag	26-225-B
humulam	4-103-B
humulas	27-3073-B
hunahunaon	41-1370-B
hunasan	3-33-B
hungod	1-573-S,20-837-S,21-1058-S,44-2728-B
hungodsnga pagpatay	24-1174-S
hunog	25-2061-B
hunosanssang lamisa ukon aparador	36-1146-B
huo	46-2135-B
huod	46-2143-B
huol	46-611-B
hupay	26-3064-B
huringhuring	34-1833-B
hurmahan	25-3387-B
hurmahanssa kalu	3-2334-B
hurmahon	25-3402-B
hurno	16-2899-B,28-1448-B
hurnohon	2-2822-B
huroshuros	4-2933-B
hurubaton	24-2426-B,25-3371-B,31-3469-B,35-661-B
husay	6-2476-B
husayan	37-2302-B
husayon	2-893-B,6-2487-B,11-17-B,36-17-B
husto	1-1031-B,7-3983-B,20-1140-S,33-3284-B
hutik	45-2443-B
hutikan	45-2457-B
huya	35-2819-S,36-647-B
huya huya	35-2819-B
huyapan	21-1585-B
huyop	3-2552-B
huyop sang hangin	11-2414-B
huypon	3-2066-B,14-2105-B
hwego	35-3302-B
i	13-3303-S,25-409-S,26-3036-S,26-3294-S,42-160-S,46-2170-S
iagpilakssing bola	30-1298-B
iangay	39-3285-B
iangut	7-1720-B
ianunsyo	1-1451-B
iapid	2-1765-B
iasal	34-460-B
ibabaw	42-258-B
ibagay	24-2023-B
ibaligya	24-1500-B,35-2564-B
ibalik	33-2321-B
ibalita	19-95-B,32-76-B
ibalitassa radyo	32-1136-B
ibalu	13-2150-B
iban	1-3150-B,10-1303-B,11-417-B,20-2524-S,27-2299-S,28-3300-S,29-1938-S,37-2316-B
iban nga adlaw	37-2410-S
iban nga butang	2-1212-S
iban nga kadutaan	9-2560-S
ibanda	39-1031-B
ibanspa	28-1023-B
ibantala	32-92-B
ibaratilyo	2-3008-B
ibid	5-2598-S
ibid ibid	5-2598-B
ibilanggo	21-1630-B
ibilin	22-2027-B
iboy	25-2378-B
ibubo	31-791-B
ibulag	35-2965-B
ibunal	15-2519-B
ibutang	2-2797-B,9-3291-B,22-1593-B,35-3312-B
ibutangsnaton	2-1619-B
ibutangssa katalagman	13-864-B
ibutangssa naigoan	40-3407-B
ibutones	4-2643-B
ibuylog	20-950-B
id	40-1080-S
idagan	8-184-B
idalum	2-3223-B,3-884-S,43-1093-S
idalum duta	39-2842-S
idalumssang balay ukon hagdanan	11-2289-B
idenunsya	9-2233-B
idesignar	9-3309-B
idestino	2-1454-B,2-1509-B
idik	30-743-B,39-3020-B
idikta	10-1127-B
idrama	11-2713-B
idrowing	30-482-B
idu	11-1518-B,45-567-S
idu buang	32-981-S
idugang	1-932-B
iduhol	18-1778-B
idukot	31-414-B
idul ong	9-1955-B
idulot	45-2995-B
iduso	41-2047-B
igaid	41-616-B
igasubo	9-2526-B
igisa	38-3315-B
igkasangkul	19-800-S
igo	11-373-S
igos	15-672-B
igpat	15-2001-B,15-2040-B,15-2347-S,17-1807-B,42-3340-S
igpat igpat	42-3340-B
ihaboy	5-1275-B,12-412-B,41-2009-B
ihabyog	40-1803-B
ihalay	18-2030-B
ihatag	3-1164-B,17-3010-B,18-1790-B,45-3007-B
ihaw	4-2567-S
ihi	43-3185-B
ihigut	34-1101-B,36-430-B,41-629-B
ihulog	11-3484-B
ihumlad	16-2839-B,43-1484-B
iilis	39-2695-B
iiras	32-1722-B
ik	36-2130-S,36-2144-S
ika duhaska pulo	42-3187-B
ika napulo gslima	15-544-B
ika napulo gspito	36-173-B
ika napulo gswalo	12-2120-B
ikaayong lawas	18-3246-B,30-289-S
ikadena	5-2331-B
ikaduha	12-458-B,35-2095-B
ikaisaska milyon	25-962-B
ikalima	15-572-B
ikan um	37-124-B
ikanapulo gsanum ka bahin sang isa ka libra	28-1083-B
ikanapulo gsapat	16-1616-B
ikandado	23-1522-B
ikandos	10-1943-B
ikap at	16-1556-B,16-1644-B
ikapito	36-203-B
ikarga	23-1218-B
ikasal	45-1282-B
ikasarang	14-2730-S,20-2205-S,25-517-B
ikasiam	26-3176-B
ikatakata	11-662-B
ikatlo	41-1422-B
ikaw	46-2412-B
ikawalo	12-2149-B
ikawalosnga bahin sa isa ka galon	30-1073-B
ikinapulo gsduha	42-3142-B
iko napulo gsisa	12-2904-B
ikson	44-1460-B
ikubay	32-1733-B
ikug	40-2319-B
ila	41-913-B
ila man	41-934-B
iladlad	43-1499-B
ilaga	26-143-B,32-1902-B,34-691-B
ilahas	45-2922-B
ilakip	20-966-B
ilansang	26-1292-B
ilaragway	30-499-B
ilarawan	9-2495-B,9-3109-B
ilaso	22-188-B
ilatag	3-2110-B
ilawag	31-2719-B
ilaya	19-1902-B
ilibud	29-1961-B
ilig	11-3190-S,11-3216-S,15-2837-B,39-1203-B
iligan	11-825-B
iligan sang tubig	39-916-S
iligan tubig	42-2848-B
iliganssang tubig	11-2628-B
iliko	11-953-B
ilikun	7-471-B
ilimnon	3-1313-B,11-3300-B
ilimnonsnga makapahubog	23-868-B
ilinakupan	27-948-B
ilinaway	11-90-S
ilintuon	18-1086-B,18-1634-B
ilis	39-2652-S,39-2712-B
ilisans sa panapton	6-1631-B
ilisgan	19-929-B
ilista	23-899-B,30-3048-B
ilitson	34-472-B
ilo	28-946-B
ilog	25-989-S
ilogan	29-1422-B
ilogon	16-823-B,19-2765-B
ilong	27-197-B
iloy	25-3055-B
ilubong	4-2446-B,21-213-B
ilulan	36-1451-B
imando	28-574-B
imbennagtukib	21-880-B
imbento	21-846-B
imo	41-2226-B,46-2519-B,46-2538-S
imol	9-3497-S,30-3230-B
imperyo	13-235-B
impierno	19-637-B
importe	20-231-B
impresyon	20-477-B
ina	21-1492-B,41-836-B,41-1137-S,41-1160-S
inagihan	42-609-B,42-963-B
inakupon	25-3092-B,27-867-B,31-3351-B,42-1804-B
inanak	43-691-S
inano	12-653-B
inanod	11-3177-B
inanodsdinaldal sang ilig	11-3216-B
inapo	31-503-B
inasal	34-486-B
inaway	2-3354-B,45-121-B
indi	26-3226-B,27-85-B,27-232-B
indis	7-2650-S
indisgid	26-2661-B
indismatunga	20-1951-B
industriya	20-2123-B
ing	29-2098-S
inggat	37-3125-B,37-3150-B
ingles	8-1367-S
ingus	18-627-B
ini	41-1181-B,41-1488-B
inilog	19-2795-B
init	19-282-B
inog away	10-2357-S
inogbatak	12-2854-S
inogbugkos	35-99-B
inogbunyag	38-1008-B
inogpanas	13-2562-B,34-1462-B
inogpatambok	27-544-B
inogpatayssang nikrobyo	17-1111-B
inogpatulog	12-66-B
inogpilit	29-916-B
inogpugong	4-825-B
inogtahi	39-217-B
inogtinda	24-3444-B
inplwensya	20-2503-B
insenso	20-730-B
inspektor	20-3514-B
instituto	20-3715-B
insulto	20-3900-B
insultohon	20-3915-B
interes	21-265-B
interesan	8-774-B
interesdo	21-301-B
intu	27-1103-S
intu intu	27-1103-B
inumol	15-1756-B
inunahanssa pagtubo	28-1314-B
inupakan	29-2051-B
inuporay	6-3225-S,7-3590-S
inutil	9-999-B
inutlan	8-1315-B
inyo	46-2528-B
ipaabot	14-2072-B
ipaako	2-1640-B
ipaalinton	7-3280-B,14-2087-B,42-1356-B
ipaanggid	6-3289-B
ipaathag	9-2153-B,14-1816-B
ipaatipan	2-1470-B
ipaatubang	43-3319-B
ipabalik	33-118-B
ipabantala	1-1470-B
ipadala	35-2672-B,36-1463-B
ipadayon	31-1847-B
ipadumdom	32-2876-B
ipagua	36-1964-B
ipahamtang	35-3324-B
ipahanugot	17-3023-B
ipahayag	11-1184-B,14-1970-B,19-109-B,43-2897-B,44-2554-B
ipahayags sa radyo	4-1509-B
ipahibalo	1-3069-B,31-2736-B
ipahilayosang buot	1-2285-B
ipakilala	14-97-B,21-712-B
ipakita	9-2174-B,9-2511-B,14-114-B,20-1638-B,36-1976-B
ipakulob	43-3032-B
ipalagyo	1-80-B
ipalapta	10-1447-B
ipalaton	7-2523-B
ipaligid	34-730-B
ipamaligya	42-901-B
ipamangkut	2-1242-B,7-2424-B,21-434-B
ipangapin	7-2577-B
ipanghatag	11-33-B,11-683-B
ipangutana	7-2443-B
ipapas an	23-1230-B
iparagpag	45-748-B
ipareho	23-242-B
iparilya	4-1539-B
ipasakup	39-2592-B
ipasalipadpad	15-2532-B
ipasayud	1-805-B,1-3088-B
ipaseguro	20-4006-B
ipastil	31-426-B
ipasugat	40-53-B
ipasulodsulod	20-1417-B
ipasyar	38-1373-B
ipausisa	7-2462-B
ipilak	5-1287-B,41-2022-B
ipremyo	31-1634-B
iprenda	29-1585-B
iprito	16-2567-B,38-3326-B
ipulon	34-744-B
iras	32-1699-B
irigasyon	21-1228-B
irolyo	34-756-B
is	40-1610-S
isa	1-0-B,27-2948-B,27-2956-S
isa ka banwa	14-1409-S
isa ka bapor	5-2857-S
isa ka galon	30-1073-S
isa ka libra	28-1083-S
isa ka pook	46-2908-S
isa ka tiil	22-483-S
isa pa	23-286-B
isab og	10-1464-B
isablay	18-2042-B
isagatusonska tuig	5-2075-B
isahanon	1-2522-B,23-1847-B,37-2266-B
isahay	6-1986-S
isahon	16-3142-B,21-1301-B,36-3227-B
isahonon	37-2183-B
isal ut	20-3354-B
isalili	39-2728-B
isangat	29-1598-B
isasisa	23-1861-B
isaska bahin	29-531-B
isaska bahin sang estado	8-377-B
isaska binalaybay sa pagkabaganihan	13-2347-B
isaska butang	21-1532-B,37-2367-B
isaska dapal	26-166-B
isaska hakup	18-1828-B
isaska hampang sang mga ingles	8-1367-B
isaska hiwa sang karne sang baka	38-2841-B
isaska maitum nga tao	26-2311-B
isaska pahat nga duta	42-666-B
isaska sari sang kahoy sa amerika	27-1143-B
isaska tinion	20-3628-B
isaspa	1-3163-B,30-2556-B
isaulo	24-3256-B
isawsaw	10-1955-B
isaylo	32-3106-B
isaylos sa panublion	7-3298-B
isaylosiliton	42-1138-B
isaysay	9-3127-B,38-2460-B
isaysayssa sugilanon	26-1445-B
isganan	2-2213-B,17-26-B
isibu	1-1084-B,24-2036-B
isiisi	38-1750-S
isikway	21-2152-B
isip	7-629-S,8-290-B,10-3469-S,13-2164-S,15-797-S,25-1005-B,27-766-B
isip nga wala y sandigan	15-319-S
isipon	41-1387-B
isira	36-2252-B
isla	21-1256-B
islan	5-2516-B,6-1659-B,11-3011-B,33-344-B,33-2466-B
iso	5-2389-B
ison	40-1625-S,40-1644-S
ispiya	15-586-B
istandard	38-2133-B
istraberi	39-1084-B
isugo	28-515-B,28-587-B
isugpon	7-1735-B
isuksok	11-1798-B
isul	20-1441-B,46-385-S
isul duksol	38-1982-S
isulat	23-911-B
isulod	13-654-B
isulodssa isip	10-3469-S
isumbong	9-2252-B
itabid	2-1529-B
itago	7-486-B
itakup	6-1466-B,36-2263-B
itakus	15-1808-B
italikala	5-2345-B
itama	1-1097-B
