eleven	12-2884-B
erase	13-2548-B
eraser	13-2562-B
erasure	13-2579-B
erect	13-2596-B,13-2611-B,13-2625-B,13-2639-B
erosion	13-2653-B,13-2672-B
err	13-2691-B
errand	13-2704-B,13-2721-B
error	13-2733-B,13-2750-B
escape	13-2767-B
escort	13-2785-B,13-2799-B,13-2813-B
essence	13-2833-B,13-2849-B,13-2865-B,13-2882-B
essential	13-2899-B,13-2921-B
establish	13-2939-B,13-2958-B
estate	13-2977-B,13-2991-B
esteem	13-3010-B,13-3031-B,13-3047-B
estimate	13-3062-B,13-3082-B,13-3103-B,13-3122-B
eternal	13-3141-B,13-3164-B,13-3189-B
etiquette	13-3214-B
evaporation	13-3245-B
even	13-3267-B,13-3281-B,13-3292-B
evening	13-3303-B
event	13-3317-B,13-3330-B
ever	13-3346-B,13-3367-B,13-3378-B
everlasting	13-3400-B,13-3429-B
every	13-3458-B
everybody	13-3475-B,13-3491-B
everyone	13-3507-B,13-3532-B
everything	13-3547-B,13-3564-B
everywhere	13-3581-B,13-3603-B
eviction	13-3632-B,13-3652-B
evidence	14-0-B
evident	14-20-B,14-36-B,14-52-B
evil	14-72-B,14-84-B
evince	14-97-B,14-114-B
evolution	14-129-B,14-149-B,14-169-B
exact	14-189-B,14-200-B
exacting	14-220-B
exaggerate	14-241-B,14-263-B
exaltation	14-286-B,14-306-B
examination	14-328-B,14-353-B
examine	14-377-B,14-396-B
examiner	14-414-B,14-437-B
example	14-459-B,14-477-B
exasperating	14-492-B,14-516-B
exceed	14-540-B,14-555-B
exceedingly	14-570-B,14-592-B
excel	14-610-B,14-627-B
excellent	14-641-B,14-657-B
except	14-676-B,14-692-B
exception	14-704-B,14-723-B
excess	14-744-B,14-757-B
excessive	14-770-B
exchange v	14-792-B,14-811-B
excitement	14-830-B,14-846-B,14-863-B
exclaim	14-884-B
exclusive	14-899-B
excuse	14-916-B,14-935-B,14-955-B,14-973-B,14-991-B
execute	14-1010-B,14-1026-B
executive	14-1042-B
exercise	14-1062-B,14-1079-B
exercised	14-1102-B,14-1126-B,14-1145-B
exhaust	14-1169-B,14-1184-B
exhibit	14-1199-B
exist	14-1218-B
existence	14-1233-B,14-1252-B
exit	14-1273-B,14-1286-B
exodus	14-1301-B,14-1315-B
exonerate	14-1331-B
expand	14-1356-B,14-1372-B,14-1389-B
expatriate	14-1409-B
expect	14-1444-B,14-1459-B
expectation	14-1474-B,14-1507-B
expedition	14-1527-B,14-1549-B
expense	14-1573-B,14-1587-B
expensive	14-1605-B,14-1622-B
experiement	14-1638-B,14-1668-B
experience	14-1689-B
expert	14-1712-B
expiration	14-1728-B,14-1749-B
expire	14-1770-B,14-1785-B,14-1800-B
explain	14-1816-B
explode	14-1833-B,14-1848-B
exploit	14-1865-B,14-1882-B
explore	14-1901-B,14-1919-B
export	14-1935-B,14-1951-B
expose	14-1970-B
express	14-1986-B
expressive	14-2016-B
extend	14-2041-B,14-2057-B
extent	14-2072-B,14-2087-B
extinguish	14-2105-B,14-2123-B
extort	14-2143-B
extra	14-2160-B,14-2173-B
extract	14-2188-B
extraordinary	14-2203-B,14-2224-B
extravagant	14-2251-B,14-2270-B
extreme	14-2292-B,14-2306-B
extricate	14-2321-B
eye	14-2340-B
eye ball	14-2349-B
eye brow	14-2368-B
eyed	38-2326-S
eyelash	14-2383-B
eyelid	14-2400-B
eyewitness	14-2415-B,14-2435-B
fable	14-2452-B,14-2468-B
fabric	14-2495-B,14-2509-B
fabrication	14-2521-B
facade	14-2542-B,14-2559-B,14-2574-B
face	14-2591-B
facility	14-2606-B
facsimile	14-2626-B,14-2641-B,14-2657-B
fact	14-2681-B
factory	14-2697-B,14-2714-B
faculty	14-2730-B,14-2752-B
fade	14-2783-B,14-2795-B,14-2809-B
fail	14-2824-B,14-2840-B
favor	14-2853-B
favorable	14-2874-B,14-2890-B
favorite	14-2906-B,14-2924-B
fear	14-2944-B,14-2962-B
fearful	14-2977-B,14-2998-B
feasibility	14-3018-B
feast	14-3039-B,14-3053-B
feat	14-3065-B
feather	14-3078-B,14-3095-B
feathery	14-3110-B,14-3130-B,14-3147-B
feature	14-3165-B,14-3180-B
february	14-3200-B
fee	14-3217-B,14-3227-B
feeble	14-3239-B
feed	14-3253-B,14-3265-B,14-3278-B
feel	14-3292-B
feeling	14-3306-B
feet	14-3325-B
feign	14-3339-B,14-3359-B
felicitate	14-3375-B
felonious	14-3401-B,14-3419-B,14-3439-B
felt	14-3462-B
female	14-3478-B,14-3491-B
fence	14-3510-B
fend	14-3522-B
fern	14-3537-B,14-3548-B
ferocious	14-3559-B
ferret	15-0-B
ferry	15-14-B
fertile	15-26-B,15-45-B
fertilize	15-62-B
fervent	15-83-B,15-100-B
festivity	15-116-B,15-137-B
fetch	15-161-B
fete	15-175-B,15-188-B
fetid	15-201-B,15-214-B,15-229-B
fetish	15-244-B
fever	15-265-B,43-84-S
feverish	15-278-B
few	15-299-B,15-310-B
fiction	15-319-B,15-363-B
fiddle	15-389-B
fidelity	15-403-B
field	15-422-B,15-434-B
fiendish	15-448-B,15-470-B
fierce	15-492-B
fiery	15-508-B,15-529-B
fifteenth	15-544-B
fifth	15-572-B
fifth column	15-586-B,15-606-B,15-633-B
fifty	15-657-B
fig	15-672-B
fight	15-681-B,15-692-B,15-705-B
figurative	15-722-B,15-742-B
figure	15-767-B,15-781-B,15-797-B
figurehead	15-821-B,15-839-B
file	15-864-B,15-876-B,15-890-B,15-904-B
filibuster	15-920-B,15-946-B
fill	15-969-B,15-981-B,15-995-B,15-1008-B
film	15-1020-B
filth	15-1034-B,15-1046-B
filtrate	15-1058-B,15-1077-B
finally	15-1093-B
finance	15-1111-B
financeir	15-1127-B
find	15-1149-B
fine	15-1164-B,15-1178-B,15-1189-B,15-1203-B,15-1213-B,15-1227-B,15-1239-B
finger	15-1252-B
finger wave	15-1265-B
fingerprints	15-1298-B
finish	15-1332-B,15-1349-B,15-1367-B
fire	15-1382-B
firebrand	15-1394-B,15-1411-B
fireman	15-1432-B
firewood	15-1448-B,15-1463-B
fireworks	15-1484-B,15-1501-B
firm	15-1531-B,15-1555-B,15-1570-B,15-1583-B,15-1596-B
firmness	15-1613-B,15-1632-B
first	15-1652-B,15-1666-B
fish	15-1676-B,15-1690-B,26-351-S,26-367-S
fisherman	15-1703-B
fishery	15-1725-B
fishy	15-1743-B
fist	15-1756-B,15-1768-B
fistic	15-1780-B
fit	15-1798-B,15-1808-B,15-1819-B
fitting	15-1828-B,15-1847-B
five	15-1865-B
fix	15-1875-B,15-1888-B
fixture	15-1902-B
fizzle	15-1922-B
flabby	15-1936-B
flag	15-1952-B,15-1965-B
flap	15-1978-B,15-1990-B
flare	15-2001-B,15-2013-B
flash	15-2026-B,15-2040-B
flashy	15-2052-B,15-2066-B,15-2081-B
flat	15-2097-B
flatter	15-2110-B
flattery	15-2132-B
flavor	15-2151-B
flaw	15-2164-B,15-2177-B
flea	5-3083-S,15-2188-B
flee	15-2199-B,15-2212-B
fleece	15-2228-B,15-2243-B
fleet	15-2257-B,15-2271-B,15-2285-B
fleeting	15-2305-B
flesh	15-2321-B,15-2333-B
flickering	15-2347-B,15-2374-B
flight	15-2401-B,15-2417-B
flighty	15-2435-B,15-2454-B,15-2468-B
flimsy	15-2488-B,15-2504-B
fling	15-2519-B,15-2532-B
flippant	15-2552-B
float	15-2569-B,15-2581-B,15-2594-B,15-2607-B
flock	15-2621-B,15-2637-B,15-2656-B
flood	15-2674-B,15-2685-B
floor	15-2698-B
flora	15-2710-B
florid	15-2748-B
florist	15-2765-B
flour	15-2790-B
flourish	15-2802-B,15-2820-B
flow	15-2837-B,15-2847-B,15-2858-B,15-2871-B
flower	15-2883-B
flowering	15-2896-B
fluctuate	15-2916-B,15-2939-B
fluent	15-2962-B,15-2978-B,15-2993-B
fluid	15-3018-B,15-3034-B
flutter	15-3047-B,15-3067-B
fly	15-3087-B,15-3098-B
fly leaf	15-3108-B
foam	15-3126-B,15-3137-B
foe	15-3150-B,15-3161-B
fog	15-3175-B
foggy	15-3186-B
foil	15-3201-B
fold	15-3214-B,15-3231-B,15-3243-B,16-0-B
foliage	16-15-B
folk	16-33-B,16-48-B
follow	16-57-B
follower	16-72-B,16-88-B
following	16-107-B
folly	16-125-B
fond	16-141-B
fondle	16-156-B
fondness	16-177-B
food	16-196-B
fool	16-209-B,16-226-B
foolish	16-239-B
foot	16-253-B,16-269-B,16-279-B
foot loose	16-329-B,16-351-B
footlights	16-291-B,16-312-B
footsteps	16-375-B
for	16-395-B,16-407-B
forbearance	16-421-B
forbid	16-443-B
forbidden	16-457-B
force	16-478-B,16-490-B,16-505-B,16-517-B
fore	16-531-B
forearm	16-543-B
foreboding	16-563-B
forego	16-585-B,16-599-B
foregone	16-615-B
forehead	16-637-B
foreign	16-653-B
foreigner	16-671-B,16-691-B
foreman	16-712-B
foremost	16-728-B
forenoon	16-748-B
forest	16-769-B
forever	16-787-B
forfeit	16-806-B
forge	16-823-B,16-836-B
forger	16-851-B
forget	16-870-B
forgetful	16-885-B
forgive	16-905-B
forgiveness	16-923-B
forgotten	16-947-B
fork	16-967-B
forlorn	16-980-B,16-1002-B,16-1023-B
form	16-1046-B,16-1058-B
formal	16-1069-B,16-1084-B
former	16-1098-B,16-1111-B
formerly	16-1126-B
forsake	16-1146-B,16-1163-B,16-1183-B
fort	16-1199-B
forth	16-1209-B
forthcoming	16-1224-B
fortnight	16-1247-B
fortunate	16-1266-B,16-1284-B
forty	16-1304-B
forward	16-1319-B,16-1337-B,39-783-S,39-812-S
foul	16-1354-B,16-1366-B,16-1379-B
foundation	16-1391-B,16-1413-B,16-1436-B
founder	16-1457-B,16-1474-B
fountain	16-1491-B,16-1506-B
four	16-1521-B
four o clock	16-1531-B,16-1556-B
foursome	16-1577-B
fourteen	16-1593-B
fourteenth	16-1616-B
fourth	16-1644-B
fowl	16-1659-B,16-1670-B
fox	16-1682-B
foxy	16-1691-B,16-1703-B
fraction	16-1715-B,16-1732-B,16-1749-B
fragile	16-1766-B,16-1782-B
fragrant	16-1798-B,16-1815-B
frail	16-1832-B,16-1845-B
frame	16-1859-B,16-1872-B
frank	16-1889-B
frankness	16-1902-B
fraternity	16-1921-B
fraud	16-1945-B
fraught	16-1959-B
free	16-1976-B,16-1988-B
freedom	16-2009-B
freeze	16-2028-B,16-2046-B
freight	16-2062-B,16-2085-B
frenzy	16-2099-B
frequent	16-2114-B,16-2132-B,16-2147-B
fresh	16-2162-B
fret	16-2175-B
friday	16-2190-B
frog	16-2205-B
frolic	16-2215-B,16-2235-B
frolicsome	16-2253-B
from	16-2275-B,16-2289-B
front	16-2303-B,16-2318-B,16-2334-B
frost	16-2347-B
froth	16-2365-B,16-2395-B
frown	16-2411-B
frozen	16-2428-B,16-2446-B
frugality	16-2466-B
fruit	16-2488-B
fruitful	16-2508-B
frustrate	16-2528-B,16-2548-B
fry	16-2567-B
fuel	16-2578-B
fulfill	16-2590-B
fulfillment	16-2606-B
full	16-2629-B,16-2640-B
fully	16-2650-B,16-2663-B
fun	16-2676-B,16-2691-B
fund	16-2701-B,16-2712-B,16-2730-B
fungus	16-2750-B
funnel	16-2769-B,16-2783-B
fur	16-2798-B
furious	16-2822-B
furl	16-2839-B
furlough	16-2852-B
furnance	16-2880-B,16-2899-B
furneral	16-2914-B
furnish	16-2930-B,16-2946-B
furnishing	16-2964-B,16-2985-B
furniture	16-3008-B
further	16-3030-B,16-3042-B,16-3064-B
furtherance	16-3085-B
furtive	16-3108-B
fury	16-3126-B
fusion	16-3142-B,16-3156-B
fussilade	16-3171-B
futile	16-3191-B,16-3211-B
future	16-3235-B,16-3254-B
gain	16-3272-B,16-3286-B,16-3303-B,16-3318-B,16-3330-B,16-3341-B
gale	16-3355-B
gall	17-0-B
gallant	17-10-B,17-26-B
gallery	17-42-B
gallon	17-58-B,17-71-B
gallop	17-118-B,17-132-B
game	17-148-B
gander	17-161-B
gandson	17-174-B
gangplank	17-186-B,17-204-B
gangrene	17-222-B,17-240-B
gape	17-258-B
garage	17-275-B
garb	17-289-B,17-301-B
garbage	17-315-B
garden	17-333-B,42-2594-S
gardener	17-347-B
gardenia	17-366-B
gargle	17-381-B
garland	17-399-B
garlic	17-450-B
