toisenlainen	69-3400-B,271-3287-B
tonkka	34-708-B,41-1655-B
tonnisto	224-1738-B,261-2292-B
tono	33-567-B,55-2075-B,122-859-B,123-1690-B,222-2313-B
tontti	148-345-B,227-3192-B
tonttu	30-1677-B,109-2311-B
top	143-2867-B
topaasi	261-2952-B
topakka	114-1372-B,206-3456-B
topakkuus	219-3120-B
topografia	262-97-B,268-3433-B
torahammas	268-762-B
toraisa	195-3468-B,225-2372-B
torakka	45-813-B
tori	152-1019-B,152-1164-B,238-1987-B
torjua	16-25-B,24-2232-B,66-3706-B,68-2060-B,72-3534-B,94-2528-B,94-2654-B,154-2097-B,167-2835-B,174-1591-B,189-871-B,200-2654-B,200-2838-B,203-597-B,203-661-B,203-3384-B,205-1751-B,205-3641-B,206-935-B,206-3148-B,217-1807-B,250-738-B
torkahtaa	76-1630-B,162-1215-B,165-194-B,232-604-B
torkea	44-3126-B,57-1684-B,81-1703-B,111-2773-B,113-44-B,122-1208-B,128-2072-B,167-1051-B,171-1138-B,198-2173-B,212-2772-B,218-1645-B
torkeys	44-3221-B,113-59-B,167-1150-B,218-1591-B
torkkuminen	165-228-B,229-1191-B
torky	71-429-B,96-536-B,106-1918-B,160-2984-B,203-611-B,212-2356-B,264-2558-B
torma	18-249-B,29-3038-B,43-2201-B
tormays	31-1535-B,46-355-B,57-1617-B,125-1722-B
torni	36-2016-B,211-1517-B,236-1148-B,241-2096-B,262-3110-B,268-672-B
torpedoida	262-604-B
torppa	58-2219-B
torppari	55-2116-B,58-2278-B,142-1679-B,256-1461-B
torrottaa	242-793-B
torsata	236-3349-B,238-1578-B
torttu	33-1404-B,98-0-B,180-598-B,254-2796-B
torua	40-1508-B,199-718-B,217-495-B
toruminen	199-1151-B
torut	200-2812-B
torvi	31-250-B,40-2430-B,42-1543-B,121-1922-B,165-2094-B,181-126-B,237-1878-B,266-2408-B,267-336-B
torvimainen	267-512-B
tosi	92-0-B,107-2917-B,200-669-B,266-2155-B,266-3080-B,266-3151-B,276-347-B,276-1135-B
tosiaan	128-2338-B,200-1288-B,250-1265-B,266-2291-B
tosiasia	91-907-B
tosiasiallinen	3-3237-B,91-1252-B,186-3030-B,200-679-B,277-1699-B
tosin	258-2202-B
tosiseikka	91-921-B
tosite	75-644-B,200-3223-B,230-140-B,278-2006-B,280-44-B
totaalinen	7-1105-B,262-1438-B
totalisaattori	262-1742-B
totalitaarinen	262-1508-B
totalitarismi	262-1536-B
toteamus	72-343-B,96-1474-B,240-3342-B
toteuttaa	2-3033-B,3-3300-B,88-2421-B,104-2681-B,125-3822-B,200-1153-B
toteuttaminen	2-3131-B,104-2758-B,125-3861-B,200-905-B
toteutua	153-985-B
toteutuminen	104-2194-B,104-2783-B,153-905-B,200-931-B
toteutus	125-3890-B,200-956-B
toti	261-892-B
totinen	80-171-B,111-2744-B,221-639-B,233-577-B
totisesti	128-2353-B,200-1303-B,266-2305-B,276-228-B
totisuus	80-222-B,221-768-B
totta	266-2165-B
tottelematon	72-3745-B,132-2010-B
tottelemattomuus	72-3695-B,132-2093-B
totteleminen	9-3505-B,100-2268-B
tottelevainen	79-1846-B,166-3033-B
tottelevaisuus	166-2971-B
tottero	50-123-B,54-2919-B,218-111-B
tottua	3-629-B
tottumaton	164-469-B,244-1938-B
tottumattomuus	129-3648-B,270-3206-B
tottumus	61-702-B,89-2490-B,114-1954-B,186-3243-B,212-1415-B,285-2416-B
totunnainen	53-2345-B,61-775-B
totuttaa	3-645-B,114-2087-B,132-2791-B,218-2948-B,263-1764-B
totuttaminen	263-2013-B
totuudellinen	266-3165-B
totuudenmukainen	266-3188-B
totuudenmukaisuus	266-3091-B,266-3242-B,275-3014-B
totuudenvastainen	272-3863-B,272-3989-B
totuus	266-3115-B,276-362-B
touhu	4-2855-B,32-1660-B,99-3260-B,105-2294-B,123-1515-B,186-1440-B,261-486-B
touhuta	32-1673-B,105-2305-B,123-1528-B
toukka	37-66-B,113-1425-B,141-96-B,149-2918-B,286-1521-B
touvi	117-374-B
toverihenki	94-2027-B
toverillinen	47-3093-B,49-297-B,153-1061-B
toverillisuus	34-55-B,232-2082-B
toveruus	47-3165-B,49-320-B,94-2050-B
tovi	235-3324-B
toyhto	58-677-B,183-1263-B,261-3088-B,267-706-B
toykea	1-2698-B,25-1260-B,30-2157-B,41-1593-B,72-102-B,113-1615-B,116-1963-B,212-273-B,212-2786-B,225-333-B,271-2954-B
toykeys	1-2833-B,13-2003-B,30-2193-B,212-2921-B
toykkia	137-204-B
toyry	119-2712-B,122-2819-B
toytaista	32-2244-B,135-3080-B,195-675-B,225-1252-B
toytaisy	135-3097-B,195-693-B
tragiikka	263-1329-B
traktaatti	263-525-B,265-106-B
transaktio	263-2977-B
transistori	264-521-B
transito	264-583-B
transkriptio	263-3412-B
transsi	263-2654-B
trapetsi	264-2332-B,264-2393-B,264-2437-B
trauma	264-2586-B
traumaattinen	264-2613-B
treenata	44-2503-B,263-1779-B
treenaus	88-3184-B,263-2035-B
trendi	265-935-B
trigonometria	265-2266-B
trikki	265-1806-B
trikoo	136-1025-B,139-791-B,265-2062-B
trikoot	143-1361-B
triljoona	265-2378-B
trilleri	259-165-B
trilogia	265-2397-B
trio	265-2773-B
triptyykki	265-3113-B
triviaali	266-105-B
troikka	266-318-B
trokari	26-2451-B
troolari	264-2990-B
tropiikki	266-721-B
trubaduuri	157-0-B,266-815-B
trukki	266-1819-B
trumpetti	266-2422-B
trusti	46-2124-B,266-2857-B
tryffeli	266-2228-B
tsaari	61-2765-B
tsaaritar	61-2777-B,61-2792-B
tuberkuloottinen	267-389-B,267-442-B
tuhahdus	232-745-B
tuhahtaa	232-760-B
tuhannes	258-2703-B
tuhat	258-2688-B
tuherrus	217-2575-B
tuhertaa	61-2890-B,62-3035-B,217-2591-B,218-287-B,260-1899-B
tuhertaja	31-2127-B,61-2927-B,62-3095-B,218-385-B
tuhista	120-135-B,232-378-B,232-775-B,232-1513-B
tuhka	13-1465-B
tuhkakuppi	13-1530-B
tuhkanharmaa	13-1475-B,13-1497-B,13-1549-B
tuhkarokko	154-96-B
tuhkauurna	36-1433-B,273-2457-B
tuhlaaja	235-3578-B
tuhlaavaisuus	90-2607-B,126-2512-B,190-2237-B,191-687-B,280-1182-B
tuhlaus	90-2634-B,280-859-B,280-1155-B
tuhma	16-3219-B,163-0-B
tuhmuus	162-3746-B
tuho	9-2082-B,17-1353-B,24-1393-B,34-1818-B,62-411-B,68-2229-B,69-194-B,71-1475-B,75-2547-B,90-1659-B,92-790-B,117-206-B,172-462-B,199-2316-B,213-55-B
tuhoelain	179-608-B
tuholaistoiminta	214-202-B
tuhopoltto	13-52-B,127-1188-B
tuhota	9-2042-B,24-289-B,24-1405-B,28-2750-B,34-1830-B,40-239-B,68-2075-B,69-156-B,72-2061-B,90-1617-B,164-2824-B,199-91-B,199-2328-B,199-2693-B,213-65-B,214-228-B,223-1852-B,224-1778-B,231-1047-B,270-1846-B,271-3704-B,274-3052-B,280-1169-B,286-3250-B
tuhotulva	99-823-B
tuhotyo	62-423-B,214-244-B
tuhoutua	178-1339-B,286-3263-B
tuhrata	233-194-B
tuhruinen	71-664-B,231-1981-B
tuijottaa	106-1769-B,107-626-B,107-764-B,108-2690-B,109-1801-B,168-2206-B,240-1298-B
tuijotus	240-1314-B,240-1366-B
tuikata	184-805-B,189-1541-B,230-152-B,242-779-B
tuike	109-634-B,268-1663-B
tuikea	112-1405-B,223-1487-B,241-3347-B
tuiki	8-803-B,90-2953-B,196-3116-B
tuikkia	109-16-B,109-648-B,268-1677-B
tuimuus	13-1986-B,112-1533-B,222-1749-B,223-1731-B
tuisku	24-1856-B,232-1316-B
tuittupainen	35-314-B,58-2836-B,117-2006-B,134-3718-B,177-2557-B,179-1487-B
tukahduttaminen	205-3656-B,250-862-B
tukala	16-1020-B,69-3572-B,82-1756-B,116-0-B,269-3038-B
tukaluus	70-190-B,82-1824-B
tukehdus	248-2008-B
tukehduttaa	13-2144-B,41-272-B,231-1851-B,242-1559-B,244-2198-B,248-1967-B
tukehtua	41-290-B,231-1871-B,242-1578-B,248-1989-B
tukehtuminen	13-2193-B,41-305-B,248-2029-B
tukeminen	16-2483-B,142-1130-B,244-3466-B,250-348-B
tukeva	16-2501-B,27-1488-B,32-18-B,32-2592-B,97-108-B,117-3236-B,118-992-B,142-1148-B,183-2550-B,210-2453-B,219-1124-B,233-894-B,239-567-B,239-2608-B,241-1251-B,243-904-B,244-210-B,244-3490-B,246-2811-B,247-3269-B,250-369-B
tukevuus	97-350-B,241-1132-B,244-267-B
tuki	2-1094-B,6-2388-B,16-2395-B,28-80-B,32-2536-B,59-2245-B,83-2980-B,150-906-B,191-3993-B,207-1301-B,239-1795-B,239-3069-B,241-712-B,246-136-B,249-3440-B
tukialue	19-37-B,245-2847-B
tukialus	35-3622-B
tukikeppi	239-1956-B
tukipalkkio	27-2016-B,247-2714-B,248-0-B
tukka	114-2568-B
tukkalaite	45-1842-B
tukkeuma	24-2245-B,24-2362-B,167-2574-B,167-3378-B
tukkeutua	44-292-B
tukki	19-2958-B,147-356-B,211-945-B,243-578-B
tukkijatka	147-420-B,149-211-B
tukkipuu	260-934-B
tukkityo	147-503-B
tukko	31-1812-B,183-919-B,251-914-B,254-889-B,267-684-B,278-2497-B
tukku	31-1824-B,31-1966-B,278-2507-B,283-1678-B,283-1694-B
tukkukauppa	283-1711-B
tukkukauppias	155-1010-B,283-1755-B
tukkumyynti	283-1733-B
tukos	24-2260-B,24-2380-B,44-1127-B,167-3397-B
tuleentua	210-312-B
tulehdus	130-1156-B
tulehtua	129-4511-B,130-1054-B
tulema	9-3435-B
tulenarka	46-2321-B,89-3581-B,97-3180-B,130-1134-B
tulenkestava	96-2620-B,96-2882-B,97-3117-B
tuleva	46-3041-B,102-812-B,105-2716-B,164-1059-B,192-2355-B
tulevaisuus	105-2730-B
tuli	24-642-B,96-2570-B,144-2239-B
tuliaiset	188-1641-B
tuliase	96-2650-B
tulija	46-2550-B
tulikivi	29-2855-B
tulikoe	59-903-B,170-48-B
tulikuuma	201-3874-B
tulinen	11-3986-B,32-296-B,95-111-B,95-2096-B,121-3167-B,155-3458-B,175-1650-B
tulipalo	50-1533-B,96-2580-B
tuliperainen	278-646-B
tulipesa	96-2687-B,105-1200-B
tulipunainen	216-1418-B
tulisieluinen	95-2110-B,175-1669-B
tulisija	96-2863-B,117-2971-B
tulistua	130-1071-B
tulitauko	37-1474-B
tulitikku	144-2250-B,153-326-B,153-457-B
tulitikkurasia	153-358-B
tulittaa	96-2594-B,223-2855-B
tulivuorenpurkaus	86-1098-B
tulivuori	278-690-B
tulkata	133-2805-B
tulkinta	52-337-B,133-2823-B,200-429-B,205-225-B,205-299-B,276-761-B
tulkki	133-2871-B
tulla	2-1412-B,12-3127-B,20-1655-B,46-2454-B,84-3123-B,108-173-B,113-964-B,135-2419-B,249-2397-B
tullata	43-494-B,64-862-B
tullaus	43-692-B,87-3189-B
tulli	61-718-B,79-1963-B,254-2424-B
tullimaksu	79-1974-B
tulliton	79-2080-B
tullittomasti	79-2099-B
tulo	11-1502-B,12-3048-B,46-3055-B,85-869-B,92-800-B,127-2798-B,190-1434-B,190-2666-B,208-1278-B
tulokas	12-3061-B,164-569-B
tuloksekas	190-2856-B,191-162-B
tulokseton	104-2260-B,105-2522-B,129-2302-B,272-3139-B
tuloksettomuus	105-2647-B
tulostaulu	217-1166-B
tulot	106-2969-B,127-2810-B,200-3238-B,208-1291-B
tulppa	31-1990-B,82-2240-B,183-930-B,236-220-B,243-2331-B,254-1823-B,278-2517-B
tulppaani	267-971-B
tulukset	260-1650-B
tulva	66-846-B,99-839-B,99-1937-B,100-177-B,100-516-B,130-1740-B,131-1441-B,134-1371-B,134-1934-B,169-133-B,171-85-B,171-2722-B,235-478-B,259-2877-B,262-787-B,278-826-B
tulvahtaa	99-851-B,114-1191-B,186-2056-B,213-2459-B
tulvavesi	99-867-B
tulvia	66-859-B,99-883-B,99-1948-B,134-1355-B,171-2737-B,225-1873-B,244-2964-B
tulviminen	99-941-B,99-2327-B,244-3084-B
tumma	23-2210-B,62-1773-B,79-1600-B,233-1714-B
tummahko	62-1968-B
tummaihoinen	30-1636-B,62-1784-B,79-1612-B,251-1482-B
tummentaa	62-1937-B,254-2594-B
tummua	62-1954-B,254-2612-B
tummuus	62-2098-B
tumppi	32-2209-B
tunari	31-2145-B
tunaroida	27-641-B,31-2074-B,104-3382-B
tundra	267-1678-B
tungeksia	59-621-B,259-681-B
tungetella	126-581-B,134-1193-B
tungettelevainen	126-512-B,134-1309-B,167-2676-B
tungettelija	133-2118-B,134-1287-B,265-1083-B
tungos	50-2350-B,59-637-B,59-1908-B,123-1543-B,135-3719-B,213-2474-B,238-2164-B,259-698-B
tunkea	57-911-B,59-650-B,59-1921-B,80-3129-B,101-1132-B,123-1557-B,133-4368-B,135-3730-B,172-2008-B,188-2866-B,195-565-B,198-810-B,238-2872-B,246-1535-B,281-1970-B,286-348-B
tunkeutua	23-1517-B,28-2763-B,80-3141-B,125-3726-B,130-627-B,134-1212-B,134-1406-B,177-1508-B,178-1819-B,179-285-B,180-1087-B,195-577-B,238-2178-B,238-2887-B,265-1064-B
tunkio	79-903-B,156-257-B
tunkkainen	44-665-B,104-1870-B,105-2418-B,161-2802-B,239-2102-B,246-1776-B
tunkkaisuus	104-2550-B
tunne	82-3489-B,94-1269-B,94-1440-B,220-1701-B,220-1916-B,220-2878-B
tunneherkka	82-3528-B,220-3030-B
tunneherkkyys	82-3623-B
tunneittain	122-72-B
tunneli	248-203-B,267-1947-B,270-846-B
tunnelma	14-2852-B,159-1640-B,220-2894-B
tunnelmallinen	160-2794-B
tunneperainen	82-3551-B,220-3055-B
tunnepitoinen	82-3576-B,220-3082-B
tunnettu	92-2239-B,139-2061-B,166-127-B,281-3222-B
tunnistaa	124-585-B,139-1705-B,201-1358-B
tunnollinen	51-0-B,204-1562-B,218-987-B,258-1767-B
tunnollisuus	51-91-B
tunnontarkka	51-26-B,218-1010-B,258-1788-B
tunnontarkkuus	51-122-B
tunnoton	33-2788-B,131-2048-B,131-2237-B,131-2295-B,166-1413-B,269-3747-B,272-2152-B
tunnottomuus	8-3569-B,131-2140-B
tunnustaa	2-1877-B,3-1396-B,4-2690-B,16-275-B,49-579-B,50-636-B,172-1054-B,190-3238-B,201-1378-B
tunnustahti	226-1489-B
tunnustaja	2-2204-B,4-1066-B
tunnustaminen	2-2042-B,2-2135-B,3-1489-B,50-700-B,190-3396-B,201-1189-B
tunnustelu	94-1337-B,172-547-B
tunnustus	3-1519-B,3-1589-B,11-1050-B,16-311-B,50-725-B,58-281-B,190-3421-B,201-1215-B
tuntea	94-1280-B,139-1720-B,201-1398-B,220-1928-B,253-2650-B,255-2968-B
tunteellinen	82-3600-B,94-1454-B,220-2445-B,220-3108-B
tunteellisuus	82-3650-B,220-2542-B,220-2913-B,220-3218-B
tunteeton	24-2712-B,25-1142-B,33-2805-B,45-2396-B,63-637-B,125-2066-B,131-2067-B,131-2257-B,131-2316-B,214-0-B,234-559-B,243-1411-B,270-2328-B
tunteettomuus	131-2167-B
tunteikas	234-523-B
tunteilla	220-3247-B
tunteilu	162-963-B,230-2185-B
tuntematon	9-3383-B,167-1425-B,244-1957-B,244-2144-B,270-3112-B,271-3051-B
tuntemattomuus	167-1550-B,270-3235-B
tunteminen	94-1475-B,139-1864-B,201-1237-B,220-2346-B,253-3083-B,255-3191-B
tuntemus	89-2795-B,92-1969-B,94-1494-B,139-1791-B,139-2029-B,220-2937-B
tunti	122-21-B,143-1826-B,178-1066-B
tuntija	4-831-B,50-3799-B,89-2756-B,92-2589-B,137-1079-B
tunto	16-643-B,50-4084-B,51-281-B,94-1292-B,94-1511-B,220-1717-B,220-1941-B,262-2093-B
tuntomerkki	15-1219-B,39-22-B,140-1768-B
tuntosarvi	10-122-B,94-1355-B,121-1933-B,256-2784-B
tuntu	14-2872-B,94-1303-B,94-1525-B,164-2835-B,215-2776-B,262-2105-B
tuntua	10-2899-B,19-2538-B,94-1314-B,219-2219-B
tuntuma	52-1119-B,262-2117-B
tuntuva	10-3214-B,11-944-B,51-1498-B,94-1539-B,118-1005-B,177-2805-B,219-2251-B,247-3288-B,255-3210-B
tuo	257-2078-B,288-161-B
tuoda	29-2947-B,36-173-B,37-621-B,66-475-B,80-97-B,95-585-B,126-67-B,134-994-B
tuoja	20-249-B,126-420-B
tuokio	158-3294-B,282-1939-B
tuokiokuva	109-716-B,228-763-B,231-2636-B,231-2721-B
tuoksahdus	278-2754-B
tuoksu	12-1977-B,27-2103-B,98-1668-B,98-1791-B,102-3387-B,168-822-B,178-688-B,216-2172-B,231-839-B,254-1019-B
tuoksuton	168-853-B,216-2229-B
tuoli	38-1018-B,218-3146-B,243-1517-B
tuolirivi	212-1668-B
tuolla	257-3004-B,288-172-B
tuollainen	248-971-B
tuomarikunta	21-1373-B,137-1340-B,137-1481-B
tuomaristo	137-2889-B
tuomio	16-556-B,49-2796-B,53-3766-B,75-2557-B,137-1146-B,137-1324-B,177-3189-B,220-2793-B,275-3372-B
tuomita	16-569-B,49-2729-B,53-3736-B,66-3110-B,75-2569-B,137-1093-B,192-1986-B,202-1860-B,206-285-B,220-2809-B
tuonela	270-1672-B
tuoni	63-1549-B,200-1459-B
tuonne	257-3017-B
tuonpuoleinen	263-3175-B
tuonti	126-80-B,126-380-B
tuoppi	161-428-B,180-2990-B,244-75-B,254-1457-B,267-1331-B
tuore	112-510-B,158-2625-B,164-484-B,200-3493-B,251-2914-B
tuoremehu	137-1647-B
tuoreus	103-2959-B
tuossa	257-3030-B
tuotanto	171-974-B,190-2744-B
tuotantokyky	190-2971-B
tuote	13-363-B,57-2783-B,190-2479-B,190-2679-B,206-2666-B,286-360-B
tuote esittelija	66-2388-B
tuotos	171-990-B,287-2993-B
tuottaa	5-3026-B,37-633-B,80-108-B,95-597-B,107-1507-B,108-1937-B,190-2493-B,200-1171-B,202-2478-B,208-697-B,287-3006-B
tuottaja	190-2583-B
tuottamaton	18-2649-B,272-787-B,272-892-B
tuotteet	104-2052-B
tuottelias	190-2878-B,191-2083-B,278-1228-B
tuotto	190-1448-B,190-3871-B,287-3020-B
tuottoisa	93-1797-B,104-2108-B,190-2900-B,191-184-B,204-3592-B,209-400-B
tupa	33-556-B,55-2062-B,123-1681-B
tupakanpolttaja	231-1233-B
tupakanpoltto	231-1390-B
tupakka	41-1821-B,261-753-B
tupakkamies	231-1256-B
tupakkavaunu	231-1275-B
tupakoida	231-1183-B
tupakoimaton	165-1356-B
tupakoitsija	231-1295-B
tupata	101-1145-B,134-1230-B,188-2879-B,195-592-B,246-1548-B
tupeerata	255-1585-B
tupla	76-126-B
tuppautua	259-1319-B
tuppi	215-3272-B,223-2126-B,239-2551-B
tupru	193-3410-B
tupruta	22-3080-B,80-2883-B,186-2071-B,193-3421-B,252-1575-B,282-2978-B
tupsu	254-3059-B,267-695-B
turbaani	267-1962-B
turbiini	267-2008-B
turha	100-2440-B,104-2281-B,105-2540-B,124-1179-B,148-208-B,163-1653-B,272-141-B,273-3161-B,274-1772-B,274-3444-B
turhaan	163-1668-B,272-69-B,273-3202-B,274-1935-B
turhamainen	274-1783-B,274-1863-B
turhamaisuus	49-657-B,274-1912-B,274-3266-B
turhanpaiten	272-91-B
turhanpaivainen	105-2553-B,124-1190-B,266-123-B
turhanpaivaisyys	105-2671-B,266-288-B
turhantarkea	31-1623-B,184-3074-B,220-80-B
turhuus	105-2699-B,124-1277-B,274-3286-B
turkis	105-1031-B
turkismetsastaja	264-2456-B
turkki	45-257-B,94-1763-B,105-1042-B,114-2579-B,177-1018-B,267-2360-B
turkkuri	105-1427-B
turkoosi	268-632-B
turma	2-2514-B,57-1573-B,68-2246-B,213-77-B
turmelematon	272-2782-B
turmella	4-3504-B,20-1835-B,24-1419-B,55-976-B,62-439-B,63-1783-B,66-2468-B,67-1212-B,68-2090-B,72-1486-B,116-863-B,123-875-B,130-3978-B,151-3517-B,178-1355-B,179-445-B,213-88-B,237-97-B,277-3037-B
turmeltumaton	128-612-B,234-884-B,272-2804-B
turmeltuneisuus	55-1152-B,67-1252-B
turmeltunut	55-993-B,110-2630-B,179-360-B,206-303-B,211-2786-B,237-179-B,272-1398-B,272-2694-B,276-2410-B
turmelus	63-2590-B,64-1367-B,66-2419-B,67-1278-B,283-2260-B
turmio	17-2733-B,68-2264-B,177-3206-B,213-102-B
turmiollinen	17-1383-B,17-2745-B,68-2283-B,71-1558-B,116-928-B,130-4071-B,166-713-B,178-2062-B,179-701-B,179-743-B,179-793-B,213-149-B
turnee	262-2680-B
turnipsi	268-357-B
turpa	41-1139-B,162-11-B,232-857-B
turpea	183-2563-B,193-3510-B,252-2029-B,258-89-B,267-2278-B
turpoama	252-430-B,267-1368-B
turruttaa	25-1158-B,63-734-B,79-298-B,166-1427-B,246-2336-B
turta	63-652-B,131-2278-B,166-1442-B,262-655-B
turtumus	166-1628-B
turva	31-1245-B,65-539-B,192-3368-B,203-284-B,214-1402-B,214-1436-B,219-1344-B,223-3132-B,224-266-B
turvakoti	14-2283-B,121-2600-B,223-3146-B
turvallinen	214-1214-B,219-1138-B,232-1554-B
turvallisuus	214-1449-B,219-1359-B
turvapaikka	14-2300-B,115-3052-B,115-3119-B,117-121-B,203-297-B,215-191-B,223-3164-B
turvapaikkaoikeus	14-2319-B
turvasaattue	53-3956-B,86-1756-B
turvata	14-1658-B,84-2844-B,113-2079-B,113-2286-B,142-1031-B,142-1163-B,192-3174-B,192-3252-B,214-1418-B,219-1157-B,266-2870-B,266-2984-B
turvaton	65-604-B,101-3075-B,131-1936-B
turvattomuus	65-625-B,131-1977-B
turvautua	207-118-B
turve	176-2705-B,232-2561-B,267-2206-B
turvota	73-4087-B,252-196-B
turvottaa	73-4103-B
turvotus	80-2921-B,168-909-B,252-448-B,267-1388-B
tuska	6-1632-B,9-1258-B,74-856-B,172-2991-B,173-1686-B,248-1648-B,262-478-B,287-183-B
tuskailla	103-3111-B,286-1857-B
tuskainen	172-3061-B
tuskallinen	74-968-B,75-1477-B,112-1158-B,172-3079-B,183-2872-B,233-3164-B
tuskallisuus	172-3118-B,183-2783-B
tuskastua	103-3126-B
tuskastuttaa	135-1855-B
tuskaton	172-3185-B
tuskin	18-1800-B,116-428-B,216-948-B
tutista	75-788-B,195-2340-B,222-3104-B,224-2020-B,225-2951-B,265-430-B
tutisuttaa	222-3118-B
tutkain	184-212-B,216-617-B
tutkia	26-653-B,49-353-B,84-2311-B,87-3347-B,89-3419-B,131-3890-B,134-2521-B,179-271-B,183-1096-B,190-838-B,206-1798-B,217-3176-B,218-2514-B,226-1031-B,234-904-B,246-1235-B,250-3315-B,257-1128-B,266-3378-B,276-1510-B,286-371-B
tutkielma	72-32-B,73-3052-B,86-2210-B,173-2420-B,246-1248-B,264-3895-B
tutkija	87-3423-B,134-2630-B,206-1832-B,216-3035-B,217-298-B,246-866-B
tutkimaton	125-2560-B,131-1830-B
tutkimus	84-2358-B,87-3209-B,89-3398-B,131-1120-B,131-1253-B,134-2562-B,171-2936-B,206-1814-B,246-1264-B,257-1140-B,265-1269-B
tutkimusmatka	89-1934-B
tutkimusmatkailija	89-3483-B
tutkimusretki	89-1959-B
tutkimusretkikunta	89-1984-B
tutkinta	87-3230-B,117-2583-B,131-1270-B,134-2585-B
tutkinto	87-3094-B,87-3251-B
tutkiskella	51-1356-B,52-1557-B,87-3362-B,154-1508-B,218-1078-B,246-1279-B
tutkiva	134-2540-B,134-2608-B,183-1219-B,190-851-B,217-3281-B,218-2608-B,234-1118-B,246-1375-B,250-3429-B,257-1501-B,267-17-B,286-925-B
