density	66-3313-B,66-3328-B,66-3344-B,66-3359-B
desirable	68-495-B,68-515-B,68-533-B
desire	68-554-B,68-568-B,68-580-B,68-594-B,68-611-B,68-623-B,68-638-B,68-653-B,68-670-B,68-687-B,68-700-B,68-716-B,68-730-B,68-743-B,68-757-B
desirous	68-773-B
desist	68-791-B,68-805-B
desk	68-819-B,68-830-B,68-852-B,68-865-B,68-879-B,68-892-B,68-903-B,68-920-B
desolate	68-937-B,68-955-B,68-970-B,68-991-B,68-1007-B,68-1025-B
desolation	68-1047-B,68-1065-B,68-1085-B,68-1109-B
despair	68-1133-B,68-1151-B
despatch	68-1172-B
desperate	68-1193-B,68-1217-B,68-1236-B
desperately	68-1255-B
desperation	68-1281-B
despicable	68-1303-B,68-1326-B,68-1343-B
despise	68-1367-B,68-1385-B,68-1404-B,68-1423-B
despite	68-1442-B
despoil	68-1461-B
despondency	68-1479-B,68-1504-B
despondent	68-1526-B,68-1549-B
despot	68-1574-B
despotic	68-1591-B,68-1613-B
despotism	68-1637-B
desquamation	68-1658-B
dessert	68-1680-B
destination	68-1700-B,68-1726-B,68-1753-B,68-1780-B
destiny	68-1805-B,68-1829-B,68-1845-B
destitute	68-1862-B
destitution	68-1887-B,68-1906-B,68-1926-B,68-1944-B
destroy	68-1973-B,68-1993-B,68-2010-B,68-2027-B,68-2044-B,68-2060-B,68-2075-B,68-2090-B,68-2107-B
destroyer	68-2126-B
destruction	68-2149-B,68-2167-B,68-2188-B,68-2208-B,68-2229-B,68-2246-B,68-2264-B
destructive	68-2283-B
desultory	68-2308-B,68-2329-B
detach	68-2354-B,68-2369-B,68-2385-B,68-2401-B,68-2418-B
detachment	68-2437-B,68-2462-B,68-2484-B,68-2508-B,68-2528-B,68-2554-B,68-2571-B,68-2598-B
detail	68-2617-B,68-2632-B,68-2648-B,68-2667-B
detain	68-2688-B,68-2707-B
detainee	68-2726-B
detect	68-2746-B,68-2761-B
detecting	68-2776-B
detection	68-2797-B
detective	68-2821-B,68-2839-B
detention	68-2862-B,68-2879-B,68-2904-B,68-2923-B
deter	68-2948-B
detergent	68-2963-B
deteriorate	68-2982-B,68-3004-B,68-3026-B,68-3047-B
deteriorating	68-3071-B
deterioration	68-3100-B,68-3128-B,68-3152-B
determinate	68-3180-B,68-3203-B,68-3227-B
determination	68-3245-B,68-3266-B,68-3298-B,219-3490-S
determinative	68-3322-B,68-3354-B
determine	68-3382-B,68-3406-B,68-3428-B,68-3450-B,68-3470-B
determining	68-3486-B,68-3512-B,68-3537-B,68-3563-B
deterrent	68-3584-B,68-3601-B
detest	68-3621-B,68-3635-B
detestable	68-3649-B
detestation	68-3670-B
detonate	68-3687-B,68-3705-B,68-3727-B
detonation	68-3750-B
detonator	68-3772-B,68-3788-B
detour	68-3806-B,68-3821-B
detractor	68-3834-B
detriment	68-3856-B,68-3873-B
detrimental	69-0-B,69-24-B
deuce	69-50-B,69-65-B,69-76-B
devaluation	69-91-B
devalue	69-115-B
devastate	69-134-B,69-156-B
devastation	69-173-B,69-194-B
develop	69-211-B,69-229-B,69-247-B,69-266-B,69-285-B,69-303-B,69-321-B,69-335-B,69-352-B
developer	69-368-B,69-387-B
developing	69-404-B,69-428-B,69-447-B,69-472-B,69-496-B,69-517-B
development	69-537-B,69-561-B,69-581-B,69-608-B,69-628-B,69-653-B
deviate	69-675-B,69-693-B
deviation	69-709-B,69-727-B,69-747-B
device	69-770-B,69-783-B,69-795-B,69-808-B
devil	69-821-B,69-838-B,69-852-B
devil may care	69-863-B
devilish	69-892-B
devilry	69-912-B
devise	69-932-B
devising	69-947-B
devolve	69-967-B,69-982-B,69-998-B,69-1015-B
devote	69-1033-B,69-1048-B,69-1066-B,69-1084-B
devotion	69-1098-B,69-1116-B,69-1133-B,69-1152-B
devotional	69-1169-B
devour	69-1188-B,69-1204-B,69-1217-B,69-1231-B,69-1248-B
devout	69-1263-B,69-1277-B
dew	69-1292-B
dewdrop	69-1302-B
dewlap	69-1321-B
dewy	69-1335-B
dexterity	69-1350-B,69-1370-B,69-1392-B
dexterous	69-1412-B,69-1431-B
dextrous	69-1452-B,69-1470-B,69-1490-B
di da	139-2287-S
diabetes	69-1507-B
diabetic	69-1528-B,69-1549-B
diabolic	69-1573-B,69-1593-B
diabolical	69-1616-B
diadem	69-1638-B,69-1657-B
diagnosis	69-1673-B
diagonal	69-1693-B,69-1713-B,69-1729-B
diagonally	69-1743-B,69-1765-B
diagram	69-1787-B,69-1805-B,69-1819-B,69-1834-B,69-1853-B,69-1867-B,69-1883-B
dial	69-1899-B,69-1915-B,69-1926-B
dialect	69-1939-B,69-1953-B
dialectal	69-1974-B
dialog	69-1997-B
dialogue	69-2015-B,69-2032-B,69-2054-B,69-2074-B
diameter	69-2099-B,69-2119-B
diametrically	69-2139-B,69-2163-B
diamond	69-2185-B,69-2199-B
diaper	69-2218-B
diaphanous	69-2232-B
diaphragm	69-2257-B,69-2277-B,69-2296-B
diary	69-2313-B,69-2329-B,69-2349-B,69-2364-B
diathermy	69-2383-B
diatom	69-2403-B
dice	69-2419-B
dicey	69-2430-B,69-2446-B
dick	69-2464-B
dickens	69-2475-B,69-2489-B
dicker	69-2502-B
dictate	69-2517-B,69-2535-B,69-2552-B,69-2567-B,69-2587-B,69-2606-B
dictation	69-2622-B
dictator	69-2639-B
dictatorship	69-2660-B,69-2684-B
diction	69-2708-B,69-2727-B
dictionary	69-2749-B
dictum	69-2770-B
did	69-2786-B
didactic	69-2793-B
diddle	69-2811-B,69-2828-B
die	69-2843-B,69-2857-B,69-2869-B,69-2880-B,69-2893-B,69-2907-B,69-2918-B,69-2928-B
die hard	69-2939-B
dielectric	69-2967-B
diesel	69-2989-B
diet	69-3011-B,69-3024-B,69-3040-B,69-3061-B
dietary	69-3081-B,69-3095-B
differ	69-3119-B,69-3133-B,69-3146-B
difference	69-3161-B,69-3183-B,69-3207-B,69-3222-B,69-3240-B,69-3264-B
different	69-3281-B,69-3295-B,69-3318-B,69-3338-B,69-3357-B,69-3374-B,69-3400-B
differential	69-3423-B
differentiate	69-3451-B,69-3476-B
differently	69-3498-B
differing	69-3517-B
difficult	69-3536-B,69-3554-B,69-3572-B,69-3589-B,69-3608-B,70-0-B,70-26-B,70-49-B
difficulty	70-74-B,70-93-B,70-114-B,70-134-B,70-153-B,70-170-B,70-190-B,70-210-B
diffidence	70-228-B,70-246-B
diffident	70-272-B,70-287-B,70-308-B,70-322-B
diffraction	70-343-B
diffuse	70-366-B,70-385-B,70-399-B,70-418-B,70-439-B
diffuser	70-457-B
diffusion	70-474-B,70-494-B,70-518-B,70-544-B,70-567-B
dig	70-589-B,70-604-B,70-615-B,70-629-B,70-642-B,70-656-B,70-667-B,70-678-B
digest	70-694-B,70-715-B,70-734-B,70-747-B
digestible	70-763-B
digestion	70-781-B
digging	70-804-B,70-823-B,70-845-B
digit	70-864-B,70-875-B,70-894-B
digital	70-906-B
digitalis	70-927-B,70-947-B
dignitary	70-972-B
dignity	70-995-B,70-1008-B
digress	70-1026-B
digression	70-1042-B
dike	70-1066-B,70-1080-B,70-1093-B,70-1103-B,70-1115-B
dilapidation	70-1126-B
dilate	70-1150-B,70-1167-B
dilation	70-1184-B
dilatory	70-1203-B,70-1218-B
dilemma	70-1239-B
dilettante	70-1253-B,70-1275-B
diligence	70-1299-B,70-1318-B,70-1344-B
diligent	70-1364-B,70-1380-B,70-1401-B
dill	70-1418-B
dilly dally	70-1429-B,70-1450-B
diluent	70-1474-B,70-1496-B
dilute	70-1511-B,70-1524-B,70-1538-B,70-1555-B,70-1570-B,70-1587-B
dilution	70-1602-B
dim	70-1619-B,70-1634-B,70-1644-B,70-1659-B,70-1675-B,70-1687-B,70-1701-B,70-1717-B,70-1731-B,70-1746-B,70-1761-B,70-1771-B,70-1781-B,70-1794-B,70-1807-B
dimension	70-1817-B,70-1836-B,70-1856-B
dimensional	258-3139-S,268-2628-S
diminish	70-1872-B,70-1889-B,70-1910-B,70-1926-B,70-1946-B,70-1967-B,70-1988-B
diminishing	70-2006-B,70-2030-B,70-2051-B,70-2078-B,70-2101-B,70-2121-B,70-2148-B
diminution	70-2169-B,70-2193-B,70-2219-B
diminutive	70-2243-B
dimness	70-2260-B
dimple	70-2276-B,70-2294-B,70-2308-B
din	70-2327-B,70-2337-B,70-2346-B,70-2357-B,70-2369-B,70-2381-B,70-2391-B,70-2403-B
dine	70-2413-B,70-2428-B
diner	70-2442-B,70-2463-B,70-2480-B
dinginess	70-2498-B
dingy	70-2518-B,70-2533-B
dinky	70-2554-B
dinner	70-2565-B,70-2583-B
dinosaur	70-2604-B
dint	70-2624-B
diode	70-2636-B
dioxide	70-2648-B
dip	70-2665-B,70-2679-B,70-2690-B,70-2701-B,70-2711-B,70-2724-B,70-2735-B,70-2747-B,70-2758-B,70-2768-B
diphthong	70-2782-B,70-2801-B
diploma	70-2828-B,70-2844-B
diplomacy	70-2864-B,70-2885-B
diplomat	70-2903-B
diplomatic	70-2924-B,70-2950-B
diplomatist	70-2974-B
dipole	70-2998-B
dipper	70-3012-B,70-3025-B
dipsomaniac	70-3038-B
dire	70-3062-B,70-3075-B,70-3087-B
direct	70-3099-B,70-3113-B,70-3130-B,70-3146-B,70-3165-B,70-3179-B,70-3194-B,70-3210-B,70-3224-B,70-3237-B,70-3252-B,70-3271-B,70-3292-B,70-3308-B,70-3326-B,70-3349-B
directing	70-3366-B,70-3387-B,70-3410-B
direction	70-3430-B,70-3446-B,71-0-B,71-22-B,71-43-B,71-60-B,71-75-B,71-93-B
directive	71-108-B,71-127-B,71-142-B
directly	71-164-B,71-178-B,71-193-B,71-210-B
directness	71-235-B
director	71-254-B,71-278-B,71-295-B
directory	71-312-B,71-332-B
dirge	71-351-B
dirigible	71-367-B
dirk	71-387-B
dirt	71-399-B,71-409-B,71-419-B,71-429-B
dirtiness	71-441-B
dirty	71-461-B,71-476-B,71-493-B,71-511-B,71-526-B,71-538-B,71-554-B,71-569-B,71-585-B,71-602-B,71-619-B,71-634-B,71-651-B,71-664-B
disability	71-680-B,71-709-B,71-737-B
disadvantage	71-754-B,71-782-B,71-805-B,71-825-B
disadvantageous	71-849-B,71-879-B
disaffection	71-908-B
disagreeable	71-938-B,71-969-B,71-997-B
disagreement	71-1017-B,71-1039-B,71-1065-B,71-1091-B
disallow	71-1110-B,71-1127-B
disappear	71-1145-B,71-1164-B,71-1183-B
disappearing	71-1200-B,71-1225-B
disappointment	71-1250-B
disapprobation	71-1274-B
disapproval	71-1300-B,71-1325-B
disapprove	71-1348-B
disarm	71-1368-B
disarmament	71-1382-B
disarray	71-1410-B
disaster	71-1434-B,71-1454-B,71-1475-B
disastrous	71-1489-B,71-1517-B,71-1539-B,71-1558-B
disavow	71-1582-B
disavowal	71-1600-B
disband	71-1623-B,71-1641-B,71-1658-B
disbandment	71-1676-B
disbelief	71-1702-B
disbelieve	71-1721-B
disburse	71-1742-B
disc	71-1758-B,71-1770-B,71-1782-B,71-1792-B,71-1805-B
discard	71-1821-B,71-1838-B
discern	71-1855-B,71-1871-B,71-1887-B,71-1903-B
discernment	71-1919-B,71-1945-B,71-1969-B
discharge	71-2001-B,71-2017-B,71-2031-B,71-2049-B,71-2071-B,71-2091-B,71-2108-B,71-2128-B,71-2146-B,71-2163-B,71-2182-B,71-2199-B,71-2220-B,71-2238-B,71-2260-B,71-2280-B,71-2298-B,71-2318-B,71-2342-B,71-2363-B,71-2383-B,71-2404-B,71-2424-B,71-2446-B,71-2465-B
disciple	71-2481-B,71-2502-B
disciplinary	71-2519-B
discipline	71-2548-B,71-2564-B,71-2589-B,71-2610-B,71-2633-B,71-2653-B,71-2673-B,71-2694-B
disclaim	71-2718-B,71-2737-B
disclaimer	71-2753-B
disclose	71-2773-B,71-2791-B
disclosure	71-2810-B
discolour	71-2835-B,71-2855-B
discomfit	71-2873-B,71-2896-B
discomfiture	71-2913-B,71-2936-B
discomfort	71-2956-B,71-2980-B,71-3001-B
discomposure	71-3018-B,71-3041-B
disconcert	71-3067-B
disconnect	71-3091-B,71-3110-B,71-3130-B,71-3151-B
disconnection	71-3169-B,71-3196-B
disconsolate	71-3219-B,71-3246-B
discontent	71-3268-B
discontinuance	71-3296-B
discontinue	71-3323-B,71-3345-B,71-3370-B,71-3389-B,71-3412-B
discontinuous	71-3433-B,71-3458-B
discord	71-3484-B,71-3501-B
discordance	71-3522-B,71-3550-B
discordant	71-3575-B,71-3597-B,71-3623-B,71-3647-B,71-3670-B,71-3696-B
discount	71-3716-B,71-3736-B,71-3753-B,71-3770-B,71-3790-B,71-3811-B,71-3830-B
discounter	71-3847-B
discourage	71-3869-B,71-3890-B,71-3911-B
discouragement	71-3931-B,71-3959-B,71-3988-B
discourse	71-4018-B,71-4038-B,72-0-B,72-15-B,72-32-B
discourteous	72-52-B,72-75-B,72-102-B
discourtesy	72-124-B
discover	72-154-B,72-171-B,72-188-B,72-205-B,72-224-B
discoverer	72-240-B,72-260-B
discovery	72-282-B,72-302-B,72-320-B,72-343-B
discredit	72-362-B,72-380-B
discreditable	72-402-B,72-430-B
discreet	72-454-B,72-478-B,72-502-B,72-525-B
discrepancy	72-543-B,72-559-B,72-585-B
discrepant	72-619-B
discrete	72-639-B
discretion	72-659-B,72-684-B,72-709-B,72-731-B
discriminate	72-753-B,72-775-B,72-796-B
discrimination	72-817-B,72-846-B,72-876-B,72-906-B,72-930-B
discursive	72-955-B
discus	72-977-B
discuss	72-991-B,72-1011-B,72-1030-B
discussion	72-1044-B,72-1066-B,72-1088-B,72-1110-B
disdain	72-1130-B,72-1148-B,72-1168-B,72-1186-B
disdainful	72-1205-B
disease	72-1233-B,72-1249-B
disembarkation	72-1263-B
disenchantment	72-1290-B
disengage	72-1314-B,72-1333-B,72-1355-B
disentangle	72-1375-B,72-1399-B
disfavour	72-1423-B,72-1444-B
disfigure	72-1467-B,72-1486-B
disgorge	72-1505-B,72-1521-B
disgrace	72-1537-B,72-1557-B,72-1574-B
disgraceful	72-1595-B
disguise	72-1621-B,72-1640-B,72-1660-B,72-1679-B,72-1698-B,72-1713-B,72-1729-B,72-1747-B
disgust	72-1764-B,72-1777-B,72-1794-B,72-1810-B
disgusting	72-1834-B,72-1851-B,72-1874-B,72-1895-B,72-1914-B,72-1938-B,72-1964-B
dish	72-1989-B,72-2000-B,72-2011-B,72-2022-B,72-2033-B,72-2048-B,72-2061-B,72-2073-B,72-2083-B
disharmony	72-2094-B,72-2121-B
dishearten	72-2141-B,72-2162-B,72-2183-B
dishonest	72-2203-B,72-2228-B
dishonestly	72-2250-B
dishonesty	72-2278-B,72-2305-B
dishonour	72-2329-B,72-2347-B,72-2369-B
dishonourable	72-2393-B,72-2421-B
dishwasher	72-2445-B,72-2471-B
dishwater	72-2491-B
dishy	72-2507-B
disillusionment	72-2523-B
disinclination	72-2548-B,72-2575-B
disinfect	72-2605-B
disinfection	72-2623-B
disingenuous	72-2648-B
disintegrate	72-2673-B,72-2695-B,72-2717-B
disintegration	72-2739-B,72-2764-B,72-2790-B
disinter	72-2818-B
disjoint	72-2834-B
disjunctive	72-2854-B
disk	72-2882-B,72-2894-B,72-2906-B,72-2918-B,72-2928-B,72-2941-B,72-2956-B
diskette	72-2972-B
dislike	72-2988-B,72-3011-B
dislocation	72-3035-B,72-3059-B,72-3081-B
dislodge	72-3108-B,72-3130-B,72-3149-B
disloyal	72-3168-B,72-3188-B
disloyalty	72-3205-B
dismal	72-3228-B,72-3242-B,72-3256-B,72-3269-B,72-3283-B
dismantle	72-3298-B,72-3315-B
dismantling	72-3332-B
dismay	72-3355-B
dismember	72-3368-B,72-3389-B,72-3407-B
dismemberment	72-3424-B
dismiss	72-3449-B,72-3465-B,72-3482-B,72-3499-B,72-3517-B,72-3534-B
dismissal	72-3549-B,72-3571-B,72-3595-B,72-3619-B
dismount	72-3641-B,72-3660-B,72-3679-B
disobedience	72-3695-B
disobedient	72-3725-B,72-3745-B
disorder	72-3770-B,72-3794-B,72-3813-B,72-3831-B,72-3850-B,72-3871-B,72-3887-B,72-3904-B,72-3923-B
disorderly	72-3938-B,72-3972-B,72-3992-B
disown	72-4013-B,72-4029-B
disparage	73-0-B,73-20-B
disparagement	73-41-B
disparity	73-69-B,73-89-B,73-110-B,73-124-B
dispassion	73-141-B
dispassionate	73-166-B,73-192-B,73-216-B,73-241-B
dispatch	73-269-B,73-287-B,73-307-B,73-324-B,73-342-B,73-366-B,73-387-B,73-405-B,73-421-B,73-439-B,73-458-B
dispel	73-476-B,73-494-B,73-510-B,73-530-B
dispensary	73-547-B
dispensation	73-571-B,73-594-B,73-614-B,73-636-B
dispense	73-658-B,73-678-B,73-694-B,73-709-B
dispersal	73-728-B
disperse	73-752-B,73-769-B,73-788-B,73-806-B,73-828-B,73-848-B
dispersion	73-867-B,73-888-B,73-913-B
dispirit	73-932-B,73-951-B
displace	73-969-B,73-988-B
displacement	73-1011-B,73-1036-B,73-1059-B
display	73-1080-B,73-1097-B,73-1113-B,73-1128-B,73-1147-B,73-1163-B,73-1187-B,73-1205-B,73-1224-B,73-1241-B,73-1258-B,73-1274-B
displease	73-1289-B
displeasure	73-1311-B,73-1329-B,73-1351-B
disposal	73-1380-B,73-1401-B,73-1419-B,73-1447-B
dispose	73-1467-B,73-1487-B,73-1509-B,73-1530-B,73-1550-B,73-1569-B
disposition	73-1587-B,73-1611-B,73-1634-B,73-1653-B,73-1678-B,73-1704-B,73-1728-B,73-1759-B,73-1778-B,73-1799-B,73-1820-B
dispossess	73-1845-B,73-1864-B
disproportion	73-1885-B,73-1909-B,73-1938-B
disproportionate	73-1966-B,73-1997-B
disprove	73-2024-B
disputable	73-2040-B,73-2066-B
dispute	73-2091-B,73-2108-B,73-2129-B,73-2147-B,73-2162-B,73-2181-B,73-2199-B,73-2212-B,73-2229-B,73-2243-B,73-2260-B,73-2278-B
disqualification	73-2295-B,73-2328-B,73-2358-B,73-2391-B
disqualify	73-2425-B,73-2451-B,73-2471-B
disquiet	73-2494-B,73-2515-B
disquietude	73-2537-B,73-2561-B
disregard	73-2586-B
disrepute	73-2610-B
disrespect	73-2628-B,73-2657-B
disrespectful	73-2683-B,73-2711-B
disrupt	73-2742-B
disruption	73-2759-B,73-2780-B
disruptive	73-2805-B
dissatisfaction	73-2824-B
dissect	73-2857-B
dissection	73-2875-B
dissemble	73-2895-B
disseminate	73-2912-B
dissemination	73-2935-B
dissension	73-2961-B,73-2985-B
dissenter	73-3008-B,73-3030-B
dissertation	73-3052-B,73-3075-B
disservice	73-3102-B
dissimilar	73-3128-B,73-3152-B,73-3173-B
dissimilarity	73-3198-B,73-3223-B
dissipate	73-3252-B,73-3273-B
dissipation	73-3291-B
dissociate	73-3312-B
dissolute	73-3331-B,73-3348-B
dissolution	73-3370-B,73-3392-B,73-3418-B,73-3441-B,73-3466-B
