cattle	37-296-B,37-309-B,37-322-B,37-340-B
change	38-1954-B,38-1972-B,38-1989-B,38-2005-B,38-2021-B,38-2037-B,38-2051-B,38-2066-B,38-2081-B,38-2098-B,38-2112-B,38-2127-B,38-2142-B,38-2158-B,38-2172-B
changeable	38-2190-B,38-2211-B,38-2234-B
changeless	38-2256-B
changeover	38-2279-B,38-2303-B
changing	38-2321-B,38-2342-B,38-2363-B,38-2379-B
channel	38-2397-B,38-2413-B,38-2428-B,38-2442-B,38-2463-B,38-2478-B,38-2493-B,38-2510-B,38-2522-B,38-2537-B,38-2552-B
chant	38-2568-B,38-2581-B,38-2593-B
chaos	38-2607-B,38-2619-B
chaotic	38-2636-B,38-2655-B,38-2677-B
chap	38-2692-B,38-2706-B,38-2721-B,38-2732-B,38-2745-B,38-2757-B,38-2769-B,38-2786-B,38-2802-B
chapel	38-2814-B,38-2829-B,38-2843-B
chaperon	38-2862-B,38-2880-B
chaperone	38-2898-B
chaplain	38-2917-B,38-2938-B,38-2953-B,38-2972-B
chapter	38-2994-B,38-3007-B
char	38-3031-B,38-3045-B,38-3058-B,38-3071-B,38-3085-B
character	38-3094-B,38-3113-B,38-3129-B,38-3148-B,38-3166-B,38-3190-B,38-3206-B,38-3223-B,38-3247-B,38-3263-B,38-3280-B,38-3301-B,38-3327-B
characteristic	38-3346-B,38-3377-B,38-3406-B,38-3440-B,38-3470-B,38-3496-B,39-0-B,39-22-B
characterize	39-49-B,39-77-B
characterless	39-97-B
charcoal	39-122-B,39-137-B,39-161-B,39-179-B
charge	39-193-B,39-206-B,39-219-B,39-237-B,39-255-B,39-267-B,39-285-B,39-305-B,39-321-B,39-335-B,39-352-B,39-366-B,39-379-B,39-392-B,39-408-B,39-422-B,39-436-B,39-451-B,39-469-B,39-482-B,39-499-B,39-514-B,39-527-B,39-545-B,39-563-B,39-580-B
charger	39-596-B,39-613-B,39-629-B,39-644-B,39-658-B
chariot	39-676-B
charisma	39-690-B
charitable	39-709-B,39-729-B
charity	39-748-B,39-769-B,39-796-B,39-812-B
charlatan	39-841-B,39-859-B
charm	39-878-B,39-891-B,39-905-B,39-919-B,39-933-B,39-950-B,39-964-B,39-977-B,39-990-B,39-1003-B,39-1021-B,39-1042-B,39-1058-B,39-1070-B,39-1083-B,39-1095-B,39-1109-B,39-1128-B
charming	39-1144-B,39-1159-B,39-1176-B,39-1194-B,39-1215-B,39-1235-B,39-1252-B,39-1274-B,39-1292-B,39-1312-B,39-1333-B
chart	39-1351-B,39-1364-B,39-1381-B,39-1394-B,39-1407-B,39-1424-B,39-1441-B,39-1459-B
charter	39-1474-B,39-1492-B,39-1511-B,39-1527-B,39-1548-B,39-1569-B
charwoman	39-1586-B
chary	39-1605-B,39-1618-B,39-1638-B
chase	39-1661-B,39-1672-B,39-1682-B,39-1697-B,39-1710-B,39-1728-B,39-1747-B,39-1763-B,39-1780-B,39-1795-B,39-1808-B
chasm	39-1826-B,39-1841-B,39-1853-B,39-1865-B
chassis	39-1877-B
chaste	39-1892-B,39-1906-B
chastise	39-1920-B,39-1938-B
chastisement	39-1957-B,39-1978-B
chastity	39-2002-B,39-2019-B
chasuble	39-2035-B
chat	39-2052-B,39-2065-B,39-2078-B,39-2093-B,39-2106-B,39-2116-B,39-2129-B
chateau	39-2144-B,39-2166-B
chatelaine	39-2180-B
chattel	39-2200-B
chatter	39-2215-B,39-2234-B,39-2249-B,39-2265-B,39-2281-B,39-2300-B,39-2322-B,39-2337-B,39-2358-B
chatterbox	39-2376-B,39-2399-B,39-2419-B
chattering	39-2440-B
chatty	39-2467-B,39-2486-B,39-2502-B
chauffeur	39-2516-B,39-2532-B,39-2558-B,39-2579-B
chauvinism	39-2597-B,39-2624-B
chauvinist	39-2657-B
chauvinistic	39-2689-B,39-2722-B
cheap	39-2756-B,39-2768-B,39-2789-B,39-2804-B
cheapen	39-2817-B,39-2833-B,39-2849-B,39-2867-B
cheaply	39-2885-B
cheapness	39-2902-B
cheat	39-2920-B,39-2934-B,39-2950-B,39-2964-B,39-2978-B,39-2995-B,39-3010-B,39-3022-B,39-3037-B,39-3054-B
cheating	39-3068-B,39-3086-B,39-3107-B
check	39-3126-B,39-3143-B,39-3154-B,39-3168-B,39-3183-B,39-3201-B,39-3211-B,39-3227-B,39-3246-B,39-3261-B,39-3274-B,39-3286-B,39-3304-B,39-3322-B,39-3336-B,39-3352-B,39-3371-B,39-3392-B,39-3410-B,40-0-B,40-13-B,40-28-B,40-42-B,40-56-B,40-72-B,40-88-B,40-104-B,40-116-B,40-130-B,40-150-B,40-167-B,40-186-B,40-209-B
checkmate	40-223-B,40-239-B
checkpoint	40-256-B,40-282-B
cheek	40-308-B,40-328-B
cheekbone	40-340-B,40-359-B
cheekiness	40-380-B
cheeky	40-402-B,40-419-B,40-436-B
cheep	40-453-B,40-471-B
cheer	40-486-B,40-503-B,40-518-B
cheerful	40-537-B,40-562-B,40-583-B
cheerfulness	40-600-B,40-621-B
cheerio	40-643-B
cheerless	40-655-B,40-672-B,40-689-B
cheery	40-707-B,40-722-B
cheese	40-736-B
cheesecake	40-750-B
cheesecloth	40-775-B
cheesy	40-799-B
cheetah	40-812-B
chef	40-828-B
chemical	40-849-B
chemise	40-870-B
chemist	40-884-B
chemistry	40-900-B
cheque	40-916-B,40-936-B
cherish	40-950-B,40-966-B
cherry	40-981-B,40-1005-B
cherubic	40-1021-B
chervil	40-1044-B
chest	40-1060-B,40-1072-B,40-1085-B,40-1100-B,40-1117-B,40-1129-B
chestnut	40-1146-B,40-1164-B,40-1189-B
chevron	40-1207-B
chew	40-1221-B,40-1237-B,40-1251-B,40-1267-B
chewing	40-1278-B
chiaroscuro	40-1300-B
chic	40-1322-B,40-1333-B,40-1349-B
chicanery	40-1364-B,40-1391-B
chick	40-1407-B
chicken	40-1425-B,40-1438-B
chickweed	40-1457-B
chicory	40-1478-B
chide	40-1493-B,40-1508-B
chief	40-1520-B,40-1539-B,40-1558-B,40-1572-B,40-1586-B,40-1597-B
chiefly	40-1612-B,40-1633-B,40-1651-B,40-1671-B
chignon	40-1688-B
child	40-1704-B,102-1829-S
childbirth	40-1716-B,40-1738-B
childhood	40-1758-B,40-1782-B,40-1800-B
childish	40-1822-B,40-1843-B
childishness	40-1859-B
childless	40-1885-B
childlessness	40-1904-B
childlike	40-1931-B,40-1953-B
chili	40-1977-B
chill	40-1999-B,40-2016-B,40-2033-B,40-2046-B,40-2064-B,40-2082-B,40-2097-B,40-2117-B,40-2132-B,40-2146-B,40-2159-B,40-2180-B,40-2194-B
chilli	40-2208-B
chilliness	40-2231-B
chilling	40-2250-B
chilly	40-2271-B,40-2286-B,40-2305-B,40-2319-B,40-2332-B,40-2346-B,40-2369-B
chime	40-2385-B
chimney	40-2397-B,40-2412-B,40-2430-B
chimpanzee	40-2444-B
chin	40-2465-B
chine	40-2476-B,40-2496-B
chink	40-2514-B,40-2529-B,40-2543-B,40-2561-B,40-2576-B,40-2590-B,40-2605-B,40-2620-B,40-2634-B
chintz	40-2649-B
chip	40-2665-B,40-2680-B,40-2692-B,40-2702-B,40-2713-B,40-2726-B,40-2741-B,40-2751-B,40-2767-B,40-2778-B,40-2790-B,40-2802-B,40-2812-B,40-2823-B,40-2838-B
chipboard	40-2850-B
chipmunk	40-2870-B
chirp	40-2888-B,40-2905-B,40-2923-B,40-2938-B,40-2952-B,40-2967-B,40-2983-B,40-2998-B,40-3013-B
chirrup	40-3030-B,40-3049-B,40-3067-B,40-3084-B
chisel	40-3103-B,40-3120-B,40-3134-B
chivalrous	40-3151-B
chivalry	40-3175-B,40-3197-B,40-3220-B
chloride	40-3239-B
chlorination	40-3256-B
chloroform	40-3278-B
chlorophyll	40-3300-B,40-3323-B
chock	40-3348-B,40-3360-B
chocolate	40-3374-B,40-3391-B,41-0-B,41-26-B
choice	41-51-B,41-64-B,41-78-B,41-96-B,41-113-B,41-133-B,41-148-B
choir	41-163-B,41-175-B,41-187-B
choirboy	41-204-B
choke	41-224-B,41-239-B,41-254-B,41-272-B,41-290-B
choking	41-305-B
cholera	41-326-B
choleric	41-341-B,41-361-B
choose	41-384-B,41-401-B
chooser	41-415-B
choosey	41-433-B
choosy	41-447-B
chop	41-460-B,41-472-B,41-484-B,41-499-B,41-509-B,41-523-B,41-539-B,41-552-B
chopper	41-565-B
choppy	41-581-B
choral	41-599-B
chorale	41-614-B
chord	41-630-B,41-643-B,41-656-B,41-668-B
choreography	41-678-B
chorister	41-703-B
chorus	41-724-B,41-741-B
christen	41-754-B,41-770-B
chromatic	41-787-B
chrome	41-810-B
chromium	41-823-B
chromosome	41-838-B
chronic	41-859-B,41-877-B,41-895-B
chronicle	41-918-B
chronicler	41-937-B
chronological	41-962-B
chronologically	41-989-B
chronology	41-1026-B,41-1052-B
chronometer	41-1073-B
chrysalis	41-1096-B
chrysanthemum	41-1113-B
chub	41-1139-B
chubby	41-1150-B,41-1164-B
chuck	41-1180-B,41-1196-B,41-1211-B,41-1223-B,41-1238-B
chucker out	41-1252-B
chuckle	41-1279-B,41-1297-B
chum	41-1314-B,41-1328-B
chump	41-1340-B
chunk	41-1352-B,41-1368-B,41-1382-B,41-1396-B,41-1416-B
church	41-1427-B,41-1450-B,41-1464-B,41-1483-B,41-1502-B
churl	41-1520-B,41-1533-B
churlish	41-1548-B,41-1570-B,41-1593-B
churn	41-1611-B,41-1623-B,41-1637-B,41-1655-B,41-1668-B
chute	41-1681-B,41-1693-B
chutney	41-1710-B
cicada	41-1727-B
cicerone	41-1746-B
cider	41-1760-B,41-1777-B
cigar	41-1791-B
cigarette	41-1804-B,41-1821-B
cinch	41-1839-B
cinder	41-1855-B,41-1868-B
cine camera	41-1881-B,41-1907-B
cinema	41-1931-B,41-1946-B,41-1967-B
cinnabar	41-1990-B
cinnamon	41-2009-B
cipher	41-2025-B,41-2041-B,41-2055-B,41-2068-B,41-2085-B,41-2104-B,41-2125-B
circle	41-2143-B,41-2156-B,41-2169-B,41-2183-B,41-2201-B,41-2216-B,41-2233-B,41-2248-B,41-2261-B,41-2277-B,41-2294-B,41-2311-B,41-2324-B
circuit	41-2339-B,41-2355-B,41-2370-B,41-2390-B,41-2404-B,41-2417-B,225-396-S
circuitous	41-2436-B
circular	41-2457-B,41-2478-B,41-2498-B
circularity	41-2516-B
circulate	41-2537-B,41-2558-B,41-2578-B,41-2599-B
circulating	41-2618-B,41-2641-B,41-2666-B,41-2689-B
circulation	41-2713-B,41-2732-B,41-2750-B,41-2770-B
circumcision	41-2794-B
circumference	41-2823-B,41-2843-B,41-2863-B,41-2886-B
circumscribe	41-2914-B
circumspect	41-2937-B
circumspection	41-2960-B
circumstance	41-2987-B,41-3011-B,41-3031-B,41-3055-B
circumstantial	41-3085-B,41-3106-B,41-3136-B,41-3167-B
circumvent	41-3200-B,41-3221-B
circumvention	41-3241-B,41-3268-B,41-3288-B
circus	41-3314-B
cistern	41-3328-B,41-3345-B
citadel	41-3366-B
citation	41-3384-B,41-3400-B,41-3424-B,41-3444-B
cite	41-3461-B,41-3474-B
citizen	41-3487-B,41-3502-B,41-3522-B
city	41-3538-B
civic	41-3552-B,41-3569-B
civil	41-3593-B,42-0-B,42-16-B
civilian	42-40-B,42-57-B
civility	42-82-B
civilization	42-105-B,42-128-B,42-154-B
civilize	42-176-B
clack	42-196-B,42-208-B,42-222-B,42-235-B,42-251-B
claim	42-266-B,42-288-B,42-303-B,42-316-B,42-334-B,42-349-B,42-363-B,42-375-B,42-388-B,42-403-B,42-416-B,42-429-B,42-447-B
claimant	42-464-B,42-481-B
clairvoyance	42-503-B
clairvoyant	42-534-B,42-556-B
clamber	42-583-B
clammy	42-598-B,42-615-B
clamorous	42-629-B
clamour	42-650-B,42-665-B,42-682-B,42-700-B,42-715-B,42-730-B,42-745-B
clamp	42-758-B,42-777-B,42-794-B,42-816-B,42-829-B,42-841-B,42-861-B
clan	42-877-B,42-888-B
clandestine	42-900-B,42-920-B,42-941-B
clang	42-969-B,42-984-B,42-999-B,42-1011-B,42-1028-B,42-1045-B,42-1058-B,42-1070-B
clanger	42-1083-B
clangour	42-1101-B,42-1117-B
clank	42-1133-B,42-1148-B,42-1161-B,42-1175-B,42-1192-B
clap	42-1206-B,42-1226-B,42-1237-B,42-1252-B,42-1269-B
clapboard	42-1283-B
clapper	42-1301-B,42-1315-B
claret	42-1332-B
clarification	42-1349-B
clarify	42-1373-B,42-1391-B,42-1411-B,42-1429-B,42-1449-B,42-1469-B,42-1489-B,42-1506-B
clarinet	42-1523-B
clarion	42-1543-B
clarity	42-1557-B,42-1581-B,42-1598-B,42-1614-B
clash	42-1630-B,42-1644-B,42-1659-B,42-1673-B,42-1690-B,42-1703-B,42-1718-B,42-1730-B,42-1745-B,42-1762-B,42-1781-B,42-1798-B
clasp	42-1820-B,42-1831-B,42-1852-B,42-1864-B,42-1874-B,42-1889-B,42-1905-B,42-1919-B
class	42-1933-B,42-1950-B,42-1969-B,42-1986-B,42-1999-B,42-2016-B,42-2029-B,42-2045-B,42-2065-B,42-2079-B,97-457-S,156-360-S,219-82-S
class conscious	42-2097-B
classic	42-2129-B,42-2147-B,42-2168-B,42-2186-B
classical	42-2206-B,42-2229-B
classicist	42-2249-B
classification	42-2270-B,42-2294-B
classify	42-2318-B,42-2336-B,42-2355-B,42-2375-B,42-2394-B
classless	42-2415-B
classmate	42-2434-B
classroom	42-2457-B
classy	42-2479-B,42-2492-B
clatter	42-2509-B,42-2530-B,42-2545-B,42-2561-B,42-2575-B,42-2590-B,42-2604-B,42-2619-B,42-2635-B,42-2650-B,42-2666-B,42-2683-B,42-2697-B,42-2713-B,42-2730-B
clause	42-2747-B,42-2764-B,42-2777-B,42-2792-B
claustrophobia	42-2808-B
clavicle	42-2837-B
claw	42-2855-B,42-2870-B,42-2881-B,42-2894-B,42-2906-B,42-2920-B,42-2932-B,42-2948-B,42-2960-B
clay	42-2973-B,42-2983-B
clayey	42-2996-B
clean	42-3011-B,42-3023-B,42-3040-B,42-3061-B,42-3076-B,42-3090-B,42-3103-B,42-3116-B,42-3129-B,42-3145-B,42-3158-B,42-3171-B,42-3186-B,42-3205-B,42-3226-B
cleaner	42-3243-B,42-3265-B
cleaning	42-3282-B,42-3303-B,42-3326-B,42-3347-B
cleanliness	42-3364-B,43-0-B
cleanly	43-21-B,43-36-B,43-54-B
cleanness	43-69-B,43-87-B
cleanse	43-106-B
cleanser	43-124-B
cleansing	43-147-B
clear	43-171-B,43-183-B,43-195-B,43-211-B,43-232-B,43-246-B,43-259-B,43-272-B,43-288-B,43-303-B,43-320-B,43-335-B,43-349-B,43-362-B,43-375-B,43-391-B,43-404-B,43-418-B,43-433-B,43-451-B,43-468-B,43-481-B,43-494-B,43-508-B,43-526-B,43-539-B,43-553-B,43-565-B
clear cut	43-581-B,43-598-B
clearance	43-625-B,43-650-B,43-674-B,43-692-B,43-710-B,43-730-B
clearing	43-753-B,43-766-B,43-781-B,43-798-B,43-816-B,43-838-B,43-861-B,43-878-B,43-895-B,43-915-B
clearly	43-937-B,43-960-B
clearness	43-979-B,43-1005-B,43-1022-B,43-1041-B,43-1062-B,43-1080-B,43-1096-B
clearway	43-1114-B
cleat	43-1131-B,43-1143-B,43-1155-B
cleavage	43-1167-B,43-1182-B
cleave	43-1199-B,43-1214-B,43-1231-B,43-1245-B,43-1260-B
clef	43-1277-B
cleft	43-1294-B,43-1309-B,43-1327-B,43-1338-B,43-1350-B
clematis	43-1362-B
clemency	43-1385-B,43-1399-B,43-1417-B,43-1434-B
clench	43-1451-B
clergy	43-1467-B,43-1482-B
clergyman	43-1503-B,43-1519-B,43-1540-B
clerical	43-1558-B
clerk	43-1578-B,43-1599-B,43-1613-B,43-1637-B,43-1655-B,43-1676-B
clever	43-1690-B,43-1710-B,43-1726-B,43-1742-B,43-1760-B,43-1773-B,43-1788-B,43-1811-B,43-1825-B
cleverness	43-1841-B,43-1864-B,43-1885-B,43-1906-B,43-1925-B
clew	43-1946-B
click	43-1957-B,43-1970-B,43-1984-B,43-1997-B,43-2013-B,43-2029-B,43-2045-B,43-2060-B,43-2076-B
client	43-2092-B,43-2107-B
clientele	43-2129-B
cliff	43-2152-B,43-2165-B,43-2183-B,43-2201-B
cliffy	43-2215-B
climate	43-2233-B,43-2250-B,43-2268-B
climatic	43-2284-B
climatology	43-2307-B
climax	43-2332-B,43-2351-B,43-2365-B,43-2382-B,43-2399-B,43-2416-B
climb	43-2434-B,43-2447-B,43-2464-B,43-2479-B,43-2492-B,43-2505-B
climber	43-2517-B,43-2534-B,43-2554-B,43-2577-B,43-2593-B
climbing	43-2621-B,43-2641-B
clime	43-2667-B
clinch	43-2682-B,43-2697-B,43-2712-B,43-2729-B,43-2742-B
clincher	43-2759-B
cling	43-2778-B
clinic	43-2792-B,43-2808-B
clink	43-2828-B,43-2842-B,43-2860-B,43-2875-B,43-2890-B,43-2905-B,43-2919-B,43-2934-B,43-2946-B
clinker	43-2960-B,43-2978-B
clip	43-2992-B,43-3005-B,43-3019-B,43-3034-B,43-3047-B,43-3062-B,43-3074-B,43-3085-B,43-3099-B,43-3110-B
clique	43-3126-B,43-3140-B,43-3158-B,43-3177-B
cloaca	43-3196-B
cloak	43-3212-B,43-3224-B,43-3236-B,43-3251-B,43-3263-B,43-3279-B,43-3292-B,43-3304-B,43-3316-B,44-0-B
cloakroom	44-13-B
clobber	44-33-B,44-48-B,44-64-B
cloche	44-85-B,44-98-B,44-110-B
clock	44-124-B,212-990-S
clockwise	44-136-B
clockwork	44-164-B
clod	44-185-B,44-197-B,44-210-B,44-222-B
clog	44-239-B,44-255-B,44-265-B,44-280-B,44-292-B
cloggy	44-307-B
cloister	44-321-B
close	44-339-B,44-351-B,44-363-B,44-376-B,44-389-B,44-406-B,44-417-B,44-432-B,44-444-B,44-460-B,44-476-B,44-488-B,44-505-B,44-523-B,44-539-B,44-552-B,44-567-B,44-582-B,44-595-B,44-611-B,44-626-B,44-639-B,44-652-B,44-665-B,44-682-B,44-698-B,44-715-B,44-730-B,44-747-B,44-761-B
closely	44-777-B,44-795-B
closeness	44-812-B,44-829-B,44-850-B,44-869-B,44-887-B
closer	44-912-B,44-929-B
closest	44-945-B
closet	44-960-B,44-974-B,44-988-B
closing	44-1002-B,44-1025-B,44-1046-B
clot	44-1067-B,44-1084-B,44-1097-B,44-1113-B,44-1127-B
cloth	44-1138-B,44-1151-B,44-1163-B,44-1175-B,44-1187-B,44-1200-B,44-1212-B,44-1224-B
clothe	44-1240-B,44-1253-B,44-1270-B
clothing	44-1285-B,44-1304-B,44-1318-B,44-1341-B
cloud	44-1362-B,44-1374-B,44-1391-B,44-1406-B,44-1421-B
cloudburst	44-1439-B
cloudiness	44-1460-B
cloudless	44-1478-B
cloudy	44-1498-B,44-1515-B,44-1531-B
clout	44-1544-B,44-1558-B
clove	44-1570-B,44-1582-B
cloven	44-1597-B
clover	44-1616-B
clown	44-1629-B,44-1642-B,44-1655-B,44-1667-B,44-1681-B,44-1693-B
clownish	44-1710-B
cloy	44-1732-B,44-1753-B
club	44-1771-B,44-1782-B,44-1793-B,44-1806-B,44-1817-B,44-1828-B,44-1840-B
cluck	44-1851-B,44-1867-B,44-1882-B,44-1898-B
clue	44-1913-B
clump	44-1927-B,44-1941-B
clumsiness	44-1956-B,44-1978-B
clumsy	44-2004-B,44-2028-B,44-2045-B,44-2063-B
cluster	44-2079-B,44-2094-B,44-2112-B,44-2131-B,44-2146-B,44-2165-B,44-2182-B,44-2198-B
clutch	44-2213-B,44-2227-B,44-2238-B
clutter	44-2253-B,44-2276-B
co op	44-2291-B
