aspirant	18-561-B,18-579-B
assort	18-3090-B,18-3108-B,18-3123-B
assortment	18-3139-B,18-3162-B
assuage	18-3177-B,18-3193-B,18-3210-B
assuagement	18-3225-B
assume	18-3248-B,18-3264-B,18-3279-B,18-3294-B,18-3309-B,18-3326-B
assumed	18-3342-B,18-3359-B,18-3373-B,18-3392-B,18-3410-B
assumption	18-3427-B,18-3449-B,18-3471-B,18-3492-B,18-3516-B
assumptive	18-3539-B
assurance	18-3559-B,18-3579-B,18-3598-B,19-0-B,214-1675-S,214-1697-S
assure	19-19-B,19-35-B,19-50-B,19-66-B
assured	19-82-B
assuredly	19-98-B,19-116-B,19-138-B
assuredness	19-165-B
assurgent	19-187-B
aster	19-207-B
asterisk	19-219-B
asthenia	19-240-B
asthma	19-259-B
asthmatic	19-273-B
astigmatic	19-295-B
astigmatism	19-316-B
astonish	19-341-B,19-361-B,19-377-B,19-397-B,19-417-B,19-434-B
astonishing	19-452-B,19-475-B
astonishingly	19-497-B
astonishment	19-524-B,19-551-B
astound	19-576-B,19-595-B,19-610-B,19-637-B,19-656-B,19-672-B,19-690-B
astounded	19-707-B
astounding	19-728-B,19-754-B,19-776-B
astrakhan	19-797-B
astral	19-816-B
astray	19-830-B,19-846-B,142-306-S,142-328-S
astringent	19-861-B
astrologer	19-883-B
astrological	19-905-B
astronaut	19-931-B
astronautics	19-952-B
astronomer	19-979-B
astronomic	19-1000-B
astronomical	19-1024-B
astronomically	19-1050-B
astronomy	19-1082-B
astrophysics	19-1103-B
astute	19-1130-B,19-1147-B,19-1161-B,19-1172-B,19-1185-B,19-1203-B,19-1216-B,19-1229-B
astuteness	19-1243-B,19-1261-B
asylum	19-1280-B,19-1292-B,19-1305-B
asymmetric	19-1319-B
asymmetrical	19-1343-B
asymmetry	19-1369-B
asymptote	19-1390-B
asynchronous	19-1410-B
at	19-1434-B,19-1440-B,19-1448-B,19-1456-B,19-1462-B,19-1472-B,19-1478-B,19-1490-B,19-1497-B,19-1505-B,108-1592-S,141-1689-S
at able	108-1871-S
at all	164-34-S,164-55-S
at first	19-1511-B
at last	19-1528-B,19-1542-B
at least	19-1561-B,19-1579-B
at length	19-1597-B,19-1613-B
at most	19-1634-B,19-1650-B
at once	19-1671-B,19-1689-B,19-1712-B,19-1727-B,19-1748-B
at one time	19-1770-B
at present	19-1792-B,19-1816-B
at the latest	19-1838-B
at the moment	19-1865-B
atavism	19-1892-B
atavistic	19-1909-B
atelier	19-1928-B,19-1944-B
atheist	19-1959-B
atheistic	19-1974-B
atheistical	19-1991-B
athens	1-472-B
atherosclerosis	19-2010-B
athlete	19-2044-B,19-2061-B
athletic	19-2077-B,19-2098-B
athletics	19-2115-B
atlantic	1-488-B,19-2137-B
atlas	19-2157-B
atmosphere	19-2169-B,19-2189-B
atmospheric	19-2212-B
atmospherical	19-2239-B
atoll	19-2268-B
atom	19-2280-B
atom bomb	19-2291-B
atomic	19-2316-B
atomist	19-2332-B
atomistic	19-2349-B
atomize	19-2368-B
atomizer	19-2385-B,19-2404-B,19-2428-B
atonal	19-2450-B
atonality	19-2464-B
atone	19-2485-B,19-2498-B
atrocious	19-2511-B,19-2528-B
atrocity	19-2547-B
atrophied	19-2566-B,19-2586-B
atrophy	19-2609-B,19-2626-B,19-2644-B
atropine	19-2664-B
attach	19-2682-B,19-2697-B,19-2712-B,19-2729-B,19-2744-B,19-2759-B,19-2774-B,19-2790-B,19-2808-B
attache	19-2823-B
attached	19-2840-B
attachment	19-2858-B,19-2879-B,19-2897-B,19-2920-B
attack	19-2938-B,19-2954-B,19-2971-B,19-2988-B,19-3002-B,19-3017-B
attacked	19-3033-B
attacker	19-3051-B,19-3070-B,19-3090-B
attain	19-3109-B,19-3126-B,19-3143-B,19-3158-B
attainable	19-3174-B
attained	19-3196-B
attainment	19-3213-B,19-3236-B
attempt	19-3257-B,19-3274-B,19-3288-B,19-3304-B,19-3322-B
attendance	19-3337-B,19-3359-B,19-3385-B
attendant	19-3406-B
attention	19-3424-B
attentive	19-3444-B
attentively	19-3463-B
attentiveness	19-3489-B
attenuate	19-3513-B,19-3531-B,19-3551-B,19-3571-B,19-3590-B
attenuated	19-3610-B
attenuating	19-3631-B
attenuation	19-3654-B,19-3680-B
attest	19-3705-B,20-0-B,20-17-B,20-35-B,20-50-B
attestation	20-68-B,20-92-B,20-118-B
attic	20-142-B
attire	20-156-B
attitude	20-169-B,20-187-B,20-209-B,20-231-B,20-245-B
attitudinize	20-263-B
attorney	20-282-B,20-298-B,20-314-B,143-1550-S
attract	20-334-B,20-352-B,20-367-B,20-383-B,20-400-B
attracted	20-419-B
attracting	20-437-B
attraction	20-457-B,20-478-B,20-500-B,20-519-B
attractive	20-541-B,20-563-B,20-585-B,20-605-B,20-626-B,20-647-B,20-668-B
attractiveness	20-690-B,20-716-B,20-739-B,20-761-B
attribute	20-787-B,20-807-B,20-826-B,20-843-B,20-862-B
attribution	20-878-B
attrition	20-902-B
attune	20-918-B,20-934-B,20-952-B
atypical	20-970-B
aubergine	20-988-B
auction	20-1008-B,20-1029-B,20-1045-B
auction sale	20-1064-B
audacious	20-1083-B,20-1103-B,20-1119-B
audacity	20-1140-B,20-1156-B,20-1175-B
audibility	20-1198-B
audible	20-1221-B
audience	20-1237-B,20-1257-B,20-1275-B,20-1294-B,20-1310-B
audio	20-1331-B,20-1348-B,20-1358-B
audit	20-1371-B,20-1383-B,20-1400-B,20-1415-B,20-1431-B,20-1451-B
auditive	20-1467-B
auditor	20-1484-B
auditorium	20-1501-B,20-1522-B,20-1544-B
auditory	20-1561-B
auger	20-1578-B,20-1590-B
augment	20-1603-B,20-1622-B,20-1639-B,20-1657-B,20-1675-B,20-1692-B,20-1709-B,20-1727-B
augmentation	20-1744-B,20-1772-B
augmented	20-1798-B
augur	20-1818-B
augury	20-1831-B,20-1845-B
august	20-1861-B
aunt	20-1876-B
auntie	20-1887-B
aunty	20-1899-B
aura	20-1910-B
aural	20-1920-B
aureola	20-1938-B
aureole	20-1955-B
aureomycin	20-1972-B
auricle	20-1996-B
auricular	20-2013-B
auriferous	20-2035-B
aurochs	20-2056-B
aurora	20-2072-B
auscultate	20-2086-B
auscultation	20-2107-B
auspices	20-2133-B
auspicious	20-2151-B
austere	20-2170-B,20-2187-B,20-2202-B
austerity	20-2219-B
austral	20-2241-B,20-2257-B
australia	1-508-B
australian	1-528-B
austria	1-550-B
austrian	1-567-B,20-2277-B
autarchy	20-2297-B,20-2315-B
autarky	20-2335-B
authentic	20-2352-B,20-2374-B
authentically	20-2395-B
authenticate	20-2425-B,20-2451-B,20-2474-B,20-2498-B
authentication	20-2522-B,20-2554-B,20-2582-B
authenticity	20-2610-B
author	20-2637-B,20-2652-B,20-2666-B,20-2683-B,47-1821-S,137-1408-S
authorise	20-2700-B,20-2720-B,20-2740-B
authorised	20-2762-B
authoritarian	20-2783-B
authoritative	20-2809-B
authority	20-2835-B,20-2858-B,20-2878-B,20-2895-B,20-2912-B
authorization	20-2930-B,20-2957-B,20-2978-B
authorize	20-3000-B,20-3020-B,20-3040-B,20-3061-B
authorized	20-3083-B
authorship	20-3104-B
auto	20-3126-B,20-3136-B,20-3152-B
autobiographic	20-3165-B
autobiographical	20-3197-B
autobiography	20-3231-B
autobus	20-3260-B
autocatalysis	20-3276-B
autochthon	20-3303-B
autocracy	20-3325-B
autocrat	20-3346-B
autocratic	20-3365-B,20-3383-B
autocratical	20-3407-B
autodidact	20-3433-B
autogamy	20-3456-B
autograph	20-3475-B,20-3496-B
autographic	20-3516-B
automat	20-3542-B
automate	20-3559-B
automated	20-3580-B
automatic	20-3602-B
automatical	20-3624-B
automatically	20-3648-B
automation	20-3678-B,20-3700-B
automatism	20-3726-B
automaton	20-3749-B
automobile	20-3768-B,20-3784-B,20-3806-B
automotive	20-3825-B
autonomic	20-3847-B
autonomous	20-3866-B
autonomy	20-3886-B
autopsy	20-3905-B
autosuggestion	21-0-B
autumn	21-30-B,21-46-B
autumnal	21-61-B
auxiliary	21-79-B
avail	21-101-B,21-116-B,21-129-B
availability	21-144-B
available	21-172-B,21-193-B,21-214-B
avalanche	21-235-B
avarice	21-255-B
avaricious	21-271-B,21-288-B
avatar	21-306-B
avenge	21-320-B
avenger	21-334-B
avenue	21-350-B,21-364-B,21-378-B,21-395-B
aver	21-406-B
average	21-420-B,21-434-B
averment	21-450-B
aversion	21-471-B,21-491-B,21-509-B
avert	21-530-B,21-547-B
aviary	21-563-B
aviation	21-579-B,21-597-B
aviator	21-620-B,21-637-B
aviatrix	21-652-B
avid	21-671-B
avidity	21-682-B
avidly	21-699-B
avitaminosis	21-716-B
avoid	21-741-B,21-756-B,21-767-B
avoidance	21-781-B
avouch	21-802-B,21-818-B
avow	21-834-B,21-846-B
avowal	21-861-B,21-873-B,21-891-B
avowed	21-911-B,21-925-B
await	21-942-B,21-957-B
awake	21-972-B,21-989-B,21-1007-B,21-1022-B,21-1038-B,270-632-S,270-650-S
awaken	21-1054-B,21-1072-B
awakening	21-1089-B
award	21-1107-B,21-1122-B,21-1136-B,21-1150-B,21-1166-B,21-1179-B,21-1195-B,21-1210-B
aware	21-1228-B,21-1241-B,21-1254-B
awareness	21-1269-B,21-1292-B
awash	21-1313-B
away	21-1327-B,21-1337-B,21-2701-S,39-1188-S,39-1208-S,39-1227-S,42-2665-S,42-2684-S,46-774-S,81-2558-S,81-2712-S,93-228-S,93-248-S,104-1813-S,104-2320-S,104-2342-S,109-378-S,109-399-S,109-416-S,109-436-S,110-1574-S,110-1589-S,173-3216-S,173-3236-S,191-802-S,191-1162-S,191-1179-S,191-1197-S,205-290-S,205-311-S,205-337-S,205-355-S,208-1541-S,208-1559-S,208-1573-S,214-3172-S,241-292-S,242-2708-S,242-2727-S,247-2764-S,255-349-S,267-1165-S
away with	77-1141-S,77-1164-S
awe	21-1351-B,21-1363-B,21-1372-B
awesome	21-1384-B
awful	21-1403-B,21-1420-B,21-1433-B,21-1449-B,21-1464-B,21-1479-B,21-1496-B
awfully	21-1516-B,21-1537-B
awfulness	21-1558-B
awkward	21-1576-B,21-1592-B,21-1607-B
awkwardness	21-1625-B,21-1648-B,21-1669-B,21-1691-B
awl	21-1714-B
awn	21-1727-B
awning	21-1737-B
awry	21-1750-B,21-1767-B
ax	21-1783-B,21-1793-B
axe	21-1802-B,123-3337-S,178-3139-S
axial	21-1812-B
axilla	21-1824-B
axiomatic	21-1840-B
axiomatical	21-1859-B
axis	21-1880-B
axle	21-1892-B,21-1901-B
ay	21-1913-B
aye	21-1920-B
azalea	21-1928-B
azimuth	21-1943-B
azote	21-1958-B
aztec	1-587-B
azure	21-1970-B,21-1981-B
b	21-1994-B
babble	21-1998-B,21-2011-B,21-2028-B,21-2044-B,21-2061-B,21-2078-B,21-2094-B,21-2112-B
babbler	21-2125-B
babbling	21-2140-B
babe	21-2159-B
baboon	21-2171-B
baby	21-2186-B,21-2198-B,21-2210-B
baby carriage	21-2226-B
babyhood	21-2247-B
babyish	21-2264-B,21-2281-B,21-2299-B
baccalaureate	21-2315-B
baccarat	21-2343-B
baccate	21-2360-B
baccivorous	21-2379-B
bachelor	21-2401-B
bacillary	21-2420-B
bacillus	21-2441-B
back	13-3059-S,21-2458-B,21-2471-B,21-2485-B,21-2500-B,21-2514-B,21-2529-B,21-2538-B,21-2555-B,21-2567-B,21-2580-B,21-2597-B,21-2612-B,21-2625-B,21-2637-B,21-2649-B,21-2663-B,21-2674-B,21-2687-B,24-2807-S,36-156-S,37-247-S,49-1816-S,49-1837-S,49-1855-S,78-3016-S,79-2114-S,93-2305-S,108-1608-S,108-1625-S,109-453-S,109-472-S,109-489-S,110-1608-S,110-1624-S,110-1642-S,115-2856-S,116-725-S,120-2594-S,120-2613-S,120-2632-S,120-2650-S,174-2978-S,191-822-S,191-1212-S,242-2747-S,255-370-S,266-1255-S
back away	21-2701-B
back down	21-2719-B
back off	21-2739-B
back tooth	21-2756-B
backbite	21-2775-B
backbone	21-2793-B,21-2822-B
backdate	21-2839-B
backer	21-2858-B
background	21-2874-B
backhand	21-2890-B
backhanded	21-2906-B,21-2924-B
backing	21-2946-B,21-2960-B,21-2976-B
backlog	21-2992-B
backrest	21-3010-B
backside	21-3025-B,21-3044-B,21-3065-B
backup	21-3080-B
backward	21-3098-B,21-3117-B,21-3135-B,21-3157-B,21-3175-B
bacon	21-3196-B
bacteria	21-3207-B
bacterial	21-3226-B
bacteriological	22-0-B
bacteriologist	22-33-B
bacteriology	22-65-B
bacteriophage	22-93-B
bacterium	22-122-B
bad	22-142-B,22-153-B,22-162-B,22-173-B,22-181-B,22-193-B,22-206-B,22-217-B
bad luck	22-228-B
bad mouth	22-247-B
badge	22-266-B,22-278-B,22-292-B,22-305-B
badger	22-319-B,22-335-B,22-351-B
badly	22-369-B,22-385-B,22-395-B
badman	22-413-B
badminton	22-427-B
badness	22-447-B
baffle	22-468-B,22-485-B,22-505-B
bag	22-522-B,22-533-B,22-545-B,22-556-B,22-564-B,22-575-B
bagatelle	22-587-B,22-605-B
baggage	22-625-B,22-640-B
baggage car	22-655-B
bagman	22-675-B
bagpipe	22-698-B
bagpipes	22-716-B
bail	22-735-B,22-748-B
bailee	22-762-B
bailiff	22-782-B,22-801-B,22-818-B
bailment	22-837-B
bailor	22-854-B
bairn	22-871-B,22-884-B
bait	22-897-B,22-909-B,22-921-B,22-935-B,22-947-B
bake	22-963-B,22-974-B
baked	22-987-B
bakehouse	22-998-B
bakelite	22-1020-B
baker	22-1039-B
bakery	22-1055-B
baking	22-1074-B,22-1089-B
balaclava	22-1102-B
balance	22-1120-B,22-1138-B,22-1154-B,22-1170-B,22-1185-B,22-1201-B,22-1221-B,22-1238-B,22-1252-B,22-1270-B,22-1293-B,22-1309-B,22-1330-B,22-1344-B,22-1362-B,22-1381-B,39-2187-S
balance sheet	22-1401-B
balanced	22-1421-B,22-1439-B,22-1458-B,22-1477-B,268-2907-S
balancing	22-1498-B,22-1520-B,22-1541-B
bald	22-1564-B,22-1576-B,22-1587-B
bald headed	22-1596-B
baldachin	22-1615-B
baldly	22-1635-B,22-1654-B
baldness	22-1673-B,22-1691-B
bale	22-1708-B
baleful	22-1719-B,22-1735-B,22-1754-B
balk	22-1771-B,22-1784-B,22-1798-B,22-1811-B
ball	22-1823-B,22-1832-B,22-1843-B,22-1855-B,22-1866-B,22-1877-B,22-1891-B,22-1902-B,22-1914-B,22-1927-B
ballad	22-1940-B
ballade	22-1955-B
ballast	22-1971-B,22-1987-B
ballerina	22-2000-B
ballet	22-2020-B
ballistic	22-2034-B
ballistics	22-2055-B
balloon	22-2077-B,22-2095-B,22-2110-B
ballot	22-2124-B,22-2148-B,22-2163-B
bally	22-2175-B
balm	22-2188-B
balmy	22-2199-B,22-2217-B
balsam	22-2228-B
balustrade	22-2241-B
bamboo	22-2263-B
ban	22-2277-B,22-2291-B,22-2302-B,22-2316-B,22-2329-B,22-2346-B,22-2360-B,22-2373-B,22-2386-B
banal	22-2402-B,22-2414-B
banality	22-2430-B
banana	22-2449-B,22-2463-B
banana tree	22-2479-B
band	22-2500-B,22-2511-B,22-2524-B,22-2535-B,22-2551-B,22-2563-B,22-2577-B,22-2590-B,22-2602-B,22-2617-B,22-2627-B,22-2638-B
bandage	22-2652-B,22-2668-B,22-2682-B,22-2698-B,22-2713-B
bandaged	22-2731-B
bandanna	22-2747-B,22-2764-B
banded	22-2782-B
bandit	22-2795-B
banditry	22-2809-B
baneful	22-2829-B
bang	22-2845-B,22-2857-B,22-2873-B,22-2883-B,22-2895-B
banger	22-2906-B,22-2921-B
bangle	22-2937-B
banish	22-2953-B,22-2967-B,22-2982-B,22-2999-B
banishment	22-3016-B,22-3040-B
banister	22-3056-B,22-3074-B
bank	22-3089-B,22-3099-B,22-3111-B,23-0-B,23-11-B,23-21-B,23-32-B,23-42-B,23-55-B,23-67-B,23-77-B
bankable	23-88-B
banker	23-106-B
banking	23-122-B
banknote	23-139-B
bankrupt	23-165-B,23-186-B,23-202-B
bankruptcy	23-218-B,23-241-B,23-261-B
banner	23-278-B,23-295-B
bannister	23-310-B
banquet	23-326-B,23-342-B,23-360-B,23-375-B
banter	23-392-B,23-408-B,23-423-B,23-441-B,23-461-B
banyan	23-477-B
baobab	23-491-B
baptism	23-505-B,23-521-B
baptist	23-538-B
baptize	23-555-B
baptized	23-572-B
bar	23-590-B,23-603-B,23-613-B,23-621-B,23-631-B,23-643-B,23-654-B,23-667-B,23-678-B,23-691-B,23-702-B,23-715-B,23-726-B,23-735-B,23-748-B
barbarian	23-757-B
barbaric	23-775-B
barbarism	23-792-B,23-811-B
barbarity	23-832-B,23-851-B,23-870-B
barbarous	23-892-B
barbarousness	23-910-B
barbate	23-933-B
barbed	23-949-B,23-964-B
barber	23-980-B,23-995-B
barbiturate	23-1011-B
bard	23-1036-B,23-1047-B
bare	23-1059-B,23-1076-B,23-1092-B,23-1106-B,23-1121-B,23-1129-B,23-1140-B,23-1155-B
barefaced	23-1165-B,23-1185-B,23-1204-B
