contributing	74-3919-B,74-3941-B,74-3964-B
convulsive	75-3319-B,75-3339-B
cony	75-3362-B,75-3374-B
coo	75-3390-B,75-3404-B,75-3417-B
cook	75-3428-B,75-3441-B,75-3452-B,75-3466-B
cookery	75-3478-B
cookie	75-3498-B,75-3513-B,75-3527-B,75-3544-B,75-3557-B,75-3577-B,75-3593-B,75-3617-B
cooking	75-3632-B,75-3648-B
cooky	75-3664-B
cool	75-3680-B,75-3692-B,75-3703-B,75-3716-B,75-3732-B,75-3744-B,75-3759-B,75-3773-B,75-3787-B,75-3802-B
coolant	75-3816-B
coolie	75-3835-B,75-3857-B
cooling	75-3869-B,75-3887-B,75-3905-B
coon	75-3923-B,75-3935-B
coop	76-0-B,76-11-B
cooper	76-30-B,76-45-B,76-58-B
cooperate	76-73-B,76-92-B,76-111-B
cooperation	76-133-B,76-154-B,76-175-B,76-196-B
cooperative	76-217-B,76-238-B,76-259-B
coordinate	76-279-B,76-303-B,76-327-B,76-349-B,76-372-B,76-396-B,76-419-B,76-443-B,76-464-B
coordination	76-488-B,76-514-B,76-540-B,76-568-B,76-597-B,76-623-B,76-648-B
coordinator	76-675-B,76-699-B,76-724-B
cop	76-749-B,76-760-B
cope	76-774-B,76-789-B,76-809-B,76-824-B
copious	76-850-B,76-864-B,76-884-B,76-899-B
copper	76-915-B,76-928-B,76-952-B,76-965-B
copula	76-982-B,76-998-B
copulate	76-1010-B
copy	76-1034-B,76-1048-B,76-1060-B,76-1072-B,76-1085-B,76-1099-B,76-1111-B,76-1126-B,76-1141-B,76-1155-B,76-1169-B
copying	76-1184-B,76-1202-B,76-1220-B
copyright	76-1237-B
coquetry	76-1262-B
coquette	76-1282-B
coral	76-1298-B,76-1310-B
cord	76-1323-B,76-1335-B,76-1346-B,76-1359-B,76-1386-B,76-1404-B,76-1415-B,76-1435-B,76-1468-B,76-1478-B,76-1488-B
cordial	76-1508-B,76-1523-B,76-1540-B
cordite	76-1554-B
cordon	76-1577-B,76-1591-B
corduroy	76-1604-B,76-1630-B
core	76-1646-B,76-1658-B,76-1689-B,76-1708-B,76-1722-B,76-1743-B,76-1765-B,76-1775-B,76-1795-B,76-1805-B
cork	76-1819-B,76-1830-B,76-1845-B,76-1860-B
corn	76-1870-B,76-1883-B,76-1893-B,76-1908-B
cornea	76-1919-B
corner	76-1935-B,76-1946-B,76-1990-B,76-2002-B
cornet	76-2017-B,76-2031-B
cornucopia	76-2049-B
corolla	76-2073-B
corollary	76-2101-B,76-2119-B
coronal	76-2147-B,76-2164-B,76-2178-B
coronation	76-2194-B,76-2216-B,76-2237-B
coroner	76-2260-B,76-2279-B,76-2303-B
corporal	76-2323-B,76-2340-B,76-2358-B,76-2374-B,76-2392-B
corporate	76-2408-B,76-2446-B,76-2467-B,76-2490-B,76-2513-B,76-2536-B,76-2559-B
corporation	76-2581-B,76-2605-B
corpse	76-2628-B,76-2640-B
corpulence	76-2655-B
corpulent	76-2676-B,76-2692-B,76-2706-B
corpus	76-2723-B,76-2737-B,76-2753-B
corral	76-2767-B,76-2779-B,76-2790-B
correct	76-2810-B,76-2827-B,76-2845-B,76-2862-B,76-2879-B,76-2898-B,76-2916-B,76-2933-B
correction	76-2948-B,76-2968-B,76-2992-B
correctly	76-3013-B,76-3032-B,76-3051-B,76-3070-B
correctness	76-3086-B,76-3109-B
correlate	76-3130-B
correlation	76-3154-B,76-3177-B,76-3197-B,76-3231-B,76-3252-B,76-3275-B
correspond	76-3295-B,76-3320-B,76-3342-B,76-3365-B,76-3390-B,76-3412-B,76-3432-B
correspondence	76-3452-B,76-3479-B,76-3510-B,76-3537-B,76-3564-B,76-3588-B,76-3612-B
correspondent	76-3638-B,76-3661-B,76-3688-B
corresponding	76-3712-B,76-3740-B,76-3768-B,76-3791-B
correspondingly	76-3815-B,76-3845-B,77-0-B
corridor	77-27-B,77-43-B
corroborate	77-60-B,77-86-B,77-111-B
corrode	77-133-B,77-150-B,77-167-B,77-185-B
corrosion	77-203-B,77-219-B,77-238-B,77-257-B,77-279-B,77-301-B
corrosive	77-322-B,77-344-B,77-367-B,77-387-B
corrupt	77-407-B,77-424-B,77-443-B,77-459-B,77-477-B,77-496-B,77-513-B
corruption	77-531-B,77-552-B,77-573-B,77-589-B
corset	77-614-B,77-627-B,77-642-B
cortex	77-663-B,77-675-B,77-694-B
cortisol	77-715-B
cosily	77-733-B,77-749-B
cosine	77-763-B
cosiness	77-780-B
cosmetic	77-798-B
cosmic	77-819-B
cosmology	77-836-B
cosmonaut	77-858-B,77-878-B
cosmopolitan	77-898-B
cosmos	77-920-B,77-934-B
cosset	77-948-B,77-964-B,77-980-B
cost	77-997-B,77-1009-B,77-1031-B,77-1046-B,77-1061-B,77-1075-B,77-1088-B,77-1101-B,77-1117-B
costing	77-1133-B,77-1161-B
costly	77-1189-B,77-1201-B
costume	77-1218-B,77-1233-B,77-1249-B
cot	77-1265-B,77-1286-B,77-1297-B,77-1319-B
cote	77-1338-B
cottage	77-1347-B,77-1362-B,77-1376-B,77-1392-B,77-1412-B,77-1440-B,77-1461-B
cotton	77-1479-B,77-1492-B,77-1506-B,77-1522-B
couch	77-1539-B,77-1552-B,77-1564-B,77-1577-B
cough	77-1590-B,77-1604-B,77-1621-B
could	77-1637-B,77-1649-B,77-1661-B,77-1673-B
council	77-1686-B,77-1701-B,77-1715-B,77-1729-B,77-1744-B,77-1760-B
counsel	77-1776-B,77-1794-B,77-1816-B,77-1831-B,77-1849-B,77-1873-B
count	77-1893-B,77-1907-B,77-1922-B,77-1936-B,77-1951-B,77-1962-B,77-1978-B,77-1989-B,77-2005-B,77-2018-B,77-2034-B,77-2058-B,77-2076-B,77-2093-B,77-2105-B
countable	77-2120-B,77-2137-B,77-2157-B
countenance	77-2178-B,77-2198-B,77-2219-B,77-2242-B,77-2259-B,77-2275-B,77-2298-B
counter	77-2322-B,77-2339-B,77-2355-B,77-2368-B,77-2383-B,77-2400-B,77-2413-B,77-2431-B,77-2448-B
counteract	77-2462-B,77-2486-B
counterbalance	77-2511-B
counterclaim	77-2537-B
counterespionage	77-2562-B
counterfeit	77-2597-B,77-2623-B
counterfoil	77-2648-B
countermand	77-2675-B,77-2700-B
counterpane	77-2723-B,77-2745-B
counterpart	77-2768-B,77-2789-B,77-2809-B,77-2828-B
counterpoint	77-2849-B
counterpoise	77-2874-B
counterrevolution	77-2898-B
countersign	77-2933-B,77-2953-B
countersink	77-2972-B
countess	77-3001-B
counting	77-3018-B
countless	77-3036-B,77-3054-B,77-3074-B,77-3091-B
country	77-3109-B,77-3126-B,77-3142-B,77-3161-B,77-3177-B,77-3195-B,77-3210-B,77-3225-B,77-3240-B
countryman	77-3255-B,77-3273-B
countryside	77-3292-B,77-3309-B,77-3329-B,77-3351-B,77-3371-B
county	77-3391-B,77-3408-B,77-3425-B,77-3442-B,77-3455-B,77-3472-B,77-3486-B,77-3503-B,77-3520-B,77-3539-B
couple	77-3559-B,77-3578-B,77-3591-B,77-3606-B,78-0-B,78-11-B,78-26-B
coupler	78-41-B
couplet	78-59-B
coupling	78-75-B,78-89-B,78-105-B
coupon	78-121-B,78-134-B,78-149-B
courage	78-162-B,78-177-B,78-194-B,78-213-B
courageous	78-230-B,78-248-B,78-268-B,78-288-B
courier	78-306-B
course	78-326-B,78-337-B,78-351-B,78-363-B,78-383-B,78-396-B,78-412-B,78-428-B,78-443-B,78-457-B,78-474-B,78-488-B,78-504-B,78-522-B,78-535-B,78-549-B,78-562-B,78-573-B
courser	78-586-B,78-600-B,78-614-B
court	78-629-B,78-640-B,78-656-B,78-673-B,78-683-B,78-694-B,78-709-B,78-723-B,78-736-B,78-748-B,78-764-B
courteous	78-782-B
courtesy	78-800-B,78-820-B,78-840-B
courthouse	78-859-B,78-874-B,78-893-B
courtier	78-916-B,78-934-B
courtly	78-953-B,78-969-B
courtroom	78-984-B
courtship	78-1002-B
courtyard	78-1022-B,78-1042-B
cousin	78-1062-B,78-1077-B,78-1091-B,78-1106-B,78-1124-B
cove	78-1142-B,78-1159-B,78-1170-B
covenant	78-1181-B,78-1198-B,78-1216-B
cover	78-1232-B,78-1246-B,78-1258-B,78-1274-B,78-1287-B,78-1301-B,78-1317-B,78-1334-B,78-1352-B,78-1366-B,78-1377-B,78-1393-B,78-1408-B,78-1424-B,78-1438-B,78-1454-B,78-1470-B,78-1487-B,78-1502-B,78-1516-B
coverage	78-1532-B,78-1549-B,78-1564-B
covering	78-1584-B,78-1600-B,78-1617-B,78-1636-B,78-1656-B,78-1675-B,78-1695-B,78-1713-B,78-1742-B,78-1762-B
coverlet	78-1782-B,78-1801-B
covert	78-1820-B,78-1835-B,78-1848-B
covet	78-1871-B,78-1892-B,78-1907-B
covetous	78-1931-B,78-1952-B
cow	78-1969-B
coward	78-1979-B,78-1995-B
cowardice	78-2013-B
cowboy	78-2035-B,78-2050-B,78-2064-B,78-2078-B,78-2099-B
cower	78-2115-B
cowherd	78-2134-B,78-2149-B
cowl	78-2166-B,78-2182-B
cox	78-2194-B
coxcomb	78-2210-B,78-2225-B,78-2244-B,78-2259-B
coy	78-2285-B,78-2297-B
crab	78-2310-B,78-2331-B,78-2348-B,78-2364-B,78-2393-B,78-2402-B,78-2423-B,78-2436-B
crack	78-2455-B,78-2470-B,78-2486-B,78-2502-B,78-2518-B,78-2533-B,78-2547-B,78-2562-B,78-2576-B
cracker	78-2591-B
cracking	78-2626-B,78-2646-B,78-2663-B
cradle	78-2680-B,78-2697-B
craft	78-2712-B,78-2725-B,78-2741-B,78-2753-B,78-2766-B,78-2777-B,78-2794-B,78-2812-B,78-2826-B,78-2843-B,78-2859-B,78-2871-B,78-2884-B,78-2897-B
craftsman	78-2908-B,78-2926-B,78-2944-B,78-2965-B
craftsmanship	78-2985-B
crafty	78-3006-B,78-3021-B,78-3037-B
crag	78-3051-B,78-3065-B,78-3077-B
craggy	78-3090-B
cram	78-3107-B,78-3119-B,78-3131-B,78-3145-B,78-3160-B,78-3175-B
cramp	78-3195-B
cranberry	78-3206-B
crane	78-3225-B,79-0-B,79-16-B,79-27-B
cranial	79-40-B
crank	79-58-B,79-70-B,79-86-B,79-99-B,79-118-B,79-132-B
crankcase	79-144-B
crankshaft	79-185-B
cranky	79-217-B,79-232-B,79-249-B
cranny	79-264-B,79-281-B,79-297-B
crap	79-312-B,79-328-B,79-339-B
crape	79-352-B
crash	79-363-B,79-374-B,79-389-B,79-400-B,79-413-B,79-430-B,79-444-B,79-456-B,79-469-B
crater	79-484-B,79-498-B,79-512-B,79-526-B
cravat	79-541-B,79-556-B,79-571-B,79-593-B
crave	79-615-B,79-630-B
craven	79-644-B,79-660-B
craw	79-679-B,79-692-B,79-705-B
crawfish	79-717-B
crawl	79-730-B,79-745-B,79-759-B,79-773-B,79-786-B
crayfish	79-808-B,79-821-B
crayon	79-846-B
craze	79-866-B,79-879-B
crazy	79-895-B,79-910-B,79-924-B,79-934-B,79-945-B,79-957-B,79-971-B
creak	79-985-B,79-999-B
cream	79-1015-B,79-1028-B,79-1039-B,79-1051-B,79-1064-B,79-1077-B,79-1097-B
crease	79-1110-B,79-1123-B,79-1138-B,79-1155-B,79-1169-B
create	79-1180-B,79-1196-B,79-1215-B,79-1232-B,79-1248-B,79-1264-B,79-1281-B,79-1298-B,79-1315-B,79-1331-B,79-1347-B,79-1362-B,79-1380-B,79-1394-B,79-1410-B,79-1427-B,79-1444-B,79-1460-B,79-1476-B
creation	79-1492-B,79-1507-B,79-1525-B,79-1544-B,79-1564-B,79-1587-B,79-1606-B,79-1625-B
creative	79-1645-B,79-1664-B
creativity	79-1686-B,79-1709-B
creator	79-1733-B,79-1749-B,79-1767-B
creature	79-1782-B,79-1797-B
credence	79-1816-B,79-1835-B,79-1855-B
credential	79-1870-B,79-1890-B,79-1911-B
credibility	79-1935-B
credible	79-1963-B
credit	79-1983-B,79-1994-B,79-2007-B,79-2021-B,79-2040-B,79-2056-B,79-2073-B,79-2090-B,79-2106-B,79-2124-B,79-2137-B,79-2150-B
creditor	79-2167-B,79-2185-B,79-2206-B
creditworthiness	79-2225-B
credulity	79-2250-B
credulous	79-2273-B
creed	79-2294-B,79-2306-B
creek	79-2323-B,79-2335-B
creep	79-2353-B,79-2368-B,79-2382-B,79-2394-B,79-2407-B,79-2420-B,79-2437-B,79-2451-B,79-2465-B,79-2478-B
creeper	79-2491-B
crescent	79-2507-B
crest	79-2527-B,79-2539-B,79-2553-B,79-2563-B
cretin	79-2575-B
crevasse	79-2593-B
crevice	79-2611-B,79-2629-B
crew	79-2646-B,79-2660-B,79-2673-B,79-2686-B,79-2698-B,79-2716-B,79-2758-B,79-2770-B
crib	79-2781-B,79-2803-B,79-2826-B,79-2837-B
crick	79-2848-B
cricket	79-2859-B,79-2875-B,79-2890-B,79-2918-B
cricketer	79-2935-B
crier	79-2960-B,79-2978-B,79-2992-B,79-3004-B
crime	79-3018-B,79-3033-B,79-3049-B,79-3068-B,79-3082-B,79-3096-B
criminal	79-3113-B,79-3130-B,79-3147-B,79-3167-B,79-3188-B,79-3205-B,79-3224-B
criminality	79-3246-B
criminology	80-0-B
crimp	80-26-B,80-48-B,80-63-B,80-110-B
crimson	80-131-B,80-145-B,80-160-B
cringe	80-174-B,80-194-B,80-220-B
crinkle	80-238-B
cripple	80-252-B,80-267-B,80-283-B,80-301-B
crisis	80-318-B
crisp	80-331-B,80-344-B,80-359-B,80-369-B,80-382-B
crispy	80-395-B,80-409-B
criterion	80-420-B,80-439-B,80-455-B,80-473-B,80-494-B
critic	80-510-B,80-525-B,80-542-B,80-559-B
critical	80-578-B,80-596-B,80-615-B,80-631-B,80-649-B
criticism	80-667-B
croak	80-685-B,80-701-B,80-718-B,80-734-B
crochet	80-751-B
crockery	80-770-B
crocodile	80-790-B
croft	80-809-B
croissant	80-825-B
crone	80-841-B,80-852-B,80-874-B
crony	80-888-B
crook	80-905-B,80-916-B,80-931-B
croon	80-946-B,80-964-B
crop	80-984-B,80-997-B,80-1014-B,80-1030-B,80-1042-B,80-1051-B,80-1062-B
croquet	80-1074-B
cross	80-1089-B,80-1107-B,80-1119-B,80-1132-B,80-1148-B,80-1164-B,80-1198-B,80-1212-B,80-1223-B,80-1234-B,80-1247-B,80-1262-B,80-1278-B,80-1295-B,80-1311-B,80-1329-B,80-1347-B,80-1362-B,80-1393-B,80-1410-B,80-1429-B,80-1444-B,80-1459-B,80-1474-B,80-1489-B
crossbar	80-1504-B,80-1524-B,80-1541-B
crossing	80-1561-B,80-1580-B,80-1600-B,80-1618-B,80-1648-B,80-1668-B,80-1688-B
crossover	80-1708-B,80-1742-B,80-1762-B,80-1790-B,80-1820-B,80-1839-B
crossroad	80-1859-B,80-1879-B
crosstalk	80-1898-B,80-1924-B
crossword	80-1959-B
crotchet	80-1980-B,80-1996-B,80-2010-B,80-2026-B
crouch	80-2047-B,80-2065-B,80-2091-B,80-2110-B
croup	80-2127-B
croupier	80-2144-B
crow	80-2160-B,80-2176-B
crowd	80-2187-B,80-2200-B,80-2213-B,80-2230-B,80-2245-B,80-2260-B
crown	80-2274-B,80-2286-B,80-2298-B,80-2312-B,80-2328-B,80-2343-B
crucial	80-2356-B,80-2373-B,80-2391-B,80-2411-B,80-2428-B,80-2449-B,80-2470-B
crucible	80-2487-B
crucifix	80-2504-B
crucifixion	80-2522-B
crucify	80-2543-B
crude	80-2560-B,80-2571-B,80-2583-B,80-2598-B,80-2616-B,80-2634-B,80-2646-B
cruel	80-2659-B,80-2672-B,80-2690-B,80-2706-B,80-2725-B,80-2739-B,80-2754-B
cruet	80-2766-B
cruise	80-2780-B,80-2798-B,80-2815-B,80-2833-B
cruiser	80-2854-B,80-2881-B,80-2895-B,80-2913-B
crumb	80-2936-B,80-2950-B,80-2961-B,80-2974-B,80-2987-B
crumble	80-2999-B,80-3014-B,80-3032-B,80-3052-B
crumpet	80-3072-B
crumple	80-3096-B,80-3114-B
crunch	80-3131-B,80-3147-B
crusade	80-3165-B,80-3188-B
crusader	80-3210-B,80-3230-B
crush	80-3250-B,80-3266-B,80-3279-B,80-3296-B,80-3310-B,80-3321-B,80-3338-B
crust	80-3357-B,80-3368-B,80-3388-B,80-3406-B,80-3419-B,80-3432-B,81-0-B
crustacean	81-16-B
crutch	81-31-B,81-45-B
cry	81-58-B,81-69-B,81-79-B,81-91-B,81-101-B,81-113-B,81-123-B,81-133-B,81-144-B
crypt	81-157-B,81-172-B,81-189-B,81-202-B
cryptology	81-220-B,81-244-B
crystal	81-286-B,81-310-B,81-326-B,81-344-B,81-362-B,81-380-B,81-398-B
crystalline	81-412-B,81-434-B,81-456-B,81-478-B
cub	81-501-B,81-511-B,81-525-B
cube	81-539-B,81-550-B,81-559-B
cubic	81-579-B,81-594-B
cuckold	81-609-B,81-632-B
cuckoo	81-648-B,81-662-B
cucumber	81-678-B
cud	81-697-B
cuddle	81-713-B,81-729-B
cudgel	81-745-B,81-759-B,81-774-B
cue	81-789-B,81-801-B,81-821-B,81-830-B,81-838-B,81-851-B,81-865-B,81-873-B,81-882-B
cuff	81-903-B,81-918-B,81-941-B,81-955-B,81-969-B,81-982-B
cuisine	81-1003-B,81-1019-B,81-1035-B,81-1051-B
culinary	81-1067-B,81-1086-B,81-1106-B,81-1127-B,81-1147-B,81-1168-B
cull	81-1189-B,81-1203-B,81-1216-B,81-1235-B,81-1248-B
culminate	81-1269-B,81-1294-B,81-1318-B
culmination	81-1336-B
culpability	81-1360-B,81-1384-B,81-1404-B,81-1424-B
culpable	81-1460-B,81-1478-B,81-1492-B
culprit	81-1514-B,81-1529-B,81-1548-B
cult	81-1566-B,81-1576-B,81-1593-B
cultivate	81-1612-B,81-1629-B,81-1649-B,81-1671-B
cultivation	81-1690-B,81-1710-B,81-1735-B,81-1762-B,81-1785-B,81-1804-B,81-1829-B
cultural	81-1847-B,81-1864-B,81-1884-B,81-1902-B,81-1919-B,81-1937-B,81-1955-B,81-1973-B,81-1992-B,81-2011-B,81-2029-B,81-2048-B
culture	81-2070-B,81-2087-B,81-2103-B,81-2120-B,81-2136-B,81-2152-B,81-2168-B,81-2188-B,81-2205-B
culvert	81-2219-B
cumber	81-2231-B,81-2246-B,81-2263-B
cumbersome	81-2278-B,81-2297-B,81-2317-B,81-2335-B
cumin	81-2353-B,81-2363-B
cumulative	81-2375-B,81-2397-B,81-2412-B,81-2430-B,81-2453-B
cumulatively	81-2471-B
cunnilingus	81-2496-B
cunning	81-2519-B,81-2536-B,81-2555-B,81-2573-B,81-2588-B
cunt	81-2606-B,81-2617-B
cup	81-2629-B,81-2637-B,81-2650-B,81-2660-B,81-2670-B,81-2681-B,81-2693-B
cupboard	81-2704-B,81-2732-B,81-2747-B,81-2778-B,81-2796-B
cupidity	81-2812-B,81-2829-B
cupola	81-2849-B,81-2861-B
cur	81-2875-B,81-2888-B
curable	81-2896-B
curacy	81-2914-B,81-2930-B
curate	81-2955-B,81-2970-B
curator	81-2988-B,81-3008-B,81-3032-B
curd	81-3053-B
cure	81-3064-B,81-3081-B,81-3092-B,81-3108-B,81-3123-B
curfew	81-3141-B,81-3163-B
curiosity	81-3186-B,81-3208-B,81-3228-B
curious	81-3250-B,81-3271-B,81-3288-B,81-3304-B,81-3325-B,81-3342-B
curl	81-3360-B,81-3373-B,81-3388-B,81-3399-B
curly	81-3411-B,82-0-B,82-17-B,82-32-B,82-45-B
currant	82-59-B,82-78-B,82-92-B
currency	82-114-B,82-130-B,82-147-B,82-163-B,82-178-B,82-202-B,82-229-B,82-245-B,82-261-B
current	82-277-B,82-294-B,82-312-B,82-327-B,82-344-B,82-357-B,82-379-B,82-397-B,82-416-B,82-431-B,82-449-B,82-465-B,82-482-B,82-498-B,82-510-B,82-527-B,82-544-B,82-561-B,82-578-B
currently	82-594-B,82-613-B,82-635-B
curriculum	82-654-B,82-675-B,82-710-B
curry	82-738-B,82-750-B
curse	82-769-B,82-781-B,82-794-B,82-812-B,82-830-B,82-844-B
cursive	82-857-B
cursor	82-875-B,82-889-B,82-905-B,82-923-B,82-977-B,82-996-B,82-1026-B
cursory	82-1043-B,82-1064-B,82-1083-B
curt	82-1100-B,82-1112-B,82-1127-B
curtail	82-1139-B,82-1156-B,82-1174-B,82-1191-B
curtailment	82-1208-B,82-1235-B,82-1259-B,82-1282-B
curtain	82-1304-B,82-1319-B
curvature	82-1335-B,82-1353-B,82-1373-B,82-1397-B,82-1422-B
curve	82-1438-B,82-1450-B,82-1464-B,82-1478-B,82-1493-B,82-1508-B,82-1520-B,82-1535-B,82-1549-B,82-1566-B
cushion	82-1581-B
custard	82-1596-B,82-1616-B,82-1630-B,82-1673-B
custodial	82-1717-B,82-1757-B
custodian	82-1778-B,82-1795-B,82-1821-B,82-1839-B
custody	82-1855-B,82-1879-B,82-1894-B,82-1926-B,82-1942-B,82-1955-B,82-1971-B,82-1986-B,82-2003-B
custom	82-2020-B,82-2034-B,82-2050-B,82-2066-B,82-2082-B,82-2101-B,82-2120-B,82-2135-B,82-2152-B,82-2167-B,82-2187-B,82-2205-B,82-2224-B
customary	82-2238-B,82-2258-B
customer	82-2279-B,82-2296-B,82-2314-B,82-2332-B,82-2391-B,82-2416-B,82-2431-B,82-2451-B,82-2472-B,82-2493-B,82-2512-B
cut	82-2529-B,82-2542-B,82-2551-B,82-2564-B,82-2576-B,82-2592-B,82-2606-B,82-2631-B,82-2643-B,82-2657-B,82-2666-B,82-2674-B,82-2685-B,82-2697-B,82-2708-B
cute	82-2718-B,82-2733-B,82-2745-B,82-2758-B
cutlery	82-2770-B
cutlet	82-2793-B,82-2807-B,82-2822-B
cutoff	82-2837-B,82-2854-B,82-2871-B,82-2885-B
cutout	82-2901-B
cutter	82-2914-B,82-2934-B,82-2950-B,82-2966-B,82-2981-B,82-3003-B,82-3015-B,82-3029-B
cutting	82-3047-B,82-3064-B,82-3080-B,82-3100-B,82-3121-B,82-3137-B,82-3155-B,82-3167-B,82-3180-B,82-3196-B,82-3215-B,82-3234-B
cuttle	82-3252-B
cuttlefish	82-3275-B,82-3291-B
cyan	82-3314-B
cyberspace	82-3325-B,82-3356-B,82-3409-B
cycle	82-3436-B,82-3449-B,82-3462-B,82-3473-B,82-3488-B,82-3501-B,82-3517-B,82-3530-B,82-3543-B
cyclic	82-3568-B,82-3585-B
cycling	83-0-B,83-19-B,83-38-B,83-62-B
cyclist	83-87-B
cyclone	83-105-B
cyclotron	83-120-B
cylinder	83-140-B,83-156-B,83-174-B,83-196-B,83-212-B,83-228-B,83-244-B
cylindrical	83-261-B,83-286-B
cynic	83-308-B,83-320-B,83-335-B
cynical	83-347-B,83-366-B
cynicism	83-383-B,83-405-B
cypress	83-422-B,83-439-B
cyst	83-459-B
cystitis	83-470-B
cytology	83-488-B
cytotoxic	83-508-B
dab	83-532-B,83-543-B,83-561-B,83-575-B,83-590-B,83-600-B,83-615-B,83-633-B,83-648-B
dabble	83-658-B,83-673-B,83-690-B,83-707-B,83-724-B,83-741-B
dad	83-762-B,83-771-B,83-780-B
daddy	83-791-B,83-802-B
daffodil	83-815-B,83-836-B,83-852-B,83-869-B
daft	83-887-B
dagger	83-901-B,83-915-B
daily	83-927-B,83-947-B,83-960-B,83-973-B,83-989-B,83-1007-B
daintiness	83-1025-B
dainty	83-1046-B,83-1064-B,83-1080-B,83-1095-B,83-1117-B,83-1135-B,83-1152-B,83-1168-B,83-1185-B
dairy	83-1199-B,83-1214-B
dais	83-1232-B,83-1245-B
daisy	83-1256-B,83-1272-B,83-1288-B
dale	83-1306-B,83-1318-B
dally	83-1331-B,83-1347-B,83-1365-B
dam	83-1385-B,83-1395-B,83-1405-B,83-1418-B,83-1431-B
damage	83-1449-B,83-1461-B,83-1478-B,83-1497-B,83-1516-B,83-1536-B,83-1553-B,83-1568-B,83-1583-B,83-1599-B,83-1613-B,83-1627-B,83-1643-B
damaging	83-1657-B,83-1680-B
damask	83-1699-B
dame	83-1713-B,83-1723-B
damn	83-1737-B,83-1749-B,83-1766-B
damp	83-1779-B,83-1790-B,83-1804-B,83-1815-B,83-1830-B,83-1846-B,83-1857-B
damper	83-1870-B,83-1888-B
damsel	83-1923-B
dance	83-1941-B,83-1954-B,83-1965-B,83-1976-B,83-1990-B,83-2003-B,83-2016-B
dancer	83-2028-B,83-2043-B
dancing	83-2061-B,83-2077-B,83-2090-B,83-2105-B,83-2120-B,83-2136-B
dandelion	83-2151-B
dandruff	83-2171-B
dandy	83-2186-B
danger	83-2199-B,83-2215-B,83-2232-B,83-2248-B
dangerous	83-2261-B,83-2278-B,83-2295-B,83-2312-B,83-2329-B,83-2350-B,83-2368-B
dangle	83-2387-B,83-2403-B,83-2421-B,83-2436-B,83-2450-B,83-2466-B
dangling	83-2481-B
dank	83-2499-B,83-2510-B
dapper	83-2523-B,83-2539-B,83-2552-B,83-2568-B
dapple	83-2590-B,83-2611-B,83-2625-B,83-2644-B,83-2666-B
dare	83-2680-B,83-2695-B,83-2713-B,83-2725-B
daring	83-2741-B,83-2755-B,83-2771-B,83-2787-B,83-2799-B
