utemeljiti se	35-2792-B
uzas	95-1730-B,124-3202-B,138-1657-B,253-1529-B,299-1979-B
uzasan	20-2616-B,31-3259-B,117-392-B,120-431-B,124-3365-B,128-1407-B,131-2005-B,138-1540-B,138-1603-B,177-2032-B,181-1263-B,264-3478-B,299-1436-B,299-1559-B,309-1153-B,316-3228-B
uzasavanje	232-3748-B
uzasno	15-837-B,31-3323-B,299-1471-B
uzasnut	11-3416-B
uzasnuti	124-3274-B
uzasom	138-1670-B
uzastopan	72-2035-B,260-1349-B,291-1561-B
uzastopni	72-2057-B,296-1217-B
uzastopnost	291-1494-B
uzbrdica	63-1822-B,246-652-B,317-1454-B
uzbrdo	317-1470-B
uzbuditi	10-1945-B,13-1082-B,24-1666-B,75-3239-B,97-83-B,112-1378-B,117-2797-B,121-1785-B,145-2022-B,178-2627-B,205-3166-B,264-3342-B
uzbuditi se	301-2986-B
uzbudljiv	112-1303-B,112-1440-B,144-1015-B,144-2773-S,178-2977-B,259-1643-B,305-1796-B
uzbudljive	112-1459-B
uzbudljivost	301-3005-B
uzbuna	12-505-B,13-1097-B,13-1978-B,193-2933-B,197-2831-B,317-2721-B
uzbuniti	12-268-B,13-1110-B,24-1682-B
uzbuniti se	311-3080-B
uzbunu	13-1005-S,13-1991-S,197-2722-S,304-432-S
uzburkan	248-170-B
uzburkano	248-185-B
uzburkanost	293-1204-B
uzburkati	12-285-B,249-240-B
uzbuđen	1-3266-B,12-728-B,19-3962-B,118-634-B,183-1076-B,195-4042-B
uzbuđenje	10-2237-B,67-1797-B,105-3465-B,112-1394-B,121-1800-B,121-1836-B,129-1503-B,135-1045-B,259-1596-B,264-3357-B,286-3301-B,301-3025-B,303-2618-S,312-2870-B
uzbuđeno	12-742-B
uzbuđivati	331-2022-B
uzbuđuje	302-36-S
uzda	48-314-B,236-3128-B
uzdah	267-482-B,267-539-B
uzdanica	207-1891-B
uzdanje	237-2835-B
uzdati se	238-97-B,311-27-B
uzde	244-3356-B
uzdici	104-3361-B,135-2065-B,221-293-B
uzdignuce	317-1824-B
uzdignut	109-4016-B,246-709-B
uzdisaj	267-493-B
uzdisati	112-3329-B,267-550-B
uzdizanje	137-2002-B
uzdizati	44-3197-B,137-2018-B
uzdizati se	25-2545-B
uzdrhtati	266-1458-B,285-1117-B,329-1769-B
uzdrmati	153-1755-B,284-211-B
uzdrmati se	316-2864-B
uzdrzati se	235-1173-B,241-2595-B
uzdrzavanje	3-435-B,14-435-B,15-85-B,165-2141-B,175-2774-B,293-250-B
uzdrzavati se	3-302-B,110-1067-B,122-1279-B
uzdrzljiv	3-388-B,59-2346-B,94-2442-B,243-942-B,257-2083-B
uzdrzljivost	3-459-B,3-581-B,74-1139-B,241-809-B,241-1041-B,242-3036-B,243-878-B,243-1443-B,257-1903-B
uzduh	12-2855-B
uzduz	1-3687-B,15-1267-B,15-1391-B
uzduzni	162-3048-B
uzduznica	52-521-B
uze	52-2475-B,52-2504-S,76-1468-B,133-858-B,134-1925-B,160-3323-B,164-268-S,247-2032-B,266-1271-S,312-2066-B,320-1229-S,332-2684-B
uze sajla	52-2486-B
uze za vucu	305-3112-B
uzegao	250-128-B
uzemljenje	44-1481-B,102-1249-B
uzemljiti	131-2856-B
uzet	5-3926-S,273-1485-B
uzet covjek	198-1363-B
uzeti	5-2481-B,45-1350-B,206-3079-B,295-2933-B,318-2011-B
uzeti na sebe	265-2299-B
uzeti natrag	232-114-B,242-3840-B,243-1787-B
uzeti pod zakup	239-712-B
uzeti pravac	295-2944-B,309-1669-B
uzeti u najam	239-733-B
uzeti u obzir	19-2458-S,72-3044-B,94-1795-S
uzeti u zakup	59-2232-B,158-2719-B
uzeti uzorak	251-1547-B
uzetost	198-1325-B
uzetu	5-3951-S
uzezen	229-722-B
uzgajaliste	187-2564-B
uzgajanje	47-2843-B
uzgajatelj	47-2698-B
uzgajatelj cvijeca	121-216-B
uzgajati	81-1671-B,228-2843-B,231-2074-B
uzgajati zivotinje	231-2088-B
uzglavlje	196-1917-B,207-1998-B
uzgoj	47-2862-B,81-1829-B,81-2205-B,231-2184-B
uzgojio	132-216-B
uzgojiti	231-2113-B
uzgon	50-3240-B
uzgred	22-3941-B,200-1702-B
uzgredan	145-1882-B
uzgredna zgrada	206-3306-B
uzica	158-2784-B,289-1896-B
uzimajuci	128-1341-B,295-3265-B
uzimajuci u obzir	258-698-B
uzimanje signal	295-3168-B
uzimanje u obzir	72-3446-B
uzimanje uzorka	251-1757-B
uzimatelj uzoraka	251-1655-B,251-1782-B
uzimati	128-1213-B
uzimati droge	98-2758-B
uzimati hranu	169-2176-B
uzitak	210-689-B
uzitka	210-706-B,301-3043-B
uzitnik	38-3123-B
uzitnik dohodaka	38-3144-B
uziva prednost	216-525-B
uzivajte	107-2737-B
uzivaju	107-2753-B
uzivanje	87-2163-B,107-2840-B,210-723-B,309-161-S,333-2147-B
uzivati	36-600-B,87-2181-B,107-2768-B,210-742-B,237-3642-B
uzivati glas	240-3120-B
uzivati pogodnost	39-0-B
uzivati u	243-3569-B
uzivo	161-2847-B
uzjahati	178-1136-B
uzlazni	25-2659-B
uzlet	25-2766-B,295-3192-B,333-2848-S
uzlet gospodarstva	234-3349-B
uzletiste	10-1103-B,12-3356-B,13-184-B,249-2311-B
uzletjeti	247-0-B
uzlijebiti	99-368-B
uzlijetanje	274-2882-B,295-3206-B
uzlijetati	25-2564-B
uzmaci	232-458-B
uzmicanje	232-1976-B,243-1307-B,243-1941-B
uzmicati	32-1703-B,304-70-B
uznemiravanje	45-1977-B,97-1282-B,322-2224-B
uznemiravati	96-1124-B
uznemiren	19-3979-B,242-2390-B,314-3926-B
uznemirenje	205-3235-B
uznemirenost	12-522-B,19-3851-B
uznemiriti	12-303-B
uznemirivati	18-3315-B,94-1112-B,96-1146-B,97-1202-B,133-2909-B,147-1779-B,176-690-B,205-3183-B,205-3960-B,310-1642-B
uznemiruje	310-1773-B
uznositi	114-2153-B
uzor	140-1454-B,175-2341-B,201-1666-B,207-2946-B
uzorak	26-2022-B,90-507-B,111-3276-B,153-2829-B,175-2352-B,201-1679-B,251-1547-S,251-1567-B,279-1169-B,294-396-B,297-52-S,312-3188-B
uzorak slike	208-2198-B
uzoraka	85-1569-S,251-1628-S,251-1655-S,251-1782-S
uzoran	140-1465-B,175-2365-B
uzorenik	251-1681-B
uzorima	175-2378-B
uzorka	251-1757-S
uzorkivac	251-1698-B
uzorkom na kvadratice	60-324-S
uzorkovalo	251-1717-B
uzorkovana fotografija	141-1975-B
uzorkovanje	251-1599-S,251-1809-B
uzorkovati	251-1581-B
uzrast	11-1565-B
uzraste	11-1576-B
uzrecica	52-1907-B,295-2416-B
uzrocan	57-363-B
uzrocni	57-305-B
uzrocnik	11-2143-B,223-1740-B
uzrocnost	57-342-B
uzrok	4-2743-B,57-477-B,146-3917-B,169-711-B,231-2526-B,247-1958-B
uzrok bolesti	140-2600-S
uzrokovati	57-489-B
uzrokuje	331-1825-S
uzrokuju	57-506-B
uzrokujuci	57-599-B
uzrujan	183-1093-B,195-4063-B,316-1791-B,317-2919-B
uzrujanost	249-257-B,312-2889-B
uzrujati	12-322-B,13-1125-B
uzurban	51-3203-B,279-3185-B
uzurbano	51-2266-B,139-2205-B
uzurbanost	8-3580-B,51-3055-B
uzurbati	250-31-B
uzvanik	132-1284-B
uzvik	53-2277-B,81-123-B,112-1549-B,150-4068-B,193-3211-B
uzviknuti	112-1496-B
uzvisen	97-2680-B,136-2153-B,141-1800-B,162-1831-B,260-1610-B,275-2850-B,290-2193-B
uzvisenja	15-3597-B
uzvisenje	178-1151-B
uzvisenost	135-1928-B,290-2210-B
uzvisica	105-2991-B
uzvisina	105-2955-B,317-1842-B
uzvisine	105-2973-B
uzvisiti	111-2880-B
uzvisiti se	290-2173-B
uzvodno	317-3237-B
uzvoj	40-1327-B
uzvracati	232-2391-B
uzvratiti	238-3273-B,243-1546-B
uzvratni	242-1622-B
uđe	108-2891-B
uđu	108-923-B
v	151-944-S
v b	72-4163-S
vabiti	15-391-B,85-3620-B
vabljenje	164-427-B
vaditi	228-2858-B,249-1353-B,254-1548-B
vaditi kamen	226-2423-B
vaditi rudu	173-1585-B
vaga	33-2069-B,252-3353-B
vagabund	319-355-B
vaganje	327-253-B
vagano vrijeme dospijeca	101-2288-S
vagati	33-2082-B,252-3364-B,327-14-B
vagati nesto	252-3377-B
vage	37-126-S,252-3413-S
vagina	319-388-B
vaginalno	319-402-B
vagon	49-3215-S,49-3235-S,55-3465-B,64-1533-B,163-570-B,310-2125-S
vagon cisterna	296-1870-B
vagon restoran	93-193-B
vagon za ugljen	298-2457-B
vagonet	49-3196-S,310-2189-B
vakcina	319-63-B
vakcinu	148-3181-S
vakuum	319-288-B
vakuumski	319-302-B
val	40-1868-B,40-1924-S,45-926-S,47-1497-B,247-1040-S,247-1059-B,256-1881-S,293-935-S,293-1222-S,326-695-B,326-1001-S
val koji se pretvara u pijenu	47-1509-S
val nosilac	56-73-B
val prouzrocen potresom	311-775-B
val veliki	40-1879-B
vala	293-955-S,326-704-B,326-802-S,326-843-S,326-888-S,326-927-S
valcer	324-2618-B
valencija	319-893-B,319-930-B
valentnost	319-911-B
valic	326-1025-B
validacija	319-1354-B
valja	221-2373-S
valjaju	247-907-B
valjak	35-1877-B,54-460-B,83-228-B,98-986-B,247-920-B,247-1020-S,247-1070-B,249-2036-B,311-980-B
valjan	103-3750-B,129-2874-B,277-1895-B,319-987-B,319-1078-B
valjane	319-1091-B
valjanje	314-3665-B,324-2464-B
valjanje broda u oluji	247-1084-B
valjano	101-895-B,154-3248-B,248-732-B
valjanost	267-1597-B,319-1528-B,322-3361-B
valjanosti	30-1812-S,319-1215-S,319-1293-S
valjati	173-322-B
valjati rublje	166-2387-B
valjati se	247-932-B,314-3607-B,321-3362-B,324-2480-B,326-714-B,327-1300-B
valjati se brodom	40-1899-B
valjda	204-1305-B,213-3376-B
valjkasti	83-286-B
valjkasti jastuk	44-817-B
valjkastog oblika	44-673-S
valna duljina	326-951-B
valna duzina	326-976-B
valna fronta	326-865-B
valne dulj	139-528-S
valni	326-730-B
valni oblik	326-822-B
valobran	47-2043-B
valorizacija	111-355-B,319-2076-B
valorizacije	111-379-B
valov	79-2837-B,228-416-B,310-1888-B
valova	221-1963-S,326-741-B
valovi gustoce naboja	59-1280-B,280-1519-B
valovit	40-1942-B,82-45-B,247-1115-B,269-741-B,314-3627-B,326-1111-B
valovito kretanje	314-3685-B
valovod	326-909-B
valovod atmosferski	101-332-B
valovodni prilagodnik	157-3096-B
valuta	23-351-S,82-245-B,284-2926-B
valuti	82-261-B
valuticnjak	71-3659-B
vam	333-991-B
vama	333-999-B
vampir	128-1494-B
van	2-2065-B,39-2881-B,193-2785-B,194-2524-S,194-2542-B
van je	85-1543-S
van kuce	2-2076-B,31-3064-B
van radionice	194-2737-B
van sebe	17-1286-S
van zakon	194-376-S
van zakona	222-648-B
vanadij	319-2608-B
