obostran	40-1154-B,180-2059-B,232-2199-B
obrtaljka	329-332-B
obrtan	247-2582-B
obrtanje	280-1386-B,280-1953-S,312-234-B,312-363-B,312-631-B,312-2421-B
obrtanje vijka	255-2672-B
obrtati se	244-2150-B,327-2600-B
obrtna glava	312-1044-B
obrtna platforma	312-820-B
obrtna sila	305-625-B
obrtni	312-380-B,329-2235-B
obrtni moment	305-644-B
obrtnicki	78-2777-B
obrtnik	25-1879-B,78-2926-B
obrtnistvo	78-2794-B
obrtno postolje	44-15-B
obrub	45-644-B
obrubiti	45-657-B
obrubiti kozom	327-1171-B
obruc	34-899-B,138-706-B,245-2579-B,245-2710-B,333-749-B
obrukati	94-4075-B
obrva	49-612-B,115-125-B
observirati nebesko tijelo	267-668-B
obuca	44-3347-B,122-974-B
obuca ukljucujuci kacig	127-1614-S
obucar	64-2447-B,265-249-B
obucavanje	307-98-B
obuce	122-990-B
obucen	83-2568-S
obuceno	326-1911-S
obuci	64-2227-B,100-35-B,132-2669-B,306-3454-S
obuci se	321-2465-B
obuciti	297-1125-B
obuhvacaju	152-1419-B
obuhvacanje	69-2193-B
obuhvacati	69-2794-B,72-3665-B,78-1334-B,106-2300-B,114-925-B,145-2259-B
obuhvat	78-1532-B
obuhvatan	69-2443-B
obuhvatiti	45-673-B,62-1886-B,69-2058-B,69-2774-B,78-1317-B,105-1808-B,106-1760-B,106-1859-B,106-2279-B,114-907-B,143-1215-B,145-2240-B,152-1400-B,278-978-B
obuhvatni	73-3606-B
obujam	50-1196-B,61-3066-B,323-3017-B
obuka	48-657-B,100-845-B,149-3116-B,159-2118-B,187-2694-B,192-2620-B,297-1401-B,307-83-B,311-1419-B
obuka u pucanj	180-899-B
obuku	311-1394-S
obustava	2-140-B,24-3098-B,58-1249-B,94-1458-B,151-1836-B,220-2644-B,266-2048-B,293-3152-B,293-3229-S
obustava rada	289-1487-B
obustaviti	7-3659-B,84-1429-B,94-1504-B,151-1704-B,288-147-B,293-3092-B
obustavljanje	293-3186-B
obuti	265-95-B
obuven	264-3495-B
obuzdati	65-261-B,137-2095-B,175-2466-B,235-1103-B,236-3066-B,242-2766-B,287-1027-B,290-1622-B
obuzdavanje	137-2109-B,240-888-B,242-2882-B
obuzdavati	166-1108-B,262-813-B
obuzet	273-1399-B,289-1156-B
obuzeti	2-3389-B,107-2289-B,195-273-B,216-1912-B,258-2110-B
obuzimati	107-2369-B,188-3601-B
obveza	21-3550-B,67-933-B,86-1183-S,101-2841-B,159-3256-B,188-1545-B
obvezale	210-1068-B
obvezan	40-2678-B,45-2606-B,175-1955-B
obvezatan	69-3168-B
obvezati	40-2453-B,67-746-B,188-1742-B
obvezati se	67-762-B,314-2313-B
obvezatna	69-3189-B
obvezatne	69-3210-B
obvezatno	69-3231-B
obvezatnu	188-1685-B
obveze	40-2694-B,159-3273-B,210-1084-B
obvezivanje	67-951-B
obvezivati	40-2467-B
obvezivati se	314-2335-B
obveznica	44-1249-B,84-2904-B,128-2087-S
obveznice	44-1172-S
obveznice koje u serijama izdaje v b	72-4163-B
obveznik	230-191-S,297-1036-S,309-2479-B
obveznika	297-1062-S
obvezno	188-1706-B
obvezom	188-1563-B
obvezu	188-1582-B,210-1098-B
obvezuje	240-3491-B
obvezujemo	67-781-B,210-1112-B
obvezuju	67-799-B,210-1130-B,314-2359-B
obvezujuci	40-2709-B
obzir	4-2631-B,19-2458-S,72-3044-S,72-3276-B,72-3446-S,94-1795-S,235-2688-B,241-4033-B,256-666-B,258-698-S
obzira	152-3002-S,235-3087-S,241-4012-S,327-2150-S
obzira na	186-2783-S,235-3109-S,333-173-S
obzirnost	127-3508-B,298-2540-B
obzirom	241-4047-B
obzirom na	128-2879-S,235-2959-S
obznaniti	18-2922-B,88-1844-B
ocaj	299-1907-B
ocajan	1-2933-B,60-967-B,90-1346-B,90-1633-B,174-1962-B
ocajanje	90-1290-B
ocajavati	90-1308-B
ocajnicki	90-1364-B,266-289-B
ocarati	15-375-B,39-2558-B,55-229-B,59-1705-B,87-2126-B,106-1743-B
ocaravajuci	116-2314-B
ocat	322-1781-B
ocađavati	273-1642-B
ocađiti	273-2545-B
ocean	189-2137-B,256-1939-B
oceanografija	189-2167-B
ocekivan	122-2675-B
ocekivanja	113-1021-B,222-1056-B
ocekivanje	1-2207-B
ocekivanje komunikacije u kanalu	161-1567-B
ocekivanju	202-3189-S
ocekivati	31-2419-B,113-954-B,122-2620-B,162-3174-B
ocekujemo	113-972-B
ocekuju	113-990-B
oceliciti se	286-1438-B
ocesljati	66-1248-B
ocetkati	101-2495-B
ocev	200-3011-B
ocevid	148-3541-B,152-540-B
ocevidac	52-1670-B,115-292-B,279-1731-B
ocevidan	20-2934-B,35-669-B,111-2167-B,166-2838-B,189-778-B,189-2350-B,195-2986-B,197-1756-B,200-2889-B,263-2673-B
ocevidno	20-3060-B
ocevidnost	310-2415-B
ocevina	108-487-B,201-978-B
ocevo ime	201-1383-B
oci	73-516-S,138-592-S,174-3719-S
ocica	287-2542-B
ocigledan	20-2953-B,32-417-B,89-3369-B,166-2857-B,189-796-B,209-14-B,213-2557-B,323-881-B
ocigledan laz	99-994-B
ociglednost	111-2020-B
ocijeni	231-1884-S
ocijeniti	22-41-B,90-3828-B,111-162-B,167-2497-B,169-3184-B,219-193-B,230-22-B,232-3040-B
ociju	42-1569-S
ociju nakon nezgode	115-246-S
ocima	129-870-S,312-2195-S
ocinski	198-2663-B,200-3026-B
ocinstvo	116-2962-B,198-2905-B,200-3080-B
ocistiti	63-69-B,86-1723-B,201-1788-B,225-690-B,233-3658-B,234-2953-B,253-2305-B
ocistiti grijeh	251-1870-B
ocistiti se	225-742-B
ocit	20-2973-B,73-565-B,111-2185-B,166-2877-B,189-815-B,193-1752-B
ocitati	253-352-B
ocitavanje	259-2363-B
ocitavati	259-1795-B
ocito	166-3036-B,189-861-B
ocitost	111-2042-B
ocitovanje	85-2003-B,239-3406-B,242-1118-B,285-1904-B
ocitovati se	239-3424-B,242-870-B
ocituje	166-2892-B
ocjena	21-4030-B,22-805-S,26-3480-B,94-2897-S,110-2719-B,111-269-B,130-1434-B,130-1506-S,167-2512-B,186-937-B,230-627-B,244-959-B
ocjeni	94-2846-S
ocjenjivac	244-1315-B
ocjenjivanja	111-287-B,130-1607-B
ocjenjivanje	4-2645-B,26-3498-B,111-311-B
ocjenjivati	22-404-B,26-3343-B
ocna supljina	192-1527-B
ocni	189-2367-B,192-214-B
ocni kapak	115-177-B
ocnjak	54-1135-B
ocrniti	86-1132-B
ocrtati	9-1404-B,87-2282-B
ocrveniti	234-62-B
ocu	200-3044-S,200-3100-S,201-906-S
ocuh	286-2848-B
ocuvanja	217-166-B,217-529-B
ocuvanje	72-2569-B,165-2028-B,217-189-B,217-550-B,222-2500-B
ocuvanje okolisa	109-21-B
ocuvanju	217-571-B
ocuvanost	217-212-B
ocuvati	72-2849-B,157-1643-B,165-1615-B,217-395-B
ocvrscivanje	276-576-B
ocvrscivati	236-3206-B
ocvrsnuti	269-706-B,305-2001-B
od	1-376-S,2-1176-S,31-2977-B,42-1202-S,52-1181-B,104-926-S,112-3064-S,125-350-B,189-2915-B,189-3011-B,194-301-S,194-3155-S,245-381-S,268-2335-B,299-3483-B,330-1461-S
od 10 bozjih zapovjedi	66-3026-S
od alkalija	14-779-B
od atmosferskog utjecaja	326-2625-S
od boginja	211-1003-S
od boje	281-184-S
od bolova	332-1290-B
od cega	328-378-B
od ceka	77-2648-S
od cvijeca	76-2073-S
od dasaka	199-307-S
od divljaci	320-2745-S
od drveta	166-471-S,330-3150-B
od dvije manje indenticne moleku	92-3580-S
od gladi	285-1284-S
od gume	132-1977-S
od ilovace	62-2984-B
od izvora izmjenicne struje	139-833-S
od jasena	25-3200-B
od jasike	26-793-B
od kamin	167-250-S
od koga	328-362-B
od kolja	197-1364-S
od koristi	31-236-S
od kremena	120-2364-B
od lave	53-3571-S
od lika	293-3720-S
od mesa	82-750-S
od mora	148-2236-S
od morske bolesti	257-81-S
od najma	239-778-S
od nekoga	45-1238-S,45-1281-S,45-1324-S
od nepromocive gumirane tkanine	164-1871-S
od onda	300-695-B,300-781-B
od osam penija	104-844-S
od ovog	300-1982-B
od pahulji	213-708-S
od pepela	25-3216-B
od poreza itd 	142-816-S
od prodaje	312-744-S
od reume	244-2704-S
od rijeci do rijeci	321-18-B
od ruma	131-2317-S
od sake do ramena	24-645-S
od samta	211-589-B
od sebe	281-2646-S
od sest penija	269-1938-S,269-1994-S
od sipki	228-1810-S
od slame	300-126-S
od straha	117-291-B
od svile	267-3053-B
od terminala ka mrezi	317-3137-S
od tikve	130-602-S
od to be	16-265-S
od tog	300-1998-B
od tog doba	300-881-B
od toga	300-2013-B
od toga doba	300-796-B,300-1467-B
od tri	309-1926-S
od tri penija	301-2614-S
od troje	310-557-S
od tud	300-2029-B
od ulaganja	97-2450-S
od vaznosti	237-2285-B
od vaznosti za koga	143-2009-S
od vise elemenata	71-3617-S
od vjetra i struje	9-501-S
od voca	297-33-S
od write	332-1701-S
od zaslađenih jaja i mlijeka	82-1673-S
od zenita	180-2700-S
od zice	310-1044-S
od zivotinje	32-1016-S
oda	189-2678-B
odaberi	258-2561-B
odaberite	258-2576-B
odabir	61-81-B,258-2819-B
odabir snage	295-3109-B
odabir za akciju	61-544-B
odabiranje	27-3020-B,206-3251-B,258-2836-B
odabirati	61-568-B,206-3011-B,258-2593-B
odabirnik	258-3159-B
odabiru	61-95-B,258-2857-B
odabran	61-110-B,61-1062-B,212-590-B,258-2610-B
odabrano	258-3035-B
odabrati	60-129-B,61-585-B,81-1189-B,206-3026-B,258-2625-B,268-3393-B
odahnuti	320-2921-B
odaja	58-2535-B,247-1655-B
odakle	327-3010-B,328-115-B
odan	10-2279-B,268-2496-B,268-2573-B,285-3587-B,288-1608-B
odano	310-2463-B
odanost	7-227-B,7-2314-B,14-1315-B,28-2516-B,91-2407-B,163-2074-B,268-2608-B
odanost necemu	7-2606-B
odar	135-681-B
odasiljac	259-1017-B,308-945-B
odasiljanja ili prijama poruke	240-2263-S
odasiljanje	48-2667-S,105-3211-B,114-68-S,259-1090-B,307-1713-B,308-441-B
odasiljanje i prijam poruka	165-819-S
odasiljati	105-3313-B,259-877-B,265-406-B,308-686-B
odasiljati isti radijski signal s vise o	268-1759-S
odaslan na pocetku prijenosa zbog prila	215-937-S
odaslati	113-1191-B,248-1141-B,259-863-B
odaslati alarm	153-29-B
odati	39-1756-B,94-767-B,97-3156-B,243-3327-B
odati priznanje	244-2395-B
odatle	31-2985-B,300-816-B,300-1834-B
odavanje	39-1842-B
odavati	39-1769-B
odavati se	146-4003-B
odaziv	242-999-B
odazivanje	19-986-B
odazivati se	19-858-B
odbacaj	231-3383-B
odbacen	89-1925-B,235-2225-B,325-2437-B
odbaceni predmet	56-2040-B
odbaciti	2-473-B,56-1988-B,85-2365-B,93-2697-B,94-137-B,95-1864-B,141-74-B,231-3367-B,235-2209-B,236-3838-B,240-2142-B,310-2724-B
odbacivanja pojedinih cvorova sa stabla p	223-2753-S
odbacivanje	236-3961-B,239-2362-B,310-2834-B
odbacivanjem	223-2813-S
odbacivati	325-2420-B
odbacuje	240-2744-S
odbija	235-110-S,240-2768-S
odbijajuci	2-252-B,239-2146-B,240-2790-B
odbijanja	234-3567-B,235-236-S
odbijanje	50-2249-S,85-2244-B,88-1305-B,93-3557-B,231-3202-B,234-3605-B,235-2145-B,235-2241-B,236-3983-B,237-1642-S,239-2387-B,240-2531-B,240-2680-B,243-3951-B
odbijanje lopte	45-2402-B,237-1933-S
odbijanje odasiljanja ili prijama poruke	240-2263-B
odbijanje udarca	199-402-B
odbijati	88-1138-B,117-2618-B,125-780-B,174-463-B,182-2914-B,234-3419-B,239-2036-B,240-2549-B,243-1702-B,244-1889-B
odbijati napad	252-1804-B
odbijati se	234-3436-B
odbije	235-2258-B
odbir	258-2875-B
odbitak	86-480-B
odbiti	85-2382-B,86-414-B,91-572-B,93-2715-B,94-1821-B,195-2327-B,199-425-B,231-3399-B,235-2272-B,236-3854-B,239-219-B,239-2051-B,240-2161-B,240-2566-B,241-3590-B,255-13-S,282-2942-S,291-975-B,325-519-B
odbiti se	232-3678-B,243-3832-B
odbitna fransiza	112-836-B
odbjeci	105-470-B
odbjegao	249-1805-B
odbljesak	129-108-B,234-3626-B,235-331-B
odboj	155-1180-B
odbojan	33-794-B,189-2726-B,240-2812-B
odbojka	323-2673-B
odbojni	19-1341-B
odbojnik	49-2822-B,50-2458-B
odbor	43-1943-B,67-1122-B,77-1701-B,202-2632-B
odbora	67-1138-B
odbornik	13-1569-B
odbrana	19-878-B,20-2243-B,26-3154-B,209-3318-B,222-2481-B
odbrojavati	296-435-B
odcepiti	313-3805-B
odcepiti bure	48-1983-B
odcijepiti	246-178-B
odcijepljen	305-345-B
odcjepljenje	257-1047-B
odebljati	301-119-B,301-161-B
oderati	289-1997-B
oderati kozu	120-1467-B,253-53-B,270-666-B
odgajati	103-1380-B,187-2708-B,228-2708-B,231-1945-B
odgađanje	7-3770-B,86-2257-B,214-720-B,220-3545-B
odgađati	86-2097-B,87-765-B,243-1719-B
odgoda	86-2278-B,86-2295-B,87-781-B,214-744-B
odgoda rocista	7-3793-B
odgode	141-3513-S
odgoditi	7-3678-B,86-1240-B,86-2113-B,87-794-B,214-683-B,220-3488-B,225-3204-B
odgoiteljica	130-827-B
odgoj	25-395-S,47-2717-B,103-1591-B,187-2725-B,317-951-B
odgoj i obrazovanje	103-1607-B
odgoja	82-1894-S,307-1998-S
odgojem	103-1637-B
odgojenost	4-1758-B
odgojiti	103-1397-B
odgojni	202-1041-B
odgovara	7-1946-S,68-696-S,119-2854-B,144-1463-S,168-2588-B
odgovara istisni	95-3691-S
odgovara na zahtjev	242-946-S
odgovarajuc	7-2088-B
odgovarajuce	7-2112-B,22-2160-B,76-3712-B,76-3815-B
odgovarajuceg	221-2231-B,237-2307-B
odgovarajuci	7-1969-B,7-2137-B,12-1277-B,17-1801-B,22-2186-B,66-3347-B,71-3341-B,76-3740-B,109-3312-B,169-2987-B,221-2253-B,232-2219-B,237-2331-B,242-414-B,242-1549-B,291-3474-B
odgovarajuci nacin	22-2605-S
odgovarajucih	22-2212-B
odgovarajucim	22-2239-B,237-2354-B
odgovarajucom	22-2266-B
odgovaranje	242-1015-B
odgovarati	12-990-B,69-1273-B,71-2578-B,76-3320-B,108-183-B,119-2867-B,168-2603-B,242-816-B,252-2319-B
odgovarati kome	291-3244-B
odgovor	19-893-B,232-2654-S,237-58-B,239-1182-S,239-3333-B,242-835-B,242-1036-B,243-1466-S,243-2908-B
odgovor na ulazni zahtjev	242-1053-B
odgovora	192-892-S
odgovoran	4-2855-B,16-2594-B,19-965-B,160-62-B,242-1440-B
odgovoran polozaj	203-2759-B
odgovori	243-1506-S
odgovoriti	19-908-B,94-1927-B,96-2906-B,230-2792-B,237-0-B,239-3347-B,242-851-B,243-1488-B,243-2923-B
odgovorna	242-1462-B
odgovorna je	82-2332-S
odgovorna osoba za posluzitelja elektronske poste	214-555-B
odgovorni	4-2877-B,22-2293-B,242-1285-B
odgovornih	22-2315-B
odgovornog	242-1484-B
odgovornoscu	159-3335-B
odgovornost	81-1424-S,142-2125-S,159-3290-B,196-67-S,204-1320-B,242-1310-B,242-1642-B
odgovornosti	4-2827-B,159-3312-B,242-1337-B
odgovrajuci	109-3337-B
odgristi	41-1228-B
odgurnuti	239-2064-B,240-2581-B
odgurnuti nogom	282-2920-B
odignuti	109-3927-B
odigrati	209-2714-B
odijeliti	90-2574-B,149-3697-B,199-2921-B,259-3705-B
odijeljen	258-1804-B,259-3724-B
odijeljenost	257-1169-B
odijelo	24-2709-B,64-317-B,71-563-S,97-2337-S,132-2682-B,178-405-B,194-3308-S,228-2273-B,273-1528-S,273-1548-S,291-3265-B,312-1381-S,321-2638-B,326-1932-S,326-1997-B
odijelo za igru	273-1498-S
odijevanje	100-320-B
odijevati	64-241-B,326-2010-B
odio	68-213-B,88-2792-B
odio trgovacke zgrade	88-2808-B
odio uredske zgrade	88-2842-B
odjeca	20-2867-B,24-2880-S,29-1711-B,64-394-B,77-1249-B,100-48-B,125-253-B,126-2935-B,127-16-B,184-1578-S,228-2289-B,245-1344-B,304-596-B,321-2655-B
odjeca i obuca ukljucujuci kacig	127-1614-S
odjece	20-2883-B,64-411-B
odjeci	100-62-B
odjecom	88-2930-B
odjecu	64-428-B,325-792-S
odjedanput pom	295-975-S
odjednom	291-2147-B
odjek	102-2549-B,239-2410-B,242-1088-B,244-0-B
odjeka	18-183-S,234-3647-B
odjekivati	102-2560-B,241-3605-B,245-2722-B,277-1788-B
odjeknuti	243-3854-B
odjekuje	241-3363-S
odjel	88-2873-B,97-2858-B,257-2416-B
odjelak	68-230-B
odjeljak	36-2404-B,68-250-B,97-2873-B,121-2607-B,198-2019-B,257-2430-B,258-1527-B
odjeljenje	51-259-B,88-2890-B,90-2667-B,97-2891-B,199-2941-B,257-2447-B,283-14-B
odjeljenost	257-1192-B
odjelu	88-2912-B
odjenuti	20-2850-B,152-230-B,245-1331-B,246-2462-B
odjenuti se	64-258-B
odjeven	62-886-B
odjevna	64-334-B
odjevni	64-351-B
odjevni predmeti	64-368-B
odjuriti	310-1201-B,328-1912-B
odlagaliste	156-2978-B
