kidney	170-792-B
lampoon	172-2323-B,172-2338-B,172-2355-B,172-2373-B
lamprey	172-2389-B
lampshade	172-2405-B
lance	172-2424-B
lancer	172-2436-B
lancet	172-2451-B
land	172-2466-B,172-2479-B,172-2492-B,172-2507-B,172-2520-B,172-2531-B,172-2548-B,172-2561-B,172-2572-B,172-2583-B,172-2595-B,172-2608-B,172-2619-B,172-2632-B,172-2643-B,172-2654-B,172-2667-B,172-2682-B,199-3103-S
landed	172-2694-B
landholder	172-2709-B,172-2730-B
landing	98-1092-S,120-2487-S,172-2755-B,172-2772-B,172-2791-B,172-2808-B,172-2825-B,172-2844-B,172-2864-B,172-2879-B
landlady	172-2895-B,172-2908-B,172-2924-B,172-2943-B,172-2961-B,172-2978-B
landlord	172-2996-B,172-3012-B,173-0-B,173-18-B,173-35-B,173-53-B
landmark	173-74-B,173-88-B
landowner	173-104-B,173-124-B
landscape	173-148-B
landslide	173-166-B
lane	173-191-B,173-202-B,173-215-B,173-231-B,173-246-B,173-258-B,173-270-B,173-283-B,173-293-B,173-304-B,173-316-B
language	74-1481-S,173-326-B,173-342-B,173-357-B,173-373-B,173-389-B
languid	173-407-B,173-422-B,173-436-B,173-450-B
languish	173-468-B,173-488-B,173-504-B,173-525-B
languor	173-543-B
languorous	173-561-B
lank	173-582-B,173-594-B,173-605-B
lanky	173-616-B
lanolin	173-634-B
lantern	173-651-B,173-665-B,173-678-B,173-692-B
lap	173-709-B,173-723-B,173-733-B,173-742-B,173-753-B,173-767-B
lapel	173-778-B
lapidary	173-791-B
lapidate	173-810-B
lapidation	173-827-B
lappet	173-850-B
lapse	173-864-B,173-878-B,173-889-B,173-907-B,173-920-B,173-940-B,173-952-B,173-964-B,173-976-B,173-988-B,173-1008-B
lapsed	173-1026-B,173-1042-B
lapsus	173-1060-B
lapwing	173-1081-B
larceny	173-1098-B,173-1112-B,173-1131-B,173-1148-B
larch	173-1161-B
lard	173-1174-B,173-1186-B,173-1199-B,173-1210-B,173-1223-B,173-1245-B,173-1257-B
larder	173-1268-B
lardy	173-1284-B,173-1298-B
large	173-1314-B,173-1329-B,173-1342-B,173-1358-B,173-1374-B,173-1389-B,173-1403-B,173-1414-B,173-1427-B,173-1440-B,173-1457-B,173-1468-B,173-1485-B,173-1500-B,173-1512-B
large hearted	173-1529-B
largeness	173-1554-B
largess	173-1572-B,173-1592-B
largesse	173-1609-B,173-1630-B
largo	173-1648-B
lariat	173-1660-B
lark	173-1672-B,173-1685-B,173-1696-B
larva	173-1711-B
laryngeal	173-1723-B
larynx	173-1743-B
lascivious	173-1758-B,173-1777-B
lasciviousness	173-1794-B
laser	173-1818-B
lash	173-1831-B,173-1843-B,173-1854-B,173-1868-B,173-1882-B,173-1896-B,173-1909-B,173-1923-B,173-1937-B,173-1952-B
lashing	173-1968-B,173-1987-B,173-2007-B
lass	173-2028-B,173-2041-B,173-2052-B,173-2062-B,173-2076-B,173-2088-B
lassie	173-2100-B,173-2115-B,173-2128-B,173-2140-B,173-2156-B,173-2170-B
lassitude	173-2184-B
lasso	173-2202-B
last	173-2213-B,173-2228-B,173-2243-B,173-2254-B,173-2267-B,173-2278-B,173-2294-B,173-2305-B,173-2321-B,173-2333-B,173-2347-B,173-2361-B,173-2378-B,173-2392-B,173-2408-B,173-2426-B
last ditch	173-2538-B
last name	173-2439-B
last out	173-2467-B,173-2485-B,173-2505-B,173-2520-B
lasting	173-2561-B,173-2578-B,173-2594-B,173-2611-B,173-2630-B
lastly	173-2649-B
latch	173-2667-B,173-2680-B,173-2694-B,173-2709-B
late	173-2725-B,173-2738-B,173-2752-B,173-2765-B,173-2773-B,173-2788-B,173-2800-B,173-2814-B,173-2825-B,173-2838-B
lately	173-2851-B,173-2868-B,173-2889-B
latency	173-2909-B
lateness	173-2926-B
latent	173-2943-B,173-2958-B
later	173-2972-B,173-2987-B,173-3004-B,173-3020-B,173-3041-B
lateral	174-0-B,174-15-B,174-31-B
latest	174-51-B
lath	174-66-B,174-79-B
lathe	174-90-B
lather	174-102-B,174-119-B,174-133-B,174-148-B
latin	2-271-B,2-284-B,174-163-B,174-176-B
latinize	2-297-B
latitude	174-189-B,174-207-B,174-224-B
latrine	174-242-B
latter day	174-258-B
lattice	174-277-B,174-294-B
latticework	174-310-B
latvian	2-316-B
laud	174-331-B,174-345-B,174-357-B,174-370-B,174-384-B,174-394-B
laudable	174-404-B,174-422-B
laudanum	174-438-B
laudatory	174-456-B,174-476-B
laugh	174-497-B,174-512-B,174-524-B,174-538-B,174-549-B
laughable	174-564-B,174-582-B,174-602-B,174-622-B
laughing	174-640-B,174-656-B
laughter	174-672-B
launch	174-686-B,174-701-B,174-717-B,174-730-B,174-746-B,174-761-B,174-775-B,174-790-B,174-809-B,174-823-B
launcher	174-840-B
launching	174-862-B,174-881-B
launder	174-903-B,174-921-B
launderette	174-935-B
laundress	174-959-B
laundry	174-979-B,174-994-B,174-1011-B,174-1026-B
laureate	174-1046-B
laurel	174-1064-B,174-1078-B
lava	174-1091-B
lavatory	174-1101-B,174-1119-B,174-1136-B,174-1152-B,174-1171-B,174-1188-B
lavement	174-1204-B
lavender	174-1220-B,174-1238-B,174-1256-B,174-1273-B
lavish	174-1293-B,174-1310-B,174-1325-B,174-1341-B,174-1361-B,174-1380-B,174-1395-B,174-1409-B,174-1425-B,174-1440-B
lavishness	174-1456-B,174-1479-B
law	40-701-S,74-274-S,112-266-S,174-1503-B,174-1515-B,174-1525-B,174-1544-B,174-1557-B,174-1574-B,174-1582-B,174-1592-B,174-1605-B,196-2104-S,281-1547-S,287-2226-S,287-2252-S
lawful	174-1615-B,174-1628-B,174-1645-B,174-1660-B
lawgiver	174-1675-B
lawless	174-1695-B,174-1710-B
lawmaker	174-1727-B
lawn	174-1747-B
lawsuit	174-1760-B,174-1776-B,174-1791-B
lawyer	174-1807-B,174-1822-B,174-1837-B,174-1852-B
lax	174-1870-B,174-1880-B,174-1895-B,174-1908-B,174-1919-B
laxation	174-1928-B
laxative	174-1947-B,174-1964-B,174-1982-B
laxity	174-2000-B,174-2016-B,174-2032-B
lay	174-2051-B,174-2063-B,174-2075-B,174-2087-B,174-2099-B,174-2111-B,174-2125-B,174-2138-B,174-2148-B,174-2158-B,174-2170-B,174-2183-B,174-2193-B,174-2205-B,174-2217-B,174-2232-B,174-2243-B
lay aside	174-2254-B,174-2272-B,174-2293-B,174-2316-B
lay away	174-2336-B
lay by	174-2353-B
lay down	174-2370-B,174-2387-B,174-2404-B,174-2421-B,174-2439-B,174-2456-B,174-2476-B,174-2492-B,174-2507-B,174-2527-B,174-2543-B
lay in	174-2559-B
lay out	174-2576-B,174-2593-B,174-2609-B,174-2626-B
lay waste	174-2641-B
layer	174-2660-B,174-2671-B,174-2685-B,174-2698-B,174-2710-B
laying	174-2722-B,174-2741-B,174-2756-B
layman	174-2771-B,174-2784-B,174-2796-B,174-2811-B
layoff	174-2825-B
layout	174-2840-B,174-2855-B,174-2875-B
lazar	174-2887-B,174-2902-B
laze	174-2916-B,174-2933-B
laziness	174-2944-B,174-2967-B,174-2986-B,174-3002-B
lazy	174-3020-B,174-3035-B,174-3046-B,174-3058-B,174-3070-B,174-3084-B,174-3096-B,175-0-B
lea	175-10-B,175-20-B
lead	175-30-B,175-46-B,175-62-B,175-76-B,175-91-B,175-103-B,175-118-B,175-134-B,175-150-B,175-163-B,175-177-B,175-192-B,175-205-B,175-216-B,175-227-B,175-240-B,175-256-B,175-264-B,175-278-B,175-290-B,175-302-B,175-313-B,175-323-B,175-334-B,175-345-B,175-355-B,175-366-B,175-379-B,175-395-B,175-406-B,175-421-B,175-434-B,175-445-B,249-502-S
lead off	175-458-B
lead on	175-475-B
leaden	175-491-B,175-504-B,175-518-B,175-533-B
leader	175-549-B,175-563-B,175-574-B,175-600-B,175-617-B,175-633-B,175-649-B,175-667-B,175-684-B,175-700-B,175-717-B,175-734-B,175-751-B,175-765-B,175-778-B,175-790-B,175-804-B,175-819-B
leadership	175-834-B,175-856-B,175-878-B,175-898-B,175-918-B
leading	175-939-B,175-955-B,175-972-B,175-992-B,175-1010-B,175-1029-B,175-1046-B,175-1064-B,175-1078-B,175-1097-B,175-1113-B
leaf	175-1131-B,175-1140-B
leafage	175-1150-B
leaflet	175-1166-B,175-1182-B
leafstalk	175-1200-B
leafy	175-1218-B,175-1233-B,175-1246-B
league	175-1259-B,175-1274-B,175-1293-B,175-1315-B,175-1327-B,175-1343-B
leak	175-1357-B,175-1370-B,175-1383-B,175-1398-B,175-1410-B,175-1427-B,175-1440-B,175-1450-B,175-1462-B,175-1474-B,175-1484-B,175-1494-B,175-1507-B,175-1522-B
leakage	175-1535-B,175-1550-B,175-1570-B
leaky	175-1583-B,175-1600-B
leal	175-1616-B
lean	175-1626-B,175-1638-B,175-1652-B,175-1665-B,175-1680-B,175-1697-B,175-1709-B,175-1721-B,175-1731-B,175-1742-B,175-1756-B,175-1772-B,175-1784-B,175-1795-B,175-1806-B
lean back	175-1822-B
lean to	175-1843-B,175-1859-B
leaned	175-1877-B
leaning	175-1894-B,175-1915-B,175-1929-B,175-1949-B
leanness	175-1967-B,175-1985-B,175-2002-B,175-2018-B
leap	175-2035-B,175-2048-B,175-2060-B,175-2072-B,175-2098-B
leapfrog	175-2109-B,175-2126-B,175-2142-B,175-2172-B
learn	175-2187-B,175-2202-B,175-2216-B,175-2231-B,175-2246-B
learned	175-2258-B,175-2272-B,175-2286-B,175-2302-B,175-2320-B,175-2336-B,175-2351-B
learner	175-2365-B
learning	175-2382-B,175-2403-B,175-2423-B,175-2440-B,175-2462-B,175-2484-B
lease	175-2499-B,175-2519-B,175-2534-B
leaseholder	175-2549-B,175-2572-B
leash	175-2597-B,175-2610-B
leasing	175-2625-B,175-2642-B
least	175-2664-B
leather	175-2678-B,175-2692-B,175-2708-B,175-2721-B
leathering	175-2735-B,175-2755-B,175-2773-B
leave	175-2790-B,175-2806-B,175-2819-B,175-2831-B,175-2843-B,175-2860-B,175-2876-B,175-2887-B,175-2899-B,175-2914-B,175-2930-B,175-2944-B,175-2957-B,175-2971-B,175-2986-B,175-2998-B,175-3014-B
leave behind	176-0-B
leave off	176-19-B,176-36-B,176-52-B,176-68-B
leave out	176-87-B,176-103-B,176-125-B,176-143-B,176-160-B
leaven	176-179-B,176-195-B,176-209-B
leavings	176-225-B
lecher	176-241-B
lecherous	176-258-B,176-276-B,176-297-B,176-317-B
lechery	176-333-B,176-350-B
lectern	176-366-B,176-380-B
lection	176-397-B
lector	176-414-B
lectorate	176-428-B
lecture	176-448-B,176-462-B,176-482-B,176-503-B,176-520-B,176-537-B,176-554-B
lecturer	176-570-B,176-594-B,176-610-B
lectureship	176-628-B
ledge	176-649-B,176-665-B
lee	176-679-B,176-690-B
leech	176-704-B
leek	176-722-B
leery	176-734-B,176-747-B,176-762-B,176-779-B
lees	176-794-B
leeward	176-804-B
left	176-822-B,176-837-B,176-852-B
left handed	176-867-B,176-890-B,176-908-B
left hander	176-926-B
left winger	176-944-B
leftism	176-969-B
leftist	176-990-B
leftover	176-1011-B,176-1030-B,176-1048-B,176-1063-B
leftovers	176-1081-B
leg	176-1098-B,176-1107-B,176-1119-B,176-1130-B,176-1138-B,176-1149-B
legacy	176-1160-B,176-1176-B,176-1190-B,176-1203-B
legal	176-1221-B,176-1236-B,176-1252-B,176-1264-B,176-1280-B
legal entity	176-1294-B
legalise	176-1325-B
legality	176-1344-B,176-1363-B
legalization	176-1384-B
legalize	176-1411-B,176-1430-B,176-1449-B
legate	176-1468-B
legatee	176-1482-B
legation	176-1500-B
legend	176-1519-B,176-1534-B
legendary	176-1546-B
legged	37-494-S,37-513-S,37-531-S,37-551-S,37-575-S,208-771-S,208-787-S
leggings	176-1567-B
leggy	176-1585-B,176-1599-B
legibility	176-1617-B
legible	176-1640-B
legion	176-1656-B
legionary	176-1671-B
legislate	176-1692-B
legislation	176-1711-B
legislative	176-1736-B
legislator	176-1760-B
legislature	176-1782-B
legitimacy	176-1806-B
legitimate	176-1829-B,176-1850-B
legitimation	176-1871-B
legitimist	176-1898-B
legitimize	176-1921-B
legume	176-1942-B
leguminous	176-1958-B
leisure	176-1980-B,176-1993-B
lemming	176-2007-B
lemon	176-2022-B,176-2037-B,176-2052-B
lemon juice	176-2065-B
lemonade	176-2092-B
lemur	176-2110-B
lend	176-2123-B,176-2132-B
lender	176-2145-B,176-2162-B
lending	176-2181-B
length	119-2173-S,176-2199-B,176-2216-B,176-2229-B,176-2244-B,176-2260-B,176-2275-B
lengthen	176-2289-B,176-2306-B,176-2325-B,176-2344-B
lengthy	176-2365-B,176-2380-B,176-2394-B
lenience	176-2410-B
leniency	176-2427-B,176-2448-B,176-2465-B,176-2483-B
lenient	176-2504-B,176-2521-B,176-2540-B
leninism	2-331-B
lenitive	176-2554-B
lenity	176-2572-B,176-2588-B,176-2603-B
lens	176-2619-B,176-2635-B,176-2646-B,176-2658-B,176-2668-B
lent	176-2682-B
lenticular	176-2696-B
lentil	176-2718-B
leonine	176-2733-B
leopard	176-2749-B
leper	176-2766-B
lepidopteran	176-2780-B
leprechaun	176-2806-B
leprosy	176-2824-B
leprous	176-2838-B
lesbian	176-2854-B
lesion	176-2871-B
less	176-2886-B,176-2897-B,176-2908-B
lessee	176-2917-B
lessen	176-2937-B,176-2952-B,176-2968-B,176-2985-B,176-3000-B,176-3018-B,176-3032-B,176-3047-B,176-3062-B,176-3077-B
lessening	176-3094-B
lesser	176-3117-B
lesson	176-3130-B,176-3143-B
lessor	176-3159-B
let	176-3177-B,176-3190-B,176-3203-B,176-3213-B,176-3226-B
let down	176-3237-B,176-3252-B,176-3273-B,176-3292-B,176-3311-B,176-3333-B,176-3349-B
let off	177-0-B
let out	177-17-B,177-37-B
let up	177-52-B,177-66-B,177-81-B,177-94-B
letdown	177-110-B,177-129-B
lethal	177-149-B,177-162-B,177-175-B,177-189-B
lethargic	177-207-B,177-228-B
lethargy	177-249-B
letter	44-3007-S,177-266-B,177-279-B,177-296-B,177-313-B,177-330-B,177-343-B,177-357-B,177-375-B,284-1786-S
letter of credit	177-387-B
lettered	177-422-B,177-437-B,177-456-B
letterhead	177-473-B
lettering	177-493-B,177-516-B,177-534-B,177-552-B
letters	177-570-B
lettish	2-350-B
lettuce	177-585-B
leucocyte	177-601-B
leukocyte	177-621-B
levantine	2-365-B
levee	177-641-B
level	177-653-B,177-667-B,177-682-B,177-696-B,177-710-B,177-726-B,177-742-B,177-758-B,177-776-B,177-791-B,177-803-B,177-818-B,177-832-B,177-843-B,177-855-B,177-867-B,177-881-B,177-893-B,177-908-B,177-922-B,177-934-B,177-946-B,177-957-B,177-972-B
level headed	177-1009-B
level off	177-987-B
levelling	177-1031-B
lever	177-1054-B,177-1070-B
leverage	177-1084-B,177-1104-B
levitation	177-1121-B
levity	177-1144-B,177-1162-B,177-1177-B
levy	177-1193-B,177-1207-B,177-1217-B,177-1235-B
lewd	177-1248-B,177-1261-B
lewdness	177-1274-B,177-1293-B
lexicographer	177-1313-B
lexicographic	177-1340-B
lexicographical	177-1369-B
lexicon	177-1400-B,177-1420-B
liability	177-1436-B,177-1452-B,177-1473-B,177-1490-B,177-1512-B,177-1529-B
liable	177-1555-B,177-1571-B
liaison	177-1590-B,177-1608-B,177-1623-B,177-1642-B
