protervo	143-2781-B
pueril	24-2876-B,37-1515-B,51-595-B,51-677-B,158-2448-B,239-171-B
puerilidad	51-634-B,239-186-B
puerro	176-722-B
puerta	90-1230-B,90-1396-B,101-2413-B,101-2929-B,127-2438-B,127-2543-B,132-736-B,229-1701-B
puerto	140-1340-B,140-1551-B,140-1620-B,142-39-B,229-1571-B,264-1847-B
puerto franco	123-1995-B
puerto libre	123-2019-B
pues	120-1774-B,280-3201-B,313-2249-B,343-968-B
puesta	293-3040-B
puesto	17-2833-B,36-49-B,167-1948-B,172-1541-B,225-702-B,229-2773-B,230-408-B,276-1557-B,294-120-B,294-1199-B,295-1441-B
puesto que	155-448-B
puff	230-2278-B
pugil	37-1279-B,239-466-B
pugilato	37-1305-B,239-429-B
pugilista	37-1263-B,239-447-B
pugna	28-330-B,61-2824-B,300-2362-B
pugnacidad	239-524-B
pugnar	114-2664-B,300-1356-B,300-2377-B
puja	31-2568-B
pujante	120-2590-B,240-2428-B,337-1309-B
pujanza	230-3229-B,299-1889-B,337-1248-B,337-1390-B
pujar	31-2577-B,298-3072-B,300-2393-B
pulcritud	200-1888-B,316-681-B
pulcro	73-1679-B,200-1798-B,202-151-B,283-272-B,284-2150-B,292-1653-B,316-843-B,323-1321-B
pulga	118-443-B
pulgada	155-2105-B
pulgar	315-2630-B
pulgarada	224-692-B
pulgon	135-844-B,225-2734-B
pulido	228-2011-B,228-2044-B,249-3371-B
pulidor	228-2027-B
pulimentar	228-1878-B,285-898-B
pulimento	131-1014-B,131-1096-B,228-1896-B,228-2061-B
pulir	41-2629-B,115-393-B,131-1030-B,228-1913-B,249-3230-B,262-1440-B,262-1536-B,277-922-B,283-285-B,283-1342-B,285-916-B,323-1333-B
pulirse	228-1926-B,249-3243-B
pulmon	183-1217-B
pulmonar	239-1170-B
pulmonia	227-2456-B
pulpa	118-868-B,239-1200-B
pulpero	136-473-B
pulpito	239-1211-B
pulpo	206-2908-B
pulposo	118-1025-B,239-1255-B
pulsacion	28-2398-B,28-2849-B,239-1347-B,239-1428-B,315-1232-B,315-1279-B
pulsador	42-1060-B
pulsar	28-2414-B,233-705-B,239-1300-B,310-562-B,315-1249-B
pulsera	37-1689-B,348-3141-B
pulso	239-1445-B
pulular	3-3022-B,306-2435-B,311-1490-B
pulverizacion	239-1457-B,291-2984-B
pulverizador	22-1451-B,291-3005-B,291-3096-B
pulverizar	94-1979-B,119-64-B,135-2607-B,135-2707-B,230-2633-B,230-3033-B,239-1521-B,284-2456-B,291-3024-B
pulverulento	94-2092-B
puma	67-91-B,239-1553-B
punado	116-2130-B,139-1300-B
punal	72-2487-B
punalada	293-1116-B,293-1131-B,315-2533-B
puncion	239-2239-B
pungente	239-2441-B
pungir	233-3527-B,297-946-B
punitivo	239-2580-B
puno	116-2119-B,138-2051-B,139-1469-B,139-2022-B,145-2146-B,171-732-B,348-3159-B
punta	35-317-B,99-1773-B,142-1146-B,142-1509-B,201-3305-B,218-1016-B,223-2517-B,228-161-B,236-2776-B,290-788-B,304-596-B,317-599-B,317-1425-B,317-2674-B
puntada	297-1829-B
puntal	37-1627-B,223-3071-B,236-3318-B,278-415-B,294-916-B,300-2461-B
puntapie	138-1703-B,170-433-B
punteado	90-1776-B,90-1806-B,297-1374-B
puntear	90-1725-B,175-421-B,297-1391-B
puntera	317-1435-B
punteria	11-982-B,11-1007-B
puntero	113-3290-B,228-425-B
puntiagudo	218-1053-B,228-370-B,276-143-B,290-800-B,290-832-B
puntilla	172-160-B
puntilloso	239-1948-B
punto	28-1048-B,77-1493-B,90-1737-B,125-586-B,166-999-B,220-1865-B,224-1258-B,224-2391-B,225-715-B,228-173-B,246-3038-S,291-2530-B,297-1844-B,298-322-B,317-2329-B
punto de vista	14-3289-B,20-2531-B,228-215-B,294-2167-B,337-1063-B
puntos	56-3421-S
puntuacion	239-2088-B
puntual	239-1987-B
puntualidad	105-140-B,239-2026-B
puntualizar	289-2066-B
puntuar	268-1995-B
puntuoso	272-3181-B,319-1371-B
puntura	239-2257-B,297-959-B
punzada	166-1542-B,233-3540-B,297-973-B,297-1857-B,326-1649-B
punzante	32-2149-B,223-1783-B,227-3033-B,239-2458-B,276-160-B,284-2163-B,297-1054-B
punzar	135-1945-B,213-2388-B,233-3554-B,234-127-B,296-2436-B,297-987-B
punzon	24-2069-B,35-330-B,37-1820-B,234-32-B,239-1841-B,239-1888-B
pupila	239-2747-B
pupilaje	239-2778-B,239-2815-B
pupilo	34-2952-B,340-1463-B
pupitre	80-2344-B
puramente	240-33-B
pure	240-21-B
pureza	49-3356-B,53-2806-B,240-590-B
purga	240-199-B
purgacion	240-50-B
purgamiento	240-71-B
purgante	174-1982-B,240-93-B,240-211-B
purgar	53-2855-B,54-121-B,107-2186-B,240-226-B,240-424-B,268-2685-B
purgativo	240-112-B
purgatorio	240-132-B
puridad	49-3301-B
purificacion	240-280-B,240-455-B
purificador	53-2907-B,240-326-B
purificar	53-1184-B,53-2555-B,53-2870-B,54-134-B,79-3201-B,115-2665-B,240-239-B,240-438-B,249-3258-B
purista	240-479-B
puritanismo	240-551-B
puritano	240-494-B,240-511-B,240-530-B
puro	27-12-B,49-3272-B,52-1393-B,53-2571-B,54-150-B,115-2680-B,123-634-B,123-3045-B,199-921-B,200-1810-B,201-2087-B,225-1422-B,240-11-B,246-1645-B,271-3293-B,276-2004-B,296-1861-B,298-2304-B,308-2891-B,321-2860-B,324-1379-B,327-714-B,327-774-B,327-1733-B,327-3591-B,331-1875-B,336-1672-B,344-1604-B
purulencia	240-1656-B
purulento	240-1691-B
pus	84-2959-B,188-1527-B,240-1677-B,240-1929-B
pusilanime	109-3147-B,240-2472-B
pusilanimidad	240-2444-B
puta	148-96-B,320-2767-B,344-2510-B
putativo	241-719-B
putrefaccion	66-2546-B,75-891-B,241-737-B,241-885-B,261-2032-B,261-2471-B
putrefacto	241-984-B
putrescente	241-911-B
putridez	241-764-B,241-1002-B
puyazo	166-1554-B
quantum	241-3396-B
que	13-999-S,20-1208-S,20-1261-S,20-1285-S,20-1309-S,29-1669-S,29-1689-S,42-701-S,120-1783-S,141-3187-S,155-427-S,155-448-S,155-471-S,198-2221-S,238-1085-S,238-1283-S,275-1186-S,280-3212-S,286-597-S,313-1381-B,313-1706-S,313-1720-B,316-2151-S,331-3796-S,343-1954-B,343-1963-B,343-2546-S,343-2804-B,343-2835-B,343-2926-S,343-3006-S,344-1924-B,344-2613-S
quebrada	40-495-B,127-735-B,137-2441-B,137-2727-B,246-1230-B
quebradero de cabeza	142-1261-B
quebradizo	38-1897-B,39-3015-B,122-3238-B,123-14-B,276-791-B,278-592-B
quebrado	26-2053-B,40-120-B,122-3023-B,122-3186-B,261-2818-B,328-3156-B
quebradura	68-1136-B,116-2100-B,122-3145-B,144-2059-B,263-2517-B
quebraja	68-1153-B,69-1941-B,118-317-B
quebrantador	38-2137-B
quebrantahuesos	269-2954-B
quebrantamiento	38-345-B
quebrantar	38-1129-B,87-2492-B,275-685-B,276-714-B,321-1481-B
quebrantarse	38-1146-B
quebranto	135-1739-B,182-695-B
quebrar	38-1165-B,42-492-B,68-1168-B,68-2663-B,109-2702-B,163-2833-B,284-2473-B
quebrarse	38-1179-B,284-2487-B
quedar	3-1423-B,10-3119-B,252-1148-B,256-399-B,295-2451-B
quedar helado	123-2453-B
quedarse	3-1436-B,29-592-B,169-2129-B,181-687-B,252-1162-B,294-1212-B,295-2463-B
quedo	95-2144-B,128-2466-B,242-2709-B
quehacer	52-99-B,167-1959-B,171-2978-B,310-1579-B,320-705-B
queja	59-1928-B,135-1794-B,136-77-B,136-1859-B,172-1995-B,194-1740-B,225-1613-B,252-2559-B,339-1814-B
quejarse	59-1749-B,136-412-B,136-2926-B,194-1751-B,253-2883-B,293-344-B,339-1825-B,344-128-B,344-275-B,349-1313-B
quejicoso	242-1264-B
quejido	136-427-B,194-1765-B,344-290-B
quejumbroso	242-1284-B
quema	41-2344-B
quemado	41-2662-B
quemador	41-2474-B
quemadura	33-1827-B,41-2355-B,41-2563-B,268-1721-B,270-448-B
quemar	15-1747-B,32-2043-B,41-2370-B,41-2425-B,155-2571-B,215-1258-B,268-1738-B,277-3011-B
quemarse	41-2382-B
querella	59-1944-B,225-1626-B,241-3580-B
querellante	59-1827-B,225-1679-B
querellarse	59-1767-B
querencia	138-1220-B
querer	50-2718-B,51-2878-B,80-2243-B,162-2808-B,178-1983-B,182-1646-B,226-1965-B,340-1067-B,345-1155-B,346-1001-B
querida	112-1546-B,112-1817-B,155-0-B,194-655-B,215-596-B
querido	30-1173-B,73-2508-B,74-2426-B,155-18-B,182-1658-B,182-2035-B,215-613-B,221-3701-B,231-2409-B,307-164-B,307-351-B,307-370-B
queroseno	170-85-B
querubin	50-2796-B
queso	50-2423-B
quevedos	224-424-B
quid	70-2311-B,129-2985-B
quiebra	26-2113-B,49-3188-B,51-1423-B
quiebro	323-914-B
quien	344-1932-B,344-2333-S,344-2347-B
quienquiera	343-2849-B
quiera	343-2523-S
quieto	43-1995-B,138-2791-B,242-2607-B,242-2721-B,256-625-B,297-43-B,332-267-B
quietud	150-1567-B,218-535-B,242-2506-B,242-2549-B,242-2734-B,242-3037-B,242-3097-B,297-56-B,297-235-B
quijada	167-12-B,167-59-B,168-1398-B
quijotesco	243-747-B
quilate	45-712-B,169-1522-B
quilla	169-1575-B
quilometro	170-1303-B
quimera	51-1050-B
quimerico	51-1066-B,111-20-B
quimerista	262-1217-B
quimica	50-2598-B
quimico	50-2484-B,50-2557-B
quimono	170-1370-B
quince	114-2337-B
quincena	122-467-B
quincenal	32-2417-B,122-486-B,272-1765-B
quincuagenario	242-3302-B
quincuagesimo	114-2409-B
quinientos	116-2915-B
quinina	242-3286-B
quino	52-1571-B
quinquenal	116-2939-B,242-3333-B
quinquenio	242-3357-B
quinta	111-1172-B,243-0-B,337-1569-B
quintaesencia	243-29-B
quintal	243-13-B
quinteto	243-56-B,243-73-B
quintillizos	243-113-B
quinto	62-2654-B,114-2375-B
quintuplo	116-2960-B,243-92-B
quiosco	36-62-B,170-2626-B,294-1227-B
quirurgico	305-2215-B
quisquilla	231-1486-B,279-295-B
quisquilloso	126-248-B,220-3396-B,222-343-B,222-498-B,293-399-B,313-1119-B,319-1387-B
quiste	72-1980-B
quitanieves	286-178-B
quitanza	243-445-B,247-2916-B
quitar	4-2086-B,54-161-B,54-269-B,81-2262-B,105-2814-B,129-1113-B,129-1179-B,239-960-B,252-379-B,252-3102-B,300-1125-B,302-3111-B,309-148-B,309-382-B,309-628-B,309-645-B,309-848-B,309-993-B,311-748-B,315-2097-B,346-311-B,346-1562-B
quitarse	79-607-B,89-2510-B,129-1128-B,175-2971-B,241-134-B,252-3116-B,276-1569-B,309-399-B,309-864-B,346-1578-B
quitasol	215-1007-B,304-1132-B,327-533-B
quiza	188-2134-B,188-2222-B,220-1583-B,230-196-B
quizas	188-2147-B,188-2236-B,219-2735-B,219-3305-B,220-1598-B,230-212-B
rabadilla	263-1230-B
rabanillo	243-3162-B
rabano	243-3179-B
rabano picante	148-1855-B
rabi	243-1134-B
rabia	184-734-B,243-1316-B,243-1349-B,244-338-B,348-1735-B
rabiar	125-875-B,244-349-B,298-1323-B
rabieta	213-1903-B,310-460-B
rabillo	66-414-B,296-840-B
rabino	243-1121-B
rabioso	100-3538-B,184-387-B,243-1302-B,244-541-B,266-1671-B
rabo	308-2515-B
rabon	308-2578-B
rabotada	50-1886-B,161-1338-B
rabudo	181-1803-B
racha	118-331-B,138-154-B,292-2621-B
racial	243-1684-B
racimo	41-1061-B,55-1590-B,243-1568-B
raciocinar	246-256-B
raciocinio	247-1024-B
racion	12-2557-B,89-2899-B,144-521-B,229-2118-B,246-311-B,273-2723-B,275-2641-B
racional	246-342-B,247-918-B,314-1526-B
racionalidad	246-446-B
racionalismo	246-396-B
racionalista	246-421-B
racionalizacion	246-471-B
racionalizar	246-504-B,299-1638-B
racionamiento	246-529-B
racismo	243-1698-B,243-1749-B
racista	243-1716-B,243-1764-B
radar	243-2289-B
radiacion	243-2670-B
radiactivo	243-2911-B
radiado	243-2301-B,296-685-B
radiador	243-2546-B,243-2691-B
radial	243-2316-B
radiante	28-1236-B,39-1005-B,243-2330-B,243-2563-B,277-1146-B,277-1245-B
radiar	39-3232-B,77-2612-B,97-2635-B,117-1799-B,165-1660-B,243-2655-B
radical	45-1435-B,243-2765-B,261-1287-B
radicalismo	243-2795-B
radicalizar	243-2818-B
radicalmente	243-2841-B
radicar	177-3171-B
radio	243-2881-B,243-3194-B,243-3207-B,346-604-B
radioactividad	243-2958-B
radioactivo	243-2934-B
radioaficionado	139-477-B
radiodifusion	39-3335-B
radioescucha	179-2810-B
radiofonia	243-2893-B
radiografia	243-3010-B
radiografiar	349-1084-B
radiogramola	243-2987-B
radioisotopo	243-3034-B
radiolocalizacion	243-3061-B
radiologia	243-3117-B
radiologo	243-3094-B
radiometro	243-3139-B
radioyente	179-2832-B
radon	243-3243-B
raer	102-2613-B,268-3262-B
rafaga	33-614-B,41-2918-B,119-1157-B,138-165-B,292-2634-B,339-1311-B
rafia	243-3256-B
raglan	244-589-B
raicilla	243-2864-B,261-1363-B
raido	27-32-B,274-2900-B,310-2403-B,315-270-B
rail	244-919-B
raiz	27-1720-B,243-2781-B,243-3231-B,261-1300-B
raja	49-1399-B,51-1437-B,54-934-B,68-1182-B,118-342-B,127-2057-B,175-1484-B,253-1127-B,259-0-B,259-2407-B,283-1185-B,283-2767-B,291-466-B,311-633-B
rajado	68-388-B,68-1539-B,260-859-B
rajar	37-1940-B,50-299-B,51-3002-B,54-854-B,133-46-B,252-3531-B,259-10-B,260-848-B,282-2119-B,291-477-B,292-861-B,311-643-B
rajarse	68-1193-B,259-21-B,291-489-B
rajon	311-654-B
ralea	38-3090-B,170-1631-B
raleza	289-789-B,314-1615-B
rallado	38-473-S,134-1368-B
rallador	134-1513-B,245-2386-B,245-2482-B
rallar	15-1760-B,134-1278-B,245-2400-B
rallo	134-1529-B
ralo	245-1880-B,289-777-B,314-752-B
rama	36-2259-B,37-2385-B,178-2644-B,179-557-B
ramal	37-2397-B,270-3215-B,299-265-B
rambla	24-409-B
ramera	140-3086-B,284-1294-B,300-2428-B,323-2515-B,343-1495-B,344-2521-B
ramificacion	244-2718-B
ramificarse	37-2410-B,37-2502-B,244-2745-B
ramillete	37-142-B,203-1800-B,230-1317-B
ramo	37-160-B,37-2429-B,41-1074-B,79-744-B,89-992-B
ramonear	40-983-B,201-3359-B
rampa	244-2840-B
rana	124-1728-B
ranchero	245-153-B,245-170-B
rancho	245-121-B
rancidez	245-219-B,245-258-B
ranciedad	198-2394-B,245-238-B,245-278-B
rancio	126-291-B,198-2427-B,245-205-B,293-3168-B
rango	53-1701-B,77-1506-B,83-329-B,133-1891-B,225-727-B,245-738-B,245-1062-B,295-877-B
ranunculo	42-935-B,70-883-B,245-1228-B
ranura	49-1086-B,72-313-B,125-2622-B,136-734-B,202-580-B,203-2207-B,243-1093-B,284-42-B
rapacidad	245-1323-B
rapado	276-958-B
rapar	276-914-B,276-1197-B
rapaz	172-940-B,172-1094-B,202-1775-B,231-3281-B,231-3336-B,245-1274-B,246-1151-B
rapaza	173-2076-B,173-2156-B
rapidamente	16-2040-B,51-3058-B,111-2335-B,242-1979-B,242-2338-B,245-1496-B,289-3076-B,307-928-B
rapidez	242-2420-B,245-1479-B,289-2985-B,307-968-B,335-1922-B
rapido	108-544-B,108-620-B,111-2353-B,118-784-B,119-1936-B,202-1868-B,242-1998-B,242-2050-B,245-1446-B,245-1537-B,288-2949-B,289-3188-B,307-857-B
raposa	122-2798-B,338-1575-B
raposo	122-2809-B
rapsodia	258-1228-B
raptar	3-445-B,145-1614-B,170-647-B,245-1366-B,246-1359-B,247-1281-B
rapto	3-511-B,170-754-B,245-1723-B,320-2938-B,321-3220-B
raptor	3-562-B,170-714-B
raqueta	27-2672-B,243-2037-B,243-2221-B,244-2188-B,286-201-B
raqueta de nieve	286-218-B
raquis	243-1650-B
raquitico	243-1664-B,258-2292-B
raquitis	258-2256-B
raquitismo	258-2273-B
raramente	245-1974-B,271-3001-B
rarefaccion	245-1900-B
rarefacer	245-1942-B
rareza	123-1366-B,206-3257-B,206-3313-B,218-1966-B,242-972-B,245-1991-B,245-2061-B,267-979-B,267-1069-B,299-429-B
raridad	245-2007-B,245-2075-B,267-997-B,267-1085-B
raro	68-2384-B,71-1897-B,106-3308-B,108-3367-B,108-3704-B,123-1458-B,125-1856-B,159-1514-B,204-711-B,206-3190-B,211-353-B,218-1882-B,241-2383-B,242-961-B,243-154-B,245-1890-B,263-832-B,267-848-B,281-643-B,299-376-B,312-2127-B,314-762-B,327-1991-B,329-3020-B,332-675-B,332-1564-B,343-535-B
ras	104-1740-B
rasar	177-934-B
rascacielos	282-1572-B
rascador	244-2201-B,269-97-B
rascadura	134-2773-B,269-392-B
rascar	53-2244-B,244-2215-B,269-0-B,269-410-B
rascarse	269-425-B
rasgado	318-2742-B
rasgadura	259-2416-B,283-2631-B
rasgar	253-0-B,259-2430-B,311-666-B
rasgarse	253-12-B,259-2441-B
rasgo	49-1782-B,73-2781-B,112-2861-B,179-567-B,179-980-B,299-1262-B,300-1504-B,320-2455-B
rasgon	253-1137-B,259-2454-B,311-678-B
rasgunar	269-442-B
rasguno	269-14-B,269-460-B
raso	27-22-B,54-174-B,58-2074-B,117-2250-B,177-946-B,225-1433-B,266-455-B,285-929-B,331-274-B
raspa	24-2092-B
raspado	71-1808-B
raspador	245-2412-B,245-2498-B,269-114-B,269-551-B
raspadura	102-2662-B
raspar	3-3417-B,134-1291-B,269-30-B
raspear	269-477-B
raspon	3-3468-B
rasqueta	269-131-B
rasquetear	269-44-B
rastra	91-958-B,244-2227-B
rastreador	320-15-B,320-366-B
rastrear	91-970-B,91-2260-B,319-2925-B,320-257-B,320-1692-B
rastreo	320-385-B
rastrillaje	244-2282-B
rastrillar	91-984-B,138-1787-B,244-2239-B,300-338-B
rastrillo	138-1805-B,244-2255-B
rastro	244-2270-B,267-2353-B,280-362-B,319-2940-B,320-272-B,320-1707-B,322-699-B,336-2078-B
rastrojo	300-2613-B
rasuracion	276-926-B
rasurar	276-944-B
rata	245-2552-B
ratear	115-213-B,285-2202-B,295-3050-B
rateria	173-1131-B
ratero	72-1239-B,223-450-B
ratificacion	9-2998-B,99-2660-B,157-3619-B,157-3720-B,246-27-B
ratificar	9-2861-B,18-1313-B,61-2404-B,99-2506-B,246-71-B
rato	32-1843-B,161-2930-B,316-153-B,316-2714-B,343-2966-B
raton	197-1028-B
raton de biblioteca	35-2644-B
ratonar	131-2112-B,201-3375-B
ratonera	197-1041-B
raudal	299-1487-B,318-2922-B
raya	26-2614-B,69-498-B,73-2792-B,124-2299-B,179-578-B,179-2662-B,215-3398-B,216-877-B,246-1707-B,268-2009-B,269-493-B,281-2488-B,299-1275-B,299-3139-B,300-1138-B,300-1224-B
rayado	179-1039-B,299-1312-B,299-1344-B,300-1264-B,300-1294-B
rayano	201-871-B,201-1216-B
rayar	70-128-B,108-937-B,179-588-B,263-538-B,269-506-B,299-1287-B,328-239-B
rayo	28-1184-B,117-1812-B,130-2517-B,131-83-B,178-1603-B,246-1716-B,263-2115-B,315-2913-B
raza	38-3102-B,243-1494-B,298-3085-B
razon	5-2667-B,19-934-B,47-1644-B,136-1430-B,196-2583-B,206-1575-B,245-2762-B,246-212-B,247-822-B,259-654-B,268-2020-B,344-2638-B
razonable	75-1580-B,110-130-B,176-1850-B,246-360-B,247-938-B,259-638-B,265-2572-B,272-3045-B
razonamiento	247-1045-B
razonar	19-786-B,246-279-B,247-807-B,250-162-B,314-1193-B,314-1335-B
razzia	244-769-B
reabrir	253-1378-B
reaccion	25-709-B,113-281-B,246-2241-B,256-60-B,258-882-B
reaccion en cadena	48-2266-B
reaccionar	246-2224-B,256-0-B
reaccionario	82-2186-B,246-2260-B,246-2309-B
reacio	25-3030-B,180-2436-B,247-2246-B,250-858-B,252-1050-B,256-851-B,332-1221-B
reacondicionar	248-2068-B
reactivacion	246-2379-B
reactivar	246-2358-B
reactividad	246-2424-B
reactivo	246-2406-B,246-3144-B
reactor	246-2447-B
reafirmar	246-3125-B,247-1114-B
reagrupar	251-197-B
