blemish	15-2806-B,15-2824-B,15-2838-B
calaboose	20-341-B
calamity	20-362-B,20-382-B
calcium	20-399-B
calculate	20-413-B,20-435-B,20-453-B,20-473-B
calculating	20-493-B,20-517-B
calculation	20-542-B,20-565-B,20-588-B,20-611-B
calculator	20-634-B
calculus	20-656-B,20-673-B
caldron	20-691-B
calendar	20-707-B
calf	20-726-B
caliber	20-738-B
calibrate	20-754-B,20-776-B
calibre	20-797-B
calico	20-813-B
california	20-827-B
call	20-849-B,20-863-B,20-880-B,20-895-B,20-906-B,20-921-B,20-934-B,20-948-B,20-964-B,20-980-B,20-993-B,20-1011-B,20-1025-B,20-1038-B,20-1050-B,20-1064-B,20-1077-B,20-1093-B
call back	20-1109-B
call for	20-1129-B,20-1147-B
call off	20-1165-B
caller	20-1184-B,20-1198-B
calligraphy	20-1219-B
calling	20-1242-B
callous	20-1259-B,20-1273-B
calm	20-1288-B,20-1299-B,20-1310-B,20-1321-B,20-1335-B,20-1348-B
calm down	20-1363-B,20-1383-B,20-1405-B
calmly	20-1426-B,20-1439-B
calmness	20-1456-B,20-1476-B
calorie	20-1493-B
calory	20-1509-B
calumniate	20-1524-B
calumny	20-1545-B
camber	20-1560-B,20-1577-B
camel	20-1597-B
camera	20-1614-B
camion	20-1642-B
camouflage	20-1663-B,20-1684-B,20-1706-B
camouflaged	20-1727-B
camp	20-1751-B,20-1766-B
camp out	20-1777-B
campaign	20-1796-B
campaigner	20-1814-B
camping	20-1834-B
campsite	20-1850-B
can	20-1867-B,20-1880-B,20-1893-B,20-1910-B,20-1919-B,20-1933-B,20-1944-B
canada	20-1955-B
canadian	20-1969-B,20-1990-B
canal	20-2010-B
canalization	20-2023-B
canary	20-2048-B
cancel	20-2063-B,20-2080-B,20-2097-B,20-2114-B
cancellation	20-2132-B,20-2156-B,20-2180-B
cancer	20-2208-B,20-2225-B
candid	20-2236-B,20-2251-B,20-2266-B
candidacy	20-2281-B
candidate	20-2303-B
candidature	20-2322-B
candidly	20-2346-B
candidness	20-2364-B
candle	20-2387-B,20-2402-B
candlestick	20-2419-B
candour	20-2440-B
candy	20-2460-B,20-2475-B
cane	20-2493-B,20-2502-B,20-2513-B
canister	20-2526-B
cannibal	20-2544-B,20-2561-B
cannibalism	20-2581-B
canniness	20-2604-B
canning	20-2629-B
cannon	20-2649-B,20-2663-B
cannoneer	20-2678-B
canoe	20-2697-B
canon	20-2709-B,20-2721-B,20-2735-B
cant	20-2749-B
cantankerous	20-2762-B,20-2783-B
