unserviceable	204-3349-B,204-3375-B
valediction	206-2505-B,206-2523-B
valence	206-2544-B
valency	206-2560-B
valiant	206-2576-B,206-2595-B,206-2609-B
valid	19-834-S,206-2626-B,206-2640-B,206-2655-B
validate	206-2668-B,206-2689-B
validation	206-2708-B
valise	206-2729-B
valley	104-521-S,206-2742-B,206-2757-B
valorization	206-2770-B
valorize	206-2798-B
valorous	206-2819-B
valour	206-2839-B,206-2855-B,206-2871-B
valuable	206-2885-B
valuables	206-2903-B
valuation	206-2920-B,206-2944-B,206-2960-B
value	206-2982-B,206-2999-B,206-3012-B,206-3025-B,206-3039-B,206-3052-B,206-3070-B,206-3083-B
valued	206-3098-B,206-3114-B,206-3130-B
valueless	206-3145-B
valuer	206-3168-B,206-3186-B
valve	206-3203-B,206-3218-B
valvular	206-3232-B
vampire	206-3251-B
van	207-0-B
vanadate	207-15-B
vanadium	207-33-B
vandal	207-50-B,207-67-B
vandalism	207-82-B
vane	207-103-B,207-113-B
vanguard	207-126-B
vanilla	207-147-B
vanish	207-164-B,207-182-B,207-200-B,207-215-B
vanquish	207-230-B,207-251-B,207-270-B
vantage	207-287-B
vapid	207-305-B
vapor	207-320-B
vaporization	207-333-B
vaporize	207-359-B
vaporizer	207-380-B,207-402-B
vapour	207-426-B
variability	207-440-B
variable	207-463-B,207-483-B
variant	207-502-B
variation	207-519-B,207-541-B
varied	207-562-B,207-578-B
variegated	207-591-B
variometer	207-612-B
various	207-634-B,207-650-B
varix	207-664-B
varlet	207-677-B,207-693-B,207-709-B
varnish	207-726-B,207-747-B,207-761-B,207-777-B
varnisher	207-796-B
varsity	207-819-B
vary	207-841-B,207-856-B
vascular	207-868-B
vase	207-887-B
vaseline	207-897-B,207-915-B
vassal	207-934-B,207-949-B
vast	207-965-B,207-977-B,207-989-B,207-1002-B
vat	207-1013-B,207-1022-B
vaticination	207-1032-B,207-1056-B,207-1078-B,207-1105-B
vault	137-3145-S,207-1128-B,207-1142-B,207-1155-B
veal	207-1167-B
vector	207-1180-B
veg	207-1195-B
vegetable	207-1207-B,207-1226-B
vegetables	207-1245-B
vegetarian	207-1264-B
vegetarianism	207-1287-B
vegetation	207-1316-B
vehemence	207-1339-B,207-1358-B
vehement	207-1377-B,207-1396-B
vehicle	117-592-S,117-616-S,117-642-S,207-1414-B,207-1428-B,207-1444-B
vehicular	207-1460-B
veil	207-1479-B,207-1491-B,207-1504-B
veiled	207-1514-B
veiling	207-1528-B,207-1545-B
vein	207-1558-B,207-1576-B,207-1595-B,207-1606-B,207-1616-B
veining	207-1630-B,207-1650-B
vellum	207-1667-B,207-1686-B
velvet	207-1703-B
velvety	207-1718-B
venal	207-1736-B
venation	207-1749-B,207-1768-B
vendible	207-1786-B
vendue	207-1802-B
veneer	207-1821-B,207-1843-B
veneered	207-1861-B
venerate	207-1885-B,207-1902-B
veneration	207-1920-B
venereal	207-1943-B
venetian	207-1960-B,207-1976-B
vengeance	207-1995-B
vengeful	207-2014-B
venison	207-2035-B
venom	207-2055-B
venomous	207-2068-B,207-2086-B
vent	207-2104-B,207-2118-B,207-2129-B,207-2139-B,207-2153-B,207-2163-B,207-2177-B,207-2190-B,207-2206-B,207-2218-B,207-2233-B
ventilate	207-2252-B,207-2269-B,207-2290-B
ventilation	207-2310-B,207-2332-B
ventilator	207-2357-B
ventral	207-2380-B
ventricle	207-2397-B
ventriloquist	207-2418-B
venture	207-2444-B,207-2459-B,207-2479-B,207-2500-B,207-2518-B,207-2537-B,207-2551-B
venturesome	207-2569-B,207-2588-B,207-2607-B,207-2629-B
venue	207-2651-B,207-2667-B
veracious	207-2678-B
veranda	207-2697-B
verandah	207-2713-B
verb	207-2730-B
verbatim	207-2741-B,207-2760-B
verbose	207-2778-B
verdant	207-2795-B,207-2813-B
verdict	207-2827-B
verdigris	207-2844-B
verdure	207-2864-B,207-2878-B,207-2894-B
verge	207-2910-B
verger	207-2924-B
verification	207-2942-B,207-2968-B,207-2996-B,207-3018-B
verify	207-3040-B,207-3057-B,207-3073-B,207-3092-B
verisimilar	207-3110-B
verisimilitude	207-3133-B
veritable	207-3164-B
vermeil	207-3180-B
vermilion	207-3196-B,207-3214-B
vermouth	207-3236-B
vernal	207-3252-B
vernier	207-3271-B,207-3285-B
veronica	207-3302-B
verruca	207-3320-B
versatile	207-3336-B,207-3360-B
verse	207-3380-B,207-3393-B,207-3408-B
versed	207-3420-B,207-3435-B,207-3450-B
versification	207-3465-B,208-0-B
version	208-29-B,208-48-B
versus	208-65-B
vertebra	208-79-B
vertebral	208-97-B
vertebrate	208-118-B
vertex	208-140-B,208-155-B
vertical	208-170-B
vertiginous	208-189-B,208-213-B
vertigo	208-235-B,208-252-B
verve	208-270-B
very	208-281-B,208-292-B,208-306-B,208-320-B,208-331-B,208-346-B,208-359-B,208-369-B,208-379-B
vesica	208-391-B
vesicle	208-406-B
vessel	22-648-S,27-3022-S,208-424-B,208-442-B,208-454-B,208-472-B,208-488-B
vest	208-500-B,208-515-B,208-527-B,208-542-B
vest pocket	208-557-B
vestibule	208-579-B
vestige	208-599-B,208-613-B,208-626-B,208-642-B
vesture	208-659-B
vet	208-673-B
veteran	208-686-B,208-701-B
veterinary	208-718-B
veto	208-741-B,208-754-B,208-771-B
vex	208-781-B,208-795-B,208-807-B
vexation	208-819-B,208-836-B
vexatious	208-855-B,208-876-B
vexed	208-894-B
via	208-912-B,208-927-B,208-935-B
viable	208-945-B,208-962-B,208-982-B,208-999-B
viaduct	208-1013-B
vial	208-1030-B,208-1044-B
vibrant	208-1055-B,208-1073-B,208-1088-B
vibrate	208-1105-B,208-1121-B,208-1139-B,208-1155-B
vibrating	208-1171-B
vibration	208-1190-B,208-1208-B,208-1231-B
vibrator	208-1252-B
vibratory	208-1271-B
viburnum	208-1292-B
vicar	208-1309-B
vicarage	208-1323-B,208-1341-B
vice	208-1361-B,208-1374-B,208-1385-B
vice president	208-1396-B
viceroy	208-1426-B
vicinity	208-1442-B,208-1461-B
vicious	208-1479-B
victim	208-1495-B,208-1513-B
victor	208-1528-B
victorious	208-1545-B
victory	208-1567-B,208-1583-B
victualler	208-1600-B
video	208-1621-B
videophone	208-1633-B
vie	208-1658-B,208-1673-B
viennese	1-2235-B
view	137-2321-S,208-1690-B,208-1704-B,208-1719-B,208-1733-B,208-1743-B,208-1757-B,208-1771-B,208-1783-B,208-1800-B,208-1820-B,208-1834-B,208-1846-B,208-1857-B
viewable	208-1870-B
viewer	208-1891-B
viewpoint	208-1909-B
vigil	208-1934-B
vigilance	208-1947-B
vigilant	208-1967-B,208-1984-B,208-2003-B,208-2022-B
vignette	208-2038-B
vigorous	208-2056-B,208-2077-B,208-2095-B,208-2110-B,208-2127-B
vigour	208-2145-B,208-2160-B,208-2173-B,208-2186-B,208-2204-B
vile	208-2218-B,208-2235-B,208-2246-B,208-2260-B,208-2272-B
vilify	208-2285-B,208-2303-B,208-2320-B
villa	208-2337-B
village	208-2349-B,208-2365-B,208-2379-B,208-2393-B
villager	208-2411-B
villain	208-2428-B,208-2446-B,208-2463-B,208-2480-B,208-2499-B,208-2515-B
villainous	208-2534-B,208-2557-B,208-2580-B,208-2598-B,208-2618-B
villainy	208-2640-B,208-2661-B,208-2678-B
villein	208-2701-B
villus	208-2727-B
vindicable	208-2740-B
vindicate	208-2766-B
vindication	208-2789-B
vindicator	208-2817-B,208-2838-B,208-2859-B
vindictive	208-2884-B
vinegar	208-2907-B
vinegary	208-2921-B,208-2936-B,208-2953-B
vinery	208-2967-B,208-2980-B
vino	208-2995-B
vinous	208-3005-B
vintage	208-3019-B
vinyl	208-3037-B
viol	208-3050-B
viola	208-3061-B
violable	208-3073-B
violate	208-3092-B,208-3110-B,208-3127-B,208-3143-B
violation	208-3162-B
violator	208-3183-B,208-3204-B
violence	208-3223-B
violent	208-3241-B,208-3255-B,208-3273-B,208-3290-B
violet	208-3307-B,208-3320-B,209-0-B
violin	209-16-B
violinist	209-31-B
violoncellist	209-52-B
viper	209-81-B,209-95-B
viperous	209-108-B
virago	209-126-B
viral	209-140-B
virgin	209-153-B,209-168-B,209-185-B
virginal	209-200-B
viridity	209-219-B
virile	209-239-B,209-252-B,209-268-B,209-283-B,209-299-B
virologist	209-313-B
virtual	209-333-B,209-351-B
virtually	209-368-B
virtuosity	209-393-B
virtuoso	209-416-B
virtuous	209-434-B,209-449-B,209-465-B,209-481-B,209-496-B
virulence	209-514-B
virulent	209-534-B
virus	209-553-B
visa	209-565-B
visage	209-576-B,209-591-B,209-608-B
visceral	209-620-B
viscid	209-639-B
viscometer	209-654-B
viscose	209-678-B
viscosimeter	209-694-B
viscount	209-720-B
viscous	209-738-B
visible	209-754-B
vision	209-771-B,209-792-B,209-806-B,209-821-B
visit	209-834-B,209-852-B,209-865-B
visitant	209-880-B
visitation	209-900-B,209-918-B
visitor	209-941-B,209-957-B,209-972-B
vista	209-991-B,209-1009-B,209-1022-B
visual	209-1034-B,209-1048-B
visualization	209-1063-B
vital	209-1091-B,209-1108-B,209-1127-B,209-1144-B
vitalize	209-1157-B
vitamin	209-1180-B
vitiate	209-1197-B
viticulture	209-1214-B
viticulturist	209-1238-B
vitreous	209-1264-B,209-1281-B
vitrify	209-1297-B
vitriol	209-1317-B
vitriolic	209-1334-B
vituperate	209-1353-B,209-1375-B,209-1396-B
vituperative	209-1418-B
viva	209-1442-B,209-1454-B
vivid	209-1467-B,209-1480-B,209-1493-B
vividness	209-1504-B
vivify	209-1522-B
vocable	209-1537-B
vocabulary	209-1554-B
vocal	209-1573-B
vocalist	209-1586-B
vocation	209-1604-B,209-1621-B,209-1642-B
vociferation	209-1663-B,209-1684-B
vociferous	209-1711-B,209-1732-B
vogue	209-1752-B,209-1763-B
voice	209-1774-B,209-1790-B
voiceless	209-1801-B
void	209-1816-B,209-1831-B,209-1845-B,209-1861-B,209-1874-B,209-1890-B,209-1901-B,209-1916-B,209-1926-B,209-1942-B,209-1955-B
voidable	209-1966-B
