dibattimento	198-3619-B
dispersione	52-646-B,52-767-B,163-2607-B
disperso	52-748-B,115-159-B,183-2858-B
dispetto	10-352-B
dispettoso	178-3271-B
dispiacere	29-1976-B,52-1069-B,152-3192-B
dispnea	55-2095-B
disponibile	16-1314-B
disporre	13-130-B,52-1161-B,101-2021-B,125-3088-B,167-2208-B
dispositivo	11-1845-B,40-581-B,49-1937-B,61-281-B,75-870-B
disposizione	13-415-B,52-1117-B,52-1256-B,76-2518-B,87-2069-B,101-2064-B,116-2099-B,125-3103-B,125-3285-B,135-2945-B,144-2858-B,152-3568-B,192-329-B,192-1532-B,207-1558-B
disposto	52-1178-B,150-526-B,213-2237-B
dispotico	48-3663-B
dispotismo	48-3682-B,201-227-B
disprezzare	39-2337-B,48-3484-B,51-1883-B,164-1515-B
disprezzo	39-2646-B,164-1533-B
disprosio	55-2112-B
disputa	12-2404-B,45-2804-B,52-1583-B,52-1678-B,83-1840-B,146-3629-B,180-229-B,215-1824-B
dissacrare	48-2430-B
dissalare	48-2159-B
dissalazione	48-2131-B
dissapore	50-79-B,50-2989-B
disseccare	48-2651-B
disseccarsi	129-2127-B
disseminare	52-2287-B
disseminato	163-2568-B
dissennato	93-1334-B
dissenso	51-1158-B,51-1218-B,52-2332-B
dissenteria	55-2073-B
dissenziente	52-2371-B
disseppellire	51-3603-B
disserrare	125-248-B,203-3758-B
dissertazione	52-2396-B,193-2235-B
dissettore	144-446-B
dissezione	52-2153-B
dissidente	52-2458-B
dissidio	146-3645-B
dissigillare	204-3137-B
dissimile	52-2479-B,203-3480-B
dissimulare	52-2175-B,110-2772-B
dissimulatore	52-2197-B
dissipare	52-629-B,52-729-B,180-488-B,211-30-B
dissipatezza	142-3549-B
dissipatore	180-573-B,211-203-B
dissipazione	52-2627-B,180-685-B
dissociare	32-1296-B
dissociazione	52-2695-B
dissolubile	52-2747-B
dissolutezza	103-1555-B
dissoluto	1-2390-B,52-2585-B,52-2770-B,76-38-B,103-1490-B,106-1667-B,158-1782-B,213-1784-B
dissoluzione	50-3539-B,52-2817-B,156-180-B,176-2301-B
dissolvere	52-2912-B
dissolvimento	52-2842-B
dissomiglianza	203-3617-B
dissonanza	51-1239-B,52-2971-B
distaccare	49-146-B
distacco	49-254-B,52-3026-B,130-314-B
distante	16-2357-B,52-3118-B,67-902-B,67-948-B,154-424-B
distanza	52-3044-B,177-2124-B
distanza focale	71-1759-B
distanziare	126-2520-B,127-162-B,127-783-B
distanziatore	177-2083-B
distendere	64-1092-B,101-1871-B,127-720-B,184-2142-B
distesa	64-1178-B,149-367-B,197-1256-B
disteso	100-697-B,127-762-B
distico	42-1528-B,52-3267-B
distillare	52-3283-B,52-3319-B
distillato	52-3338-B,52-3387-B
distillazione	52-3360-B
distilleria	52-3408-B
distinguere	40-122-B,50-232-B,51-1797-B,52-3527-B,165-1248-B,171-1300-B
distinta	104-2755-B
distinto	76-945-B
distinzione	3-1310-B,52-3480-B
distorsione	52-3693-B,52-3809-B,179-1669-B,210-2562-B
distrarre	52-3832-B
distratto	2-2255-B
distrazione	2-2279-B,2-3295-B,52-668-B,52-3851-B,140-2851-B
distretto	53-162-B
distrettuale	53-181-B
distribuire	53-0-B
distributore	53-91-B
distribuzione	11-2423-B,53-64-B,168-2410-B
districare	51-2191-B,149-2773-B,204-1672-B,205-1176-B,205-1931-B
distruggere	9-3560-B,49-2253-B,98-2839-B,160-2676-B,165-12-B,204-48-B,215-2284-B
distruggibile	49-26-B
distruttibile	49-0-B
distruttivo	49-122-B,49-1688-B
distruzione	49-79-B,53-2612-B,83-2831-B,160-2795-B,215-1728-B
disturbare	10-253-B,53-367-B,90-3966-B,115-3327-B,199-1789-B
disturbo	10-371-B,53-460-B,67-2828-B,199-1808-B
disubbidienza	52-153-B
disubbidire	52-200-B
disuguaglianza	92-278-B,202-3872-B
disuguale	202-3531-B,202-3823-B
disumano	92-3692-B,92-3709-B,185-2839-B
disunione	53-530-B,53-1134-B
ditale	193-2762-B
ditirambo	53-607-B
dito	69-2107-B
ditta	35-2976-B,36-3749-B,69-2718-B
dittatore	49-3290-B
dittatura	49-3309-B
dittongo	50-2027-B
diuretico	53-638-B
diurna	45-2059-S
diva	77-2488-B
divagazione	53-657-B,63-2360-B
divampare	70-1298-B
divano	41-3412-B,53-680-B,126-1961-B,176-464-B,180-179-B
divano letto	45-1831-B
divaricare	179-2007-B
divario	50-100-B,51-1646-B
divellere	61-618-B
divenire	19-2180-B
diventare	19-2196-B,34-3568-B,76-1948-B
diverbio	195-915-B
divergente	53-849-B
divergenza	51-1175-B,53-827-B
divergere	53-809-B
diversamente	126-1847-B
diverso	50-140-B,51-1666-B,52-2500-B,53-870-B,126-1812-B,167-272-B,203-3497-B,207-634-B
divertimento	9-855-B,60-176-B,74-655-B,74-2245-B,101-879-B,130-1694-B,136-2752-B,179-1123-B
divertire	9-785-B,60-114-B
divertito	9-820-B
dividendo	53-1001-B
dividere	53-23-B,53-951-B,129-3269-B,167-289-B,168-2319-B,179-314-B
dividersi	129-3283-B,167-307-B
divieto	72-203-B,143-738-B,208-741-B
divinatorio	53-1020-B
divino	53-1043-B,77-2519-B,84-2191-B
divisa	117-995-B,203-1805-B
divisibile	53-930-B,53-1113-B,168-65-B
divisionale	53-1230-B
divisione	32-1219-B,53-1153-B,69-3198-B,130-331-B,130-423-B,165-2019-B,167-475-B
diviso	53-986-B,179-329-B
divisore	53-1253-B
divisoria	130-443-S
divorare	49-2272-B,59-2153-B,164-879-B,189-218-B,214-2120-B
divorziare	53-1270-B
divorziato	53-1326-B
divorzio	53-1289-B
dizionario	49-3352-B,103-722-B
do	26-376-B
doccia	81-1106-B,170-2413-B
doccione	75-2352-B
docente	191-1927-B
docile	8-2910-B,21-207-B,53-1561-B,70-2658-B,109-920-B,112-740-B,122-2579-B,186-188-B,187-3298-B,197-1347-B,216-1647-B
documentare	53-1737-B
documentario	53-1777-B
documentazione	53-1802-B
documenti	129-638-B
documento	46-2841-B,53-1758-B,129-460-B,151-1236-B
dodicesimo	200-2320-B
dodici	200-2339-B
dogana	44-2590-B,44-2622-B,55-1664-B
doganale	44-2605-B
doganiere	44-2666-B
doge	53-1931-B
doglia	3-3480-B,128-1330-B
doglianza	79-2655-B
doglioso	161-2477-B,177-802-B
dolce	26-1121-B,76-1009-B,112-1453-B,113-3027-B,145-687-B,176-527-B,189-1118-B,192-1703-B
dolcetto	189-1399-B
dolcezza	76-1181-B,113-3099-B,189-1130-B,189-1456-B,192-1820-B
dolci	189-1494-B
dolciastro	189-1417-B
dolcificare	56-2114-B,189-1264-B
dolciume	189-1475-B
dolciumi	27-246-B
dolente	3-3719-B,117-1565-B,128-1386-B,161-2490-B,177-553-B,177-821-B,214-2091-B
dolere	3-3492-B,87-2775-B,128-1342-B,152-3210-B
dolersi	154-3175-B
dollaro	53-2105-B
dolo	73-2182-B
dolomite	53-2134-B
dolore	6-675-B,52-4032-B,79-2631-B,128-1354-B,160-2284-B,177-691-B,186-3509-B,214-2004-B
doloroso	3-3734-B,53-2172-B,79-2766-B,128-1402-B,177-566-B
doloso	13-1005-S,73-2269-B,213-2013-B
domanda	11-2060-B,31-2754-B,47-2566-B,147-797-B,147-914-B,155-2174-B,187-169-B
domandare	13-2543-B,19-2936-B,155-2190-B
domani	196-1064-B
domare	190-2840-B
domatore	190-2910-B
domenica	1-2154-B
domenicano	1-725-B
domestica	76-3060-B,87-1030-B,108-2673-B,108-2822-B,167-1556-B
domestico	53-2276-B,86-1407-B,109-3590-B,167-1574-B,167-1906-B
domicilio	53-2314-B
dominante	35-775-B,53-2354-B,101-2533-B,161-29-B
dominare	40-760-B,53-2373-B,153-154-B,160-2831-B
dominazione	53-2391-B
dominio	40-777-B,53-2206-B,153-169-B,160-2845-B
domino	53-2432-B
donare	53-2459-B,140-4000-B
donatario	53-2539-B
donatore	53-2581-B
donazione	53-2489-B,59-485-B
donde	212-2164-B
dondolamento	189-2019-B
dondolare	45-1023-B,159-574-B,189-2038-B
dondolarsi	159-589-B
dondolio	189-2054-B
donna	45-517-B,68-1648-B,100-495-B,147-558-B,169-330-B,214-2174-B
donnaiolo	214-2134-B,214-2323-B
donne	214-2433-B,214-2445-B
donnesco	214-2227-B
donnola	211-2888-B
dono	52-1281-B,76-2536-B,140-4015-B
donzella	45-727-B,47-3074-B,108-2688-B,108-2744-B,108-2844-B
dopo	6-1140-B,6-1314-B,120-2064-B,130-1375-B,193-1388-B
dopopranzo	6-1249-B
dopotutto	6-1160-B
