insectivorous	93-1575-B
insured	94-424-B
insurer	94-443-B
insurgent	94-464-B
insurrection	94-482-B
insurrectionary	94-508-B
intact	94-539-B
intake	94-554-B,94-570-B
intangible	94-585-B
integer	94-607-B
integral	94-629-B
integrate	94-648-B
integrating	94-668-B
integration	94-691-B,94-716-B
intellectual	94-741-B,94-768-B
intelligence	94-794-B,94-816-B
intelligent	94-842-B,94-867-B
intelligentsia	94-889-B
intelligibility	94-919-B
intelligible	94-945-B
intemperance	94-972-B,94-998-B
intemperate	94-1024-B
intend	94-1049-B
intendancy	94-1066-B
intended	94-1088-B,94-1110-B
intense	94-1131-B
intensification	94-1147-B
intensify	94-1180-B
intensive	94-1204-B,94-1224-B
intent	94-1242-B,94-1256-B,94-1268-B,94-1283-B,94-1301-B
intention	94-1317-B,94-1338-B,94-1361-B,94-1381-B
intentional	94-1397-B,94-1420-B,94-1445-B
inter	94-1469-B
interaction	94-1486-B
interbreed	94-1510-B,94-1530-B
intercept	94-1552-B
interception	94-1575-B
interceptor	94-1604-B
intercession	94-1629-B
interchange	94-1656-B
interchangeable	94-1681-B
intercontinental	94-1713-B
intercostal	94-1748-B
intercourse	94-1773-B
interdepartmental	94-1794-B
interdependent	94-1830-B
interdiction	94-1861-B
interest	94-1887-B,94-1911-B,94-1932-B,94-1951-B
interest bearing	121-988-S
interested	94-1966-B
interesting	94-1989-B
interfere	94-2014-B,94-2037-B,94-2057-B
interference	94-2079-B,94-2107-B,94-2130-B,94-2156-B,94-2180-B
interferometer	94-2207-B
interferometry	94-2237-B
intergalactic	94-2268-B
interim	94-2297-B
interior	94-2317-B,94-2336-B
interject	94-2353-B
interjection	94-2375-B
interlard	94-2401-B
interlocutory	94-2422-B
interloper	94-2451-B
interlude	94-2470-B
intermediary	94-2490-B,94-2517-B,94-2540-B
intermediate	94-2561-B,94-2585-B
intermediation	94-2604-B,94-2635-B
interment	94-2661-B
intermezzo	94-2681-B
interminable	94-2703-B
intermingle	94-2730-B,94-2756-B
intermission	94-2778-B
intermit	94-2802-B,94-2819-B
intermittent	94-2841-B
intermix	94-2868-B,94-2891-B
intern	94-2910-B
internal	94-2927-B,94-2946-B,94-2963-B,94-2979-B
international	94-2998-B
internationalize	94-3027-B
internist	94-3064-B
internment	94-3085-B
interparliamentary	94-3109-B
interpellate	94-3146-B
interpenetration	94-3172-B
interpersonal	94-3205-B
interplanetary	94-3234-B
interpolation	94-3265-B
interpolator	94-3294-B
interpose	94-3321-B
interposition	94-3343-B
interpret	94-3371-B
interpretation	94-3394-B
interpreter	94-3425-B
interrelation	94-3448-B
interrogation	94-3478-B,94-3507-B
interrogatory	94-3536-B
interrupt	94-3565-B,94-3588-B
interrupter	94-3609-B
interruption	94-3634-B
intersect	94-3660-B,94-3681-B
intersection	94-3703-B,94-3725-B
interspersion	94-3751-B
interstate	94-3781-B
interstellar	94-3805-B
interstice	94-3832-B,94-3857-B
interurban	94-3880-B
interval	94-3903-B,94-3923-B
intervene	94-3943-B,94-3963-B
intervention	94-3985-B,94-4009-B
interventionist	94-4036-B
interview	94-4066-B,94-4089-B,94-4109-B
intestate	94-4130-B
intestine	94-4150-B,94-4168-B
intimate	94-4188-B,94-4204-B
intimation	94-4224-B,94-4243-B
intimidate	94-4260-B,94-4282-B
intimidation	94-4304-B
intimidatory	94-4331-B
into	56-84-S,76-2128-S,94-4358-B,94-4370-B,94-4381-B,94-4389-B,106-1299-S
intolerable	94-4400-B,94-4427-B
intolerance	94-4453-B,94-4478-B
intonation	94-4503-B
intone	94-4526-B
intoxicant	94-4542-B
intoxicate	94-4564-B
intoxicated	95-0-B,95-18-B
intoxicating	95-38-B
intoxication	95-62-B,95-90-B
intramuscular	95-115-B
intransigence	95-144-B
intransigent	95-172-B
intransitive	95-199-B
intravenous	95-225-B,95-248-B
intrepid	95-272-B
intricacy	95-290-B
intricate	95-310-B,95-331-B
intrigue	95-353-B,95-372-B,95-389-B,95-406-B
intriguing	95-424-B
intrinsic	95-448-B
intrinsical	95-469-B,95-492-B
introduce	95-510-B,95-529-B,95-550-B,95-571-B
introduction	95-590-B,95-614-B,95-640-B
introductory	95-664-B
introspection	95-690-B
intruder	95-718-B
intrusion	95-735-B
intrusive	95-756-B
intrusiveness	95-776-B
intuition	95-800-B,95-818-B
intuitive	95-839-B
intumescence	95-859-B,95-883-B,95-905-B,95-931-B
inundate	95-956-B,95-974-B
inundation	95-992-B,95-1015-B
invade	95-1038-B
invader	95-1054-B
invading	95-1071-B
invalid	95-1089-B,95-1105-B,95-1122-B,95-1137-B
invalidate	95-1151-B
invaluable	95-1173-B,95-1199-B
invariable	95-1223-B,95-1240-B
invariant	95-1263-B
invasion	95-1284-B
invective	95-1303-B
invent	95-1322-B
invention	95-1339-B,95-1362-B
inventive	95-1383-B
inventiveness	95-1403-B
inventor	95-1427-B
inventory	95-1446-B,95-1469-B
inverse	95-1490-B,95-1508-B,95-1524-B
invert	95-1540-B,95-1555-B,95-1572-B
invertebrate	95-1589-B
inverted	95-1615-B
invest	95-1634-B,95-1651-B,95-1668-B
investigate	95-1685-B,95-1706-B
investigating	95-1730-B
investigation	95-1755-B,95-1778-B,95-1807-B
investigative	95-1829-B
investigator	95-1857-B
investigatory	95-1884-B
investing	95-1912-B
investiture	95-1934-B
investment	95-1958-B,95-1977-B
investor	95-2001-B
inveterate	95-2022-B
invidious	95-2041-B,95-2060-B
invincible	95-2077-B
inviolable	95-2100-B
inviolate	95-2123-B
invisible	95-2141-B
invitation	95-2162-B
invite	95-2180-B,95-2196-B
invited	95-2212-B
inviting	95-2229-B,95-2248-B
invoice	95-2267-B,95-2283-B
invoicing	95-2301-B
involuntary	95-2324-B
involve	95-2349-B,95-2369-B,95-2388-B
involvement	95-2406-B
invulnerable	95-2426-B
inward	95-2453-B,95-2470-B,95-2485-B
iodate	95-2499-B
iodic	95-2513-B
iodine	95-2526-B
iodoform	95-2539-B
ion	95-2559-B
ionization	95-2568-B
ionize	95-2592-B
iota	95-2609-B
irascible	95-2619-B
irate	95-2640-B,95-2657-B
ire	95-2669-B,95-2681-B,95-2695-B
iridium	95-2703-B
iris	95-2718-B
irish	1-1360-B
irk	95-2729-B,95-2745-B
irksome	95-2757-B
iron	28-979-S,95-2776-B,95-2790-B,95-2802-B,95-2813-B,95-2833-B,164-2197-S,164-2218-S,176-1273-S,176-1298-S
ironclad	95-2846-B
ironic	95-2865-B
ironical	95-2880-B
ironstone	95-2897-B
irony	95-2925-B
irradiance	95-2938-B
irradiate	95-2963-B,95-2984-B,95-3004-B
irradiation	95-3025-B
irrational	95-3050-B
irrationalism	95-3073-B
irreclaimable	95-3102-B,95-3131-B
irrecoverable	95-3159-B,95-3188-B
irredeemable	95-3217-B
irredentist	95-3243-B
irrefragable	95-3268-B
irregular	95-3295-B,95-3316-B,95-3337-B,95-3357-B
irrelevance	95-3377-B
irreligion	95-3401-B
irremediable	95-3424-B
irreparable	95-3451-B,95-3476-B
irreplaceable	95-3502-B
irreproachable	95-3531-B
irresistible	95-3561-B
irresoluteness	95-3588-B
irresolution	95-3617-B,95-3642-B
irresolvable	95-3669-B
irreverent	95-3693-B
irreversible	95-3716-B
irrevocable	95-3743-B
irrigate	95-3768-B
irrigation	95-3785-B,95-3808-B
irrigator	95-3831-B
irritable	95-3852-B,95-3873-B
irritate	95-3891-B,95-3909-B,95-3929-B
irritating	95-3947-B
irritation	95-3968-B,95-3991-B
irritative	95-4014-B
irruption	95-4035-B,95-4056-B,95-4076-B,95-4096-B
is	193-927-S,193-941-S
islamic	1-1376-B
island	95-4116-B,96-0-B
islander	96-18-B
isle	96-35-B
islet	96-46-B,96-61-B
isobar	96-76-B,96-91-B
isobaric	96-106-B,96-125-B
isochronal	96-142-B
isochronous	96-162-B
isolate	96-183-B,96-199-B
isolated	96-216-B
isolation	96-233-B
isolationism	96-254-B
isolator	96-281-B,96-299-B
isomer	96-318-B
isomeric	96-333-B
isomerism	96-352-B
isometric	96-371-B
isomorphous	96-392-B
isosceles	96-413-B
isotherm	96-432-B
isothermal	96-450-B
isotope	96-472-B
isotopic	96-488-B
isotopy	96-507-B
isotropic	96-524-B
isotropy	96-543-B
israeli	1-1393-B
issuance	96-562-B,96-581-B,96-604-B
issue	96-622-B,96-639-B,96-658-B,96-673-B,96-687-B,96-702-B,96-718-B,96-730-B,96-747-B,96-760-B,96-775-B,96-791-B,96-808-B,96-828-B,96-844-B,96-861-B,96-876-B,96-892-B,96-908-B,96-923-B,96-936-B
issuing	96-949-B
isthmus	96-967-B
it	96-981-B
italian	1-1412-B
italic	96-987-B
italics	96-1002-B
itch	96-1018-B,96-1033-B,96-1048-B,96-1061-B,96-1074-B,96-1085-B
item	96-1098-B,96-1109-B,96-1123-B,96-1133-B,96-1150-B
iterate	96-1160-B,96-1176-B,96-1194-B
iteration	96-1211-B,96-1232-B
itinerant	96-1254-B
itinerary	96-1273-B
its	96-1294-B,96-1302-B,96-1310-B,96-1318-B
ivory	96-1327-B
ivy	96-1340-B
j	96-1350-B
jab	96-1354-B
jacinth	96-1371-B
jack	96-1388-B,96-1400-B,96-1411-B,96-1423-B,96-1434-B,96-1446-B,96-1462-B,96-1478-B
jack o lantern	96-1491-B
jackal	96-1519-B
jackass	96-1536-B,96-1550-B,96-1564-B,96-1582-B
jackdaw	96-1597-B
jacket	96-1613-B,96-1627-B,96-1642-B,96-1659-B,96-1673-B,96-1687-B,96-1701-B,184-433-S
jade	96-1722-B,96-1733-B,96-1746-B
jagged	96-1757-B
jaguar	96-1777-B
jail	96-1793-B,96-1806-B,96-1818-B,96-1836-B,96-1853-B
jailer	96-1867-B,96-1885-B
jalousie	96-1902-B,96-1919-B
jam	96-1937-B,96-1950-B,96-1964-B,96-1974-B,96-1990-B,96-2005-B,96-2020-B
jamb	96-2033-B
jammy	96-2047-B
janitor	96-2060-B,96-2076-B,96-2093-B
january	1-1429-B
jap	96-2111-B
japan	96-2126-B
japanese	1-1445-B,1-1465-B
jape	96-2140-B
jar	96-2153-B,96-2167-B,96-2178-B
jargon	96-2187-B
jasmine	96-2200-B
jasper	96-2218-B
jauntiness	96-2233-B
jaunty	96-2252-B,96-2267-B,96-2279-B
javelin	96-2293-B
jaw	96-2313-B,96-2323-B,96-2333-B,96-2346-B,96-2360-B
jay	96-2373-B
jazzman	96-2387-B
jealous	96-2404-B
jealousness	96-2419-B
jealousy	96-2439-B
jeep	96-2456-B,96-2472-B
jeer	96-2482-B
jejune	96-2497-B,96-2515-B,96-2532-B
jejuneness	96-2547-B
jelly	96-2571-B
jellyfish	96-2586-B
jeopardy	96-2603-B,96-2620-B,96-2638-B,96-2659-B
jerk	96-2676-B
jerkin	96-2690-B
jerky	96-2707-B
jersey	96-2722-B,96-2738-B
jessamine	96-2754-B
jest	96-2774-B,96-2785-B,96-2798-B,96-2809-B,96-2822-B,96-2835-B,96-2847-B,96-2862-B,96-2877-B
jester	96-2890-B,96-2905-B
jesuit	1-1484-B,96-2921-B
jet	96-2936-B,96-2951-B,96-2961-B,96-2974-B,96-2987-B,96-2998-B,96-3011-B,96-3027-B,96-3038-B,96-3053-B
jet plane	97-0-B,97-20-B
jetty	97-34-B,97-49-B,97-67-B
jewel	97-78-B,97-90-B,97-102-B
jeweller	97-117-B,97-138-B
jewellery	41-3132-S,97-155-B,97-177-B
jewelry	97-203-B
jewess	1-1499-B
jewish	1-1512-B
jibe	97-223-B
jiff	97-236-B,97-248-B,97-261-B
jiffy	97-274-B,97-287-B,97-301-B
jig	97-315-B,97-330-B
jingle	97-347-B,97-362-B
jingo	97-379-B
jingoism	97-397-B
jingoist	97-418-B
jingoistic	97-439-B
jinx	97-464-B
jitter	97-479-B,97-497-B
jittery	97-513-B
job	97-529-B,97-541-B,97-553-B,97-564-B,97-577-B,97-591-B,97-601-B
jobber	97-617-B
jobless	97-636-B
joblessness	97-656-B
jockey	97-683-B,97-698-B
jocose	97-715-B,97-729-B,97-745-B
jocular	97-762-B
jocund	97-778-B,97-793-B,97-805-B,97-821-B
jocundity	97-834-B
john	97-852-B,97-863-B,97-878-B
join	97-892-B,97-908-B,97-921-B,97-936-B,97-952-B,97-967-B,97-984-B,97-1000-B,97-1014-B,97-1026-B
joined	97-1037-B
joiner	97-1050-B
joinery	97-1067-B
joining	97-1088-B,97-1109-B,97-1130-B,97-1147-B
joint	97-1162-B,97-1182-B,97-1198-B,97-1215-B,97-1233-B,97-1250-B,97-1263-B,97-1278-B,97-1289-B,97-1306-B
joint owner	97-1318-B
joke	97-1346-B,97-1359-B,97-1376-B,97-1387-B,97-1398-B,97-1411-B,97-1426-B,97-1437-B,97-1450-B,97-1463-B,97-1480-B,97-1495-B
joking	97-1508-B,97-1522-B
jollity	97-1539-B
jolly	97-1553-B,97-1567-B,97-1580-B,97-1594-B,97-1605-B
jolt	97-1620-B,97-1631-B,97-1643-B
jonquil	97-1657-B
jordan	97-1677-B,97-1694-B
josh	97-1710-B
jostle	97-1727-B,97-1745-B,97-1760-B,97-1776-B,97-1793-B
joule	97-1805-B
journal	97-1817-B,97-1832-B,97-1849-B,97-1872-B,97-1890-B,97-1909-B
journalism	97-1925-B
journalist	97-1948-B
journalistic	97-1971-B
journey	97-1998-B,97-2017-B,97-2034-B,97-2051-B
joust	97-2067-B
jovial	97-2081-B,97-2096-B,97-2112-B
jowl	97-2128-B,97-2141-B,97-2156-B
joy	97-2170-B,97-2185-B,97-2198-B,97-2210-B,97-2221-B,97-2231-B,97-2243-B
joyful	97-2256-B,97-2271-B,97-2288-B,97-2304-B,97-2319-B
joyfulness	97-2332-B,97-2354-B,97-2371-B
joyless	97-2390-B
joyous	97-2405-B,97-2420-B,97-2435-B
joyously	97-2448-B
joyousness	97-2470-B
joystick	97-2489-B
jubilant	97-2514-B
jubilate	97-2533-B,97-2551-B
jubilation	97-2570-B,97-2591-B,97-2610-B
jubilee	97-2630-B
judas	97-2647-B
