certain	29-1284-B,29-1298-B,29-1315-B
charming	30-140-B,30-162-B,30-181-B,30-199-B,30-220-B,30-239-B
chart	30-256-B,30-272-B,30-286-B
charter	30-300-B,30-314-B
chary	30-330-B
chase	30-345-B,30-358-B,30-373-B,30-389-B,30-408-B
chasm	30-425-B
chassis	30-438-B,30-457-B,30-473-B
chaste	30-488-B,30-501-B
chasten	30-515-B
chasteness	30-530-B
chastise	30-550-B,30-569-B
chat	30-585-B,30-602-B,30-621-B
chatter	30-640-B,30-662-B,30-679-B
chatterbox	30-698-B
chattily	30-718-B
chatty	30-735-B
chauffeur	30-750-B,30-768-B
chauvinism	30-789-B
cheap	30-812-B,30-832-B
cheapskate	30-848-B,30-865-B
cheat	30-885-B,30-898-B,30-914-B,30-926-B,30-944-B,30-960-B,30-978-B,30-994-B,30-1009-B,30-1023-B
cheater	30-1036-B,30-1056-B
check	30-1075-B,30-1090-B,30-1106-B,30-1120-B,30-1138-B,30-1154-B,30-1170-B,30-1182-B,30-1195-B
checked	30-1210-B,30-1228-B
checker	30-1248-B
checkered	30-1268-B
checkup	30-1290-B
cheek	30-1304-B,30-1315-B,30-1329-B,30-1345-B
cheekiness	30-1364-B,30-1388-B
cheeky	30-1412-B,30-1429-B
cheep	30-1446-B
cheer	30-1461-B,30-1477-B,30-1492-B,30-1507-B,30-1524-B
cheer up	30-1536-B
cheerful	30-1555-B,30-1572-B,30-1591-B
cheers	30-1608-B
cheery	30-1622-B
cheese	30-1635-B,30-1648-B
cheesy	30-1665-B
chela	30-1682-B
chelate	30-1694-B
chemical	30-1710-B
chemicals	30-1727-B
chemist	30-1754-B,30-1770-B,30-1787-B
chemistry	30-1806-B
cheque	30-1824-B
chequered	30-1839-B,30-1858-B
cherry	30-1880-B
cherub	30-1896-B,30-1914-B,30-1931-B
chervil	30-1944-B
chess	30-1962-B
chessboard	30-1976-B
chest	30-1998-B,30-2015-B,30-2029-B
chestnut	30-2041-B,30-2059-B
chesty	30-2076-B
chew	30-2093-B
chewing gum	30-2108-B
chic	30-2139-B,30-2153-B
chick	30-2167-B
chicken	30-2181-B
chicken hearted	30-2195-B
chickenpox	30-2218-B
chicory	30-2239-B
chief	30-2255-B,30-2266-B
chiefly	30-2283-B,30-2306-B
chignon	30-2329-B
chilblain	30-2345-B
child	30-2362-B,30-2376-B,30-2390-B,30-2406-B
childbearing	30-2419-B
childbed	30-2438-B
childbirth	30-2453-B
childish	30-2470-B,30-2490-B
childishness	30-2507-B,30-2533-B
chilean	1-562-B
chill	30-2558-B
chilly	30-2571-B,30-2585-B
chimera	30-2600-B
chimerical	30-2616-B
chimney	30-2637-B,30-2655-B
chimney sweep	30-2672-B
chimpanzee	30-2699-B
chin	30-2721-B,53-2985-S
china	30-2732-B
chinchilla	30-2749-B
chinese	1-577-B
chink	30-2769-B,30-2781-B,30-2795-B
chip	30-2813-B,30-2826-B,30-2840-B
chiromancer	30-2854-B
chiropodist	30-2877-B,30-2898-B
chirp	30-2919-B
chirpy	30-2934-B,30-2949-B
chirrup	30-2963-B
chisel	30-2982-B,30-3001-B
chivalric	30-3018-B
chivalry	30-3041-B
chive	30-3061-B
chlorate	30-3077-B
chloride	30-3094-B
chlorinated	30-3111-B
chlorination	30-3133-B
chlorine	30-3159-B
chloroform	30-3174-B
chlorophyl	30-3197-B
chlorophyll	30-3219-B
chlorous	30-3242-B
chock	30-3259-B,30-3272-B
chocolate	30-3288-B,30-3309-B
choice	30-3330-B,30-3350-B,30-3364-B,30-3380-B,30-3394-B
choir	30-3411-B
choke	31-0-B,31-23-B
choler	31-39-B
cholera	31-54-B
cholesterol	31-69-B
chomp	31-93-B
choose	31-109-B,31-126-B
choosey	31-142-B
choosy	31-162-B,31-181-B
chop	31-200-B,31-214-B,31-230-B,31-243-B,31-257-B
chopper	31-270-B
choppy	31-286-B
chorale	31-299-B
chord	31-314-B,31-328-B
choreographer	31-340-B
choreographic	31-365-B
choreography	31-392-B
choroid	31-417-B
chorus	31-433-B,31-445-B
chouse	31-463-B
christen	31-477-B
christening	31-497-B
christian	1-592-B,31-519-B
christianity	1-612-B
chromatic	31-539-B
chromatography	31-559-B
chrome	31-588-B
chromite	31-601-B
chromium	31-618-B
chromium plate	31-633-B
chromosome	31-656-B
chronic	31-677-B,31-693-B,31-707-B
chronologic	31-721-B
chronological	31-745-B
chronology	31-771-B
chronometer	31-793-B
chrysalis	31-816-B
chrysolite	31-836-B
chubbiness	31-857-B
chummily	31-879-B
chummy	31-898-B
chump	31-915-B,31-929-B
chunk	31-941-B
chunky	31-953-B
church	31-968-B,31-982-B
churchman	31-996-B
churchyard	31-1020-B
churl	31-1042-B
churlish	31-1058-B,31-1076-B,31-1093-B
chute	31-1109-B
chyme	31-1123-B
ciao	31-1135-B
cicada	31-1145-B
cicatrix	31-1159-B
cicero	31-1178-B
cicerone	31-1194-B
cider	31-1212-B
cigar	31-1224-B
cigarette	31-1237-B
cigarette lighter	31-1257-B
cincture	31-1285-B
cinder	31-1304-B,31-1318-B
cinema	31-1332-B
cinematic	31-1346-B
cinematographic	31-1372-B
cinematography	31-1404-B
cinnabar	31-1434-B
cinnamon	31-1451-B
cinquefoil	31-1469-B
cipher	31-1493-B
circle	31-1508-B,31-1523-B,31-1538-B,31-1552-B,31-1565-B
circlet	31-1584-B,31-1603-B
circuit	31-1619-B,31-1634-B,31-1655-B,31-1672-B,170-1051-S,170-1080-S,170-1155-S
circular	31-1687-B,31-1706-B
circular saw	31-1723-B
circulate	31-1751-B,31-1771-B
circulation	31-1788-B
circumcise	31-1813-B
circumference	31-1837-B
circumfuse	31-1865-B
circumnavigate	31-1890-B
circumnavigation	31-1920-B,31-1955-B
circumscribe	31-1980-B,31-2007-B,31-2029-B
circumscribed	31-2051-B
circumspect	31-2078-B,31-2096-B,31-2118-B
circumspection	31-2139-B
circumstance	31-2168-B
circumstantial	31-2193-B
circumvent	31-2219-B,31-2239-B,31-2263-B
circumvolution	31-2282-B
circus	31-2307-B
cirrus	31-2320-B
cistern	31-2333-B
citadel	31-2350-B
citation	31-2369-B
cite	31-2388-B
cither	31-2400-B
citizen	31-2413-B,31-2430-B
city	31-2448-B
city hall	31-2458-B
civet	31-2478-B
civic	31-2492-B,31-2505-B
civil	31-2518-B,31-2531-B,31-2544-B
civilian	31-2558-B,31-2576-B
civilization	31-2592-B,31-2620-B
civilize	31-2647-B
civilized	31-2668-B
clack	31-2690-B
clad	182-211-S
claim	31-2704-B,31-2720-B,31-2739-B,31-2754-B,31-2768-B,31-2783-B,31-2797-B,31-2814-B,31-2828-B,31-2844-B,31-2858-B,31-2875-B,31-2893-B
claimant	31-2909-B
clairvoyance	31-2932-B
clairvoyant	31-2960-B,31-2987-B
clamant	31-3008-B,31-3026-B
clamorous	31-3042-B
clamour	31-3062-B,31-3078-B,31-3094-B,31-3115-B
clamp	31-3136-B,31-3151-B,31-3163-B,31-3175-B,31-3190-B,31-3202-B
clan	31-3218-B,31-3228-B
clank	31-3243-B
clap	31-3262-B,31-3278-B,31-3292-B,31-3313-B,31-3328-B,31-3339-B
clapper	31-3350-B,31-3368-B
clapping	31-3386-B
claptrap	31-3405-B
claret	31-3425-B
clarification	31-3442-B,31-3472-B
clarify	31-3498-B,31-3519-B
clarinet	31-3538-B
clarity	31-3558-B,31-3576-B
clash	31-3595-B,31-3611-B,31-3627-B,31-3641-B
clasp	32-0-B,32-18-B,32-34-B
class	32-48-B,32-59-B,32-72-B,32-91-B,32-103-B
classic	32-116-B
classical	32-133-B
classicism	32-152-B
classification	32-175-B
classified	32-206-B
classifier	32-227-B
classify	32-254-B
classroom	32-276-B,32-291-B
clause	32-308-B
clavicle	32-324-B
claw	32-343-B,32-357-B,32-372-B,32-386-B,32-398-B
clawed	32-410-B
clay	32-428-B,32-441-B
clayey	32-452-B
clean	32-469-B,32-483-B,32-503-B,32-524-B,32-536-B,32-551-B,32-563-B,32-576-B,32-589-B,32-600-B
clean up	32-615-B
cleaner	32-634-B,206-2085-S
cleaning	32-649-B,32-667-B
cleanliness	32-687-B
cleanly	32-707-B
cleanness	32-722-B,32-741-B
cleanse	32-759-B
cleanser	32-778-B
cleansing	32-796-B,32-815-B
clear	32-834-B,32-852-B,32-867-B,32-880-B,32-897-B,32-911-B,32-923-B,32-936-B,32-952-B,32-968-B,32-981-B,32-996-B
clear away	32-1014-B
clear up	32-1035-B
clearance	32-1053-B
clearance sale	32-1076-B
clearing	32-1104-B
clearly	32-1120-B,32-1140-B
clearness	32-1155-B
cleat	32-1175-B,32-1188-B
cleavage	32-1200-B,32-1219-B,32-1238-B,32-1257-B,32-1276-B
cleave	32-1296-B,32-1314-B,32-1329-B
cleaver	32-1345-B
cleft	32-1361-B,32-1377-B,32-1393-B,32-1407-B
cleg	32-1420-B
clematis	32-1432-B
clement	32-1451-B,32-1468-B
clench	32-1481-B,32-1496-B
clepsydra	32-1513-B
clergy	32-1533-B
clergyman	32-1546-B,32-1570-B
clerical	32-1590-B,32-1609-B,32-1632-B
clericalist	32-1654-B
clerk	32-1676-B,32-1692-B,32-1708-B,32-1726-B
clever	32-1741-B,32-1754-B,32-1768-B,32-1782-B,32-1802-B,32-1816-B
clew	32-1829-B
cliche	32-1843-B
click	32-1858-B,32-1872-B,32-1887-B
client	32-1900-B,32-1917-B,32-1932-B
clientage	32-1950-B
clientele	32-1970-B
cliff	32-1990-B
climacteric	32-2004-B
climate	32-2028-B
climatic	32-2042-B
climatology	32-2061-B
climax	32-2086-B,32-2098-B
climb	32-2115-B,32-2134-B,32-2151-B,32-2164-B,32-2178-B,32-2191-B,32-2204-B
climber	32-2218-B,32-2236-B,32-2258-B
climbing	32-2276-B
clinch	32-2295-B
clinging	32-2312-B,32-2330-B
clinic	32-2349-B
clinical	32-2364-B
clink	32-2381-B
clip	32-2397-B,32-2407-B,32-2422-B,32-2434-B,32-2446-B,32-2460-B
clipping	32-2474-B
clique	32-2492-B
clitoris	32-2506-B
cloaca	32-2525-B
cloak	32-2539-B,32-2555-B,32-2570-B
cloak room	32-2582-B
clock	7-935-S,32-2604-B
clockmaker	32-2619-B
clockwise	32-2641-B
clod	32-2661-B
cloddish	32-2672-B
clog	32-2687-B,32-2698-B,32-2712-B,32-2726-B,32-2740-B
cloggy	32-2753-B
cloister	32-2768-B,32-2786-B,32-2804-B
cloistral	32-2823-B
close	32-2844-B,32-2858-B,32-2873-B,32-2886-B,32-2903-B,32-2916-B,32-2929-B,32-2945-B,32-2959-B,32-2978-B,32-2992-B
close fisted	32-3005-B
close fitting	32-3024-B,32-3047-B
closed	32-3071-B
closely	32-3085-B
closet	32-3103-B,32-3121-B,32-3136-B,32-3153-B,32-3172-B
closing	32-3188-B
closure	32-3205-B
cloth	32-3222-B,32-3234-B,32-3247-B,32-3258-B,32-3272-B
clothe	33-0-B
clothes	33-15-B
clothing	33-29-B,33-52-B
clotting	33-71-B
cloud	33-93-B,33-110-B,33-122-B,33-133-B,33-146-B,33-159-B,33-172-B
cloud over	33-187-B
cloudburst	33-210-B
cloudy	33-232-B
clout	33-248-B
clove	33-262-B
clover	33-277-B
clown	33-294-B,33-308-B
clownishness	33-325-B
club	33-347-B,33-360-B,33-373-B,33-384-B,33-394-B,33-405-B,33-420-B
clubbable	33-434-B
clubby	33-454-B
cluck	33-471-B
clueless	33-488-B
clumsy	33-505-B,33-518-B
cluster	33-535-B
clutch	33-549-B,33-567-B,33-584-B,33-603-B,33-619-B,33-634-B,33-647-B
clutter	33-662-B,33-680-B
clyster	33-699-B,33-714-B
co operate	33-731-B,33-754-B
co operation	33-775-B,33-803-B
co operative	33-829-B
co operator	33-854-B
co opt	33-878-B
co optation	33-894-B
co ordinate	33-918-B,33-941-B
co ordinator	33-964-B
co owner	33-990-B
coach	33-1015-B,33-1030-B,33-1047-B,33-1061-B,33-1076-B,33-1103-B,33-1118-B,33-1134-B,33-1148-B,33-1164-B
coachman	33-1178-B,33-1197-B
coagulate	33-1216-B
coagulation	33-1236-B
coal	33-1261-B
coalesce	33-1274-B
coalescence	33-1292-B
coalition	33-1312-B
coarse	33-1333-B,33-1347-B,33-1365-B,33-1378-B,33-1390-B,33-1404-B,33-1420-B
coarse grained	33-1435-B
coarseness	33-1465-B,33-1486-B,33-1506-B
coast	33-1525-B,33-1537-B,33-1552-B
coastal	33-1566-B,33-1583-B
coat	33-1601-B,33-1615-B,33-1627-B,33-1639-B,33-1654-B,33-1664-B,33-1678-B,33-1693-B
coat of arms	33-1705-B
coating	33-1725-B,33-1738-B
coauthor	33-1759-B
coaxial	33-1777-B
cobalt	33-1795-B
cobble	33-1810-B
cobbler	33-1830-B,33-1848-B
cobra	33-1867-B
cobweb	33-1879-B,33-1892-B
coca	33-1909-B
cocaine	33-1919-B
coccus	33-1935-B
coccygeal	33-1948-B
coccyx	33-1967-B
cochlea	33-1982-B
cock	33-1997-B,33-2007-B,33-2021-B,33-2032-B,33-2047-B
cock a hoop	33-2060-B
cockade	33-2081-B
cockchafer	33-2098-B
cockeyed	33-2120-B
cockiness	33-2137-B
cockle	33-2159-B
cockroach	33-2173-B,33-2190-B
cocksfoot	33-2212-B
cocksure	33-2237-B
cocky	33-2258-B,33-2277-B,33-2293-B
cocoa	33-2311-B
cocoanut	33-2323-B
coconut	33-2338-B
cocoon	33-2352-B
cod	33-2367-B
coda	33-2380-B
coddle	33-2390-B
code	33-2407-B,33-2420-B,33-2432-B
codeine	33-2448-B
coder	33-2464-B
codex	33-2483-B
codfish	33-2496-B
codification	33-2513-B
coding	33-2540-B
coed	33-2561-B
coeducation	33-2572-B
coefficient	33-2597-B
coenobite	33-2622-B
coenobitic	33-2641-B
coerce	33-2663-B,33-2682-B,33-2697-B,33-2712-B
coercion	33-2729-B,33-2747-B
coercive	33-2768-B
coeval	33-2788-B,33-2804-B
coexist	33-2825-B
coexistence	33-2844-B
