frisky	95-1710-B
gallery	16-1544-S,97-241-B,97-256-B,97-273-B
galley	97-289-B
gallic	97-303-B
gallivant	97-318-B
gallop	97-339-B,97-351-B
gallows	97-367-B
galoot	97-385-B
galore	97-400-B,97-415-B
galosh	97-428-B
galumph	97-443-B
galvanic	97-471-B
galvanization	97-492-B
galvanize	97-520-B,97-544-B
galvanizing	97-566-B
galvanometer	97-591-B
galvanometric	97-617-B
galvanoplastics	97-648-B
gambit	97-680-B
gamble	97-696-B,97-710-B,97-729-B,97-740-B,97-753-B,97-770-B,97-784-B
gambled	97-804-B
gambler	97-817-B
gambling house	97-842-B
game	97-864-B,97-876-B,97-885-B,97-896-B,97-912-B,97-922-B,133-782-S
game room	97-934-B
gamekeeper	97-951-B
gamely	97-970-B
gameness	97-986-B,97-1002-B
gamey	97-1024-B
gamin	97-1040-B
gaminess	97-1056-B
gaming	97-1079-B
gammer	97-1093-B,97-1106-B,97-1120-B
gammon	97-1140-B
gammy	97-1154-B
gamut	97-1168-B,97-1181-B,97-1194-B
gamy	97-1208-B,97-1224-B
gander	97-1239-B
gang	97-1253-B,97-1264-B,97-1276-B,97-1287-B
gang up	97-1300-B
ganger	97-1321-B
gangrene	97-1336-B,97-1355-B
gangster	97-1370-B,97-1387-B,97-1405-B
gangway	97-1424-B,97-1439-B,97-1456-B
gantry	97-1472-B
gaol	97-1487-B,97-1501-B
gaoler	97-1514-B
gap	97-1532-B,97-1544-B,97-1554-B,97-1565-B,97-1577-B,97-1587-B,97-1603-B,97-1617-B,97-1629-B,97-1638-B,97-1650-B
gape	97-1662-B,97-1675-B,97-1689-B,97-1702-B,97-1715-B
gaper	97-1729-B
gaping	97-1747-B
garage	97-1762-B,97-1784-B,97-1802-B
garb	97-1817-B,97-1827-B,97-1837-B,97-1847-B
garbage	97-1858-B,97-1872-B,97-1888-B
garbage collector	97-1902-B
garbage man	97-1928-B
garble	97-1948-B
garde	19-2327-S,19-2350-S
garden	97-1967-B,97-1978-B,97-1994-B
garden house	97-2011-B
gardener	97-2031-B
gardening	97-2052-B
gardens	97-2077-B
gargle	97-2094-B,97-2111-B,97-2128-B
garish	97-2144-B
garishness	97-2162-B
garland	97-2186-B,97-2203-B
garlic	97-2218-B
garlicky	97-2232-B
garment	97-2252-B
garner	97-2265-B,97-2279-B,97-2295-B,97-2318-B
garnet	97-2333-B
garnish	97-2348-B,97-2366-B,97-2384-B,97-2399-B
garnishment	97-2414-B
garret	97-2438-B,97-2454-B,97-2471-B,97-2488-B
garrison	97-2501-B,97-2521-B,97-2539-B,97-2557-B
garrotter	97-2575-B
garrulity	97-2594-B
garrulous	97-2619-B
garter	97-2642-B
gas	97-2659-B,97-2671-B,138-267-S,150-2030-S
gas bag	97-2703-B
gas burner	97-2718-B
gas company	97-2680-B
gas cooker	97-2745-B
gas jet	97-2773-B
gas meter	97-2797-B
gas tight	97-2816-B
gaseous	97-2838-B,97-2854-B
gaseousness	97-2871-B
gash	97-2893-B,97-2904-B
gasification	97-2918-B
gasiform	97-2943-B
gasify	97-2960-B
gasket	97-2978-B
gasolene	97-2994-B
gasoline	97-3011-B
gasometer	97-3028-B,97-3047-B
gasp	97-3066-B
gasping	97-3079-B
gassed	97-3098-B
gassy	97-3112-B
gastric	97-3127-B
gastronomic	97-3149-B
gastronomy	97-3174-B,97-3198-B
gat	97-3223-B
gate	97-3236-B,97-3248-B,97-3261-B,97-3272-B,97-3284-B,97-3297-B,97-3310-B,218-2708-S
gate keeper	97-3323-B
gateau	97-3344-B
gatehouse	97-3357-B
gatekeeper	98-0-B
gateway	98-20-B,98-35-B,98-52-B
gather	98-66-B,98-82-B,98-102-B,98-125-B
gather up	98-148-B
gatherer	98-167-B,98-186-B
gathering	98-203-B,98-224-B,98-239-B,98-257-B
gauche	98-281-B,98-299-B,98-318-B
gaucheness	98-335-B
gaudy	98-359-B
gauge	98-376-B,98-389-B,98-403-B,98-421-B,98-438-B,98-454-B,98-467-B,98-482-B,98-494-B,98-507-B,98-524-B,98-538-B,98-551-B
gaunt	98-565-B,98-578-B,98-594-B
gauntlet	98-612-B
gauze	98-630-B
gauzy	98-642-B,98-660-B
gawk	98-676-B,98-689-B,98-700-B
gawkiness	98-713-B
gawky	98-736-B,98-753-B
gay	98-771-B,98-783-B
gayness	98-794-B,98-816-B,98-833-B
gaze	98-851-B,98-866-B,98-879-B
gazed	98-892-B
gazelle	98-905-B
gazette	98-920-B
gear	17-153-S,98-935-B,98-949-B,98-961-B,98-977-B,98-996-B,98-1012-B,98-1026-B,98-1040-B,133-2076-S
gearing	98-1056-B
geezer	98-1071-B
gel	98-1086-B,98-1095-B
gelatin	98-1106-B,98-1124-B
gelatine	98-1143-B
gelatinous	98-1163-B,98-1187-B
geld	98-1212-B
gelding	98-1230-B
gelid	98-1245-B
gem	98-1260-B,98-1273-B,98-1284-B
gemmation	98-1295-B
gemstone	98-1314-B
gene	98-1336-B
genealogy	98-1346-B,98-1368-B
genera	98-1388-B
general	98-1400-B,98-1417-B,98-1434-B,98-1453-B,98-1473-B,98-1489-B,98-1505-B,98-1523-B,98-1544-B,98-1561-B,98-1580-B,98-1599-B,114-2066-S
general delivery	98-1619-B
general purpose	98-1651-B
generality	98-1680-B,98-1704-B
generalization	98-1729-B
generalize	98-1760-B,98-1786-B
generally	98-1812-B,98-1829-B,98-1847-B,98-1864-B,98-1882-B,98-1902-B,98-1922-B,98-1944-B,98-1965-B
generate	98-1985-B,98-2002-B,98-2020-B,98-2039-B,98-2059-B
generation	98-2078-B,98-2100-B,98-2118-B,98-2139-B,98-2162-B
generational	98-2181-B
generator	98-2206-B,98-2227-B
generic	98-2246-B,98-2267-B
generically	98-2283-B
generosity	98-2306-B,98-2333-B,98-2358-B,98-2380-B
generous	98-2406-B,98-2429-B,98-2450-B,98-2468-B
genesis	98-2490-B,98-2506-B,98-2521-B,98-2535-B
genetics	98-2548-B
genial	98-2566-B,98-2585-B,98-2599-B,98-2616-B
geniality	98-2633-B,98-2652-B,98-2674-B
genie	98-2698-B
genitive	98-2710-B
geniture	98-2728-B
genius	98-2746-B,98-2763-B,98-2780-B,98-2795-B,98-2810-B
genre	98-2824-B
gent	98-2838-B
genteel	98-2848-B,98-2867-B,98-2881-B
genteelness	98-2903-B,98-2929-B
gentian	98-2954-B
gentile	98-2970-B,98-2984-B
gentility	98-3002-B
gentle	98-3025-B,98-3039-B,98-3054-B,98-3071-B,98-3085-B,98-3100-B,98-3117-B
gentleman	98-3132-B
gentleness	98-3147-B,98-3167-B,98-3188-B
gently	98-3209-B
genuine	98-3222-B,98-3242-B,98-3264-B,98-3279-B,98-3294-B,98-3313-B
genuinely	98-3331-B
genuineness	98-3351-B,98-3373-B
genus	98-3397-B,98-3408-B
geographic	98-3418-B
geographical	98-3440-B
geography	98-3464-B
geological	98-3482-B
geology	98-3505-B
geometric	98-3523-B
geometrical	98-3546-B
geometry	98-3571-B
geophysics	99-0-B
george	1-1321-B
geriatric	99-21-B
germ	99-41-B,99-56-B,99-68-B,99-82-B,99-97-B
german	1-1334-B,1-1349-B,1-1365-B
german language	1-1381-B
germane	99-111-B
germanic	1-1406-B,99-130-B,99-150-B
germany	1-1426-B
germinal	99-168-B
germinate	99-191-B,99-211-B,99-229-B
germination	99-247-B,99-270-B
gestation	99-291-B
gesticulate	99-313-B
gesticulation	99-339-B
gesture	99-367-B,99-381-B
get	99-395-B,99-410-B,99-422-B,99-437-B,99-449-B,99-463-B,99-477-B,99-489-B,99-504-B
get about	99-517-B
get after	99-537-B
get ahead of	99-558-B
get along	99-576-B,99-594-B
get at	99-616-B,99-634-B
get away	99-649-B
get back	99-668-B
get by	99-689-B
get down	99-702-B,99-723-B
get dry	99-742-B
get in	99-759-B
get into	99-777-B,99-797-B,99-813-B
get it on	99-830-B
get off	99-851-B
get on	99-869-B,99-887-B
get out	16-2256-S,99-906-B,99-1126-B
get over	99-924-B,99-943-B
get the hang of	99-963-B
get through	99-989-B
get through with	99-1010-B
get to	99-1038-B
get to know	99-1053-B
get up	99-1076-B,99-1090-B,99-1142-B
get well	99-1107-B
getaway	99-1155-B
gets	99-1169-B
getter	99-1183-B,101-500-S
getting	99-1200-B
gewgaw	99-1217-B
geyser	99-1233-B
ghastly	99-1248-B,99-1264-B,99-1284-B,99-1301-B
gherkin	99-1319-B
ghetto	99-1334-B,99-1346-B
ghost	99-1360-B,99-1371-B,99-1384-B,99-1398-B,99-1413-B
ghostly	99-1430-B
giant	99-1452-B,99-1463-B,99-1479-B
giantess	99-1491-B
gibber	99-1508-B
gibbet	99-1522-B
gibe	99-1539-B,99-1552-B
giblets	99-1567-B
giddiness	99-1581-B,99-1599-B
giddy	99-1627-B
gift	99-1644-B,99-1653-B,99-1666-B,99-1679-B
gifted	99-1691-B,99-1708-B,99-1723-B
gigantic	99-1743-B
giggle	99-1762-B,99-1777-B
gigolo	99-1798-B
gild	99-1816-B
gilded	99-1833-B
gilding	99-1851-B
gill	99-1871-B
gilt	99-1886-B,99-1902-B
gilt edged	99-1917-B
gimcrack	99-1940-B
gimlet	99-1958-B,99-1975-B
gimmick	99-1993-B,99-2007-B
gin	99-2020-B
gin mill	99-2030-B
ginger	99-2046-B,99-2059-B
ginger up	99-2075-B,99-2094-B
gingerbread	99-2115-B
gingerly	99-2135-B,99-2152-B
gipsy	99-2170-B,99-2183-B,99-2198-B
giraffe	99-2212-B
gird	99-2228-B,99-2243-B,99-2259-B,99-2277-B
girder	99-2292-B
girdle	99-2307-B,99-2321-B
girl	99-2333-B,99-2346-B,131-1741-S
girl friend	99-2360-B
girlfriend	99-2383-B
girlie	99-2405-B,99-2420-B
girlish	99-2438-B
girls	99-2459-B
giro	99-2476-B
girt	99-2488-B
gist	99-2499-B,99-2510-B
give	99-2524-B,99-2535-B,99-2549-B,99-2559-B,99-2572-B,99-2587-B,99-2599-B,99-2616-B,99-2632-B,99-2649-B,99-2666-B,99-2679-B,99-2695-B,99-2711-B,99-2724-B,99-2741-B,99-2755-B
give a message	99-2770-B
give and take	99-3115-B
give away	99-2794-B,99-2815-B,99-2833-B,99-2853-B
give back	99-2874-B,99-2892-B
give forth	99-2911-B
give in	99-2932-B
give off	99-2950-B
give out	99-2972-B,99-2991-B
give up	99-3008-B,99-3025-B,99-3040-B
give way	99-3058-B,99-3078-B,99-3097-B
giveaway	99-3139-B
given	99-3155-B,99-3167-B,99-3184-B,269-1233-S
giver	99-3199-B
gives	99-3211-B
giving	10-3394-S,129-3159-S
glabrous	99-3223-B,99-3240-B
glacial	99-3255-B,99-3275-B
glacier	99-3292-B
glad	99-3309-B,99-3325-B,99-3340-B,100-0-B,100-10-B,100-25-B
gladden	100-35-B
glade	100-53-B,100-70-B
gladly	100-85-B
gladness	100-100-B,100-120-B
gladsome	100-137-B
glair	100-156-B
glamorize	100-169-B
glamorous	100-192-B,100-214-B,100-239-B
glamour	100-259-B,100-274-B,100-299-B,100-314-B
glamourize	100-328-B
glance	100-352-B
gland	100-367-B
glare	100-381-B
glaring	100-394-B,100-413-B,100-431-B
glass	100-451-B,100-464-B,100-475-B,100-490-B,100-504-B,132-3175-S,132-3197-S
glasses	87-1079-S,100-523-B
glassworks	100-540-B
glassy	100-561-B,100-578-B
glaze	100-595-B,100-610-B,100-623-B
glazed	100-638-B
glazier	100-656-B
glazing	100-673-B
gleam	100-690-B,100-701-B,100-716-B
glean	100-729-B,100-744-B
glee	100-766-B,100-779-B
glide	100-794-B,100-809-B,100-823-B,100-840-B
glider	100-856-B,100-870-B
glimmer	100-885-B,100-902-B,100-917-B
