hear	43-846-B,43-858-B,43-869-B
hesitate	43-2599-B
hew	43-2614-B
hiatus	43-2624-B,43-2635-B,43-2649-B
hibernation	43-2664-B,43-2682-B
hiccough	43-2706-B
hiccup	43-2721-B
hide	43-2734-B,43-2746-B,43-2755-B,43-2766-B
hideaway	43-2778-B
hideous	43-2798-B
hideout	43-2813-B
hie	43-2832-B
high	44-0-B,44-10-B,44-21-B
highbrow	44-31-B
highland	44-54-B
highlight	44-72-B
highly	44-94-B
highness	44-107-B
highway	44-124-B
hijack	44-141-B
hijacker	44-154-B
hike	44-170-B,44-182-B
hiker	44-192-B
hilarious	44-207-B
hill	44-224-B,44-235-B,44-245-B,44-255-B
hilly	44-264-B
him	44-277-B,44-285-B,44-293-B,44-301-B
himself	44-309-B,44-321-B,44-334-B
hind	44-348-B,44-359-B
hinder	44-369-B,44-382-B
hindrance	44-396-B
hinge	44-415-B
hint	44-429-B,44-441-B,44-456-B,44-466-B,44-475-B
hip	44-485-B,44-495-B
hire	44-504-B,44-517-B,44-527-B
hirsute	44-537-B
his	44-552-B,44-561-B,44-569-B
hiss	44-578-B,44-589-B
historian	44-600-B
historic	44-621-B
historical	44-640-B
historiographer	44-661-B
history	44-688-B
hit	44-705-B,44-715-B,44-724-B,44-733-B,44-743-B,44-755-B
hitch	44-766-B,44-778-B,44-789-B,44-804-B,44-815-B
hitchhike	44-834-B
hitherto	44-850-B
hive	44-866-B
hoar	44-878-B,44-888-B
hoard	44-897-B,44-911-B,44-925-B
hoarding	44-937-B
hoarse	44-956-B
hoax	44-967-B,44-980-B,44-991-B,44-1001-B
hobble	44-1012-B,44-1025-B
hobby	44-1038-B
hobbyhorse	44-1050-B
hobo	44-1071-B
hoe	44-1088-B
hog	44-1098-B,44-1107-B
hogmanay	44-1116-B
hoist	44-1139-B,44-1154-B,44-1165-B
hold	44-1177-B,44-1186-B,44-1200-B,44-1210-B,44-1220-B,44-1231-B,44-1250-B,44-1264-B
holder	44-1273-B,44-1290-B,44-1304-B
holding	44-1321-B
hole	44-1340-B,44-1350-B,44-1358-B,44-1368-B,44-1380-B
holiday	44-1391-B,44-1405-B
holland	44-1423-B
hollander	44-1439-B
holler	44-1459-B,44-1472-B,44-1485-B,44-1498-B
hollow	44-1512-B,44-1524-B,44-1542-B,44-1554-B,44-1565-B,44-1577-B,44-1592-B
holly	44-1605-B
holster	44-1621-B
holy	44-1643-B
homage	44-1655-B
hombre	44-1670-B
home	44-1681-B,44-1689-B,44-1699-B,44-1710-B,44-1720-B,44-1729-B,44-1746-B
homeless	44-1756-B
homeliness	44-1774-B
homely	44-1794-B,44-1807-B
homesickness	44-1819-B
homework	44-1844-B
homey	44-1866-B
homicide	44-1880-B,44-1894-B
hone	44-1908-B
honest	44-1919-B,44-1934-B
honestly	44-1948-B
honesty	44-1964-B
honey	44-1982-B
honeymoon	44-1996-B
honk	44-2020-B,44-2029-B
honour	44-2039-B,44-2053-B,44-2066-B,44-2079-B,44-2095-B,44-2112-B,44-2124-B
honourable	44-2146-B,44-2166-B
hood	44-2186-B,44-2197-B,44-2210-B
hoodlum	44-2220-B
hoodwink	44-2235-B
hooey	44-2250-B,44-2264-B,44-2275-B
hoof	44-2288-B
hook	44-2297-B,44-2307-B,44-2318-B,44-2328-B
hooked	44-2340-B,44-2354-B
hooligan	44-2366-B,44-2382-B
hoop	44-2396-B,44-2407-B
hoot	44-2417-B,44-2428-B,44-2440-B,44-2450-B
hooter	44-2459-B
hoover	44-2473-B
hop	44-2491-B,44-2500-B,44-2510-B,44-2520-B,44-2529-B,44-2539-B
hope	44-2549-B,44-2559-B,44-2570-B
hopeful	44-2579-B
hopeless	44-2597-B
hopper	44-2615-B
horde	44-2631-B
horizon	45-0-B
horn	45-17-B
hornbeam	45-27-B
horny	45-44-B
horoscope	45-55-B
horrible	45-74-B,45-95-B,45-114-B
horrid	45-134-B
horrific	45-153-B
horrify	45-174-B,45-191-B
horrifying	45-207-B
horror	45-230-B,45-243-B,45-262-B,45-276-B
horse	45-290-B,45-303-B,45-314-B
horsefly	45-329-B
horseman	45-344-B
horsepower	45-360-B
horticulture	45-382-B
hose	45-404-B
hospitable	45-416-B
hospital	45-436-B,45-454-B
host	45-471-B,45-481-B,45-492-B
hostage	45-502-B
hostel	45-517-B,45-536-B
hostess	45-552-B,45-572-B
hostile	45-589-B
hostility	45-607-B
hot	45-627-B,45-635-B,45-646-B,45-661-B,45-671-B
hotel	45-680-B
hotness	45-693-B
hound	45-706-B,45-718-B,45-729-B,45-740-B,45-755-B
hour	45-767-B,45-776-B
house	45-786-B,45-796-B,45-807-B
housebreaking	45-824-B
household	45-847-B,45-861-B
housekeeper	45-883-B
housekeeping	45-908-B
housetop	45-933-B
housewife	45-949-B
housing	45-966-B
hovel	45-978-B
hover	45-989-B,45-1001-B
hovercraft	45-1014-B
how	45-1041-B,45-1050-B,45-1062-B,45-1076-B
however	45-1084-B,45-1100-B
howl	45-1119-B,45-1128-B,45-1138-B,45-1148-B
howler	45-1157-B
hub	45-1172-B,45-1180-B
hubbub	45-1192-B,45-1204-B,45-1217-B
hubcap	45-1230-B
huddle	45-1248-B,45-1261-B,45-1272-B
hue	45-1286-B
huffy	45-1296-B
hug	45-1308-B,45-1318-B,45-1327-B,45-1339-B
huge	45-1354-B,45-1370-B,45-1384-B,45-1395-B
hulk	45-1407-B,45-1417-B
hull	45-1428-B,45-1438-B,45-1451-B
hum	45-1462-B,45-1473-B,45-1483-B,45-1493-B
human	45-1503-B
humane	45-1521-B
humanity	45-1534-B,45-1555-B
humanly	45-1579-B
humble	45-1599-B,45-1616-B,45-1629-B,45-1642-B
humbug	45-1656-B,45-1672-B
humdrum	45-1684-B,45-1702-B
humid	45-1722-B
humidity	45-1735-B
humiliate	45-1754-B
humiliation	45-1771-B
humility	45-1793-B
hummock	45-1811-B
humorist	45-1824-B
humorous	45-1842-B,45-1863-B
humour	45-1879-B,45-1892-B,45-1906-B,45-1918-B
hump	45-1934-B,45-1944-B,45-1953-B
hunch	45-1965-B,45-1978-B,45-1990-B,45-2003-B,45-2016-B
hunchbacked	45-2029-B
hundred	45-2054-B
hungarian	45-2069-B
hunger	45-2087-B,45-2099-B
hungry	45-2112-B
hunk	45-2126-B
hunt	45-2137-B,45-2147-B
hunter	45-2157-B,45-2173-B
hunting	45-2186-B
huntsman	45-2199-B
hurdle	45-2214-B,45-2233-B
hurl	45-2247-B
hurrah	45-2259-B
hurricane	45-2272-B
hurried	45-2288-B
hurry	45-2303-B,45-2317-B,45-2334-B,45-2345-B,45-2357-B,45-2372-B
hurt	45-2382-B,45-2400-B,45-2412-B,45-2423-B,45-2434-B
hurtle	45-2445-B
husband	45-2457-B,45-2475-B,45-2492-B
hush	45-2505-B,45-2517-B,45-2531-B
husk	45-2540-B,45-2550-B,45-2561-B
husky	45-2574-B
hustle	45-2584-B,45-2598-B,45-2612-B
hut	45-2628-B,45-2639-B
hutch	45-2649-B
hybrid	45-2661-B,45-2676-B
hydraulic	45-2692-B
hydraulics	45-2713-B
hydrogen	45-2735-B
hyena	45-2753-B
hygiene	45-2765-B
hygienic	45-2781-B
hymn	45-2800-B
hyphen	45-2811-B
hypnotist	45-2829-B
hypnotize	45-2851-B
hypocrisy	45-2873-B
hypocrite	46-0-B
hypodermic	46-17-B
hypothesis	46-37-B
hysterical	46-57-B
i	46-78-B
ice	46-84-B,46-96-B
iceberg	46-103-B
icebreaker	46-119-B
icicle	46-139-B
icing	46-153-B
icy	46-166-B
idea	46-177-B,46-189-B,46-207-B,46-220-B,46-230-B,46-243-B
ideal	46-254-B,46-269-B,46-281-B,46-294-B
idealism	46-315-B
identic	46-334-B
identical	46-351-B
identification	46-370-B,46-400-B
identify	46-430-B,46-448-B
identity	46-470-B
idiom	46-489-B,46-503-B
idiot	46-519-B
idle	46-530-B,46-541-B,46-557-B,46-571-B,46-582-B,46-591-B,46-604-B,46-617-B,46-631-B
idleness	46-647-B
idol	46-666-B
idolize	46-677-B
idyll	46-693-B
if	46-705-B,46-715-B,46-723-B
ignitable	46-729-B
ignite	46-750-B,46-765-B,46-778-B
ignition	46-791-B
ignoble	46-808-B
ignominious	46-822-B
ignominy	46-846-B
ignorance	46-864-B
ignorant	46-884-B
ignore	46-902-B,46-918-B
ilex	46-932-B
ill	46-947-B,46-959-B,46-968-B,46-980-B,46-989-B,46-998-B,46-1008-B,46-1016-B
illegal	46-1025-B
illegible	46-1041-B
illegitimate	46-1060-B
illiberal	46-1081-B,46-1099-B
illicit	46-1119-B
illiteracy	46-1135-B
illiterate	46-1160-B,46-1181-B
illness	46-1200-B
illuminate	46-1215-B,46-1233-B,46-1253-B
illuminated	46-1272-B
illumination	46-1292-B,46-1315-B
illusion	46-1339-B
illusive	46-1357-B
illusory	46-1377-B
illustrate	46-1397-B
illustration	46-1419-B
illustrious	46-1445-B,46-1465-B
image	46-1488-B,46-1502-B,46-1514-B,46-1533-B
imaginable	46-1546-B
imaginary	46-1566-B,46-1586-B
imagination	46-1604-B,46-1624-B
imbecile	46-1647-B,46-1663-B
imbibe	46-1682-B
imbroglio	46-1696-B
imbue	46-1713-B
imitate	46-1733-B
immaculate	46-1752-B,46-1775-B
immature	46-1796-B
immediate	46-1812-B,46-1833-B
immediately	46-1857-B,46-1876-B
immense	46-1902-B,46-1916-B
immensely	46-1934-B
immerse	46-1954-B
immigrant	46-1968-B
immigrate	46-1989-B
immigration	46-2009-B
imminent	46-2033-B,46-2055-B
immoderate	46-2077-B
immoral	46-2098-B
immortal	46-2115-B
immovable	46-2134-B
immune	46-2154-B,46-2167-B
imp	46-2187-B
impact	46-2199-B,46-2218-B
impale	46-2231-B
imparity	46-2245-B
impart	46-2262-B
impartial	46-2278-B
impassable	46-2297-B
impasse	46-2322-B
impassive	46-2340-B
impatience	46-2361-B
impatient	46-2386-B
impeach	46-2407-B
impeachment	46-2423-B
impeccable	46-2443-B,46-2463-B
impede	46-2486-B,46-2503-B
impediment	46-2517-B
impend	46-2535-B
impending	46-2551-B,46-2574-B,46-2597-B
imperative	46-2615-B,46-2636-B
imperfect	46-2654-B
imperial	46-2676-B
imperialist	46-2694-B
imperious	46-2718-B,46-2736-B
impermanent	46-2753-B
impersonate	46-2777-B,46-2800-B
impertinent	46-2826-B,46-2846-B
impervious	46-2870-B
impetuous	46-2894-B,46-2911-B
impetus	46-2929-B
impious	46-2944-B,46-2961-B
implement	46-2976-B,46-2994-B
implicit	46-3013-B
implore	46-3034-B
imply	46-3053-B,46-3066-B,46-3083-B,46-3100-B
impolite	46-3116-B
impolitic	46-3134-B
import	46-3150-B,46-3167-B,46-3183-B
importance	46-3201-B,46-3222-B
important	46-3243-B
importation	46-3260-B
importer	46-3279-B
importunate	46-3298-B,46-3317-B
imposing	46-3342-B
imposition	46-3363-B
impossible	46-3380-B
impostor	46-3398-B
imposture	46-3416-B
impotence	46-3436-B,46-3453-B
impound	46-3471-B
imprecise	46-3491-B
impregnate	47-0-B,47-20-B
impress	47-45-B,47-61-B,47-78-B
impression	47-93-B,47-112-B,47-132-B,47-150-B
impressionist	47-170-B
impressive	47-197-B
imprint	47-220-B,47-236-B,47-249-B
imprison	47-263-B
imprisonment	47-280-B
improbability	47-304-B
improbable	47-333-B
improve	47-356-B,47-373-B
improvement	47-393-B,47-416-B
imprudent	47-439-B,47-460-B
impudent	47-476-B
impugn	47-497-B
impulse	47-513-B,47-528-B
imputation	47-542-B
in	47-565-B,47-572-B,47-577-B,47-584-B,47-590-B,47-597-B
in addition	47-604-B
in any case	47-625-B,47-650-B,47-671-B
in front of	47-691-B,47-709-B
in law	11-909-S,32-2040-S,60-150-S,87-2827-S,90-963-S
in return	47-726-B
in short	47-750-B
in time	47-769-B,47-784-B
in vain	47-800-B
in writing	47-818-B
inability	47-839-B
inaccessible	47-861-B
inaccurate	47-888-B
inactive	47-910-B
inadequate	47-928-B
inadvertence	47-954-B
inadvertently	47-977-B
inane	47-1002-B
inanimate	47-1017-B
inappreciable	47-1035-B
inappropriate	47-1060-B
inapt	47-1086-B
inarticulate	47-1101-B
inasmuch as	47-1123-B
inaugurate	47-1144-B,47-1164-B
inauguration	47-1182-B
inauspicious	47-1205-B
inborn	47-1226-B
inbred	47-1242-B
incantation	47-1258-B
incapacity	47-1282-B
incarnate	47-1305-B
incendiary	47-1330-B
incentive	47-1354-B
incertitude	47-1370-B
inch	47-1391-B
incidence	47-1402-B,47-1422-B
incident	47-1440-B,47-1460-B,47-1477-B,47-1495-B,47-1512-B
incidental	47-1533-B
incidentally	47-1554-B
incinerate	47-1577-B,47-1595-B
incineration	47-1616-B
incinerator	47-1641-B
incision	47-1669-B
incite	47-1687-B
incitement	47-1702-B
inclination	47-1719-B,47-1736-B,47-1756-B,47-1776-B
incline	47-1803-B,47-1819-B,47-1832-B,47-1848-B
inclined	47-1866-B
inclose	47-1887-B
include	47-1904-B,47-1922-B,47-1941-B,47-1959-B
inclusive	47-1975-B
incognito	47-1995-B
incoherent	47-2015-B
income	47-2042-B
