dexterous	23-2920-B
dominion	25-3328-B
donate	25-3349-B,25-3359-B
donation	25-3374-B
done	25-3388-B
donkey	25-3400-B
donor	25-3412-B,25-3424-B
doom	25-3436-B,26-0-B,26-13-B
door	26-28-B
doorknob	26-38-B
doorway	26-60-B
dope	26-80-B,26-91-B
dormitory	26-101-B
dosage	26-119-B
dose	26-132-B,26-144-B
dot	26-155-B,26-165-B,26-175-B
double	26-188-B,26-202-B,26-215-B,26-227-B
doublet	26-243-B
doubt	26-259-B,26-279-B,26-290-B,26-302-B
douche	26-317-B,26-329-B
dough	26-342-B
dove	26-353-B
dowager	26-362-B
down	26-375-B,26-384-B,26-393-B,26-404-B,74-998-S,87-906-S,101-1207-S,103-1120-S
downwards	26-414-B
doze	26-432-B,26-443-B,26-454-B
dozen	26-466-B
drab	26-478-B,26-493-B
draft	26-504-B,26-519-B,26-533-B,26-545-B,26-559-B,26-574-B
drag	26-587-B,26-596-B,26-607-B
draggle	26-619-B
dragnet	26-637-B
drain	26-654-B,26-667-B,26-681-B,26-693-B,26-705-B
dramatic	26-718-B
drape	26-737-B
drastic	26-751-B
draught	26-768-B,26-782-B
draw	26-796-B,26-805-B,26-815-B,26-825-B,26-838-B,26-849-B,26-860-B,26-871-B,26-883-B,26-897-B
drawer	26-907-B
drawing	26-920-B,26-936-B
dread	26-953-B,26-965-B,26-978-B,26-994-B
dreadful	26-1011-B
dream	26-1030-B,26-1042-B
dreary	26-1056-B
dregs	26-1072-B,26-1084-B
drenched	26-1099-B
dress	26-1120-B,26-1134-B,26-1146-B,26-1158-B
dressing	26-1169-B,26-1187-B
dressy	26-1207-B
driblet	26-1219-B
drift	26-1233-B,26-1245-B,26-1259-B,26-1275-B,26-1288-B
drifter	26-1302-B
drill	26-1322-B,26-1332-B,26-1343-B,26-1355-B,26-1368-B,26-1384-B,26-1399-B,26-1410-B,26-1421-B
drilling	26-1435-B
drink	26-1451-B,26-1463-B,26-1476-B,26-1488-B
drinks	26-1499-B
drip	26-1518-B,26-1529-B,26-1541-B
drive	26-1553-B,26-1565-B,26-1576-B,26-1588-B
drivel	26-1601-B
driver	26-1614-B,26-1628-B,26-1640-B
driveway	26-1656-B
drizzle	26-1677-B,26-1694-B
droll	26-1712-B,26-1725-B,26-1735-B
drool	26-1748-B,26-1760-B
droop	26-1772-B
drop	26-1784-B,26-1796-B,26-1808-B,26-1818-B,26-1829-B,26-1844-B,26-1855-B,26-1866-B,26-1876-B,26-1887-B,26-1898-B
dross	26-1911-B
drought	26-1923-B
drove	26-1938-B
drown	26-1950-B
drowse	26-1963-B,26-1976-B,26-1989-B
drowsy	26-2003-B,26-2017-B
drug	26-2032-B,26-2045-B,26-2061-B,26-2077-B,26-2090-B,26-2105-B
druggist	26-2118-B
drugs	26-2136-B
drugstore	26-2152-B
drum	26-2169-B,26-2183-B,26-2195-B
drumhead	26-2206-B
drunk	26-2227-B,26-2241-B
drunkard	26-2252-B
drunkenness	26-2273-B
dry	26-2297-B,26-2308-B,26-2318-B,91-1035-S
dual	26-2329-B
dubiety	26-2341-B
dubious	26-2354-B
duchess	26-2370-B
duchy	26-2389-B
duck	26-2408-B,26-2417-B,26-2428-B
duct	26-2441-B,26-2452-B
dude	26-2462-B
due	26-2471-B,26-2482-B,26-2496-B,26-2509-B,26-2518-B
due to	26-2530-B
duel	26-2550-B,26-2561-B
duke	26-2574-B
dull	26-2586-B,26-2595-B,26-2605-B,26-2619-B,26-2632-B,26-2642-B,26-2653-B,27-0-B,27-10-B
dullness	27-21-B,27-37-B
dumb	27-55-B,27-64-B,27-78-B,27-88-B
dumbfounded	27-98-B
dummy	27-119-B,27-131-B,27-145-B
dump	27-159-B
dumper	27-170-B
dunce	27-186-B,27-200-B
dung	27-211-B
dungeon	27-225-B
dunk	27-243-B
dupe	27-254-B,27-265-B
duplicate	27-275-B,27-293-B,27-312-B,27-331-B
duplication	27-349-B,27-372-B
durability	27-396-B
durable	27-418-B,27-434-B
duration	27-448-B
during	27-466-B
dusk	27-479-B
dusky	27-493-B,27-506-B
dust	27-518-B
dusty	27-529-B
dutch	1-142-B,27-543-B
dutiable	27-559-B
dutiful	27-580-B
duty	27-605-B,27-617-B,27-630-B,27-641-B,27-655-B,27-665-B
dwarf	27-675-B
dwell	27-687-B
dwelling	27-696-B
dwindle	27-711-B
dynamic	27-726-B
dynamics	27-743-B
dynamite	27-761-B,27-779-B
each other	27-796-B
eager	27-817-B,27-829-B,27-842-B
eagerness	27-854-B
eagle	27-869-B
ear	27-880-B,27-888-B,27-899-B
earache	27-908-B
eardrum	27-925-B
earl	27-945-B
earldom	27-956-B
earlier	27-973-B
earlobe	27-991-B
early	27-1009-B
earn	27-1022-B,27-1036-B,27-1051-B
earnest	27-1062-B
earpiece	27-1079-B
earth	27-1101-B,27-1110-B,27-1121-B
earthly	27-1134-B
earthquake	27-1150-B
earthworm	27-1172-B
ease	27-1192-B,27-1203-B,27-1216-B,27-1228-B,27-1240-B,27-1248-B
easel	27-1260-B
easement	27-1275-B,27-1293-B
easily	27-1311-B
easiness	27-1323-B
east	27-1340-B
easter	1-160-B
eastern	27-1350-B,27-1371-B
easy	27-1387-B,27-1402-B,27-1412-B,27-1426-B,27-1439-B,27-1450-B
eat	27-1464-B,27-1472-B,27-1485-B
eatable	27-1495-B
ebb	27-1512-B,27-1521-B,27-1530-B
eccentric	27-1541-B
ecclesiastic	27-1562-B
ecclesiastical	27-1584-B
echelon	27-1608-B
echo	27-1625-B,27-1635-B,27-1650-B,27-1663-B,27-1677-B
eclipse	27-1689-B
ecological	27-1707-B
ecology	27-1729-B
economic	27-1746-B
economical	27-1766-B
economics	27-1788-B
economy	27-1807-B
ecstasy	27-1824-B,27-1840-B
edema	27-1860-B
edge	27-1872-B,27-1881-B
edging	27-1891-B,27-1903-B
edgy	27-1921-B
edible	27-1936-B
edifice	27-1952-B
edifying	27-1969-B
edit	27-1990-B,27-2001-B
edition	27-2015-B,27-2030-B
editor	27-2045-B
educate	27-2060-B,27-2075-B
education	27-2091-B,27-2114-B
educational	27-2135-B
eel	27-2158-B
effect	27-2166-B,27-2180-B
effective	27-2196-B,27-2215-B
effete	27-2233-B
efficacious	27-2248-B
efficiency	27-2268-B,27-2289-B
efficient	27-2313-B
efflorescence	27-2332-B
effort	27-2357-B,27-2377-B,27-2396-B,27-2411-B,27-2424-B,27-2442-B
effrontery	27-2455-B
effulgence	27-2475-B
egg	27-2492-B
egoism	27-2500-B
egoist	27-2515-B
egoistic	27-2529-B
egress	27-2548-B
egyptian	27-2562-B
eider	27-2580-B
eight	27-2594-B,27-2606-B
eighteen	27-2622-B
eighth	27-2637-B
eightieth	27-2653-B
eighty	27-2673-B
either	27-2686-B,27-2699-B
ejaculate	27-2712-B
elaborate	27-2731-B
elaboration	27-2751-B
elastic	27-2776-B
elbow	27-2793-B
elderberry	27-2805-B
elect	27-2826-B,27-2838-B
election	27-2850-B
elector	27-2864-B
electoral	27-2879-B
electric	27-2894-B
electrician	27-2913-B
electricity	27-2936-B
electrode	27-2961-B
elegance	27-2981-B
elegant	27-2999-B,27-3015-B
element	27-3032-B,27-3051-B,27-3067-B
elementary	28-0-B
elephant	28-22-B
elevate	28-39-B,28-52-B,28-67-B
elevation	28-82-B
elevator	28-99-B
eleven	28-113-B
eleventh	28-127-B
eligible	28-144-B
eliminate	28-162-B
elk	28-179-B
ellipse	28-187-B
elm	28-203-B
elongate	28-211-B,28-229-B
eloquent	28-244-B
else	28-264-B,28-275-B,64-1239-S
elucidate	28-287-B,28-306-B
elude	28-324-B
emanate	28-337-B
emancipate	28-351-B
emasculate	28-372-B,28-390-B
embalm	28-410-B
embankment	28-427-B,28-446-B,28-461-B
embarrass	28-477-B,28-496-B
embarrassment	28-513-B
embassy	28-539-B
embellish	28-557-B,28-579-B
embezzle	28-595-B
embezzlement	28-614-B
emblem	28-637-B,28-651-B
embody	28-664-B
embolism	28-686-B
