teetotum	90-442-B
throne	91-773-B
through	91-786-B,91-801-B,91-818-B,91-830-B,91-844-B,91-856-B
throughout	91-868-B,91-889-B
throw	91-912-B
throw back	91-924-B
thrush	91-944-B
thrust	91-957-B
thulium	91-970-B
thumb	91-984-B
thunder	91-998-B,91-1013-B
thurible	91-1028-B
thursday	8-2214-B
thus	91-1047-B,91-1057-B,91-1068-B,91-1078-B,91-1094-B
thwart	91-1104-B
tiber	8-2231-B
tiberius	8-2244-B
tibet	8-2261-B
tibetan	8-2274-B,8-2289-B
tibia	91-1123-B
tic	91-1135-B
tick	91-1144-B
ticket	35-2366-S,78-570-S,91-1156-B,91-1170-B,91-1186-B
ticket window	91-1205-B
tickle	91-1227-B
tidbit	91-1240-B
tide	91-1257-B
tidy	91-1268-B,91-1278-B,91-1290-B
tie	91-1310-B,91-1321-B,91-1333-B,91-1345-B,91-1358-B,91-1367-B
tiger	91-1378-B
tight	91-1390-B
tighten	91-1404-B,91-1423-B
tightly	91-1446-B
tigris	8-2306-B
tilde	91-1462-B
tile	91-1474-B,96-135-S
till	91-1486-B
tillage	91-1496-B
tiller	91-1514-B
tilt	91-1536-B
timber	91-1547-B,91-1560-B
timbrel	91-1576-B
time	83-3053-S,83-3074-S,91-1594-B,91-1604-B
time table	91-1615-B
timid	91-1633-B
timidity	91-1646-B
timor	8-2321-B
tin	91-1664-B,91-1676-B,91-1688-B,91-1703-B,91-1712-B,91-1721-B,91-1736-B,91-1746-B,91-1763-B
tin opener	91-1773-B
tinder	91-1801-B
tinker	91-1815-B
tinkle	91-1834-B,91-1847-B
tint	91-1860-B,91-1872-B,91-1886-B
tiny	91-1900-B,91-1909-B
tip	91-1926-B,91-1942-B,91-1958-B,91-1972-B,91-1982-B,91-1997-B
tipsy	91-2011-B,91-2027-B
tirana	8-2334-B
tired	91-2041-B
tiresome	91-2052-B
titan	8-2348-B
titanic	91-2066-B
titanium	91-2081-B
title	91-2098-B,91-2111-B
titmouse	91-2124-B
to	91-2139-B,91-2145-B
to date	94-1856-S
to do	91-2152-B,96-3187-S
toad	91-2169-B
toast	91-2179-B,91-2191-B,91-2203-B
tobacco	91-2215-B
tobacconist s	91-2230-B
today	91-2259-B
toe	91-2273-B,91-2284-B
toga	91-2299-B
together	91-2309-B
togo	8-2361-B
togoland	8-2371-B
toilet	91-2323-B,91-2339-B
toilet paper	91-2354-B
token	91-2383-B,91-2395-B
tokyo	8-2385-B
tolerant	91-2409-B
tolerate	91-2427-B
tolling	91-2443-B
tomato	91-2460-B
tomato soup	91-2474-B
tomb	91-2496-B
tomorrow	91-2507-B
ton	91-2524-B
tone	50-1863-S,91-2533-B
toned	82-103-S
tongs	91-2543-B,91-2558-B
tongue	91-2572-B,91-2585-B
tonight	91-2599-B,91-2623-B
tonsil	91-2647-B
too	91-2662-B,91-2673-B
tool	91-2681-B,91-2690-B
tooth	91-2704-B
tooth brush	91-2716-B
tooth paste	91-2738-B
toothache	91-2760-B
toothpick	91-2781-B,91-2802-B,91-2824-B
top	91-2845-B,91-2860-B,91-2875-B,91-2888-B,91-2901-B
topaz	91-2911-B
topic	91-2924-B,91-2941-B
topical	91-2952-B
topicality	92-0-B
torch	92-21-B
torment	92-34-B,92-51-B
torn	92-68-B,92-81-B
torpedo	92-98-B,92-114-B
torrent	92-130-B
tortoise	92-146-B
torture	92-163-B,92-181-B,92-197-B,92-213-B,92-230-B
torturer	92-247-B
toss	92-267-B,92-280-B
total	92-291-B,92-304-B,92-319-B
totalitarianism	92-332-B
totem	92-358-B
toucan	92-371-B,92-387-B
touch	92-401-B,92-421-B,92-439-B,92-451-B
touching	92-463-B
tour	92-479-B,92-496-B
tourism	92-508-B
tourist	92-524-B
tournament	92-540-B
tousle	92-559-B,92-574-B
tow	92-588-B,92-597-B
toward	92-607-B,92-617-B
towards	92-634-B,92-645-B,92-663-B
towel	90-68-S,92-680-B,92-694-B
tower	92-711-B
towing line	92-722-B
town	92-744-B,92-756-B
town hall	92-766-B,92-792-B
township	92-810-B
toy	92-829-B
trace	92-840-B,92-856-B,92-872-B
track	92-884-B,92-897-B,92-909-B
tractability	92-921-B
tractable	92-946-B
tractor	92-968-B
trade	92-985-B,92-999-B,92-1013-B,92-1025-B
trade union	92-1038-B,92-1066-B,92-1089-B
trading	92-1111-B
tradition	92-1129-B
traditional	92-1148-B
traffic	92-1169-B,92-1187-B
tragedy	92-1203-B,92-1220-B
tragic	92-1237-B,92-1253-B
trail	92-1268-B
trailer	92-1283-B
train	65-1235-S,92-1304-B,92-1324-B,92-1336-B,92-1349-B,92-1362-B
trait	92-1375-B
trajectory	92-1388-B
tram	92-1411-B
tramping	92-1422-B
tranquil	92-1443-B
transaction	92-1462-B
transfer	92-1485-B,92-1504-B,92-1522-B
transform	92-1541-B,92-1562-B,92-1584-B
transformation	92-1605-B,92-1631-B,92-1658-B,92-1680-B,92-1703-B,92-1730-B,92-1758-B,92-1787-B,92-1813-B,92-1839-B
transgress	92-1862-B
transgression	92-1878-B
transistor	92-1897-B
transitive	92-1920-B
transkei	8-2397-B
translate	92-1942-B
translation	92-1960-B,92-1982-B,92-2005-B
transmit	92-2025-B
transparant	92-2040-B
transport	92-2063-B,92-2084-B
transporter	92-2105-B
transvaal	8-2416-B
transvaalian	8-2436-B
transverse	92-2131-B
transvestite	92-2153-B
transylvania	8-2459-B
trap	40-2957-S,92-2179-B
travel	92-2192-B,92-2206-B
travelled	92-2221-B,97-1371-S
traveller	92-2246-B
travelling	92-2267-B
travesty	92-2288-B
tray	92-2307-B
treacherous	92-2318-B,92-2338-B
treachery	92-2360-B
tread	92-2378-B,92-2390-B,92-2405-B,92-2418-B
treasure	92-2430-B
treat	92-2447-B,92-2460-B,92-2476-B,92-2489-B,92-2502-B
treatise	92-2515-B
treatment	15-1115-S,92-2534-B,92-2553-B,92-2575-B,92-2594-B
treaty	92-2611-B
tree	18-3179-S,19-477-S,19-502-S,25-1321-S,29-1056-S,29-1079-S,29-1253-S,29-1278-S,45-376-S,47-1187-S,51-714-S,58-30-S,58-52-S,58-1788-S,58-1905-S,60-478-S,63-1984-S,66-3061-S,66-3081-S,67-1363-S,67-1386-S,69-1773-S,69-1791-S,70-3062-S,71-450-S,92-2627-B,92-2637-B,92-2647-B,96-264-S,98-2000-S
tree trunk	92-2658-B
trefoil	92-2680-B
tremble	92-2697-B
trench	92-2711-B
tressle	92-2727-B
treves	8-2485-B
trial	92-2742-B,92-2758-B,92-2772-B,92-2786-B,92-2801-B
triangle	92-2813-B
triangular	92-2832-B
triassic	8-2499-B
tribal	92-2853-B
tribe	92-2866-B,92-2878-B
tribunal	92-2890-B
tribune	92-2909-B
tribute	92-2927-B
trick	92-2943-B,92-2961-B,92-2976-B,92-2991-B,92-3007-B,92-3021-B,92-3032-B
tricycle	92-3044-B
tried	92-3062-B,96-3206-S
trieste	8-2515-B
trifle	92-3078-B,92-3094-B
trifling	92-3110-B
trigger	92-3128-B
trigonometry	92-3142-B
trill	92-3169-B,92-3181-B
trillion	92-3193-B
trilogy	92-3211-B
trim	92-3228-B,92-3239-B
trimming	92-3258-B
trip	92-3277-B
triple	92-3290-B
tripoli	8-2531-B
trishaw	92-3305-B
trite	92-3325-B,92-3338-B
triteness	92-3356-B
triton	8-2547-B
triumph	92-3375-B,92-3391-B
triviality	93-0-B
trojan	8-2562-B
trolley	93-20-B
trolley bus	93-35-B
trollop	93-57-B
trombone	93-76-B
troop	93-94-B,93-106-B
tropical	93-118-B
trot	93-135-B
trotter	48-2557-S
trouble	93-146-B,93-163-B,93-177-B
troublesome	93-191-B
trough	93-209-B
troupe	93-222-B
trousers	93-235-B
trout	93-254-B
truce	93-266-B,93-283-B
truck	93-301-B
truculent	93-319-B
true	93-338-B,93-349-B
truly	93-359-B,93-371-B
trump	93-382-B,93-394-B
trumpet	93-406-B,93-423-B
truncate	93-440-B,93-460-B,93-480-B
trunk	92-2658-S,93-498-B,93-515-B,93-527-B,93-541-B,93-554-B,93-566-B
trust	93-579-B,93-590-B,93-604-B,93-615-B,93-632-B
trustworthy	93-646-B
truth	93-666-B,93-680-B,93-693-B
try	93-704-B,93-713-B
tsonga	8-2577-B,8-2597-B
tswana	8-2610-B
tub	93-723-B
tube	93-732-B,93-747-B,93-757-B
tuberculosis	93-770-B,93-789-B
tuesday	8-241-S,8-2631-B
tuft	93-814-B
tug	93-824-B,93-835-B,93-844-B
tugboat	93-858-B
tulip	93-876-B
tummy	93-889-B
tumour	93-902-B
tumult	93-916-B
tumulus	93-931-B
tuna	93-952-B
tuna fish	93-964-B
tune	93-981-B,93-995-B,93-1007-B,93-1020-B
tuneful	93-1035-B
tungsten	93-1051-B
tunic	93-1069-B
tunis	8-2645-B,8-2658-B
tunisia	8-2671-B
tunisian	8-2687-B,8-2704-B
tunnel	93-1082-B
tunny	93-1096-B
tup	93-1109-B
turf	93-1122-B
turin	8-2723-B
turk	8-2736-B
turkey	8-2747-B,93-1136-B
turkish	8-2762-B
turkmenistan	8-2776-B,8-2799-B
turkoman	8-2823-B
turmoil	93-1152-B
turn	93-1166-B,93-1182-B,93-1193-B,93-1208-B,93-1223-B,93-1237-B,93-1248-B,93-1259-B,93-1279-B,93-1294-B,93-1308-B,93-1322-B,93-1333-B,93-1343-B,93-1354-B
turnip	93-1367-B
turnover	93-1379-B
turnpike	93-1394-B
turret	93-1417-B
turtle dove	93-1431-B
tussle	93-1449-B,93-1468-B
tutor	93-1488-B,93-1502-B
tv	8-1627-B
twaddle	93-1519-B
twelfth	93-1543-B
twelfth night	8-2841-B
twelve	93-1559-B
twentieth	93-1573-B
twenty	93-1590-B
twenty one	93-1603-B
twice	93-1624-B
twich	93-1637-B
twig	93-1648-B
twilight	93-1663-B,93-1681-B
twill	93-1699-B
twin	93-1711-B
twine	93-1724-B
twins	93-1737-B,93-1753-B
twist	93-1768-B,93-1785-B,93-1802-B,93-1814-B,93-1827-B,93-1840-B
twitter	93-1855-B
two	93-1868-B
two footed	93-1875-B
two year	93-1894-B
two year old	93-1910-B
type	93-1930-B,93-1946-B,93-1957-B
typeset	93-1967-B
typewriter	93-1984-B,93-2008-B
typhoon	93-2027-B,93-2043-B
typhus	93-2058-B
typical	93-2070-B
typist	93-2083-B
tyrannize	93-2101-B
tyranny	93-2118-B
tyrant	93-2135-B
tyre	93-2149-B
ubiquitous	93-2162-B
udder	93-2182-B
ufo	8-2864-B
uganda	8-2937-B
ugandan	8-2951-B,8-2966-B
ugly	93-2195-B,93-2205-B
ukraine	8-2983-B
ukrainian	8-3001-B,8-3019-B
ulcer	93-2218-B
ultimately	93-2231-B,93-2247-B
ultimatum	93-2266-B
ulysses	8-3037-B
umbrella	93-2285-B
umpire	93-2306-B
un	93-2327-B,93-2336-B,93-2344-B
