off-season	旬外れ [じゅんはずれ]
old-timer	故老 [ころう]
older	年上 [としうえ]
older	年嵩 [としかさ]
oldie	オールディー
oleander	夾竹桃 [きょうちくとう]
oligarchy	寡頭制 [かとうせい]
oligarchy	寡頭政治 [かとうせいじ]
oligopoly	寡占 [かせん]
olivine	橄欖石 [かんらんせき]
ombudsman	オンブズマン
omega	オメガ
omelette	オムレツ
omen	オーメン
omen	兆 [きざし]
omen	兆 [ちょう]
omen	兆し [きざし]
omen	兆候 [ちょうこう]
omen	前兆 [ぜんちょう]
omen	前徴 [ぜんちょう]
omen	前知らせ [まえじらせ]
omen	前表 [ぜんぴょう]
omen	徴候 [ちょうこう]
omen	縁起 [えんぎ]
ominous	不吉 [ふきつ]
ominous	不気味 [ぶきみ]
ominous	不祥 [ふしょう]
ominous	底気味悪い [そこきみわるい]
ominous	末恐ろしい [すえおそろしい]
ominous	無気味 [ぶきみ]
omission	中略 [ちゅうりゃく]
omission	切り捨て [きりすて]
omission	手おち [ておち]
omission	手抜かり [てぬかり]
omission	手落ち [ておち]
omission	漏れ [もれ]
omission	為落し [しおとし]
omission	為落ち [しおち]
omission	略 [りゃく]
