inattentiveness	不熱心 [ふねっしん]
incidentally	旁 [かたがた]
incidentally	旁々 [かたがた]
incidentally	旁旁 [かたがた]
incineration	焼却 [しょうきゃく]
incinerator	焼却炉 [しょうきゃくろ]
incision	切り傷 [きりきず]
incision	切り創 [きりきず]
incision	切り疵 [きりきず]
incision	切れ目 [きれめ]
incision	切れ込み [きれこみ]
incision	切傷 [きりきず]
incision	切目 [きれめ]
incisor	門歯 [もんし]
incite	促す [うながす]
incite	唆る [そそる]
incite	嗾ける [けしかける]
incitement	誘因 [ゆういん]
incitement	誘導 [ゆうどう]
inclination	下地 [したじ]
inclination	了簡 [りょうけん]
inclination	了見 [りょうけん]
inclination	偏り [かたより]
inclination	偏向 [へんこう]
inclination	傾き [かたむき]
inclination	傾向 [けいこう]
inclination	傾度 [けいど]
inclination	傾斜 [けいしゃ]
inclination	傾角 [けいかく]
inclination	性癖 [せいへき]
inclination	意向 [いこう]
inclination	意嚮 [いこう]
inclination	料簡 [りょうけん]
incline	偏る [かたよる]
incline	傾 [けい]
incline	傾ぐ [かしぐ]
incline	傾ぐ [かたぐ]
incline	傾ける [かたむける]
incline	傾げる [かしげる]
incline	傾げる [かたげる]
incline	勾配 [こうばい]
incline	歪む [いがむ]
incline	歪む [ひずむ]
incline	歪む [ゆがむ]
incline	片寄る [かたよる]
include	インクルード
include	入れる [いれる]
include	加える [くわえる]
include	包める [くるめる]
include	含ます [ふくます]
include	含ませる [ふくませる]
include	含む [ふくむ]
include	含める [ふくめる]
include	含有 [がんゆう]
include	盛り込む [もりこむ]
include	組み入れる [くみいれる]
include	組み込み [くみこみ]
include	組み込む [くみこむ]
include	綯い交ぜる [ないまぜる]
include	込める [こめる]
inclusion	包含 [ほうがん]
inclusion	包括 [ほうかつ]
inclusion	含み [ふくみ]
inclusive	包含的 [ほうがんてき]
incoherent	取り止めのない [とりとめのない]
incoherent	取り止めの無い [とりとめのない]
incoherent	取り留めのない [とりとめのない]
incoherent	取り留めの無い [とりとめのない]
incoherent	支離滅裂 [しりめつれつ]
incoherent	洸洋 [こうよう]
incoherent	滅法 [めっぽう]
incoherent	滅裂 [めつれつ]
incoherent	辻褄の合わない [つじつまのあわない]
income	インカム
income	上がり高 [あがりだか]
income	入り [いり]
income	収入 [しゅうにゅう]
income	収穫高 [しゅうかくだか]
income	実入り [みいり]
income	所得 [しょとく]
incomparable	啻ならぬ [ただならぬ]
incomparable	桁違い [けたちがい]
incompatibility	牴触 [ていしょく]
incompatibility	違和感 [いわかん]
incompatible	相入れない [あいいれない]
incompatible	相容れない [あいいれない]
incompatible	非対応 [ひたいおう]
incompetence	不器量 [ふきりょう]
incompetence	不器量 [ぶきりょう]
incompetence	不堪 [ふかん]
incompetence	不行き届き [ふゆきとどき]
incompetence	不行届き [ふゆきとどき]
incompetence	浅才 [せんさい]
incompetence	無能 [むのう]
incompetence	無能力 [むのうりょく]
incompetence	能無し [のうなし]
incompetence	菲才 [ひさい]
incompetence	非力 [ひりき]
incompetence	非才 [ひさい]
incompetency	不才 [ふさい]
incompetency	不能 [ふのう]
incompetency	不適任 [ふてきにん]
incompetent	不束 [ふつつか]
incompetent	不肖 [ふしょう]
incompetent	無力 [むりょく]
incompetent	能がない [のうがない]
incompetent	能が無い [のうがない]
incompetent	至らない [いたらない]
incomplete	不全 [ふぜん]
incomplete	不完全 [ふかんぜん]
incomplete	中途半端 [ちゅうとはんぱ]
incomplete	揃わない [そろわない]
incomplete	未完 [みかん]
incomplete	未完成 [みかんせい]
incomplete	未整理 [みせいり]
incompleteness	半端 [はんぱ]
incomprehensible	不可解 [ふかかい]
incomprehensible	分かりにくい [わかりにくい]
incomprehensible	分かり悪い [わかりにくい]
incomprehensible	分かり難い [わかりにくい]
incomprehensible	判り難い [わかりにくい]
incomprehensible	割り切れない [わりきれない]
incomprehensible	解せない [げせない]
incomprehensible	解り悪い [わかりにくい]
incomprehensible	解り難い [わかりにくい]
