テナー	304-4602-B
ドルメン	91-4150-B
ドル箱 ドルばこ	214-3602-B
ドレイン	92-5297-B
ドレス	93-3629-B
ドレスメーカー	93-4375-B
ドレッサー	93-3993-B
ドレッシング	93-4189-B
ドレッシー	93-4546-B
ドレメ	93-4408-B
ドレープ	93-440-B
ドロア	93-1402-B
ドロップ	94-1140-B
ドロップアウト	94-1842-B
ドロー	93-817-B
ドローイング	93-1582-B
ドローン	94-898-B
ドワーフ	95-3474-B
ドンキー	92-149-B
ドーナツ	92-2942-B
ドーミトリー	92-1197-B
ドーミー	92-1287-B
ドーム	91-4457-B
ナイス	199-711-B
ナイチンゲール	199-2454-B
ナイトウエア	199-2702-B
ナイトガウン	199-2148-B
ナイトキャップ	199-1640-B
ナイトクラブ	199-1801-B
ナイトヅレス	199-1830-B
ナイトメア	199-2555-B
ナイフ	169-2205-B
ナイロン	202-1193-B
ナイン	199-3329-B
ナイーブ	196-2078-B
ナウ	201-2846-B,314-26-B
ナゲット	201-4645-B
ナショナリズム	196-5570-B
ナショナリゼーション	196-5896-B
ナショナリティー	196-5782-B
ナショナル	196-5251-B
ナショナルスト	196-5748-B
ナチュラライズ	197-693-B
ナチュラリスティック	197-572-B
ナチュラリスト	197-539-B
