passivity	消極性 [しょうきょくせい]
paunch	太鼓腹 [たいこばら]
paunchy	便々たる [べんべんたる]
paunchy	便便たる [べんべんたる]
pauper	素寒貧 [すかんぴん]
pause	ポース
pause	一切り [ひときり]
pause	一息 [ひといき]
pause	一段落 [いちだんらく]
pause	休止 [きゅうし]
pause	切る [きる]
pause	切れ目 [きれめ]
pause	切目 [きれめ]
pause	句切り [くぎり]
pause	句読 [くとう]
pause	跡切れる [とぎれる]
pause	途切れる [とぎれる]
pause	間 [ま]
pavement	ペーブメント
pavement	敷石 [しきいし]
pavement	舗装 [ほそう]
pavement	舗道 [ほどう]
pavement	鋪道 [ほどう]
pavilion	パビリオン
pavilion	天幕 [てんまく]
pavilion	幄舎 [あくしゃ]
pawn	質に入れる [しちにいれる]
pawnshop	一六銀行 [いちろくぎんこう]
pawnshop	七つ屋 [ななつや]
pawnshop	質屋 [しちや]
pay	ペイ
pay	俸祿 [ほうろく]
pay	俸給 [ほうきゅう]
pay	収める [おさめる]
pay	工賃 [こうちん]
pay	引き合う [ひきあう]
pay	手間賃 [てまちん]
pay	払い渡す [はらいわたす]
pay	支払う [しはらう]
pay	注ぐ [そそぐ]
pay	注ぐ [つぐ]
pay	納める [おさめる]
pay	賃銀 [ちんぎん]
pay	賃銭 [ちんせん]
