aristocratic	貴族的 [きぞくてき]
arrears	延滞金 [えんたいきん]
arrears	払い残り [はらいのこり]
arrears	溜まり [たまり]
arrears	溜り [たまり]
arrest	上げる [あげる]
arrest	勾引 [こういん]
arrest	取り抑える [とりおさえる]
arrest	取り押える [とりおさえる]
arrest	取り押さえる [とりおさえる]
arrest	召し捕る [めしとる]
arrest	引っ捕らえる [ひっとらえる]
arrest	引致 [いんち]
arrest	抑える [おさえる]
arrest	拘引 [こういん]
arrest	拘置 [こうち]
arrest	拿 [だ]
arrest	捉まえる [つかまえる]
arrest	捕える [とらえる]
arrest	捕まえる [つかまえる]
arrest	捕らえる [とらえる]
arrest	捕り物 [とりもの]
arrest	捕物 [とりもの]
arrest	捕縛 [ほばく]
arrest	掴まえる [つかまえる]
arrest	搦め捕る [からめとる]
arrest	検挙 [けんきょ]
arrest	検束 [けんそく]
arrest	討ち取る [うちとる]
arrest	逮捕 [たいほ]
arrhythmia	不整脈 [ふせいみゃく]
arrhythmia	結滞 [けったい]
arrival	入来 [にゅうらい]
arrival	出現 [しゅつげん]
arrival	到来 [とうらい]
arrival	到着 [とうちゃく]
arrival	到達 [とうたつ]
arrival	参着 [さんちゃく]
arrival	来着 [らいちゃく]
arrival	訪れ [おとずれ]
arrive	お見えになる [おみえになる]
arrive	御見えになる [おみえになる]
arrive	来たる [きたる]
arrive	来る [きたる]
arrive	来る [くる]
arrive	至る [いたる]
arrive	際する [さいする]
arrogance	不遜 [ふそん]
arrogance	倨傲 [きょごう]
arrogance	傍若無人 [ぼうじゃくぶじん]
arrogance	傲倨 [ごうきょ]
arrogance	傲岸不遜 [ごうがんふそん]
arrogance	傲岸無礼 [ごうがんぶれい]
arrogance	傲慢 [ごうまん]
arrogance	強慢 [ごうまん]
arrogance	横柄 [おうへい]
arrogance	驕傲 [きょうごう]
arrogance	驕慢 [きょうまん]
arrogant	傲慢不遜 [ごうまんふそん]
arrogant	傲然 [ごうぜん]
arrogant	僣越 [せんえつ]
arrogant	誇らしい [ほこらしい]
arrogant	高慢 [こうまん]
arrogantly	嵩に掛かって [かさにかかって]
arrow	アロー
arrow	矢 [や]
arrowhead	矢先 [やさき]
arrowroot	葛鬱金 [くずうこん]
arse	お尻 [おしり]
arse	穴 [けつ]
arsehole	糞っ垂れ [くそったれ]
arsehole	糞垂れ [くそたれ]
arsenal	兵器工場 [へいきこうじょう]
arsenal	兵器廠 [へいきしょう]
arsenal	工廠 [こうしょう]
arsenal	武器倉 [ぶきぐら]
