sneak	279-1295-B
soon	281-2135-B,281-2147-B,281-2165-B,281-2195-B,281-2222-B,281-2249-B,281-2276-B,281-2303-B,281-2327-B,281-2345-B,281-2366-B,281-2387-B,281-2411-B,281-2441-B,281-2471-B,281-2495-B,281-2522-B,281-2546-B,281-2582-B,281-2615-B,281-2648-B
sooner	281-2672-B
soot	281-2689-B
soothe	281-2707-B
soothing	281-2739-B,281-2764-B
soothsayer	281-2798-B,281-2831-B,281-2870-B,281-2906-B
sophist	281-2945-B
sophistication	281-2978-B
sophistry	281-3018-B,281-3059-B,281-3088-B
soppy	281-3117-B
soprano	188-4161-S,188-4194-S,281-3142-B,281-3163-B,281-3193-B
sorcerer	281-3220-B,281-3245-B,281-3288-B
sorceress	281-3331-B,281-3375-B,281-3404-B,281-3430-B,281-3456-B
sorcery	281-3485-B,281-3518-B,281-3551-B,281-3587-B,281-3617-B,281-3644-B
sore	281-3674-B
sorghum	281-3698-B
sorority	281-3728-B
sorption	281-3759-B
sorrow	281-3796-B,281-3822-B,281-3857-B,281-3892-B,281-3924-B,281-3956-B,281-3982-B,281-4014-B,281-4043-B,281-4072-B,281-4104-B,281-4136-B,281-4168-B,281-4194-B,281-4220-B,281-4246-B,281-4281-B,281-4307-B,281-4336-B
sorrowful	281-4362-B,281-4397-B,281-4432-B
sorrowfully	281-4467-B,281-4492-B
sorry	281-4529-B
sort	281-4569-B,281-4584-B,281-4602-B,281-4620-B
sortie	281-4638-B,281-4661-B
sorting	281-4693-B,281-4720-B,281-4747-B,281-4777-B
souffle	281-4804-B
sough	281-4822-B,281-4847-B
soul	281-4872-B,281-4887-B,281-4914-B,281-4941-B,281-4968-B,281-4992-B,281-5016-B,281-5043-B,281-5070-B,281-5097-B,281-5124-B,281-5151-B,281-5169-B,281-5196-B,281-5214-B,281-5232-B,281-5256-B
sound	281-5283-B,281-5302-B,281-5333-B,281-5361-B,281-5389-B,281-5417-B,281-5445-B,281-5470-B,281-5501-B,281-5520-B,281-5539-B,281-5555-B,281-5586-B,281-5608-B,281-5633-B,281-5661-B,281-5683-B
sounding	281-5705-B,281-5733-B
soundless	281-5764-B
soundness	281-5793-B,282-0-B
soundtrack	282-32-B,282-68-B
soup	282-92-B,282-113-B,282-140-B,282-167-B,282-185-B,282-203-B
sour	282-230-B,282-245-B,282-269-B,282-290-B
source	282-323-B,282-340-B,282-372-B,282-404-B,282-436-B,282-468-B,282-497-B,282-526-B,282-558-B,282-587-B,282-613-B,282-642-B,282-668-B,282-697-B,282-726-B,282-746-B,282-772-B,282-801-B,282-833-B,282-859-B,282-879-B
sourness	282-908-B
south	282-936-B,282-955-B
south southeast	282-983-B,282-1030-B
southbound	282-1077-B,282-1110-B
southeast	282-983-S,282-1030-S,282-1143-B,282-1175-B,282-1213-B,282-1236-B
southern	282-1262-B
southernmost	282-1293-B
southpaw	282-1328-B
southward	282-1353-B
southwest	282-1385-B,282-1417-B
souvenir	282-1452-B,282-1486-B,282-1514-B,282-1539-B,282-1567-B,282-1607-B,282-1644-B,282-1672-B,282-1715-B,282-1752-B
sovereign	282-1789-B,282-1812-B,282-1853-B,282-1885-B,282-1917-B,282-1949-B,282-1981-B,282-2004-B
sovereignty	282-2042-B,282-2079-B,282-2113-B,282-2153-B
sow	282-2196-B
soy	282-2216-B
spa	282-2239-B,282-2265-B
space	282-2303-B,282-2322-B,282-2350-B,282-2372-B,282-2400-B,282-2428-B,282-2456-B,282-2478-B,282-2494-B
space time	282-2522-B
spacecraft	282-2552-B
spaceman	282-2588-B
spacious	282-2616-B,282-2638-B,282-2669-B,282-2718-B,282-2746-B,282-2777-B,282-2826-B,282-2857-B,282-2891-B
spade	282-2934-B,282-2953-B,282-2972-B
spadework	282-2991-B,282-3038-B,282-3067-B
spaghetti	282-3108-B,282-3137-B,282-3163-B
span	282-3192-B,282-3207-B,282-3252-B
spangle	282-3282-B,282-3306-B
spanner	282-3333-B
spare	282-3351-B,282-3373-B,282-3410-B
spark	282-3435-B,282-3454-B,282-3479-B
sparkle	282-3504-B,282-3525-B,282-3546-B,282-3597-B,282-3627-B,282-3660-B,282-3693-B
sparrow	282-3723-B,282-3747-B
sparse	282-3780-B,282-3806-B,282-3832-B
sparsely	282-3858-B
spasm	282-3886-B,282-3905-B,282-3939-B,282-3967-B
spat	282-3992-B
spatter	282-4010-B
spatula	282-4028-B,282-4052-B,282-4076-B,282-4121-B
spawn	282-4142-B,282-4164-B,282-4189-B,282-4229-B,282-4269-B,282-4309-B
speak	282-4349-B,282-4386-B,282-4426-B,282-4457-B,282-4491-B,282-4525-B,282-4556-B,282-4590-B,282-4624-B
speaker	282-4649-B,282-4670-B,282-4694-B,282-4724-B,282-4754-B,282-4790-B,282-4829-B,282-4862-B,282-4889-B
speaking	282-4922-B
spear	282-4953-B,282-4969-B
spearhead	282-4988-B,282-5020-B,282-5052-B,282-5093-B,282-5137-B
special	282-5169-B,282-5193-B,282-5241-B,282-5271-B,282-5301-B,282-5331-B,282-5361-B,282-5391-B,282-5421-B,282-5451-B,282-5481-B,282-5511-B,282-5538-B
specialist	282-5565-B,282-5598-B,282-5631-B
speciality	282-5670-B,282-5703-B,282-5736-B
specialization	282-5772-B,282-5806-B,282-5846-B,282-5886-B,282-5929-B
specially	282-5963-B,282-6010-B,283-0-B
specialty	283-32-B,283-64-B,283-99-B,283-131-B,283-163-B,283-198-B,283-230-B
specie	283-271-B,283-297-B
species	283-329-B,283-359-B,283-389-B,283-410-B
specific	283-440-B
specification	283-471-B,283-498-B,283-531-B,283-564-B
specimen	283-597-B,283-628-B,283-662-B,283-702-B
speck	283-733-B,283-761-B,283-792-B,283-820-B,283-848-B
spectacle	283-876-B,283-905-B,283-937-B,283-969-B,283-1004-B
spectacular	283-1027-B,283-1073-B,283-1119-B,283-1165-B
spectator	283-1211-B,283-1252-B
specter	283-1293-B,283-1317-B,283-1347-B
spectral	283-1380-B
spectre	283-1405-B,283-1429-B,283-1453-B,283-1486-B,283-1516-B
spectrograph	283-1546-B
spectroscope	283-1584-B
spectroscopy	283-1625-B
spectrum	283-1669-B,283-1697-B
speculation	283-1728-B,283-1768-B,283-1820-B,283-1860-B,283-1906-B,283-1940-B,283-1974-B,283-2008-B,283-2039-B,283-2067-B,283-2098-B,283-2132-B,283-2166-B,283-2197-B,283-2231-B,283-2277-B,283-2308-B,283-2348-B
speculative	283-2382-B
speculator	283-2422-B,283-2458-B,283-2497-B
speech	283-2533-B,283-2553-B,283-2582-B,283-2614-B,283-2640-B,283-2660-B,283-2689-B,283-2718-B,283-2747-B,283-2776-B,283-2802-B,283-2828-B,283-2854-B,283-2883-B,283-2912-B,283-2938-B,283-2979-B,283-3005-B,283-3028-B,283-3054-B
speechwriter	283-3074-B
speed	283-3112-B,283-3131-B,283-3156-B,283-3187-B,283-3218-B,283-3255-B,283-3280-B
speeding	283-3305-B
speedometer	283-3348-B,283-3385-B
speedway	283-3425-B
speedy	283-3456-B,283-3479-B
spell	283-3505-B,283-3521-B,283-3549-B,283-3577-B,283-3602-B,283-3627-B
spelling	283-3655-B,283-3680-B,283-3714-B
spend	283-3742-B,283-3767-B,283-3795-B,283-3826-B
spending	283-3854-B
spendthrift	283-3885-B
sperm	283-3922-B,283-3941-B,283-3960-B
spew	283-3985-B,283-3997-B,283-4018-B
sphere	283-4045-B,283-4071-B,283-4097-B,283-4117-B,283-4146-B,283-4172-B,283-4192-B,283-4212-B,283-4235-B,283-4255-B,283-4287-B
spherical	283-4313-B,283-4342-B,283-4383-B,283-4412-B,283-4447-B,283-4479-B,283-4523-B
spheroid	283-4561-B
sphincter	283-4616-B
sphygmomanometer	283-4657-B
spice	283-4705-B,283-4724-B,283-4749-B
spicy	283-4786-B,283-4805-B
spider	283-4842-B,283-4865-B
spigot	283-4888-B,283-4905-B,283-4937-B,283-4969-B
spike	283-5001-B,283-5020-B,283-5054-B,283-5082-B
spill	283-5107-B,283-5135-B,283-5166-B,283-5194-B,283-5219-B,283-5250-B
spillway	283-5278-B,283-5315-B
spin	283-5349-B,283-5364-B,283-5403-B,283-5436-B,283-5466-B,283-5496-B,283-5520-B
spinach	283-5544-B,283-5589-B,283-5628-B
spindle	283-5667-B,283-5697-B
spine	283-5718-B,283-5737-B,283-5756-B,283-5775-B,283-5794-B,283-5819-B
spineless	283-5847-B,283-5897-B
spinner	283-5932-B
spinning	283-5965-B,283-5996-B,283-6024-B,283-6055-B
spinster	283-6083-B,284-0-B,284-40-B
spiral	284-80-B,284-103-B,284-126-B,284-149-B,284-178-B,284-201-B
spire	284-227-B,284-255-B,284-283-B,284-308-B
spirit	284-336-B,284-359-B,284-391-B,284-420-B,284-452-B,284-478-B,284-507-B,284-545-B,284-568-B,284-603-B,284-632-B,284-655-B,284-678-B,284-710-B,284-727-B,284-756-B,284-782-B,284-808-B,284-834-B,284-860-B,284-886-B,284-912-B,284-944-B,284-970-B,284-996-B,284-1016-B,284-1045-B,284-1074-B,284-1103-B,284-1132-B,284-1167-B,284-1187-B,284-1207-B,284-1236-B,284-1271-B,284-1291-B,284-1311-B,284-1337-B
spiritless	284-1366-B,284-1411-B,284-1456-B,284-1501-B
spiritual	284-1546-B,284-1578-B,284-1619-B,284-1648-B
spiritualism	284-1680-B,284-1721-B,284-1768-B,284-1806-B,284-1850-B,284-1897-B,284-1947-B,284-1982-B
spirituality	284-2029-B
spit	284-2064-B,284-2082-B
spite	284-2100-B,284-2128-B,284-2153-B,284-2178-B
spiteful	284-2206-B,284-2255-B,284-2304-B
spittoon	284-2332-B
splash	284-2363-B,284-2392-B,284-2418-B,284-2453-B,284-2494-B,284-2523-B,284-2564-B,284-2590-B
splatter	284-2616-B
spleen	284-2653-B,284-2679-B
splendid	284-2705-B,284-2730-B,284-2770-B,284-2801-B,284-2835-B,284-2869-B,284-2900-B,284-2928-B,284-2977-B,284-3014-B,284-3057-B,284-3085-B,284-3125-B,284-3168-B,284-3196-B,284-3239-B,284-3267-B,284-3298-B,284-3326-B,284-3366-B,284-3397-B,284-3428-B,284-3471-B,284-3514-B,284-3551-B
splendor	284-3600-B,284-3634-B,284-3659-B,284-3687-B
splendour	284-3715-B,284-3747-B,284-3776-B,284-3808-B,284-3840-B,284-3869-B,284-3901-B
splice	284-3933-B
spline	284-3956-B
splint	284-3979-B,284-4005-B,284-4034-B,284-4063-B
splinter	284-4089-B,284-4111-B,284-4133-B,284-4164-B,284-4195-B,284-4226-B,284-4254-B,284-4276-B,284-4298-B,284-4323-B,284-4354-B,284-4382-B
split	284-4410-B,284-4432-B,284-4466-B,284-4494-B,284-4513-B,284-4535-B,284-4563-B,284-4591-B,284-4616-B,284-4635-B,284-4663-B,284-4697-B,284-4728-B,284-4768-B,284-4802-B,284-4836-B,284-4855-B,284-4883-B,284-4914-B,284-4939-B,284-4967-B,284-4989-B
spoil	284-5017-B,284-5036-B,284-5055-B,284-5074-B,284-5105-B,284-5133-B,284-5182-B,284-5219-B,284-5256-B,284-5275-B,284-5312-B,284-5343-B,284-5374-B,284-5405-B
spoiler	284-5433-B
spoilt	284-5466-B,284-5501-B
spoke	284-5536-B
spokesman	284-5555-B,284-5587-B
spokesperson	284-5628-B,284-5669-B
spokeswoman	284-5713-B
sponge	284-5753-B,284-5773-B
sponger	284-5802-B
sponsor	284-5835-B,284-5856-B,284-5877-B,284-5901-B,284-5934-B,284-5967-B,284-6006-B
sponsorship	284-6045-B
spontaneity	284-6079-B,284-6113-B
spontaneous	285-0-B,285-37-B,285-68-B,285-99-B
spontaneously	285-139-B,285-178-B,285-220-B,285-259-B,285-298-B
spool	285-337-B,285-356-B
spoon	285-384-B,285-403-B,285-422-B,285-438-B
sporadic	285-457-B,285-488-B
sporadically	285-528-B,285-563-B
spore	285-598-B,285-623-B
sport	285-648-B,285-667-B,285-695-B,285-723-B,285-754-B
sportsman	285-788-B
sportsmanlike	285-817-B
sportsmanship	285-856-B
sportswear	285-898-B
sportswoman	285-931-B
sporty	285-968-B
spot	285-994-B,285-1012-B,285-1030-B,285-1051-B,285-1069-B,285-1096-B,285-1123-B
spotless	285-1147-B
spotlight	285-1175-B,285-1207-B
spouse	285-1239-B,285-1268-B
spout	285-1306-B,285-1340-B,285-1362-B,285-1396-B,285-1418-B,285-1449-B,285-1480-B
sprain	285-1511-B,285-1537-B,285-1563-B,285-1598-B
sprawl	285-1633-B,285-1656-B,285-1718-B
spray	285-1753-B,285-1781-B,285-1800-B,285-1828-B,285-1853-B,285-1881-B,285-1912-B,285-1940-B,285-1971-B,285-1999-B,285-2024-B
sprayer	285-2049-B
spraying	285-2082-B,285-2119-B,285-2147-B
spread	285-2175-B,285-2216-B,285-2239-B,285-2268-B,285-2294-B,285-2317-B,285-2340-B,285-2369-B,285-2401-B,285-2433-B,285-2465-B,285-2497-B,285-2520-B,285-2549-B,285-2572-B,285-2604-B,285-2636-B,285-2677-B,285-2706-B,285-2744-B,285-2773-B,285-2811-B,285-2837-B
spree	285-2869-B,285-2924-B
sprig	285-2970-B
sprightly	285-2998-B
spring	285-3042-B,285-3065-B,285-3088-B,285-3117-B,285-3143-B,285-3169-B,285-3195-B,285-3215-B,285-3244-B,285-3267-B,285-3296-B,285-3328-B,285-3369-B,285-3392-B,285-3430-B,285-3456-B,285-3488-B,285-3529-B,285-3552-B
springboard	285-3590-B,285-3627-B,285-3664-B
springtime	285-3701-B
sprinkle	285-3737-B,285-3759-B,285-3796-B
sprinkler	285-3821-B
sprint	285-3853-B
sprinter	285-3882-B
sprite	285-3910-B
sprout	285-3939-B,285-3965-B,285-3991-B,285-4017-B,285-4034-B,285-4063-B,285-4098-B,285-4127-B,285-4162-B,285-4191-B,285-4220-B,285-4255-B,285-4290-B,285-4316-B,285-4342-B
spruce	285-4368-B
spur	285-4394-B,285-4427-B,285-4466-B,285-4487-B
spurious	285-4514-B
spurn	285-4539-B,285-4579-B,285-4619-B,285-4659-B
spurt	285-4699-B,285-4718-B,285-4752-B,285-4786-B
sputter	285-4814-B,285-4844-B,285-4877-B,285-4904-B
sputum	285-4934-B,285-4954-B,285-4980-B
spy	285-5009-B,285-5023-B,285-5040-B,285-5072-B,285-5098-B,285-5121-B,285-5144-B,285-5170-B,285-5208-B
squad	285-5234-B,285-5262-B,285-5290-B
squadron	285-5327-B,285-5358-B
squalid	285-5389-B,285-5410-B
squall	285-5452-B,285-5472-B,285-5504-B,285-5533-B
squander	285-5562-B,285-5608-B,285-5654-B,285-5691-B
square	285-5722-B,285-5760-B,285-5783-B,285-5803-B,285-5823-B,285-5849-B,285-5881-B,285-5922-B,285-5957-B,285-5992-B,286-0-B,286-29-B,286-67-B,286-96-B,286-125-B,286-163-B
squash	286-195-B,286-218-B,286-250-B,286-288-B,286-329-B
squat	286-367-B,286-413-B,286-432-B,286-454-B,286-479-B,286-504-B,286-529-B,286-557-B,286-588-B
squawk	286-619-B
squeak	286-645-B,286-665-B,286-691-B,286-750-B,286-770-B,286-790-B,286-810-B
squeal	286-836-B
squeeze	286-862-B,286-883-B,286-910-B,286-937-B,286-976-B,286-1003-B
squeezing	286-1039-B,286-1068-B,286-1097-B
squid	286-1129-B,286-1151-B,286-1173-B,286-1204-B,286-1226-B
squint	286-1257-B,286-1283-B
squirm	286-1309-B,286-1329-B,286-1358-B
squirrel	286-1387-B,286-1418-B
squishy	286-1443-B
stab	286-1464-B,286-1500-B,286-1521-B,286-1548-B,286-1572-B,286-1605-B
stability	286-1644-B,286-1676-B,286-1705-B,286-1737-B,286-1766-B,286-1798-B,286-1842-B
stabilization	286-1874-B
stabilizer	286-1916-B,286-1949-B
stable	286-1988-B,286-2011-B,286-2043-B,286-2069-B,286-2110-B,286-2142-B,286-2165-B,286-2197-B,286-2226-B
stableman	286-2258-B
staccato	286-2290-B,286-2318-B
stack	286-2367-B,286-2386-B
stacker	286-2408-B
stadium	286-2432-B,286-2456-B,286-2483-B
staff	286-2525-B,286-2544-B,286-2575-B,286-2603-B,286-2622-B
stag	286-2647-B
stage	286-2671-B,286-2690-B,286-2721-B,286-2752-B,286-2780-B,286-2805-B
stagecoach	286-2830-B,286-2878-B,286-2911-B
stagehand	286-2950-B,286-2994-B,286-3029-B,286-3067-B,286-3099-B,286-3134-B,286-3163-B,286-3192-B,286-3221-B
stagflation	286-3250-B
stagger	286-3290-B,286-3311-B,286-3332-B,286-3368-B
staggering	286-3404-B,286-3437-B
stagnate	286-3476-B,286-3504-B,286-3538-B
stagnation	286-3566-B,286-3596-B,286-3629-B,286-3662-B,286-3695-B,286-3731-B
stain	286-3767-B,286-3792-B,286-3814-B,286-3860-B,286-3891-B,286-3916-B,286-3941-B,286-3966-B
staining	286-3991-B
stainless	286-4025-B
stair	286-4051-B,286-4085-B
staircase	286-4104-B
stairwell	286-4145-B,286-4183-B
stake	286-4221-B,286-4240-B,286-4268-B,286-4296-B,286-4321-B,286-4349-B
stakeholder	286-4377-B
stalactite	286-4435-B,286-4483-B
stalagmite	286-4531-B
stale	286-4567-B,286-4592-B,286-4626-B
stalemate	286-4651-B,286-4680-B,286-4712-B,286-4750-B,286-4785-B,286-4820-B,286-4876-B,286-4920-B,286-4964-B,286-5005-B,286-5046-B,286-5084-B
stalk	286-5122-B
stalker	286-5141-B
stall	286-5165-B
stallion	286-5199-B
stalwart	286-5230-B
stamen	286-5255-B,286-5281-B,286-5310-B,286-5336-B
stamina	286-5365-B,286-5386-B,286-5413-B,286-5455-B
stammer	286-5500-B,286-5527-B,286-5554-B
stamp	286-5581-B,286-5600-B,286-5619-B,286-5638-B,286-5666-B,286-5694-B,286-5725-B
stampede	286-5753-B,286-5790-B,286-5821-B,286-5852-B,286-5889-B
stance	286-5926-B,286-5946-B
stand	286-5975-B,286-5994-B,286-6025-B,286-6056-B,286-6084-B,287-0-B,287-34-B,287-74-B,287-105-B,287-130-B,287-152-B,287-174-B,287-202-B
stand in	287-227-B,287-255-B,287-292-B,287-323-B,287-360-B
standard	287-394-B,287-422-B,287-453-B,287-481-B,287-518-B,287-549-B,287-577-B,287-605-B,287-642-B,287-676-B,287-701-B,287-735-B,287-769-B,287-806-B,287-846-B,287-874-B,287-902-B,287-930-B,287-964-B,287-992-B,287-1023-B,287-1048-B,287-1076-B
standard bearer	287-1104-B
standardization	287-1139-B,287-1177-B,287-1221-B,287-1262-B,287-1312-B,287-1350-B,287-1403-B,287-1447-B
standby	287-1488-B,287-1512-B
standing	287-1539-B,287-1573-B,287-1604-B
standoff	287-1635-B
standpoint	287-1663-B,287-1699-B,287-1729-B,287-1771-B,287-1816-B
standstill	287-1843-B,287-1873-B,287-1906-B
stanza	287-1951-B,287-1971-B,287-2000-B,287-2029-B
staphylococcus	287-2046-B
stapler	287-2113-B
star	53-0-S,53-30-S,287-2140-B,287-2155-B,287-2173-B,287-2209-B,287-2251-B,287-2278-B,287-2305-B,287-2323-B,287-2353-B
starboard	287-2377-B
starch	287-2406-B,287-2426-B,287-2455-B
starchy	287-2475-B,287-2496-B
stardom	287-2535-B
stardust	287-2559-B,287-2587-B
stare	287-2618-B
stark	287-2646-B
starlet	287-2674-B
starlight	287-2701-B,287-2730-B,287-2762-B
starring	287-2803-B
start	287-2834-B,287-2853-B,287-2890-B,287-2918-B,287-2946-B,287-2980-B,287-3008-B,287-3042-B,287-3070-B,287-3104-B,287-3129-B,287-3163-B,287-3191-B,287-3216-B,287-3241-B,287-3269-B,287-3288-B,287-3319-B,287-3359-B,287-3399-B,287-3436-B,287-3467-B,287-3492-B,287-3523-B,287-3548-B,287-3588-B,287-3616-B,287-3647-B,287-3675-B,287-3703-B,287-3731-B
starter	287-3756-B,287-3780-B
starting	287-3813-B,287-3844-B,287-3875-B
startle	287-3912-B
startling	287-3966-B,287-3989-B,287-4012-B
startup	287-4062-B
starvation	287-4089-B,287-4116-B,287-4146-B,287-4176-B
starve	287-4203-B,287-4232-B,287-4261-B
starving	287-4290-B
state	287-4321-B,287-4340-B,287-4359-B,287-4402-B,287-4421-B,287-4446-B,287-4474-B,287-4502-B,287-4530-B,287-4555-B,287-4583-B,287-4605-B,287-4630-B,287-4649-B,287-4674-B,287-4699-B,287-4730-B,287-4761-B,287-4789-B,287-4817-B,287-4842-B,287-4864-B,287-4895-B,287-4938-B,287-4981-B,287-5021-B,287-5061-B,287-5086-B
state of the art	287-5114-B
statecraft	287-5174-B
stateless	287-5207-B
stately	287-5236-B,287-5266-B,287-5308-B
statement	287-5350-B,287-5382-B,287-5411-B,287-5443-B,287-5484-B,287-5525-B,287-5557-B,287-5589-B,287-5612-B,287-5644-B,287-5676-B,287-5711-B
stateroom	287-5746-B
statesman	287-5778-B,287-5807-B,287-5842-B,287-5880-B
statesmanship	287-5918-B,287-5960-B
static	287-5993-B,287-6019-B,287-6048-B,287-6077-B
station	287-6106-B,287-6133-B,287-6163-B,287-6184-B,288-0-B,288-30-B,288-51-B
stationary	288-81-B,288-129-B,288-165-B
stationery	288-198-B,288-243-B,288-276-B,288-306-B,288-345-B,288-378-B
statistical	288-411-B
