retrace	遡源 [さくげん]
reverence	尊信 [そんしん]
reverence	尊崇 [そんすう]
reverence	尊敬 [そんけい]
reverence	崇敬 [すうけい]
reverence	恭敬 [きょうけい]
reverence	敬い [うやまい]
reverence	敬神 [けいしん]
reverence	景仰 [けいぎょう]
reverence	景仰 [けいこう]
reverence	欽慕 [きんぼ]
reverence	畏懼 [いく]
reverence	畏敬 [いけい]
reverent	恭しい [うやうやしい]
reverentially	恭しく [うやうやしく]
reverently	謹んで [つつしんで]
reverie	夢想 [むそう]
reverie	物思い [ものおもい]
reversal	逆戻り [ぎゃくもどり]
reversal	逆転 [ぎゃくてん]
reverse	リバース
reverse	倒しま [さかしま]
reverse	反対 [はんたい]
reverse	反復 [はんぷく]
reverse	反覆 [はんぷく]
reverse	引き替える [ひきかえる]
reverse	引替る [ひきかえる]
reverse	背面 [はいめん]
reverse	裏腹 [うらはら]
reverse	裏表 [うらおもて]
reverse	裏面 [りめん]
reverse	転倒 [てんとう]
reverse	逆 [ぎゃく]
reverse	逆さ [さかさ]
reverse	顛倒 [てんとう]
reversibility	可逆性 [かぎゃくせい]
reversible	リバーシブル
reversible	可逆 [かぎゃく]
review	お浚い [おさらい]
review	レビュー
review	レヴュー
review	再吟味 [さいぎんみ]
review	再審 [さいしん]
review	再検討 [さいけんとう]
review	御浚い [おさらい]
review	復習 [ふくしゅう]
review	復習う [さらう]
review	復習える [さらえる]
review	批評 [ひひょう]
review	温習 [おんしゅう]
review	温習 [さらい]
review	見直し [みなおし]
review	調べ直す [しらべなおす]
review	講評 [こうひょう]
review	顧みる [かえりみる]
reviewer	レビューワー
reviewer	評者 [ひょうしゃ]
revilement	漫罵 [まんば]
revise	変える [かえる]
revise	改める [あらためる]
revision	リビジョン
revision	修正 [しゅうせい]
revision	修訂 [しゅうてい]
revision	刪修 [さんしゅう]
revision	加筆 [かひつ]
revision	復習 [ふくしゅう]
revision	改正 [かいせい]
revision	改版 [かいはん]
revision	改訂 [かいてい]
revision	改訳 [かいやく]
revision	斧正 [ふせい]
