proton	陽子 [ようし]
provoke	火が付く [ひがつく]
prow	舳先 [へさき]
prowess	剛勇 [ごうゆう]
prowess	武者振り [むしゃぶり]
prowess	豪勇 [ごうゆう]
prowl	さ迷う [さまよう]
prowl	彷徨う [さまよう]
prowl	彷徨く [うろつく]
prowler	空き巣ねらい [あきすねらい]
prowler	空き巣狙い [あきすねらい]
proximate	近似 [きんじ]
proximity	側 [そく]
proximity	側 [そば]
proximity	側 [はた]
proximity	傍 [そば]
proximity	傍 [はた]
proximity	真近 [まぢか]
proximity	近間 [ちかま]
proximity	間近 [まぢか]
proxy	プロキシ
proxy	代え [かえ]
proxy	代り [かわり]
proxy	代わり [かわり]
proxy	代人 [だいにん]
proxy	代員 [だいいん]
proxy	代理 [だいり]
proxy	代理人 [だいりにん]
proxy	代理者 [だいりしゃ]
proxy	代行者 [だいこうしゃ]
proxy	名代 [みょうだい]
proxy	委任状 [いにんじょう]
prudence	世才 [せさい]
prudence	分別心 [ふんべつしん]
prudence	思慮 [しりょ]
prudence	慎重 [しんちょう]
prudence	深慮 [しんりょ]
prudence	自重 [じちょう]
prudence	賢明 [けんめい]
prudent	口重 [くちおも]
prudent	口重い [くちおもい]
prudent	思慮深い [しりょぶかい]
prudent	細心 [さいしん]
prudent	翼々 [よくよく]
prudent	翼翼 [よくよく]
prune	切り下げる [きりさげる]
prune	切り払う [きりはらう]
prune	切り落とす [きりおとす]
prune	刈 [かり]
prune	刈り込む [かりこむ]
prune	刈る [かる]
prune	干し李 [ほしすもも]
prune	李 [すもも]
pruning	刈り込み [かりこみ]
pruning	剪定 [せんてい]
pruning	剪枝 [せんし]
pruning	剪裁 [せんさい]
pruning	枝切り [えだきり]
pseudo	似非 [えせ]
pseudo	偽性 [ぎせい]
pseudo	擬似 [ぎじ]
pseudo	疑似 [ぎじ]
pseudonym	仮名 [かめい]
pseudonym	仮名 [かりな]
pseudonym	仮名 [けみょう]
pseudonym	作り名 [つくりな]
pseudonym	別名 [べつみょう]
pseudonym	別名 [べつめい]
pseudonym	別称 [べっしょう]
pseudonym	匿名 [とくめい]
pseudonym	異称 [いしょう]
pseudonym	筆名 [ひつめい]
pseudonym	雅号 [がごう]
psi	サイ
psi	超能力 [ちょうのうりょく]
psoriasis	乾癬 [かんせん]
psychedelic	サイケ
psychedelic	サイケデリック
psychiatrist	精神医学者 [せいしんいがくしゃ]
psychiatry	精神医学 [せいしんいがく]
psychiatry	精神科 [せいしんか]
psycho	サイコ
psychoanalysis	サイコアナリシス
psychoanalysis	精神分析 [せいしんぶんせき]
psychological	サイコロジカル
psychological	心理学的 [しんりがくてき]
psychological	心理的 [しんりてき]
psychological	心的 [しんてき]
psychologist	心理学者 [しんりがくしゃ]
psychology	サイコロジー
psychology	心理学 [しんりがく]
psychosis	精神病 [せいしんびょう]
psychotherapist	サイコセラピスト
psychotherapy	サイコセラピー
psychotherapy	心理療法 [しんりりょうほう]
psychotherapy	精神療法 [せいしんりょうほう]
psychotic	精神異常者 [せいしんいじょうしゃ]
ptarmigan	雷鳥 [らいちょう]
pub	パブ
pub	パブリックハウス
pub	居酒屋 [いざかや]
pub	酒家 [しゅか]
pubertal	青春期 [せいしゅんき]
puberty	思春期 [ししゅんき]
puberty	成熟期 [せいじゅくき]
puberty	春の目覚め [はるのめざめ]
puberty	春機発動期 [しゅんきはつどうき]
puberty	青春期 [せいしゅんき]
pubes	陰毛 [いんもう]
pubes	陰門 [いんもん]
pubescent	青春期 [せいしゅんき]
pubic	恥骨 [ちこつ]
pubis	恥毛 [ちもう]
public	パブリック
public	人民 [じんみん]
public	公 [おおやけ]
public	公 [きみ]
public	公 [こう]
public	公共 [こうきょう]
public	公然 [こうぜん]
public	公然たる [こうぜんたる]
public	公的 [こうてき]
public	公益 [こうえき]
public	社会 [しゃかい]
public	表向き [おもてむき]
public	表立った [おもてだった]
