削片 さくへん	48-5727-B,284-4133-B
前途 ぜんと	209-483-B
前途遼遠 ぜんとりょうえん	81-6173-B,133-4357-B
前進 ぜんしん	7-258-B,94-288-B,232-3225-B
前部 ぜんぶ	123-3831-B,127-3478-B
前面 ぜんめん	112-5033-B,127-3624-B
前額 ぜんがく	123-4611-B
前額部 ぜんがくぶ	123-4642-B,127-3815-B
前駆 ぜんく	123-5603-B,172-2023-B,227-5625-B,323-3692-B
前駆戦 ぜんくせん	276-2883-B
前髪 まえがみ	123-5176-B
剔 てき	73-2970-B
剔る えぐる	33-5234-B,107-6169-B,134-2929-B
剔出 てきしゅつ	108-4900-B,111-6319-B,249-666-B
剔抉 てっけつ	110-6377-B
剖 ほう	90-5117-B
剖 ぼう	90-5137-B
剖検 ぼうけん	23-2791-B,197-5313-B
剛の者 ごうのもの	325-1428-B
剛健 ごうけん	142-2406-B,293-3571-B,325-5701-B,326-3578-B
剛勇 ごうゆう	35-2415-B,235-2756-B
剛強 ごうきょう	119-5319-B,291-4731-B
剛性 ごうせい	140-5013-B,256-886-B
剛情 ごうじょう	203-1362-B,292-6186-B
剛愎 ごうふく	203-1397-B
剛毅 ごうき	125-261-B,140-4891-B,182-4635-B
剛毛 ごうもう	36-5805-B
剛気 ごうき	35-2445-B
剛直 ごうちょく	161-3510-B
剛胆 ごうたん	33-321-B,68-257-B,140-4920-B,323-2018-B
剛腹 ごうふく	203-1429-B,292-6224-B
剣 けん	27-57-B,31-2321-B,260-331-B,289-4510-B,300-3678-B
剣 つるぎ	300-3697-B
剣の道 けんのみち	300-3959-B
剣呑 けんのん	74-1993-B,159-3929-B,256-4738-B
剣士 けんし	117-2179-B
剣客 けんかく	117-2205-B,300-3892-B
剣客 けんきゃく	117-2234-B,300-3924-B
剣法 けんぽう	117-2293-B
剣術 けんじゅつ	117-2323-B
剣道 けんどう	117-2356-B
剤 ざい	92-1409-B,94-2556-B,186-1367-B
剥 はく	113-1446-B
剥がす はがす	82-2267-B,86-4434-B,121-1349-B,276-2183-B
剥き出し むきだし	126-960-B,196-2576-B
剥き出す むきだす	272-3998-B
剥ぎ取る はぎとる	257-1430-B,292-2417-B
剥く むく	148-2777-B,212-4867-B,215-4483-B,276-2210-B
剥ぐ はぐ	121-1376-B,276-2231-B
剥ぐ へぐ	121-1397-B,276-2252-B
剥げる はげる	113-1464-B
剥す はがす	82-2296-B,86-4467-B,121-1418-B,276-2273-B
剥奪 はくだつ	80-4646-B,90-4832-B
剥片 はくへん	48-5754-B,120-3267-B
剥製 はくせい	194-3731-B
剥製術 はくせいじゅつ	303-1495-B
剪 せん	52-127-B,279-1555-B
剪み切る はさみきる	52-145-B,279-1573-B
剪む はさむ	52-181-B,279-1609-B
剪る きる	73-1957-B
剪刀 せんとう	236-2885-B
剪定 せんてい	235-4325-B
剪断 せんだん	271-954-B
剪枝 せんし	235-4355-B
剪裁 せんさい	73-2991-B,235-4382-B
副 とりわけ	105-990-B
副 ふく	5-3714-B,20-4937-B,20-5434-B,23-3178-B,54-1685-B,65-5596-B,80-5218-B,95-960-B,294-5925-B,297-5498-B
副う そう	3-4080-B,183-4950-B,186-3752-B,261-4925-B,296-1357-B
副える そえる	3-4106-B,13-4428-B,16-671-B,21-3550-B,129-5639-B,151-2615-B
副作用 ふくさよう	241-3310-B
副官 ふくかん	6-1008-B,9-2827-B,9-2911-B
副官 ふっかん	6-1039-B,9-2854-B,9-2946-B
副手 ふくしゅ	20-4960-B,20-5457-B
副書 ふくしょ	65-5614-B,95-983-B
副木 そえぎ	284-3979-B
副木 ふくぎ	265-768-B
副木 ふくぼく	284-4005-B
副本 ふくほん	65-5641-B,95-1015-B
副業 ふくぎょう	273-3440-B
副次的 ふくじてき	265-797-B
副牧師 ふくぼくし	72-1804-B
副産物 ふくさんぶつ	39-4279-B
副署 ふくしょ	67-5209-B
副見出し ふくみだし	295-59-B
副詞 ふくし	7-1557-B
副題 ふくだい	295-99-B
副鼻腔炎 ふくびくうえん	275-3141-B
剰え あまつさえ	193-5873-B
剰余 じょうよ	24-5649-B,298-5796-B
剰余金 じょうよきん	24-5679-B,298-5826-B
剰語 じょうご	245-3583-B
割 かつ	35-3772-B,68-5560-B,73-1977-B,84-5280-B,90-5157-B,139-3448-B,256-2807-B,268-1013-B,278-3025-B,284-4494-B
割 わり	20-2861-B,216-4149-B,232-870-B,233-6321-B,241-501-B,241-1231-B
割く さく	10-1047-B,44-4851-B,51-2853-B,90-5177-B,268-1035-B,269-2546-B
割と わりと	56-4728-B,247-6424-B
割に わりに	56-4761-B
割の良い わりのいい	7-1249-B,215-275-B,232-1456-B,249-1277-B
割り わり	20-2885-B,216-4173-B,232-890-B,233-6345-B,241-519-B,241-1250-B
割りつける わりつける	10-5260-B,20-2216-B,90-271-B
割りと わりと	56-4794-B,247-6454-B
割りに わりに	56-4830-B
割り付け わりつけ	10-4840-B,10-5624-B,20-2912-B,90-787-B,97-2938-B,172-899-B
割り付ける わりつける	10-5300-B,20-2257-B,90-316-B
割り出す わりだす	40-1242-B,58-5874-B,157-3201-B
割り切る わりきる	90-5200-B
割り切れない わりきれない	154-6896-B,156-5139-B
割り前 わりまえ	225-2877-B,239-1701-B,270-4867-B
割り合い わりあい	216-4200-B,233-6372-B,241-1272-B
割り増し わりまし	33-1803-B,228-3434-B
割り増し金 わりましきん	33-1837-B,228-3470-B
割り安 わりやす	97-1108-B
割り引 わりびき	86-5614-B,242-4248-B,245-2920-B
割り引き わりびき	86-5648-B,242-4280-B,245-2955-B
割り引く わりびく	86-5685-B
割り当て わりあて	10-4879-B,10-5662-B,20-2951-B,239-1732-B,241-2115-B
割り当てる わりあてる	10-5340-B,20-2298-B,90-361-B
割り当て額 わりあてがく	10-4918-B,10-5700-B
割り戻す わりもどす	168-2743-B,242-4315-B
割り振り わりふり	10-5747-B,20-2990-B,239-1766-B,241-2153-B
割り振る わりふる	10-5380-B,20-1778-B,20-2339-B,90-406-B
割り方 わりかた	56-4866-B
割り栗 わりぐり	258-5154-B
割り栗石 わりぐりいし	180-2092-B
割り符 わりふ	47-4224-B,263-3883-B,302-2649-B
割り算 わりざん	91-530-B
割り込み わりこみ	163-788-B
割り込む わりこむ	90-2008-B,163-403-B
割り返し わりかえし	242-4353-B
割る わる	35-3791-B,68-5579-B,73-1994-B,84-5300-B,90-5235-B,139-3467-B,256-2824-B,268-1060-B,278-3044-B,284-4513-B
割れる われる	35-3813-B,51-2876-B,68-5601-B,120-1323-B,284-4535-B
割れ易い われやすい	36-5835-B,125-4070-B,217-3193-B
割れ目 われめ	47-1874-B,68-5629-B,69-5369-B,120-1353-B,255-5725-B,284-4563-B
割下 わりした	282-113-B
割付 わりつけ	10-4966-B,10-5785-B,20-3029-B,90-828-B,97-2974-B,172-934-B
割付け わりつけ	10-4999-B,10-5817-B,20-3062-B,90-863-B,97-3004-B,172-963-B
割付ける わりつける	10-5414-B,20-2374-B,90-445-B
割付る わりつける	10-5451-B,20-2412-B,90-487-B
割出す わりだす	40-1280-B,58-5910-B,157-3235-B
割前 わりまえ	225-2910-B,239-1800-B,270-4898-B
割合 わりあい	216-4239-B,233-6411-B,241-1306-B
割合に わりあいに	56-4905-B
割増 わりまし	33-1880-B,228-3515-B
割増し わりまし	33-1908-B,228-3545-B
割安 わりやす	97-1144-B
割引 わりびき	86-5722-B,242-4391-B,245-2993-B
割引き わりびき	86-5753-B,242-4420-B,245-3025-B
割引く わりびく	86-5787-B
割当 わりあて	10-5035-B,10-5852-B,20-3098-B,239-1828-B,241-2191-B
割当て わりあて	10-5068-B,10-5884-B,20-3131-B,239-1856-B,241-2223-B
割当てる わりあてる	10-5485-B,20-2447-B,90-526-B
割当額 わりあてがく	10-5104-B,10-5919-B
割烹 かっぽう	65-2555-B,71-5196-B
割烹店 かっぽうてん	252-6602-B
割目 われめ	47-1902-B,68-5657-B,69-5399-B,120-1383-B,255-5752-B,284-4591-B
割礼 かつれい	50-99-B
割符 わりふ	47-4252-B,263-3911-B,302-2677-B
割算 わりざん	91-564-B
割腹 かっぷく	140-3548-B
割賦 かっぷ	10-5960-B,145-3719-B,239-1887-B
割賦 わっぷ	10-5989-B,145-3752-B,239-1912-B
割込み わりこみ	163-829-B
割込む わりこむ	90-2044-B,163-441-B
剳 さつ	248-3789-B,288-972-B
剳 とう	273-2782-B
剳青 いれずみ	303-789-B
剴 がい	264-3229-B,296-1621-B
剴切 がいせつ	5-5038-B,17-0-B,17-1744-B
創 そう	208-617-B,287-3269-B
創める はじめる	208-640-B,287-3288-B
創り出す つくりだす	69-2393-B,115-2319-B
創作 そうさく	231-5966-B,335-21-B
創作力 そうさくりょく	131-1392-B
創作家 そうさくか	22-6196-B,201-1993-B,336-1292-B
創作的 そうさくてき	69-2986-B
創作者 そうさくしゃ	201-2030-B,336-1327-B
創傷 そうしょう	335-5434-B
創始 そうし	69-2609-B,125-3278-B
創始者 そうししゃ	208-739-B
創建 そうけん	105-2890-B,125-2075-B
創建者 そうけんしゃ	125-2933-B
創意 そうい	208-114-B
創案者 そうあんしゃ	164-2059-B,208-778-B
創業 そうぎょう	105-2926-B
創業者 そうぎょうしゃ	125-2972-B,233-1438-B
創痍 そうい	262-3362-B,335-5465-B
創痕 そうこん	262-3386-B
創立 そうりつ	105-2965-B,125-3306-B,207-3770-B
創立者 そうりつしゃ	125-3014-B,207-4496-B
創製 そうせい	86-6743-B,164-1894-B,208-675-B
創見 そうけん	69-2637-B,164-1926-B,208-145-B
創設 そうせつ	105-3001-B,125-3337-B,207-3805-B
創設者 そうせつしゃ	125-3053-B
創造 そうぞう	69-2668-B
創造性 そうぞうせい	69-3148-B
創造物 そうぞうぶつ	69-2699-B,69-3389-B
創造的 そうぞうてき	69-3026-B
創造者 そうぞうしゃ	69-3250-B
創造説 そうぞうせつ	69-2881-B
剽 ひょう	307-1797-B
剽悍 ひょうかん	74-2860-B,118-1956-B
剽盗 ひょうとう	145-1312-B
剽窃 ひょうせつ	220-5250-B,221-3266-B
剽軽 ひょうきん	94-773-B,112-6200-B,128-2775-B
剿 しょう	82-815-B
剿 そう	82-839-B
剿滅 そうめつ	13-4859-B
劃 かく	90-5258-B
劃一 かくいつ	287-1139-B,319-3666-B
劃一化 かくいつか	287-1177-B
劃定 かくてい	79-1574-B
劃期 かっき	104-478-B
劃然 かくぜん	51-1007-B,89-4233-B
劃然たる かくぜんたる	51-2052-B,89-4264-B
劃策 かくさく	221-5705-B,263-809-B
劇 げき	92-5877-B,222-3711-B
劇しい はげしい	128-3056-B,161-5387-B,304-1123-B,324-2038-B,326-2461-B
劇作家 げきさっか	93-324-B,222-4931-B
劇化 げきか	93-362-B
劇団 げきだん	315-1501-B
劇場 げきじょう	222-4658-B,305-4165-B
劇変 げきへん	321-1774-B
劇烈 げきれつ	118-1992-B,269-4525-B,326-2103-B
劇甚 げきじん	168-480-B,269-4556-B,324-1974-B,326-2134-B
劇的 げきてき	93-224-B
劇道 げきどう	93-0-B
劈 へき	35-3841-B,39-92-B,220-1465-B,284-4616-B,303-2636-B
劈く つんざく	35-3860-B,39-111-B,220-1485-B,284-4635-B,303-2654-B
劈頭 へきとう	209-1803-B
劉 りゅう	24-524-B,168-3254-B
力 ちから	1-3646-B,8-3125-B,21-5234-B,23-364-B,41-3872-B,97-5602-B,100-180-B,101-5348-B,113-1156-B,123-2901-B,143-4042-B,157-5875-B,189-1368-B,226-4958-B,291-4765-B,291-5394-B,297-6544-B
力 りき	291-4790-B
力 りょく	226-4980-B,291-4812-B
力ない ちからない	116-5019-B
力む りきむ	32-1266-B,32-3288-B,290-5752-B,299-4337-B
力付く ちからずく	123-3484-B,255-588-B
力付く ちからづく	123-3521-B,255-623-B
力倆 りきりょう	276-802-B,302-1230-B
力動的 りきどうてき	95-4860-B
力学的 りきがくてき	185-5088-B
力尽く ちからずく	123-3558-B,255-658-B
力尽く ちからづく	123-3595-B,255-693-B
力弱い ちからよわい	330-2153-B
力強い ちからづよい	242-4012-B
力感 りきかん	123-2923-B,226-5002-B
力抜け ちからぬけ	85-6428-B,86-5886-B
力持ち ちからもち	195-4184-B
力添え ちからぞえ	20-3884-B,143-4063-B,268-6130-B
力点 りきてん	100-205-B,152-5396-B,174-1615-B
力無い ちからない	116-5054-B
力無げ ちからなげ	78-2319-B,116-5261-B
力落し ちからおとし	85-6471-B,86-5929-B,115-5916-B
力落とし ちからおとし	85-6517-B,86-5975-B,115-5955-B
力行 りっこう	109-1983-B
力行 りょっこう	109-2014-B
力試し ちからだめし	239-1522-B
力説 りきせつ	160-1220-B,291-5417-B
力量 りきりょう	1-3670-B,41-4300-B,301-4980-B
力頼み ちからだのみ	80-815-B
功利 こうり	322-3506-B
功利主義 こうりしゅぎ	322-3408-B
功利的 こうりてき	322-3325-B
功名心 こうみょうしん	12-1585-B,19-5100-B
功業 こうぎょう	4-2221-B,110-5052-B
功績 こうせき	187-5797-B
加 か	5-3249-B,155-1953-B
加うるに くわうるに	128-4452-B
加える くわえる	16-700-B,154-4006-B,155-1972-B,157-5572-B
加え算 くわえざん	5-3268-B
加わる くわわる	155-2006-B
加入 かにゅう	5-5222-B,6-3730-B,7-5762-B,103-3561-B,166-3361-B,274-658-B,294-3416-B
加入者 かにゅうしゃ	7-5721-B,103-2734-B,187-477-B,213-1181-B
加判人 かはんにん	273-5659-B
加勢 かせい	20-3923-B,24-3270-B
加増 かぞう	5-3305-B,155-2040-B
加害 かがい	20-243-B,326-2165-B
加害者 かがいしゃ	19-5752-B
加工 かこう	231-3711-B,313-4443-B
加担 かたん	20-3953-B,58-1522-B,62-5403-B,213-1431-B,297-6568-B
加担者 かたんしゃ	3-4762-B
加持 かじ	154-592-B
加振 かしん	108-4978-B
加水分解 かすいぶんかい	149-3339-B
加法 かほう	5-3333-B
加減 かげん	6-747-B,111-3827-B,121-649-B,185-4140-B,192-1301-B
加温 かおん	142-5298-B,143-54-B
加点 かてん	263-4161-B
加熱 かねつ	143-81-B
加熱器 かねつき	142-5695-B
加盟 かめい	7-5796-B,213-1464-B
加盟国 かめいこく	273-5697-B
加筆 かひつ	66-4246-B,153-3759-B,254-6226-B
加算 かさん	5-2612-B,5-3361-B
加虐愛 かぎゃくあい	260-1536-B
加農砲 かんのんほう	41-2908-B
加速 かそく	3-373-B
加速度 かそくど	3-405-B
加里 かり	226-3108-B,226-3131-B
加重 かじゅう	8-4434-B
加重 かちょう	8-4468-B
加除式 かじょしき	178-3461-B
劣化 れっか	78-1284-B,82-4278-B
劣弱 れつじゃく	157-3794-B
劣性 れっせい	157-3639-B,243-4575-B
劣悪 れつあく	53-1015-B,157-3831-B
劣情 れつじょう	180-406-B
劣等 れっとう	157-3865-B
助 じょ	20-4992-B,143-4096-B,251-2999-B
助 すけ	20-3983-B
助かる たすかる	299-1594-B
助く たすく	143-4114-B,251-3019-B,261-5773-B
助け たすけ	20-4007-B
助ける たすける	1-3062-B,143-4138-B,233-1048-B,247-2459-B,251-3045-B,261-5797-B
助け出す たすけだす	112-2995-B
助け合い たすけあい	65-4295-B
助け合う たすけあう	65-4023-B
助け守る たすけまもる	168-612-B,229-2303-B,234-5197-B
助け平 すけべい	173-568-B,174-1942-B
助け手 たすけて	143-4663-B,143-5616-B
助け船 たすけぶね	143-4168-B,175-316-B
助っ人 すけっと	24-2611-B,143-4695-B,265-305-B,298-1065-B
助力 じょりょく	20-4037-B,297-6595-B
助勢 じょせい	24-3297-B,100-5892-B
助勢 すけぜい	24-3327-B,100-5928-B
助命 じょめい	51-2929-B
助平 すけべい	173-600-B,174-1976-B
助成 じょせい	20-4073-B,125-1871-B
助成金 じょせいきん	135-3893-B,294-4188-B
助手 じょしゅ	20-5015-B,143-4727-B,143-5650-B,316-2066-B
助手 すけて	20-5047-B,143-4756-B,143-5681-B,316-2094-B
助演 じょえん	53-0-B
助演者 じょえんしゃ	53-30-B
助産 じょさん	189-1151-B
助産婦 じょさんぷ	189-1088-B
助言 じょげん	7-2013-B,296-288-B
助言 じょごん	7-2042-B,296-321-B
助言者 じょげんしゃ	7-2475-B,67-2931-B
助言者 じょごんしゃ	7-2514-B,67-2973-B
助長 じょちょう	125-1903-B,233-1829-B
努める つとめる	101-2246-B
努力 どりょく	98-239-B,101-2348-B,109-2048-B
劫 きょう	307-1820-B
劫 こう	307-1843-B
劫 ごう	307-1863-B
劫かす おびやかす	53-3070-B,307-2261-B
劫掠 きょうりゃく	220-2964-B,223-3695-B
劫掠 ごうりゃく	220-3000-B,223-3731-B
劫略 きょうりゃく	220-3033-B,223-3764-B
劫略 ごうりゃく	220-3069-B,223-3800-B
励まし はげまし	100-5964-B,289-3974-B
励ます はげます	47-5991-B,100-5482-B
励み はげみ	100-6003-B,154-1358-B,289-4394-B
励み合い はげみあい	100-3577-B,100-6036-B
励む はげむ	101-2380-B,292-2643-B
励弧 れいこ	108-5008-B
励磁 れいじ	108-5038-B
励精 れいせい	84-4605-B
労 いたずき	211-436-B,314-5980-B
労 ろう	55-1583-B,169-4846-B,292-2669-B,309-2294-B,314-6007-B
労り いたわり	22-611-B,42-4115-B,150-5656-B,169-4865-B,268-6166-B,300-6234-B,314-6028-B
労る いたわる	62-4355-B,221-1628-B
労わしい いたわしい	221-985-B
労作 ろうさく	169-4893-B,309-2312-B
労働 ろうどう	309-2339-B,335-48-B
労働争議 ろうどうそうぎ	292-1127-B
労働力 ろうどうりょく	169-4921-B,182-5853-B
労働者 ろうどうしゃ	169-5503-B,335-834-B,335-1196-B
労力 ろうりょく	98-268-B,169-5420-B,309-2366-B,314-6058-B
労動 ろうどう	309-2396-B,335-75-B
労動者 ろうどうしゃ	335-872-B
労務 ろうむ	169-4961-B,268-6196-B,335-102-B
労務者 ろうむしゃ	335-1235-B
労役 ろうえき	169-4986-B,309-2423-B,335-126-B
労苦 ろうく	140-5280-B,169-5014-B,309-2450-B
効 こう	29-1522-B,97-4691-B,97-5627-B,97-5894-B,253-2980-B,295-1398-B
効き目 ききめ	97-4711-B,97-5649-B,153-1107-B,326-3836-B
効力 こうりょく	97-4740-B,97-5680-B,226-3307-B,323-1614-B
効果 こうか	97-4772-B,97-5138-B,97-5714-B,253-3000-B
効果的 こうかてき	97-5056-B,295-1737-B
効率 こうりつ	97-5918-B
効率的 こうりつてき	97-6115-B
効用 こうよう	29-1543-B,97-4798-B,322-318-B,322-3533-B
効目 ききめ	97-4827-B,97-5742-B,153-1140-B,326-3865-B
効能 こうのう	29-1573-B,97-4853-B,97-5770-B,326-3891-B
効験 こうけん	97-4882-B,97-5801-B
勁 けい	292-3221-B
勃 ぼつ	256-3583-B,295-4936-B
勃々たる ぼつぼつたる	101-4968-B,256-4282-B
勃勃たる ぼつぼつたる	101-5012-B,256-4323-B
勃然 ぼつぜん	295-4419-B
勃然と ぼつぜんと	295-4450-B
勃発 ぼっぱつ	208-4561-B
勇 ゆう	35-2472-B,68-287-B,144-3560-B
勇ましい いさましい	35-1974-B,68-587-B,129-1224-B,323-1440-B
勇み肌 いさみはだ	129-1556-B
勇み足 いさみあし	241-179-B
勇力 ゆうりょく	68-308-B
勇名 ゆうめい	114-3316-B
勇士 ゆうし	144-2799-B
勇壮 ゆうそう	35-2493-B,144-3025-B,144-3581-B,181-2364-B
勇婦 ゆうふ	144-3389-B
勇敢 ゆうかん	35-2011-B,129-1263-B,144-3054-B
勇敢さ ゆうかんさ	35-2523-B,129-1594-B,144-3611-B
勇武 ゆうぶ	35-2559-B,323-1937-B
勇気 ゆうき	33-352-B,35-2586-B,68-341-B,198-3062-B,323-2047-B
勇気付ける ゆうきづける	47-6022-B,100-5517-B
勇決 ゆうけつ	76-2849-B
勇烈 ゆうれつ	35-2613-B,68-368-B,323-1962-B
勇猛 ゆうもう	35-2643-B,74-2892-B,323-1990-B
勇者 ゆうしゃ	144-2823-B
勇邁 ゆうまい	68-629-B,144-3083-B
勉めて つとめて	84-5199-B
勉励 べんれい	84-4637-B
勉学 べんがく	293-900-B
勉強 べんきょう	245-3060-B
動 どう	46-725-B,61-143-B,194-2169-B
動かし難い うごかしがたい	151-6599-B,317-7314-B,320-5983-B
動かす うごかす	46-745-B,79-6042-B,157-5901-B,160-3596-B,191-5930-B,194-5117-B,205-5375-B,258-3435-B,271-2961-B
動き うごき	5-225-B,46-777-B,82-6443-B,194-5427-B,313-6087-B
動く うごく	46-803-B,122-317-B,133-3729-B,194-5147-B,205-5408-B,259-3476-B,270-1348-B,271-2992-B,289-5593-B,300-2513-B,324-219-B,330-638-B,335-153-B
動乱 どうらん	8-5768-B,56-1549-B,90-2256-B,256-2516-B,321-1805-B
動作 どうさ	4-6050-B,27-1875-B,28-4222-B
動作記録 どうさきろく	145-4392-B
動力 どうりょく	226-5030-B
動勢 どうせい	59-6588-B,287-4474-B
動名詞 どうめいし	131-4526-B
動向 どうこう	22-1488-B,194-5455-B,304-3709-B,313-6112-B
動員 どういん	191-5860-B
動因 どういん	8-3949-B
動悸 どうき	236-1984-B,307-4163-B
動態 どうたい	194-5486-B
動揺 どうよう	8-5800-B,56-1581-B,90-2290-B,108-5233-B,208-2179-B,257-3579-B,270-2019-B,313-5369-B,320-5036-B
動機 どうき	154-1387-B,194-2683-B
