impossibility	不能 [ふのう]
inaction	不活動 [ふかつどう]
inactivation	不活性化 [ふかっせいか]
inactive	不活溌 [ふかっぱつ]
inactive	不活発 [ふかっぱつ]
inactive	低調 [ていちょう]
inactive	非活動 [ひかつどう]
inactivity	不活化 [ふかつか]
inactivity	惰眠 [だみん]
inactivity	沈滞 [ちんたい]
inactivity	無為 [むい]
inactivity	閑散 [かんさん]
inadequacy	不備 [ふび]
inadequacy	不適 [ふてき]
inadequacy	不適当 [ふてきとう]
inadequate	不充分 [ふじゅうぶん]
inadequate	不十分 [ふじゅうぶん]
inadvertently	うっかり
inadvertently	何気無く [なにげなく]
inadvisability	不利益 [ふりえき]
inadvisable	不可 [ふか]
inappropriate	不相応 [ふそうおう]
inappropriate	不適切 [ふてきせつ]
inappropriate	嘘 [うそ]
inappropriate	場違い [ばちがい]
inappropriateness	不穏当 [ふおんとう]
inappropriateness	不適 [ふてき]
inappropriateness	不適当 [ふてきとう]
inattention	うわの空 [うわのそら]
inattention	上の空 [うわのそら]
inattention	不注意 [ふちゅうい]
inattentive	上滑り [うわすべり]
