repentance	改悟 [かいご]
reproduction	模写 [もしゃ]
reproduction	生殖 [せいしょく]
reproduction	複製 [ふくせい]
reproduction	複製品 [ふくせいひん]
reproductive	多産 [たさん]
reproof	咎め [とがめ]
reproof	問責 [もんせき]
reproof	譴責 [けんせき]
reprove	詰責 [きっせき]
reptile	爬虫 [はちゅう]
republic	リパブリック
republic	共和国 [きょうわこく]
republicanism	共和 [きょうわ]
republicanism	共和主義 [きょうわしゅぎ]
republicanism	共和制 [きょうわせい]
republicanism	共和制度 [きょうわせいど]
republicanism	共和政 [きょうわせい]
republication	再刊 [さいかん]
repudiation	否定 [ひてい]
repudiation	否認 [ひにん]
repugnance	嫌悪 [けんお]
repulse	却ける [しりぞける]
