wisdom	開悟 [かいご]
woman	婦女子 [ふじょし]
woman	小母さん [おばさん]
womanish	女っぽい [おんなっぽい]
womankind	婦女 [ふじょ]
womanly	女っぽい [おんなっぽい]
womanly	女らしい [おんならしい]
womb	子宮 [しきゅう]
womb	母胎 [ぼたい]
wonder	不可思議 [ふかしぎ]
wonder	不思議 [ふしぎ]
wonder	奇跡 [きせき]
wonder	奇蹟 [きせき]
wonder	怪 [かい]
wonder	感嘆 [かんたん]
wonder	驚き [おどろき]
wonder	驚嘆 [きょうたん]
wonder	驚異 [きょうい]
wonderful	ハラショー
wonderful	凄い [すごい]
wonderful	奇怪 [きかい]
wonderful	奇怪 [きっかい]
wonderful	奇異 [きい]
wonderful	怪奇 [かいき]
wonderful	愛でたし [めでたし]
wonderful	素晴らしい [すばらしい]
wonderful	結構 [けっこう]
wonderful	豪華 [ごうか]
wonderful	霊妙 [れいみょう]
wonderful	驚くべき [おどろくべき]
wonderful	驚異的 [きょういてき]
wondering	驚歎 [きょうたん]
wonderland	ワンダーランド
woo	言い寄る [いいよる]
wood	ウッド
wood	木 [き]
wood	木材 [もくざい]
woodcraft	ウッドクラフト
woodcraft	木彫 [もくちょう]
woodcraft	木彫り [きぼり]
woodcutter	木こり [きこり]
woodcutter	樵 [きこり]
wooden	木製 [もくせい]
wooden	木造 [もくぞう]
woodgrain	板目 [いため]
woodpecker	ウッドペッカー
woodpecker	啄木 [たくぼく]
woodpecker	啄木鳥 [きつつき]
woodpecker	啄木鳥 [たくぼくちょう]
woodsman	山男 [やまおとこ]
woodwind	木管 [もっかん]
woodworker	木工 [もっこう]
woodworker	梓匠 [ししょう]
woody	木質 [もくしつ]
woof	横糸 [よこいと]
woofer	ウーファー
wool	ウール
wool	絨毛 [じゅうもう]
wool	羊毛 [ようもう]
word	ワード
word	伝言 [つてごと]
word	伝言 [でんごん]
word	単語 [たんご]
word	言 [げん]
word	語 [ご]
wordbook	言海 [げんかい]
wording	字句 [じく]
wording	措辞 [そじ]
wording	文言 [もんごん]
wording	言葉付き [ことばつき]
wording	言葉遣い [ことばづかい]
work	ワーク
work	仕事 [しごと]
work	作品 [さくひん]
work	作業 [さぎょう]
work	働 [どう]
work	働き [はたらき]
work	働く [はたらく]
