interpretive	インタプリティブ
intimate	仲がいい [なかがいい]
intimate	仲睦まじい [なかむつまじい]
intimate	匂わせる [におわせる]
intimate	密接 [みっせつ]
intimate	心安い [こころやすい]
intimate	親しい [したしい]
intimately	膝を交えて [ひざをまじえて]
intimately	親しく [したしく]
intimation	予知 [よち]
intimation	仄めかし [ほのめかし]
intimation	口ぶり [くちぶり]
intimation	口吻 [こうふん]
intimation	口振り [くちぶり]
intimation	口気 [こうき]
intimidation	威嚇 [いかく]
intimidation	恐嚇 [きょうかく]
intimidation	恫喝 [どうかつ]
intimidation	脅喝 [きょうかつ]
intimidation	脅嚇 [きょうかく]
intimidation	脅迫罪 [きょうはくざい]
intolerable	堪え難い [たえがたい]
intolerable	堪らない [たまらない]
intolerable	忍び難い [しのびがたい]
intolerable	耐え難い [たえがたい]
intolerable	耐難い [たえがたい]
intolerable	遣り切れない [やりきれない]
intolerable	鼻持ちならない [はなもちならない]
intolerable	鼻持ちならぬ [はなもちならぬ]
intolerance	不寛容 [ふかんよう]
intolerance	偏狭 [へんきょう]
intonation	イントネーション
intonation	抑揚 [よくよう]
intonation	節回し [ふしまわし]
intonation	音調 [おんちょう]
intoxication	酔い [よい]
intoxication	酔態 [すいたい]
intoxication	酩酊 [めいてい]
intoxication	陶酔 [とうすい]
intractable	角々しい [かどかどしい]
intractable	角角しい [かどかどしい]
intrepid	不敵 [ふてき]
intrepid	精悍 [せいかん]
intrepidity	豪邁 [ごうまい]
intricacy	錯綜 [さくそう]
intricacy	錯雑 [さくざつ]
intricate	交錯した [こうさくした]
intricate	手の込んだ [てのこんだ]
intricate	煩雑 [はんざつ]
intricate	繁雑 [はんざつ]
intricate	込み入った [こみいった]
intricate	錯綜した [さくそうした]
intrigue	企み [たくらみ]
intrigue	密通 [みっつう]
intrigue	悪巧み [わるだくみ]
intrigue	異心 [いしん]
intrigue	術策 [じゅっさく]
intrigue	魂胆 [こんたん]
intrinsic	内在的 [ないざいてき]
intrinsic	内的 [ないてき]
intro	概論 [がいろん]
introduce	入れる [いれる]
introduce	取り込む [とりこむ]
introduce	呈出 [ていしゅつ]
introduce	引き合わせる [ひきあわせる]
introduce	引合せる [ひきあわせる]
introduction	イントロ
introduction	イントロダクション
introduction	前置 [ぜんち]
introduction	前置き [まえおき]
introduction	叙文 [じょぶん]
introduction	導入 [どうにゅう]
introduction	序言 [じょげん]
introduction	序詞 [じょし]
introduction	序説 [じょせつ]
introduction	序論 [じょろん]
introduction	引き合わせ [ひきあわせ]
introduction	手引 [てびき]
introduction	手引き [てびき]
introduction	渡来 [とらい]
introduction	端書き [はしがき]
introduction	紹介 [しょうかい]
introduction	緒論 [しょろん]
introduction	緒論 [ちょろん]
introduction	誘い [いざない]
introduction	誘い [さそい]
introduction	誘導 [ゆうどう]
introduction	輸入 [ゆにゅう]
introduction	顔合せ [かおあわせ]
introduction	顔合わせ [かおあわせ]
introspection	内省 [ないせい]
introspection	内観 [ないかん]
introspection	反省 [はんせい]
introversion	内向性 [ないこうせい]
introvert	内向 [ないこう]
introvert	内向的 [ないこうてき]
intrude	出しゃばる [でしゃばる]
intruder	乱入者 [らんにゅうしゃ]
intruder	侵入者 [しんにゅうしゃ]
intruder	闖入者 [ちんにゅうしゃ]
intrusion	不法侵入 [ふほうしんにゅう]
intrusion	邪魔 [じゃま]
intrusion	闖入 [ちんにゅう]
intrusive	差し出がましい [さしでがましい]
intuition	勘 [かん]
intuition	直感 [ちょっかん]
intuition	直覚 [ちょっかく]
