dismay	恐怖 [きょうふ]
display	発揮 [はっき]
display	表示 [ひょうじ]
display	見え [みえ]
display	見せつける [みせつける]
display	見せる [みせる]
display	見せ付ける [みせつける]
display	見映 [みばえ]
display	見映え [みばえ]
display	見栄 [みえ]
display	見栄 [みばえ]
display	見栄え [みばえ]
display	誇示 [こじ]
display	貼り出す [はりだす]
display	閃かす [ひらめかす]
display	陳列 [ちんれつ]
display	飾りつける [かざりつける]
display	飾り付ける [かざりつける]
displease	機嫌を損ねる [きげんをそこねる]
displeasure	不快 [ふかい]
displeasure	不機嫌 [ふきげん]
displeasure	不満 [ふまん]
displeasure	不満足 [ふまんぞく]
displeasure	不興 [ふきょう]
displeasure	忌諱 [きい]
displeasure	忌諱 [きき]
disposable	使い捨 [つかいすて]
disposable	使い捨て [つかいすて]
disposable	可処分 [かしょぶん]
disposal	処分 [しょぶん]
disposal	処理 [しょり]
disposal	廃棄 [はいき]
disposal	払い下げ [はらいさげ]
disposition	傾き [かたむき]
disposition	処理 [しょり]
disposition	土根性 [どこんじょう]
disposition	天生 [てんせい]
disposition	心性 [しんせい]
disposition	心意気 [こころいき]
disposition	心根 [こころね]
disposition	心立て [こころだて]
disposition	性分 [しょうぶん]
disposition	性情 [せいじょう]
disposition	性癖 [せいへき]
disposition	性質 [せいしつ]
disposition	意地 [いじ]
disposition	意気 [いき]
disposition	才分 [さいぶん]
disposition	排列 [はいれつ]
disposition	揚揚 [ようよう]
disposition	本然 [ほんぜん]
disposition	本然 [ほんねん]
disposition	毛色 [けいろ]
disposition	気だて [きだて]
disposition	気っ風 [きっぷ]
disposition	気心 [きごころ]
disposition	気性 [きしょう]
disposition	気立 [きだて]
disposition	気立て [きだて]
disposition	気質 [かたぎ]
disposition	気質 [きしつ]
disposition	肌 [はだ]
disposition	肌合 [はだあい]
disposition	資質 [ししつ]
disposition	配 [はい]
disposition	配列 [はいれつ]
disposition	配置 [はいち]
dispossess	奪う [うばう]
dispossession	奪取 [だっしゅ]
dispossession	追い立て [おいたて]
disproof	反証 [はんしょう]
disproof	弁駁 [べんばく]
disproof	弁駁 [べんぱく]
disputable	疑わしい [うたがわしい]
disputant	論争者 [ろんそうしゃ]
disputation	弁駁 [べんばく]
disputation	弁駁 [べんぱく]
disputation	論判 [ろんぱん]
dispute	争い [あらそい]
dispute	争い事 [あらそいごと]
dispute	争う [あらがう]
dispute	争う [あらそう]
dispute	争論 [そうろん]
dispute	争議 [そうぎ]
dispute	係争 [けいそう]
dispute	口げんか [くちげんか]
dispute	口喧嘩 [くちけんか]
