forte	特長 [とくちょう]
fragment	フラグメント
fragment	一個 [いっこ]
fragment	半端 [はんぱ]
fragment	断片 [だんぺん]
fragment	欠け [かけ]
fragment	欠けら [かけら]
fragment	欠片 [かけら]
fragment	残片 [ざんぺん]
fragment	片割れ [かたわれ]
fragment	破片 [はへん]
fragmentary	断片的 [だんぺんてき]
fragmentation	フラグメンテーション
fragrance	匂い [におい]
fragrance	幽香 [ゆうこう]
fragrance	臭い [におい]
fragrance	芳香 [ほうこう]
fragrance	薫り [かおり]
fragrance	薫香 [くんこう]
fragrance	香り [かおり]
fragrance	香気 [こうき]
fragrance	馨香 [けいこう]
fragrant	芳しい [かんばしい]
fragrant	香ばしい [かんばしい]
fragrant	香ばしい [こうばしい]
fragrant	馥郁たる [ふくいくたる]
frail	か弱い [かよわい]
frail	ひょろひょろ
frail	弱々しい [よわよわしい]
frail	弱い [よわい]
frail	弱弱しい [よわよわしい]
frail	繊弱 [せんじゃく]
frail	脆弱 [ぜいじゃく]
frame	フレーム
frame	一駒 [ひとこま]
frame	一齣 [ひとこま]
frame	作成 [さくせい]
frame	図体 [ずうたい]
frame	枠 [わく]
frame	枠を付ける [わくをつける]
frame	枠組 [わくぐみ]
frame	枠組み [わくぐみ]
frame	架台 [かだい]
frame	胴 [どう]
frame	車体 [しゃたい]
frame	骨格 [こっかく]
frame	骨骼 [こっかく]
frame-up	でっち上げ [でっちあげ]
frame-up	フレームアップ
frame-up	捏ち上げ [でっちあげ]
framer	フレーマ
framework	フレームワーク
framework	屋台骨 [やたいぼね]
framework	形骸 [けいがい]
framework	枠内 [わくない]
framework	枠組 [わくぐみ]
framework	枠組み [わくぐみ]
framework	組み立て [くみたて]
framework	組立 [くみたて]
framework	躯体 [くたい]
framework	骨組み [ほねぐみ]
framework	骨骼 [こっかく]
franc	フラン
franchise	フランチャイズ
franchise	公民権 [こうみんけん]
franchise	参政権 [さんせいけん]
frank	さっぱりした
