clink	かちん
cloth	切地 [きれじ]
cloth	反物 [たんもの]
cloth	巾 [きん]
cloth	布 [ぬの]
cloth	布地 [きれじ]
cloth	布地 [ぬのじ]
cloth	服地 [ふくじ]
cloth	段物 [たんもの]
cloth	裂地 [きれじ]
clothing	お召し [おめし]
clothing	お召し物 [おめしもの]
clothing	召し物 [めしもの]
clothing	御召し [おめし]
clothing	御召し物 [おめしもの]
clothing	衣料 [いりょう]
clothing	衣装 [いしょう]
clothing	衣裳 [いしょう]
clothing	衣類 [いるい]
clothing	被服 [ひふく]
clothing	装用 [そうよう]
cloud	クラウド
cloud	雲 [くも]
cloudburst	どしゃ降り [どしゃぶり]
cloudburst	土砂降り [どしゃぶり]
cloudburst	豪雨 [ごうう]
cloudiness	曇 [くもり]
cloudiness	曇り [くもり]
cloudy	混濁した [こんだくした]
clout	影響力 [えいきょうりょく]
clove	丁子 [ちょうじ]
clove	丁字 [ちょうじ]
clown	いなか者 [いなかもの]
clown	田舎者 [いなかもの]
clown	道化役者 [どうけやくしゃ]
cloy	満腹 [まんぷく]
club	ゴルフ場 [ゴルフじょう]
club	会 [かい]
club	会所 [かいしょ]
club	倶楽部 [くらぶ]
club	棍棒 [こんぼう]
clubfoot	内反足 [ないはんそく]
clubhouse	クラブハウス
clubhouse	倶楽部 [くらぶ]
clubroom	部室 [ぶしつ]
clue	小口 [こぐち]
clue	捕らえ処 [とらえどころ]
clue	糸口 [いとぐち]
clump	群れ [むれ]
clumsily	怪しい手付きで [あやしいてつきで]
clumsiness	不器 [ふき]
clumsiness	不恰好 [ぶかっこう]
clumsiness	不手際 [ふてぎわ]
clumsiness	不調法 [ぶちょうほう]
clumsiness	不間 [ぶま]
clumsiness	無器用 [ぶきよう]
clumsiness	無調法 [ぶちょうほう]
clumsy	ぎこちない
clumsy	へぼ
clumsy	不器用 [ぶきよう]
clumsy	不格好 [ふかっこう]
clumsy	不格好 [ぶかっこう]
clumsy	不様 [ぶざま]
clumsy	不精巧 [ふせいこう]
clumsy	拙い [つたない]
clumsy	拙劣 [せつれつ]
clumsy	武骨 [ぶこつ]
clumsy	無様 [ぶざま]
cluster	クラスタ
cluster	クラスター
cluster	千成り [せんなり]
cluster	千生り [せんなり]
cluster	塊 [かたまり]
cluster	塊まり [かたまり]
cluster	集塊 [しゅうかい]
clutch	クラッチ
clutter	乱雑 [らんざつ]
