labourer	工夫 [こうふ]
landlady	女主 [おんなあるじ]
landlady	女将 [おかみ]
landlady	女将 [じょしょう]
landlady	御上 [おかみ]
landlord	主 [あるじ]
landlord	主人 [あるじ]
landlord	主人 [しゅじん]
landlord	亭主 [ていしゅ]
landlord	地主 [じぬし]
landlord	大家 [おおや]
landlord	大家さん [おおやさん]
landlord	大屋 [おおや]
landlord	大屋さん [おおやさん]
landlord	家主 [いえぬし]
landlord	家主 [やぬし]
landlord	差配人 [さはいにん]
landlord	管理者 [かんりしゃ]
landlord	貸し主 [かしぬし]
landmark	ランドマーク
landmark	境界標 [きょうかいひょう]
landmark	目印 [めじるし]
landmass	地塊 [ちかい]
landscape	ランドスケープ
landscape	山水 [さんすい]
landscape	景色 [けしき]
landscape	江山 [こうざん]
landscape	雲煙 [うんえん]
landslide	土砂崩れ [どしゃくずれ]
landslide	地辷り [じすべり]
landslide	山崩れ [やまくずれ]
landslide	山津波 [やまつなみ]
landslide	崖崩れ [がけくずれ]
lane	レーン
lane	小径 [しょうけい]
lane	小路 [こうじ]
lane	小路 [しょうじ]
lane	小逕 [しょうけい]
lane	小道 [こみち]
lane	横丁 [よこちょう]
lane	横町 [よこちょう]
lane	路地 [ろじ]
language	ランゲージ
language	言葉 [ことば]
language	言語 [げんご]
language	言辞 [げんじ]
language	語 [ご]
languid	怠い [だるい]
languid	悩ましい [なやましい]
languid	気だるい [けだるい]
languid	気怠い [けだるい]
languid	物憂い [ものうい]
languish	弱り衰える [よわりおとろえる]
languor	倦怠 [けんたい]
lanky	ひょろひょろ
lantern	ランタン
lantern	灯籠 [とうろう]
lap	ラップ
