immunity	免疫性 [めんえきせい]
importunate	煩い [うるさい]
importunate	諄い [くどい]
importunity	督促 [とくそく]
impose	課す [かす]
impose	課する [かする]
imposing	凛々しい [りりしい]
imposing	凛凛しい [りりしい]
imposing	堂々たる [どうどうたる]
imposing	堂堂たる [どうどうたる]
imposing	宏壮 [こうそう]
imposing	広壮 [こうそう]
imposing	物々しい [ものものしい]
imposing	物物しい [ものものしい]
imposing	立派 [りっぱ]
imposition	賦課 [ふか]
