discreet	慎み深い [つつしみぶかい]
disgrace	恥曝し [はじさらし]
disgrace	恥辱 [ちじょく]
disgrace	汚れ [けがれ]
disgrace	汚点 [おてん]
disgrace	汚辱 [おじょく]
disgrace	穢れ [けがれ]
disgrace	辱 [じょく]
disgrace	辱め [はずかしめ]
disgrace	面汚し [つらよごし]
disgraceful	不祥 [ふしょう]
disgraceful	不見識 [ふけんしき]
disgraceful	年甲斐もない [としがいもない]
disgraceful	年甲斐も無い [としがいもない]
disgraceful	恥ずべき [はずべき]
disgraceful	芳しくない [かんばしくない]
disguise	仮装 [かそう]
disguise	偽装 [ぎそう]
disguise	化けの皮 [ばけのかわ]
disguise	変装 [へんそう]
disguise	変身 [へんしん]
disguise	扮装 [ふんそう]
disguise	擬装 [ぎそう]
disguise	被う [おおう]
disguise	覆う [おおう]
disguise	覆面 [ふくめん]
disguise	迷彩 [めいさい]
disgust	嫌悪 [けんお]
disgust	嫌気 [いやき]
disgust	嫌気 [いやけ]
disgust	嫌気 [けんき]
disgust	胸糞 [むなくそ]
disgust	胸糞 [むねくそ]
disgusting	いけ好かない [いけすかない]
disgusting	キモイ
disgusting	厭やらしい [いやらしい]
disgusting	嫌らしい [いやらしい]
disgusting	悍ましい [おぞましい]
disgusting	最低 [さいてい]
disgusting	苦々しい [にがにがしい]
disgusting	苦苦しい [にがにがしい]
disgusting	鼻持ちならぬ [はなもちならぬ]
dish	お皿 [おさら]
dish	一品 [いっぴん]
dish	皿 [さら]
disharmony	不統一 [ふとういつ]
dishonest	不正直 [ふしょうじき]
dishonest	非良心的 [ひりょうしんてき]
dishonesty	不正 [ふせい]
dishonesty	不純 [ふじゅん]
dishonesty	不義理 [ふぎり]
dishonesty	不誠実 [ふせいじつ]
dishonesty	不誠意 [ふせいい]
dishonesty	横着 [おうちゃく]
dishonour	汚す [けがす]
dishonour	汚す [よごす]
dishonour	汚名 [おめい]
disillusion	覚醒 [かくせい]
disillusionment	幻滅 [げんめつ]
disinclination	嫌気 [いやき]
disinclination	嫌気 [いやけ]
disinclination	嫌気 [けんき]
disinfectant	殺菌剤 [さっきんざい]
disinfectant	消毒剤 [しょうどくざい]
disinfectant	消毒薬 [しょうどくやく]
disinfection	殺菌 [さっきん]
disinfection	消毒 [しょうどく]
disinfection	防疫 [ぼうえき]
disinheritance	勘当 [かんどう]
disinheritance	勘気 [かんき]
disinheritance	廃嫡 [はいちゃく]
disintegration	壊変 [かいへん]
disintegration	自壊 [じかい]
disinterest	恬淡 [てんたん]
disjunction	論理和 [ろんりわ]
disk	ディスク
disk	円盤 [えんばん]
disk	音盤 [おんばん]
diskette	ディスケット
dislike	厭う [いとう]
dislike	厭悪 [えんお]
dislike	否む [いやむ]
dislike	嫌い [きらい]
dislike	嫌いだ [きらいだ]
dislike	嫌う [きらう]
dislike	嫌がる [いやがる]
dislike	嫌忌 [けんき]
dislike	嫌忌 [けんぎ]
dislike	嫌気 [いやき]
dislike	嫌気 [いやけ]
dislike	嫌気 [けんき]
dislocation	断層 [だんそう]
dislocation	脱臼 [だっきゅう]
dislocation	転位 [てんい]
dislodge	退ける [どける]
dislodge	退ける [のける]
dislodge	除ける [のける]
disloyalty	不忠 [ふちゅう]
disloyalty	不忠実 [ふちゅうじつ]
disloyalty	不臣 [ふしん]
dismal	陰気臭い [いんきくさい]
dismantle	取り外す [とりはずす]
dismantling	取り壊し [とりこわし]
dismantling	取り外し [とりはずし]
dismantling	解体 [かいたい]
dismay	周章狼狽 [しゅうしょうろうばい]
