mediastinum	縦隔 [じゅうかく]
meditation	冥想 [めいそう]
meditation	反省 [はんせい]
meditation	思案 [しあん]
meditation	思索 [しさく]
meditation	沈吟 [ちんぎん]
meditation	沈思 [ちんし]
meditation	潛心 [せんしん]
meditation	潜心 [せんしん]
meditation	物思い [ものおもい]
meditation	瞑想 [めいそう]
meditation	観想 [かんそう]
meditation	観照 [かんしょう]
meditation	静座 [せいざ]
meditation	静思 [せいし]
meditation	黙想 [もくそう]
meditation	黙考 [もっこう]
meditative	思索的 [しさくてき]
medium	ミディアム
medium	並 [なみ]
medium	並み [なみ]
medium	中 [ちゅう]
medium	中位 [ちゅうい]
medium	仲介物 [ちゅうかいぶつ]
medium	媒介物 [ばいかいぶつ]
medium	媒質 [ばいしつ]
medium	巫 [かんなぎ]
medium	巫女 [ふじょ]
medium	巫女 [みこ]
medium	巫子 [みこ]
medium	市子 [いちこ]
medium	霊能者 [れいのうしゃ]
medley	メドレー
medley	一緒くた [いっしょくた]
medley	寄せ集め [よせあつめ]
meek	従順 [じゅうじゅん]
meek	柔らか [やわらか]
meek	柔順 [じゅうじゅん]
meek	神妙 [しんみょう]
meek	素直 [すなお]
meek	軟らか [やわらか]
meek	順良 [じゅんりょう]
meekness	柔和 [にゅうわ]
meet	ミート
meet	会う [あう]
meet	出迎える [でむかえる]
meet	副う [そう]
meet	応ずる [おうずる]
meet	落ち合う [おちあう]
meet	遇う [あう]
meet	遭う [あう]
meet	集う [つどう]
meet	顔を合わせる [かおをあわせる]
meeting	ミーティング
meeting	一緒 [いっしょ]
meeting	会 [かい]
meeting	会合 [かいごう]
meeting	会同 [かいどう]
meeting	会議 [かいぎ]
meeting	会集 [かいしゅう]
meeting	出会い [であい]
meeting	出迎え [でむかえ]
meeting	対面 [たいめん]
meeting	対顔 [たいがん]
meeting	引き合わせ [ひきあわせ]
meeting	待ち合い [まちあい]
meeting	待合 [まちあい]
meeting	見参 [けんざん]
meeting	迎え [むかえ]
meeting	逢瀬 [おうせ]
meeting	際会 [さいかい]
meeting	集い [つどい]
meeting	集まり [あつまり]
meeting	集会 [しゅうかい]
meeting	集合 [しゅうごう]
megahertz	メガヘルツ
megalith	巨石 [きょせき]
megalith	巨石記念物 [きょせききねんぶつ]
megalomania	誇大妄想 [こだいもうそう]
megalomania	誇大妄想狂 [こだいもうそうきょう]
megalopolis	メガロポリス
megalopolis	大都会 [だいとかい]
megaphone	メガホン
megaphone	伝音器 [でんおんき]
megaphone	拡声器 [かくせいき]
megaphone	拡声機 [かくせいき]
megaton	メガトン
melancholia	うつ病 [うつびょう]
melancholia	メランコリア
melancholia	憂欝症 [ゆううつしょう]
melancholia	鬱病 [うつびょう]
melancholic	メランコリック
melancholy	メランコリー
melancholy	幽愁 [ゆうしゅう]
melancholy	幽欝 [ゆううつ]
melancholy	悩ましい [なやましい]
melancholy	憂さ [うさ]
melancholy	憂愁 [ゆうしゅう]
melancholy	憂欝 [ゆううつ]
melancholy	憂鬱 [ゆううつ]
melancholy	暗うつ [あんうつ]
melancholy	暗欝 [あんうつ]
melancholy	暗鬱 [あんうつ]
melancholy	気鬱症 [きうつしょう]
melancholy	沈鬱 [ちんうつ]
melancholy	物悲しい [ものがなしい]
melancholy	物憂い [ものうい]
melancholy	陰欝 [いんうつ]
melancholy	陰気 [いんき]
melancholy	陰鬱 [いんうつ]
melancholy	鬱々 [うつうつ]
melancholy	鬱気 [うっき]
melancholy	鬱鬱 [うつうつ]
melanin	メラニン
melanoma	黒色腫 [こくしょくしゅ]
melatonin	メラトニン
melee	乱戦 [らんせん]
melee	乱軍 [らんぐん]
melee	挌闘 [かくとう]
mellow	円熟した [えんじゅくした]
mellow	熟れる [うれる]
mellowness	円熟 [えんじゅく]
mellowness	芳醇 [ほうじゅん]
melodious	メロディアス
melodious	朗らか [ほがらか]
melodrama	メロドラマ
melody	旋律 [せんりつ]
melody	曲調 [きょくちょう]
melody	歌曲 [かきょく]
melody	節 [ふし]
melody	節回し [ふしまわし]
melody	諧調 [かいちょう]
melody	音調 [おんちょう]
melon	メロン
melon	瓜 [うり]
