clay	陶磁 [とうじ]
clever	流石 [さすが]
clever	甘い [うまい]
clever	美味い [うまい]
clever	賢い [かしこい]
clever	軽妙 [けいみょう]
cleverly	手際良く [てぎわよく]
cleverly	旨く [うまく]
cleverness	伶俐 [れいり]
cleverness	俐発 [りはつ]
cleverness	小才 [こさい]
cleverness	小才 [しょうさい]
cleverness	巧み [たくみ]
cleverness	巧知 [こうち]
cleverness	巧者 [こうしゃ]
cleverness	怜俐 [れいり]
cleverness	怜悧 [れいり]
cleverness	機巧 [きこう]
cleverness	機転 [きてん]
cleverness	気転 [きてん]
cleverness	聡敏 [そうびん]
cliche	常套句 [じょうとうく]
cliche	決まり文句 [きまりもんく]
cliche	決り文句 [きまりもんく]
click	クリック
client	クライアント
client	依頼人 [いらいじん]
client	依頼人 [いらいにん]
client	依頼者 [いらいしゃ]
client	取り引き先 [とりひきさき]
client	取引先 [とりひきさき]
client	得意 [とくい]
client	得意客 [とくいきゃく]
client	来訪者 [らいほうしゃ]
client	顧客 [こかく]
client	顧客 [こきゃく]
clientele	客種 [きゃくだね]
clientele	客筋 [きゃくすじ]
cliff	切り岸 [きりぎし]
cliff	崖 [がけ]
cliff	断崖 [だんがい]
cliff	絶壁 [ぜっぺき]
climate	季候 [きこう]
climate	気候 [きこう]
climate	気象 [きしょう]
climate	風土 [ふうど]
climatology	気候学 [きこうがく]
climax	クライマックス
climax	山場 [やまば]
climax	最高潮 [さいこうちょう]
climax	極点 [きょくてん]
climax	白熱 [はくねつ]
climax	盛り上がり [もりあがり]
climax	絶頂 [ぜっちょう]
climb	よじ登る [よじのぼる]
climb	上る [のぼる]
climb	攀じ登る [よじのぼる]
climb	昇る [のぼる]
climb	登る [のぼる]
climber	クライマー
climbing	クライミング
climbing	上り [のぼり]
climbing	上昇 [じょうしょう]
climbing	昇り [のぼり]
climbing	登り [のぼり]
climbing	登攀 [とうはん]
clinch	クリンチ
clincher	止め [とどめ]
clincher	決まり手 [きまりて]
clincher	決め手 [きめて]
clincher	留め [とどめ]
cling	しがみ付く [しがみつく]
clinic	クリニック
clinic	医院 [いいん]
clinic	臨床講義 [りんしょうこうぎ]
clinician	臨床医 [りんしょうい]
