illogical	非論理的 [ひろんりてき]
immorality	淫風 [いんぷう]
immorality	破倫 [はりん]
immorality	背徳 [はいとく]
immortal	不朽 [ふきゅう]
immortal	不滅 [ふめつ]
immortality	不朽 [ふきゅう]
immortality	不死 [ふし]
immortality	不死身 [ふじみ]
immortality	不磨 [ふま]
immortality	常 [とわ]
immortality	永世 [えいせい]
immortality	永久 [えいきゅう]
immortality	永久 [とこしえ]
immortality	永久 [とわ]
immortality	永生 [えいせい]
immortality	永遠 [えいえん]
immortality	無窮 [むきゅう]
immovable	不変 [ふへん]
immovable	動かし難い [うごかしがたい]
immunity	免疫 [めんえき]
