gibberish	珍紛漢紛 [ちんぷんかんぷん]
give	施す [ほどこす]
give-and-take	ギブアンドテーク
give-and-take	持ちつ持たれつ [もちつもたれつ]
giver	与え主 [あたえぬし]
giving	供与 [きょうよ]
giving	呉 [ご]
giving	恵与 [けいよ]
giving	進上 [しんじょう]
gizzard	砂肝 [すなぎも]
gizzard	砂袋 [すなぶくろ]
glacier	氷河 [ひょうが]
glad	嬉しい [うれしい]
gladiolus	グラジオラス
gladly	快く [こころよく]
gladness	欣悦 [きねつ]
glamorous	グラマラス
glamour	蠱惑 [こわく]
glamour	魅力 [みりょく]
glance	一見 [いっけん]
glance	視線 [しせん]
gland	グランド
gland	腺 [せん]
glans	グランス
glans	亀頭 [きとう]
glare	煌く [きらめく]
glare	煌めく [きらめく]
glare	睨み [にらみ]
glaring	炯炯 [けいけい]
glaring	爛爛 [らんらん]
glaring	爛爛たる [らんらんたる]
glaring	目映い [まばゆい]
glaring	眩い [まばゆい]
glass	ガラス
glass	玻璃 [はり]
glass	硝子 [がらす]
glasses	眼鏡 [がんきょう]
glasses	眼鏡 [めがね]
glaucoma	緑内障 [りょくないしょう]
glaucoma	青内障 [あおそこひ]
glaze	上薬 [うわぐすり]
glaze	艶 [つや]
glaze	釉薬 [うわぐすり]
glaze	釉薬 [ゆうやく]
gleam	煌く [きらめく]
gleam	煌めく [きらめく]
gleaming	てかてか
gleeful	嬉々たる [ききたる]
gleeful	嬉嬉たる [ききたる]
glen	峡谷 [きょうこく]
glen	幽谷 [ゆうこく]
glib	口がうまい [くちがうまい]
glibness	口達者 [くちだっしゃ]
glide	滑る [すべる]
glide	滑走 [かっそう]
glide	辷らす [すべらす]
glider	グライダー
glider	滑空機 [かっくうき]
glider	滑翔機 [かっしょうき]
glimmer	仄めく [ほのめく]
glimmer	煌めき [きらめき]
glimpse	グリンプス
glimpse	一見 [いっけん]
glimpse	片影 [へんえい]
glint	閃光 [せんこう]
glissade	グリセード
glisten	きらきら
glisten	煌く [きらめく]
glisten	煌めく [きらめく]
glitter	きらきら
glitter	ぴかぴか
glitter	ぴかぴか光る [ぴかぴかひかる]
glitter	光り輝く [ひかりかがやく]
glitter	光る [ひかる]
glitter	煌く [きらめく]
glitter	煌めき [きらめき]
glitter	煌めく [きらめく]
glitter	輝く [かがやく]
glittering	輝かしい [かがやかしい]
gloat	悦に入る [えつにいる]
global	グローバル
global	世界的 [せかいてき]
globalisation	グローバリゼーション
globalization	グローバリゼーション
globe	グローブ
globe	球 [きゅう]
globe	球 [たま]
globe	球体 [きゅうたい]
glockenspiel	鉄琴 [てっきん]
gloom	不景気 [ふけいき]
gloom	冥暗 [めいあん]
gloom	冥闇 [めいあん]
gloom	幽愁 [ゆうしゅう]
gloom	幽欝 [ゆううつ]
gloom	憂さ [うさ]
gloom	憂愁 [ゆうしゅう]
gloom	憂欝 [ゆううつ]
gloom	憂色 [ゆうしょく]
gloom	憂鬱 [ゆううつ]
gloom	暗うつ [あんうつ]
gloom	暗影 [あんえい]
gloom	暗欝 [あんうつ]
gloom	暗翳 [あんえい]
gloom	暗鬱 [あんうつ]
gloom	気欝 [きうつ]
gloom	気鬱 [きうつ]
gloom	沈鬱 [ちんうつ]
gloom	翳り [かげり]
