迎え撃つ むかえうつ	12-2304-B,21-5055-B
迫害 はくがい	217-6698-B
迫害者 はくがいしゃ	217-6732-B
迫持 せりもち	17-3403-B
迫撃砲 はくげきほう	194-422-B
迫真 はくしん	242-102-B
述べる のべる	111-435-B,187-3739-B,287-5086-B
述懐 じゅっかい	244-2268-B
述語 じゅつご	227-6147-B
迷い まよい	29-5129-B,92-2660-B,144-4559-B,155-4103-B,157-3068-B
迷わす まよわす	29-4958-B,79-550-B,115-1817-B,190-6316-B,217-6371-B,237-4103-B
迷信 めいしん	297-3597-B
迷夢 めいむ	79-840-B,114-1888-B,151-502-B
迷妄 めいもう	79-868-B,114-1915-B,151-530-B
迷宮 めいきゅう	170-163-B,185-2165-B,196-1656-B
迷彩 めいさい	40-5934-B,87-4136-B
迷惑 めいわく	14-324-B,34-1440-B,315-723-B
迷惑を掛ける めいわくをかける	14-124-B,34-1469-B
迷論 めいろん	114-1945-B
迷路 めいろ	170-198-B,185-2195-B
迸る ほとばしる	298-4671-B
追いつく おいつく	210-1926-B
追い付く おいつく	210-1963-B
追い出す おいだす	110-1870-B
追い剥ぎ おいはぎ	145-1390-B
追い手 おいて	237-2927-B
追い抜く おいぬく	208-5007-B,209-3178-B
追い捲くる おいまくる	88-3084-B
追い掛ける おいかける	237-2759-B
追い散らす おいちらす	258-3589-B,262-4820-B
追い求める おいもとめる	237-2800-B
追い着く おいつく	210-2000-B
追い立て おいたて	88-6053-B,98-2333-B,107-1811-B
追い落とす おいおとす	88-3127-B
追い詰める おいつめる	66-1972-B
追い越し おいこし	213-5287-B
追い越す おいこす	208-5047-B,209-3215-B
追い込む おいこむ	66-2013-B,94-341-B,144-894-B
追い追いに おいおいに	135-773-B
追い風 おいかぜ	302-159-B
追い風 おいて	302-193-B
追う おう	47-1852-B
追って おって	171-3013-B
追って書き おってがき	226-2413-B
追っ掛け おっかけ	137-3313-B
追っ掛ける おっかける	237-2844-B
追伸 ついしん	226-2458-B
追加 ついか	5-3686-B,16-1568-B,297-5438-B
追尾 ついび	122-5285-B,237-3027-B
追弔 ついちょう	194-4169-B
追従 ついしょう	121-415-B,300-4085-B
追従 ついじゅう	58-975-B
追悼 ついとう	187-1497-B,194-4203-B
追想 ついそう	244-2306-B,248-6193-B
追憶 ついおく	244-2341-B,248-6228-B
追懐 ついかい	244-2376-B,248-5898-B,248-6263-B
追撃 ついげき	237-3088-B
追放 ついほう	25-2381-B,109-4012-B
追求 ついきゅう	164-3782-B
追申 ついしん	226-2491-B
追白 ついはく	226-2524-B
追究 ついきゅう	102-4231-B,164-3821-B
追而書 おってがき	226-2557-B
追而書き おってがき	226-2596-B
追行 ついこう	237-3118-B
追記 ついき	226-2638-B
追認 ついにん	60-5048-B,241-1029-B
追跡 ついせき	237-3148-B
追跡者 ついせきしゃ	237-2957-B
追録 ついろく	5-2891-B,226-2668-B
追随 ついずい	122-4484-B
追風 おいかぜ	302-224-B
追風 おいて	302-255-B
退かす どかす	249-1097-B
退く しりぞく	243-1071-B,334-1679-B
退く どく	243-1100-B,334-1710-B
退く のく	243-1123-B,334-1735-B
退く ひく	243-1146-B,334-1760-B
退ける しりぞける	247-3928-B,249-6584-B,251-66-B
退ける どける	87-6417-B,249-1126-B
退ける のける	87-6448-B,249-1155-B
退っ引きならない のっぴきならない	157-754-B,317-2646-B
退任 たいにん	253-6169-B
退位 たいい	1-2459-B
退出 たいしゅつ	173-472-B,334-1995-B
退勢 たいせい	75-6069-B,76-5156-B
退化 たいか	78-1142-B,254-975-B
退却 たいきゃく	253-6202-B,254-457-B,334-2031-B
退去 たいきょ	80-559-B,173-505-B,243-4543-B
退場 たいじょう	109-5087-B,173-535-B
退嬰的 たいえいてき	62-1036-B,317-1481-B
退屈 たいくつ	33-5543-B,303-4616-B
退廃 たいはい	67-566-B,75-5090-B,78-1174-B,82-4419-B,172-228-B
退廃的 たいはいてき	75-5245-B,78-1003-B
退役軍人 たいえきぐんじん	107-2981-B
退歩 たいほ	78-1045-B
退治 たいじ	111-4485-B
退社 たいしゃ	252-725-B
退色 たいしょく	113-1888-B
退行 たいこう	246-5324-B,254-1008-B
退避 たいひ	106-2267-B
退陣 たいじん	253-6238-B,254-490-B,334-2067-B
送り おくり	128-2526-B
送りつける おくりつける	267-2541-B
送り付ける おくりつける	267-2583-B
送り出す おくりだす	125-1563-B
送り届ける おくりとどける	78-6109-B
送り手 おくりて	267-2888-B
送る おくる	88-2402-B
送付 そうふ	267-3007-B
送付先 そうふさき	5-4956-B
送信 そうしん	312-6003-B
送出 そうしゅつ	267-3034-B
送別 そうべつ	115-954-B,267-2737-B
送料 そうりょう	43-426-B,225-6423-B
送致 そうち	267-3067-B
送話器 そうわき	194-4927-B
送達 そうたつ	65-1486-B,79-293-B,88-2430-B
送還 そうかん	249-4793-B
送金 そうきん	248-6366-B
送風 そうふう	324-3606-B
送風機 そうふうき	324-3905-B
逃げ にげ	104-5952-B,106-3177-B,131-5125-B
逃げる にげる	104-5975-B
逃げ去る にげさる	85-5857-B
逃げ口上 にげこうじょう	109-450-B
逃げ場 にげば	104-6004-B,246-2396-B
逃げ失せる にげうせる	104-6033-B
逃げ果せる にげおおせる	105-0-B
逃げ水 にげみず	190-1871-B
逃げ走る にげはしる	121-1521-B
逃れる のがれる	105-44-B
逃亡 とうぼう	105-76-B
逃亡者 とうぼうしゃ	127-5573-B,259-3671-B
逃走 とうそう	81-1033-B,105-105-B,121-3041-B
逃避 とうひ	105-134-B,106-3201-B,121-3070-B
逃避的 とうひてき	106-3228-B
逃避行 とうひこう	99-1303-B,121-3096-B
逆 ぎゃく	206-2894-B,254-5225-B
逆さ さかさ	164-2772-B,254-5249-B
逆さま さかさま	164-2801-B
逆なで ぎゃくなで	165-2676-B
逆なで さかなで	165-2715-B
逆に ぎゃくに	65-77-B
逆らう さからう	78-697-B,88-957-B,206-2487-B
逆上 ぎゃくじょう	89-6238-B,126-4239-B
逆作用 ぎゃくさよう	241-3573-B
逆効果 ぎゃくこうか	24-2778-B,67-5004-B
逆効果 ぎゃっこうか	24-2818-B,67-5053-B
逆噴射 ぎゃくふんしゃ	69-2133-B
逆回転 ぎゃくかいてん	67-3765-B
逆境 ぎゃっきょう	7-1816-B
逆徒 ぎゃくと	242-4828-B,311-6352-B
逆心 ぎゃくしん	313-2462-B
逆戻り ぎゃくもどり	247-5162-B,254-1044-B,254-4779-B
逆撫で ぎゃくなで	165-2751-B
逆撫で さかなで	165-2790-B
逆旅 げきりょ	159-426-B
逆様 さかさま	164-2836-B
逆用 ぎゃくよう	2-6120-B,191-3642-B
逆立ち さかだち	140-529-B
逆立つ さかだつ	206-2519-B
逆算 ぎゃくさん	67-3208-B
逆行 ぎゃっこう	7-1690-B,254-939-B
逆襲 ぎゃくしゅう	67-3987-B
逆説 ぎゃくせつ	212-1599-B
逆説的 ぎゃくせつてき	212-1666-B
逆賊 ぎゃくぞく	161-2522-B,242-4856-B,311-6382-B
逆転 ぎゃくてん	254-4819-B
逍遙 しょうよう	292-3082-B,328-2692-B
逍遥 しょうよう	240-2495-B,261-5291-B,328-2722-B
透かし彫り すかしぼり	126-6430-B
透き すき	129-4179-B
透き間 すきま	68-5828-B,69-5516-B,129-4199-B,205-4909-B
透す とおす	63-5867-B,168-708-B,210-503-B
透写 とうしゃ	311-843-B
透察 とうさつ	159-6161-B
透徹 とうてつ	51-2821-B,216-1056-B
透徹した とうてつした	51-1885-B,179-3344-B,216-633-B
透明 とうめい	51-614-B,312-6547-B
透明度 とうめいど	312-6582-B
透明性 とうめいせい	312-6623-B
透析療法 とうせきりょうほう	83-3731-B
透水性 とうすいせい	217-4359-B
透視 とうし	50-2905-B
透過 とうか	312-6038-B
透過性 とうかせい	217-4403-B,312-6667-B
逐一 ちくいち	190-1339-B
逐年 ちくねん	14-1098-B
逐次 ちくじ	295-2468-B
逐電 ちくでん	121-3131-B
逓伝 ていでん	248-275-B
逓次 ていじ	295-2500-B
途 と	330-1285-B
途中 つちゅう	189-1030-B
途中 とちゅう	189-1059-B
途中下車 とちゅうげしゃ	290-2662-B
途切れる とぎれる	214-5286-B
途切れ途切れ とぎれとぎれ	37-563-B,162-5378-B
途方 とほう	81-6447-B,242-3280-B,330-1299-B
途方もない とほうもない	2-4435-B,112-909-B,209-1571-B,228-5907-B
途絶 とぜつ	45-3943-B,163-969-B,290-2885-B,299-3446-B
途絶える とだえる	44-4515-B,290-2420-B
途轍もない とてつもない	2-4479-B,112-1510-B,228-5957-B,317-3567-B,320-4298-B
途轍も無い とてつもない	2-4523-B,112-1559-B,228-6007-B,317-3617-B,320-4348-B
逗留 とうりゅう	280-1147-B
逗留客 とうりゅうきゃく	280-1180-B,327-991-B
這々 ほうほう	60-6740-B,217-6503-B
這いずる はいずる	69-1775-B,69-4639-B
這い這い はいはい	69-1887-B,69-4753-B
這う はう	69-1809-B,69-4673-B
這入り込む はいりこむ	216-589-B
這這 ほうほう	60-6773-B,217-6536-B
通 つう	61-4537-B
通い路 かよいじ	258-3784-B
通し とおし	85-2121-B,290-5302-B
通じ つうじ	106-2297-B,213-4553-B
通じて つうじて	307-4823-B,325-2526-B
通じる つうじる	56-1910-B,318-2277-B
通じ合う つうじあう	318-2313-B
通す とおす	63-5895-B,168-732-B,210-531-B
通ずる つうずる	56-1947-B,318-2355-B
通り とおり	23-4159-B,291-4423-B,330-1322-B
通りすがり とおりすがり	213-5323-B
通り一遍 とおりいっぺん	43-4240-B,217-1604-B
通り言葉 とおりことば	17-5044-B,276-5394-B
通り過ぎる とおりすぎる	213-4027-B
通り道 とおりみち	213-4580-B,214-1652-B,258-3815-B
通り雨 とおりあめ	272-4965-B
通事 つうじ	162-6877-B
通人 つうじん	84-4347-B
通例 つうれい	73-829-B,322-2597-B
通俗 つうぞく	56-696-B,225-363-B
通俗化 つうぞくか	225-1049-B
通信 つうしん	56-2239-B,66-5470-B,198-6485-B,273-5598-B
通信員 つうしんいん	66-5689-B
通信文 つうしんぶん	188-873-B
通信費 つうしんひ	225-6456-B
通分 つうぶん	245-2767-B
通勤者 つうきんしゃ	56-2835-B
通告 つうこく	13-6234-B,201-99-B
通商 つうしょう	55-4552-B,311-1612-B
通報 つうほう	38-1384-B,250-3553-B,309-19-B
通帳 つうちょう	213-4703-B
通常 つうじょう	56-725-B,130-4821-B,200-2843-B,322-2257-B
通常の場合 つうじょうのばあい	322-2627-B
通有 つうゆう	56-835-B
通気 つうき	9-4374-B,324-3640-B
通気孔 つうきこう	324-3475-B
通牒 つうちょう	49-5965-B,187-1356-B,201-128-B,201-710-B
通用 つうよう	50-0-B
通知 つうち	201-160-B,201-748-B
通知状 つうちじょう	201-186-B
通研 つうけん	169-5337-B
通称 つうしょう	10-814-B,199-1477-B
通算 つうさん	310-3368-B
通航 つうこう	197-2453-B,260-3819-B
通行 つうこう	213-4616-B,213-5368-B
通行税 つうこうぜい	309-3617-B
通解 つうかい	55-4165-B,110-4743-B
通計 つうけい	296-3245-B,310-3396-B
通訳 つうやく	162-6911-B
通訳人 つうやくにん	162-7118-B
通訳者 つうやくしゃ	162-7161-B
通詞 つうじ	162-6948-B
通話 つうわ	40-3854-B,302-2492-B
通謀 つうぼう	54-3988-B
通貨 つうか	72-3222-B
通路 つうろ	213-4646-B,214-2400-B
通辞 つうじ	162-6982-B
通運 つううん	313-71-B
通過 つうか	213-5398-B
通達 つうたつ	201-780-B
通釈 つうしゃく	55-4198-B,110-4777-B
通風 つうふう	324-3671-B
通風孔 つうふうこう	324-3508-B
通風機 つうふうき	324-3944-B
逝く ゆく	83-6018-B
逝去 せいきょ	75-3264-B
逞しい たくましい	38-5418-B,292-3604-B,293-3700-B
速い はやい	115-2896-B,238-4244-B,300-1490-B
速く はやく	96-981-B,115-2920-B,281-2522-B
速さ はやさ	283-3131-B
速める はやめる	3-267-B,110-1535-B,141-3149-B,227-4570-B,238-4332-B
速やか すみやか	283-3156-B
速写 そくしゃ	279-1047-B
速分かり はやわかり	138-3181-B
速力 そくりょく	283-3187-B
速力度 そくりょくど	283-3218-B,324-2559-B
速度 そくど	241-603-B,283-3255-B,324-2599-B
速度計 そくどけい	283-3385-B
速度違反 そくどいはん	283-3305-B
速記 そっき	272-2598-B
速記者 そっきしゃ	288-4095-B
速記術 そっきじゅつ	272-2627-B
速足 はやあし	314-5604-B
速達 そくたつ	111-465-B
造り つくり	181-4098-B,219-6431-B,292-4622-B
造り上げる つくりあげる	57-5491-B,63-517-B,112-4506-B
造り付け つくりつけ	38-392-B,120-2616-B
造り出す つくりだす	231-5428-B
造り手 つくりて	37-5927-B,69-3328-B,181-4228-B
造る つくる	37-5746-B,53-4864-B,58-2099-B,63-564-B,69-2521-B,71-5644-B,105-2717-B,112-4553-B,181-3807-B,183-937-B,207-4343-B,336-1204-B
造作 ぞうさ	84-1689-B,315-753-B
造作 ぞうさく	181-4820-B
造作ない ぞうさない	96-4954-B
造作無い ぞうさない	96-4990-B
造兵廠 ぞうへいしょう	18-850-B,19-0-B
造反 ぞうはん	242-5239-B
造営 ぞうえい	38-314-B,63-1220-B
造幣 ぞうへい	53-4957-B
造成 ぞうせい	51-2315-B,69-2816-B,244-1076-B
造林学 ぞうりんがく	124-440-B
造次 ぞうじ	192-4439-B
造石高 ぞうこくだか	36-435-B
造船所 ぞうせんしょ	271-4690-B
造船所 ぞうせんじょ	271-4730-B
造言 ぞうげん	174-5483-B
造詣 ぞうけい	263-2143-B
逡巡 しゅんじゅん	144-4589-B,155-4133-B
逢い引き あいびき	20-2660-B,249-1649-B
逢引 あいびき	20-2700-B,249-1688-B
逢引き あいびき	20-2734-B,249-1721-B
逢瀬 おうせ	74-4636-B,186-4436-B,315-3983-B
逢着 ほうちゃく	100-5254-B,112-5713-B
連 れん	56-4596-B,137-3189-B,213-3707-B
連なる つらなる	111-2552-B
連ねる つらねる	166-3244-B,176-1261-B
連れ つれ	56-3964-B,56-4617-B
連れて つれて	19-3036-B
連れる つれる	172-1654-B
連れ立つ つれたつ	3-4345-B
連れ立つ つれだつ	3-4383-B
連中 れんじゅう	56-4641-B
連中 れんちゅう	56-4674-B
連係 れんけい	61-3943-B
連動 れんどう	130-3695-B,176-1387-B
連句 れんく	68-84-B
連合 れんごう	10-4430-B,319-5431-B
連合会 れんごうかい	20-6060-B,116-4757-B
連吟 れんぎん	94-4483-B
連子 れんじ	171-3561-B
連帯 れんたい	280-3915-B
連想 れんそう	296-813-B
連打 れんだ	26-730-B
連接 れんせつ	61-3976-B
連携 れんけい	65-4634-B
連盟 れんめい	10-4461-B,172-3646-B,319-5459-B
連立 れんりつ	10-4492-B,53-667-B
連累 れんるい	58-1618-B,152-5092-B,164-6202-B
連結 れんけつ	58-6459-B
連結器 れんけつき	61-4366-B,67-6314-B
連絡 れんらく	56-2275-B,61-4009-B,63-2736-B,65-4902-B,167-3199-B
連続 れんぞく	61-6079-B,63-5956-B,63-6031-B,268-3545-B
連続体 れんぞくたい	63-6645-B
連綿たる れんめんたる	63-6322-B,317-3881-B
連繋 れんけい	61-4042-B,176-1417-B
連記 れんき	176-3300-B
連語 れんご	219-5049-B
連載 れんさい	268-3624-B
連載小説 れんさいしょうせつ	268-3574-B
連辞 れんじ	65-5429-B
連邦 れんぽう	56-1514-B
連邦制度 れんぽうせいど	116-4607-B
連邦国家 れんぽうこっか	116-4799-B
連鎖 れんさ	45-4542-B,61-4075-B
連鎖状球菌 れんさじょうきゅうきん	291-5241-B
連関 れんかん	61-4105-B,176-1447-B,247-5723-B
連隊 れんたい	246-4447-B
逮捕 たいほ	16-5456-B,18-5100-B,42-1204-B
逮捕者 たいほしゃ	42-422-B
週 しゅう	331-653-B
週期 しゅうき	73-3782-B,217-2652-B
週末 しゅうまつ	331-902-B
週間 しゅうかん	331-674-B,331-987-B
進ずる しんずる	204-1483-B,229-756-B
進ぜる しんぜる	204-1514-B,229-789-B
進み すすみ	232-3420-B
進み出る すすみでる	327-4763-B
進む すすむ	7-537-B,153-3597-B
進める すすめる	7-564-B,141-3181-B,233-1303-B
進め方 すすめかた	124-5126-B,231-2983-B
進上 しんじょう	132-2912-B
進入 しんにゅう	103-3871-B,216-1090-B
進出 しんしゅつ	7-597-B
進化 しんか	107-2920-B,232-3448-B
進取 しんしゅ	102-5951-B
進呈 しんてい	229-1736-B
進境 しんきょう	153-4133-B,232-3476-B
進展 しんてん	82-6755-B,232-3510-B
進度 しんど	232-3541-B
進捗 しんちょく	232-3569-B
進撃 しんげき	7-630-B,46-5480-B
進攻 しんこう	21-5093-B
進歩 しんぽ	83-0-B,232-3603-B
進歩主義 しんぽしゅぎ	232-3903-B
進歩的 しんぽてき	232-3863-B
進物 しんもつ	132-909-B,229-822-B
進発 しんぱつ	287-3703-B
進行 しんこう	7-660-B
進言 しんげん	67-2901-B,234-866-B
進路 しんろ	68-1108-B,258-3849-B
進軍 しんぐん	7-690-B,183-2440-B
進退 しんたい	194-5545-B
進駐 しんちゅう	203-4882-B
逸する いっする	83-99-B,124-2017-B
逸らす そらす	23-4594-B
逸事 いつじ	13-1635-B
逸出 いっしゅつ	105-160-B,232-6350-B
逸品 いっぴん	130-3965-B
逸早く いちはやく	233-3246-B,238-4903-B
逸楽 いつらく	223-413-B
逸民 いつみん	244-1200-B
逸脱 いつだつ	83-254-B,205-68-B
逸話 いつわ	13-1663-B
逸走 いっそう	105-192-B,264-2674-B
逸足 いっそく	108-1811-B
逸速く いちはやく	233-3283-B,238-4939-B
逼迫 ひっぱく	152-2017-B
遁走 とんそう	105-221-B,121-1598-B
遁走曲 とんそうきょく	127-5613-B
遂げる とげる	3-5530-B,4-2087-B
遂に ついに	119-27-B
遂行 すいこう	3-5866-B,109-856-B
遅々 ちち	278-138-B
遅々たる ちちたる	278-159-B,302-4358-B
遅い おそい	171-2209-B,278-192-B
遅く おそく	171-2233-B
遅らす おくらす	78-3295-B,253-5070-B
遅れ おくれ	78-3326-B,170-1752-B
遅刻 ちこく	171-2751-B
遅参 ちさん	171-2779-B,302-4307-B
遅延 ちえん	78-3351-B
遅滞 ちたい	78-3376-B,231-4503-B
遅疑 ちぎ	144-4628-B,322-5033-B
遅蒔き おそまき	171-2807-B
遅速 ちそく	232-3631-B,283-3280-B
