わっぷ	10-5989-S,145-3752-S,239-1912-S
アクセス	3-1758-B
アクセプタンス	3-1207-B
アクセプト	3-683-B
アクセレレーター	3-475-B
アクセント	3-512-B
アクター	5-507-B
アクチュアリティー	5-973-B
アクチュアル	5-918-B
アクティビティ	5-163-B
アクティブ	4-6379-B
アクティベーション	4-6221-B
アクティヴ	4-6402-B
アクトレス	5-804-B
アクリロニトリル	4-5468-B
アクロバチック	4-5256-B
アクロバット	4-5154-B
アクロバットダンサー	63-6686-B
アクロポリス	4-5351-B
アクースティック	4-3681-B
アグリカルチャー	9-2119-B
アグリビジネス	9-2055-B
アグリーメント	9-616-B
アグレッシブ	8-4965-B
アグロメ	8-4097-B
アゲンスト	8-1850-B
アコースティック	4-3715-B
アコーディオン	3-6175-B
アコーデオン	3-6207-B
アコード	3-5903-B
アゴラフォビア	9-268-B
アサイド	19-4140-B
アサイン	20-2167-B
アサインメント	20-2771-B
アサシン	19-5790-B
アサルト	20-204-B
アサート	20-1509-B
アシスタント	20-4733-B
アシスト	20-3593-B,20-3767-B
アシッド	4-2461-B
アシドーシス	4-2671-B
アシンメトリー	21-1530-B
アジ	8-5687-B
アジェンダ	8-3387-B
アジテーション	8-5704-B
アジテーター	8-6097-B
アジャスト	6-401-B
アスタリスク	21-82-B
アスター	21-110-B
アステリ	21-132-B
アステリスク	21-154-B
アストリンゼント	21-812-B
アストロノート	21-1088-B
アストロロジー	21-848-B
アスパラガス	19-4542-B
アスパルテーム	19-4571-B
アスピック	19-5011-B
アスファルト	19-4898-B
アスファルトどうろ	31-1977-S
アスファルト道路 アスファルトどうろ	31-1977-B
アスペクト	19-4603-B
アスリート	21-2150-B
アスレチッククラブ	138-5573-B
アセス	20-1813-B
アセスメント	20-1834-B
アセチルか	4-1805-S
アセチルコリン	4-1851-B
アセチル化 アセチルか	4-1805-B
アセチレン	4-1887-B
アセテート	4-1721-B
アセトン	4-1784-B
アセンブラ	20-891-B
アセンブラー	20-917-B
アセンブリ	20-946-B
アセンブリー	20-971-B
アセンブル	20-613-B
アソシエーション	20-5637-B
アタッカー	21-5148-B
アタック	21-4487-B
アタッチ	21-3530-B
アタッチメント	21-3653-B
アダプタ	5-2513-B
アダプター	5-2534-B
アダプティヴ	5-2558-B
アダルト	6-5933-B
アダージョ	5-1663-B
アックス	24-507-B
アッシュ	19-3904-B
アッテネーター	22-1134-B
アット	21-1841-B
アッパー	321-2080-B
アッパーカット	321-2146-B
アップグレード	321-1663-B
アップデイト	321-1525-B
アップデート	321-1551-B
アップライト	321-2198-B
アップリケ	16-3125-B
アップロード	321-2054-B
アッペ	16-1024-B
アテスト	22-1206-B
アテロームせいどうみゃくこうかしょう	21-2043-S
アテローム性動脈硬化症 アテロームせいどうみゃくこうかしょう	21-2043-B
アテンション	22-582-B
アディオス	43-1455-B
アデプト	5-4994-B
アトミック	21-2583-B
アトム	21-2520-B
アトモスフィア	21-2297-B
アトラクション	22-2262-B
アトラクター	22-3145-B
アトラクティブ	22-2676-B
アトリウム	21-2782-B
アトリビュート	22-3174-B
アド	5-1653-B,7-1854-B
アドバイザー	7-2448-B
アドバイス	7-1990-B
アドバタイジング	7-1953-B
アドバタイズメント	7-1875-B
アドバンテージ	7-1006-B
アドベンチャー	7-1412-B
アドミタンス	6-3882-B
アドミッション	6-3558-B
アドレス	5-3933-B
アドヴァイザー	7-2706-B
アドービ	6-4515-B
アナ	14-0-B
アナウンサー	14-17-B
アナウンスメント	13-5951-B
アナキスト	12-6265-B
アナキズム	12-6210-B
アナクロ	12-5256-B
アナクロニズム	12-5281-B
アナグラム	12-5567-B
アナテマ	13-34-B
アナライザ	12-6082-B
アナライザー	12-6107-B
アナリシス	12-5858-B
アナリスト	12-6016-B
アナログ	12-5709-B,12-5758-B
アナロジー	12-5780-B
アナーキスト	12-6291-B
アナーキズム	12-6236-B
アナーキー	12-6379-B
アニバーサリー	13-5236-B
アニマ	13-3576-B
アニマル	13-3592-B
アニミズム	13-3823-B
アニメ	13-3714-B
アニメーション	13-3734-B
アニメーター	13-3795-B
アニリン	13-3555-B
アヌス	14-6712-B
アネクドート	13-1462-B
アネモネ	13-1778-B
アノニマス	14-1432-B
アノラック	14-1666-B
アノレクシア	14-1689-B
アノード	14-1247-B
アバウト	1-5737-B
アバンギャルド	23-3529-B
アパシー	15-2408-B
アパタイト	16-1624-B
アパルトヘイト	15-2259-B
アパルトヘイド	15-2291-B
アパーチャ	15-2499-B
アビリスク	202-2221-B
アビリティー	1-3532-B
アピール	15-4390-B
アフェア	7-4009-B
アフォルズム	15-2733-B
アフタヌーン	8-1189-B
アフター	8-716-B
アフターケア	8-924-B
アブサン	2-1675-B
アブストラクション	2-3431-B
アブソリューティズム	2-2413-B
アブノーマル	1-4362-B
アプライ	16-3150-B
アプリケーション	16-2465-B
アプリコット	17-1395-B
アヘッド	9-2409-B
アヘン	206-819-B
アベイラビリティ	23-3281-B
アベニュー	23-4046-B
アベレージ	23-4185-B
アペタイザー	16-1767-B
アペリティフ	15-2428-B
アペンド	16-605-B
アボカド	23-4835-B
アボリジニー	1-5310-B
アボート	1-5339-B
アポ	16-3610-B
アポイント	16-3629-B
アポイントメント	16-3657-B
アポストロフィ	15-3638-B
アポストロフィー	15-3671-B
アポトーシス	15-3387-B
アポプトーシス	15-3416-B
アマ	12-510-B
アマチュア	12-525-B
アマチュアリズム	12-666-B
アマリリス	12-431-B
アマルガム	12-21-B
アミューズメント	12-4943-B
アミラーゼ	12-5232-B
アミーバ	12-3595-B
アムネスティ	12-3398-B
アムホテリシン	12-4408-B
アメシスト	12-2592-B
アメジスト	12-2617-B
アメニティー	12-2529-B
アメリカねずこ	245-3783-B
アメリカひょう	165-6133-S
アメリカやぎゅう	37-5160-S
アメリカザリガニ	69-1637-B
アメリカヤマボウシ	91-3800-B
アメリカ豹 アメリカひょう	165-6133-B
アメリカ野牛 アメリカやぎゅう	37-5160-B
アメーバ	12-3615-B
アモルファス	12-3754-B
アライアンス	10-4192-B
アラインメント	10-1322-B
アラウンド	18-1678-B
アラビアゴムのき	2-6530-S
アラビアゴムの木 アラビアゴムのき	2-6530-B
アラベスク	17-2011-B
アラート	10-100-B
アラーム	9-4978-B
アリア	17-5816-B
アリゲーター	10-4567-B
アリストクラシー	17-6207-B
アリストクラット	17-6324-B
アリバイ	10-870-B
アリーナ	17-4960-B
アルちゅう	9-6096-S
アルカイズム	17-3539-B
アルカイック	17-3512-B
アルカリ	10-1620-B
アルカリせい	10-1640-S
アルカリ性 アルカリせい	10-1640-B
アルカロイド	10-1686-B
アルカローシス	10-1714-B
アルコーブ	10-0-B
アルコール	9-5913-B
アルコールいぞんしょう	9-6024-S
アルコールちゅうどく	9-5958-S
アルコール中毒 アルコールちゅうどく	9-5958-B
アルコール依存症 アルコールいぞんしょう	9-6024-B
アルゴリズミック	10-354-B
アルゴリズム	10-275-B
アルチザン	19-1739-B
アルデヒド	10-75-B
アルト	11-5113-B
アルバトロス	9-5358-B
アルバム	9-5591-B
アルパイン	11-2327-B
アルパカ	11-2199-B
アルビノ	9-5504-B
アルピニスト	11-2379-B
アルファ	11-2219-B
アルファベット	11-2238-B
アルブミン	9-5610-B
アルペジオ	18-2059-B
アルマジロ	18-219-B
アルマナック	11-740-B
アルミ	11-5713-B
アルミナ	11-5692-B
アルミニウム	11-5733-B
アル中 アルちゅう	9-6096-B
アレイ	18-4080-B
アレグレット	10-3917-B
アレグロ	10-3947-B
アレゴリー	10-3579-B
アレルゲン	10-3968-B
アレンジ	18-2190-B
アレンジメント	18-2994-B
アレンジャー	18-3991-B
アロエ	11-1470-B
アロケーション	10-4711-B
アロケート	10-4686-B
アロハ	11-1512-B
アロー	18-6322-B
アワー	147-5322-B
アンカー	13-443-B
アンカーマン	13-748-B
アンクレット	13-4173-B
アングラ	318-603-B
アングリ	13-2763-B
アングル	13-2719-B
アンケート	299-1010-B
アンコール	100-5132-B
アンサンブル	102-4599-B
アンジェラス	13-2155-B
アンジュレーション	318-4969-B
アンソロジー	14-3251-B
アンタゴニズム	14-2420-B
アンタッチャブル	320-7091-B
アンダンティーノ	13-1280-B
アンダー	317-7571-B
アンダーウェア	318-4532-B
アンダーグラウンド	318-628-B
アンダーコート	318-99-B
アンダーシャツ	318-1426-B
アンダースコア	318-1283-B
アンダーライン	318-866-B
アンチックたい	14-5754-S
アンチック体 アンチックたい	14-5754-B
アンチドート	14-4955-B
アンチフェミニズム	14-5131-B
アンチフリーズ	14-5172-B
アンチモン	14-5563-B
アンチョビー	13-777-B
アンチーク	14-5805-B
アンティック	14-5829-B
アンティーク	14-5856-B
アンテナ	14-3019-B
アントニム	14-6565-B
アントレ	103-3204-B
アンド	13-1013-B
アンドゥ	318-4749-B
アンドロイド	13-1435-B
アンドロゲン	13-1355-B
アンハッピー	319-2481-B
アンバサダー	12-968-B
アンバー	12-1028-B,317-984-B
アンパイア	317-1234-B
アンビアンス	12-1193-B
アンビバレンス	12-1982-B
アンビリ	317-3485-B
アンフェア	318-7081-B
アンフェタミン	12-4105-B
アンプ	12-4091-B
アンプリファイア	12-4563-B
アンプル	12-4636-B
アンプレイアブル	320-2565-B
アンプロンプチュ	153-2621-B
アンホテリシン	12-4443-B
アンモナイト	12-3207-B
アンモニア	12-3183-B
アンモニウム	12-3235-B
アンラッキー	320-1719-B
