aslope	20-2398-B,20-2414-B
attach	22-1329-B,22-1355-B,22-1383-B,22-1413-B,22-1439-B,22-1469-B,22-1495-B,22-1525-B,22-1557-B,22-1589-B
attach importance to	22-1615-B
attache	22-1672-B
attached	22-1693-B,22-1721-B,22-1753-B
attachment	22-1785-B,22-1823-B
attack	22-1859-B,22-1877-B,22-1903-B,22-1937-B,22-1961-B,22-1987-B,22-2013-B,22-2043-B,22-2067-B,22-2091-B,22-2113-B
attacker	22-2139-B,22-2167-B
attain	22-2197-B,22-2225-B,22-2253-B,22-2279-B,22-2305-B,22-2327-B,22-2351-B
attainable	22-2381-B
attainment	22-2413-B,22-2445-B
attempt	22-2481-B,22-2512-B,22-2529-B,22-2558-B,22-2585-B,22-2616-B,22-2639-B,22-2658-B,22-2685-B
attend	22-2710-B,22-2736-B,22-2764-B,22-2792-B,22-2816-B,22-2846-B,22-2870-B,22-2902-B,22-2934-B,22-2968-B,22-2994-B
attendance	22-3014-B,22-3050-B,22-3086-B,22-3116-B,22-3150-B
attendant	22-3170-B,22-3201-B,22-3222-B,22-3251-B,22-3290-B,22-3327-B
attention	22-3352-B,22-3379-B,22-3418-B,22-3441-B,22-3476-B,22-3507-B,22-3526-B,206-307-S
attentive	22-3551-B,22-3586-B,22-3617-B
attentiveness	22-3662-B,22-3705-B
attenuate	22-3758-B,22-3787-B,22-3816-B
attenuation	22-3843-B,22-3876-B,22-3911-B
attest	22-3944-B,22-3974-B,22-4006-B,22-4048-B
attestation	22-4080-B,22-4109-B,22-4162-B,22-4201-B
attested	22-4240-B
attic	22-4292-B,22-4315-B
attire	22-4334-B,22-4358-B,22-4380-B,22-4400-B
attitude	22-4420-B,22-4442-B,22-4470-B,22-4488-B,22-4512-B
attorney	22-4540-B,22-4564-B,22-4594-B,22-4624-B
attract	22-4662-B,22-4681-B,22-4702-B,22-4725-B,22-4754-B
attraction	22-4785-B,22-4817-B,22-4845-B,22-4891-B,22-4923-B
attractive	22-4953-B,22-4985-B,22-5027-B
attractiveness	22-5067-B
attribute	22-5117-B,22-5142-B,22-5161-B,22-5194-B,22-5221-B,22-5246-B,22-5271-B,22-5304-B,22-5331-B
attribution	22-5375-B
attributive	22-5412-B
attrition	22-5449-B
attune	22-5478-B
atypical	22-5508-B,22-5540-B,22-5568-B
aubergine	22-5598-B
auburn	22-5625-B
auction	22-5653-B
auctioneer	22-5676-B
audacious	22-5708-B,22-5733-B,22-5768-B,22-5791-B
audaciousness	22-5814-B,22-5845-B
audacity	23-0-B,23-26-B,23-52-B
audibility	23-78-B
audible	23-110-B,23-133-B,23-158-B
audience	23-181-B,23-209-B,23-237-B,23-261-B,23-285-B
audio visual	23-313-B
audiometer	23-357-B
audiovisual	23-387-B
audit	23-430-B,23-453-B,23-489-B,23-514-B,23-535-B
audition	23-562-B,23-598-B
auditor	23-616-B,23-639-B,23-678-B
auditorium	23-701-B,23-731-B
auger	23-770-B,23-783-B,23-800-B,23-819-B
aught	23-834-B
augment	23-851-B,23-880-B,23-913-B,23-942-B,23-973-B
augmentation	23-1008-B,23-1038-B,23-1072-B,23-1100-B
augur	23-1134-B
augury	23-1161-B,23-1201-B
august	1-817-B,23-1233-B,23-1253-B
aunt	23-1289-B,23-1305-B
aura	23-1319-B,23-1333-B
aureole	23-1357-B
aurora	23-1376-B
auroral	23-1398-B
auscultate	23-1421-B
auspices	23-1455-B
auspicious	23-1495-B
auspiciously	23-1533-B
austere	23-1571-B,23-1604-B,23-1627-B
austerity	23-1650-B,23-1677-B,23-1704-B,23-1733-B,23-1762-B
austral	23-1791-B
australian	1-837-B,23-1810-B
austrian	1-875-B,23-1848-B
autarchy	23-1880-B
autarky	23-1906-B
authentic	23-1931-B,23-1964-B,23-1997-B,23-2018-B,23-2047-B
authenticate	23-2076-B,23-2106-B
authenticity	23-2144-B,23-2184-B,23-2224-B
author	23-2260-B,23-2278-B,23-2302-B,23-2328-B,23-2352-B,23-2378-B
authorise	23-2406-B,23-2435-B,23-2476-B
authoritarian	23-2515-B
authoritative	23-2554-B,23-2585-B
authority	23-2626-B,23-2655-B,23-2680-B,23-2703-B,23-2728-B,23-2763-B,23-2792-B,23-2823-B
authorization	23-2854-B,23-2893-B,23-2928-B,23-2963-B,23-2998-B,23-3027-B
authorize	23-3072-B,23-3107-B,23-3136-B,23-3165-B,23-3194-B,23-3235-B
authorized	23-3274-B,23-3314-B,23-3348-B
authorship	23-3388-B
autism	23-3418-B
autistic	23-3438-B,23-3474-B
auto	23-3506-B,23-3532-B
auto da fe	23-3558-B
autobahn	23-3586-B,23-3610-B
autobiographic	23-3640-B
autobiographical	23-3692-B
autobiography	23-3746-B
autobus	23-3787-B
autocar	23-3810-B
autochthonal	23-3839-B
autochthonous	23-3869-B
autoclave	23-3900-B
autocracy	23-3927-B,23-3958-B
autocrat	23-3993-B,23-4019-B,23-4060-B,23-4082-B
autocratic	23-4112-B,23-4154-B,23-4182-B
autocratical	23-4220-B,23-4264-B,23-4294-B
autograph	23-4334-B,23-4361-B
automate	23-4405-B,23-4429-B
automated	23-4471-B
automatic	23-4518-B,23-4543-B,23-4582-B
automatical	23-4615-B
automatically	23-4656-B,23-4697-B
automation	23-4732-B
automatism	23-4770-B
automaton	23-4802-B
automobile	23-4827-B,23-4859-B
automobilist	23-4891-B
automotive	23-4929-B
autonomic	23-4967-B
autonomist	23-4998-B,23-5030-B
autonomous	23-5079-B,23-5111-B
autonomy	23-5145-B
autopilot	23-5173-B
autopsy	23-5202-B
autoradiography	23-5227-B
autostrada	23-5274-B
autosuggestion	23-5306-B
autotransformer	23-5348-B
autumn	23-5399-B,23-5421-B
autumnal	23-5439-B
auxiliary	23-5463-B,23-5494-B,23-5533-B
avail	23-5560-B,23-5579-B,23-5600-B,23-5619-B
availability	23-5642-B,23-5670-B
available	23-5706-B,23-5737-B,23-5766-B,23-5795-B,23-5818-B
avalanche	23-5845-B
avant garde	23-5868-B,23-5897-B,23-5932-B
avarice	23-5975-B,23-6000-B,23-6025-B
avaricious	23-6058-B,23-6082-B,24-0-B
avatar	24-24-B
avenge	24-52-B
avenger	24-72-B
avenue	24-97-B,24-115-B,24-133-B,24-153-B,24-177-B,24-193-B
aver	24-217-B
average	3-4557-S,24-243-B
averment	24-266-B
averse	24-298-B,24-336-B
aversion	24-364-B,24-392-B,24-422-B
avert	24-452-B,24-477-B,24-508-B
avertable	24-541-B
aviary	24-580-B,24-600-B
aviation	24-622-B
aviator	24-646-B,24-669-B,24-690-B
avid	24-709-B,24-727-B
avidity	24-745-B,24-770-B
avidly	24-795-B
avocado	24-813-B
avoid	24-836-B,24-859-B,24-882-B,24-911-B
avoidance	24-938-B
avoirdupois	24-967-B
avouch	24-996-B,24-1030-B,24-1062-B,24-1086-B,24-1116-B,24-1138-B
avow	24-1166-B,24-1192-B
avowal	24-1222-B
await	24-1248-B,24-1275-B,24-1292-B,24-1313-B
awake	24-1338-B,24-1365-B,24-1396-B,24-1415-B,24-1442-B,24-1471-B,324-2161-S
awaken	24-1496-B,24-1516-B,24-1544-B
awakening	24-1574-B
award	24-1607-B,24-1642-B,24-1663-B,24-1690-B,24-1719-B,24-1738-B,24-1765-B,24-1794-B
awarding	24-1815-B
aware	24-1847-B,24-1868-B,24-1901-B
awareness	24-1926-B,256-5089-S
away	24-1955-B,24-1967-B,24-1985-B,24-2001-B,24-4214-S,33-3338-S,34-2425-S,37-2203-S,42-3652-S,45-1217-S,45-3412-S,45-3445-S,55-4870-S,55-4897-S,81-3299-S,91-1932-S,91-1960-S,91-1990-S,91-2020-S,93-3717-S,93-3743-S,107-479-S,107-3482-S,108-2307-S,108-2335-S,123-2900-S,124-1388-S,124-1415-S,124-1442-S,124-1471-S,125-3895-S,170-4685-S,179-3160-S,186-300-S,186-331-S,186-366-S,204-3722-S,204-3757-S,204-3786-S,212-852-S,228-359-S,228-1366-S,228-1398-S,228-1426-S,245-151-S,245-183-S,245-205-S,246-3365-S,249-678-S,249-702-S,254-1051-S,257-2900-S,267-1169-S,269-1983-S,269-2020-S,281-2907-S,281-2932-S,290-4177-S,290-4204-S,290-4229-S,290-4256-S,290-4283-S,290-4308-S,290-4333-S,292-2398-S,299-3853-S,305-2601-S,305-2630-S,305-2665-S,321-2486-S,322-1535-S,325-1923-S,325-1950-S,325-1975-S
away with	88-3997-S,174-5330-S,174-5360-S
awe	24-2025-B,24-2054-B
awful	24-2069-B
awfully	24-2090-B,24-2111-B,24-2130-B,24-2151-B
awkward	24-2182-B,24-2211-B,24-2250-B,24-2275-B,24-2302-B,24-2329-B,24-2354-B,24-2377-B
awkwardness	24-2404-B,24-2437-B,24-2472-B
awl	24-2505-B
awning	24-2518-B,24-2536-B
awry	24-2552-B,24-2570-B,24-2596-B,24-2610-B,24-2626-B,24-2644-B
ax	24-2660-B,24-2674-B,24-2696-B,24-2710-B
axe	24-2732-B,24-2747-B,24-2770-B,24-2785-B
axial	24-2808-B
axilla	24-2827-B
axiom	24-2851-B
axiomatic	24-2872-B
axiomatical	24-2913-B
axis	24-2956-B
axle	24-2968-B
axman	24-2980-B
ayatollah	24-3001-B
azalea	24-3026-B
azerbaijani	1-901-B,24-3046-B
azote	24-3085-B
azotic	24-3100-B
aztec	1-940-B
azure	24-3126-B
b	24-3149-B,24-3172-B
babble	24-3193-B,24-3215-B,24-3239-B,24-3265-B,24-3287-B,24-3305-B,24-3329-B
babbler	24-3361-B,24-3382-B
babbling	24-3405-B,24-3431-B
babe	24-3451-B,24-3465-B,24-3485-B
baboon	24-3507-B
baby	24-3527-B,24-3541-B,24-3557-B,24-3573-B,24-3593-B,24-3615-B,24-3639-B
baby sitter	24-3659-B
babyhood	24-3680-B
babyish	24-3714-B,24-3737-B
babysitter	24-3766-B
bacchanalia	24-3786-B
bachelor	24-3819-B,24-3845-B,24-3873-B
bachelorhood	24-3899-B
bacillus	24-3940-B
back	15-1974-S,24-3964-B,24-3982-B,24-4002-B,24-4018-B,24-4038-B,24-4062-B,24-4084-B,24-4114-B,24-4142-B,24-4160-B,24-4176-B,24-4194-B,28-1798-S,28-1825-S,38-2541-S,38-2573-S,38-2605-S,55-4922-S,55-4957-S,90-3428-S,91-2052-S,107-3507-S,107-3536-S,111-2241-S,123-2924-S,124-1500-S,124-1531-S,125-3918-S,125-3951-S,125-3984-S,132-2655-S,138-506-S,138-545-S,138-576-S,138-601-S,138-632-S,138-663-S,161-646-S,161-679-S,161-706-S,163-2594-S,186-391-S,206-355-S,226-4811-S,228-1450-S,228-1484-S,259-355-S,259-387-S,259-425-S,275-5037-S,277-4219-S,278-2173-S,290-4358-S,290-4394-S,324-4821-S
back away	24-4214-B
back up	24-4243-B
backache	24-4276-B
backbite	24-4308-B,24-4338-B
backbone	24-4366-B,24-4388-B,24-4420-B
backbreaking	24-4457-B
backcloth	24-4497-B
backcomb	24-4520-B
backdate	24-4550-B
backdown	24-4606-B
background	24-4638-B,24-4662-B,24-4695-B,24-4725-B,24-4763-B
backing	24-4781-B
backlash	24-4808-B,24-4828-B,24-4846-B
backlog	24-4881-B,24-4916-B,25-0-B
backpack	25-29-B
backrest	25-51-B
backside	25-73-B
backsight	25-128-B
backstreet	25-151-B
backstroke	25-179-B
backup	25-223-B
backward	25-243-B,25-263-B,25-283-B,25-307-B,25-333-B
backwardness	25-359-B
backwards	25-393-B,25-414-B,25-435-B
backwoods	25-460-B
backwoodsman	25-499-B
backyard	25-533-B,25-559-B
bacon	25-590-B
bacterial	25-607-B
bacteriological	25-644-B
bacteriologist	25-697-B
bacteriology	25-735-B
bacteriolysis	25-775-B
bacterium	25-812-B,25-839-B
bad	25-866-B,25-885-B,25-902-B,25-915-B,25-932-B,125-4011-S,125-4041-S
badge	25-953-B,25-968-B
badger	25-987-B,25-1007-B
badly	25-1033-B,25-1050-B,25-1067-B,25-1086-B
badminton	25-1107-B
baffle	25-1136-B,25-1166-B
bag	25-1198-B,25-1211-B,25-1228-B,25-1245-B,25-1264-B,25-1279-B,25-1294-B
bagatelle	25-1313-B,25-1340-B,25-1369-B,25-1400-B,25-1423-B
baggage	25-1446-B
baggy	25-1465-B
bagnio	25-1492-B
bagpipe	25-1525-B
bagpiper	25-1548-B
bagpipes	25-1574-B
bail	25-1598-B,25-1614-B,25-1632-B,25-1666-B
bailiff	25-1682-B,25-1730-B
bailsman	25-1770-B
bairn	25-1800-B,25-1815-B
bait	25-1836-B,25-1864-B,25-1886-B
bake	25-1906-B,25-1928-B,25-1950-B,25-1972-B,25-1986-B,25-2004-B,25-2028-B
bakehouse	25-2046-B
baker	25-2071-B,25-2094-B
bakery	25-2113-B,25-2137-B
baking	25-2159-B,25-2185-B,25-2203-B
baksheesh	25-2225-B
bakshish	25-2248-B
balalaika	25-2270-B
balance	25-2299-B,25-2320-B,25-2355-B,25-2384-B,25-2407-B,25-2436-B,25-2457-B
balanced	25-2494-B,25-2526-B,25-2568-B,323-109-S
balancer	25-2606-B
balancing	25-2640-B,25-2679-B,25-2714-B
balcony	25-2747-B
bald	25-2768-B,25-2794-B,25-2810-B,25-2861-B,25-2877-B,25-2905-B,25-2927-B
bald headed	25-2945-B,25-2968-B
baldachin	25-2997-B
baldaquin	25-3024-B
balderdash	25-3051-B,25-3081-B,25-3103-B
baldness	25-3127-B
bale	25-3157-B,25-3171-B
bale out	25-3183-B
baleful	25-3211-B,25-3238-B,25-3269-B,25-3292-B
balk	25-3309-B,25-3325-B,25-3343-B,25-3357-B,25-3385-B,25-3407-B,25-3425-B,25-3453-B
balkan	25-3487-B
balky	25-3515-B,25-3542-B
ball	25-3563-B,25-3583-B,25-3601-B,25-3613-B,25-3627-B,25-3641-B
ball shaped	25-3653-B
ballad	25-3690-B
ballast	25-3712-B,25-3735-B
ballerina	25-3756-B
ballet	25-3783-B
ballistic	25-3801-B
ballistics	25-3840-B
balloon	25-3872-B,25-3897-B,25-3918-B
ballot	25-3952-B,25-3984-B,25-4014-B
balloting	25-4042-B
ballpoint	25-4075-B
ballroom	25-4115-B
ballyhoo	25-4156-B
balm	25-4172-B
balmy	25-4192-B,25-4211-B
baloney	25-4230-B,25-4257-B,25-4288-B,25-4307-B,25-4328-B,25-4349-B
balsam	25-4366-B
baltic	25-4388-B
baluster	25-4416-B
balustrade	25-4442-B,25-4474-B
bamboo	25-4498-B
bamboozle	25-4518-B,25-4545-B
ban	25-4576-B,25-4603-B,25-4620-B,25-4643-B,25-4668-B
banal	25-4691-B,25-4716-B
banality	25-4735-B,25-4767-B
banana	25-4793-B
band	25-4811-B,25-4833-B,25-4849-B,25-4867-B,25-4889-B,25-4905-B,25-4919-B,25-4935-B,26-0-B
band aid	26-16-B
bandage	26-44-B,26-65-B,26-82-B,26-109-B,26-140-B,26-173-B
bandit	26-196-B,26-216-B
bandy	26-242-B,26-261-B,26-292-B,26-327-B
bandy legged	26-362-B
bane	26-396-B,26-414-B,26-436-B
baneful	26-446-B,26-473-B
bang	26-504-B,26-530-B,26-550-B,26-574-B
bang up	26-588-B,26-623-B
banger	26-656-B
bangle	26-678-B
banish	26-700-B,26-724-B,26-748-B,26-772-B,26-798-B
banishment	26-820-B,26-846-B,26-874-B
banishments	26-898-B
banister	26-927-B,26-957-B
banjo	26-979-B
bank	26-998-B,26-1012-B,26-1028-B,26-1040-B,26-1058-B
banker	26-1076-B
banking	26-1096-B,26-1156-B
bankroll	26-1173-B
bankrupt	26-1209-B,26-1233-B
bankruptcy	26-1273-B,26-1307-B
banned	26-1353-B
banner	26-1383-B,26-1401-B
banquet	26-1417-B,26-1438-B,26-1468-B,26-1483-B
baobab	26-1510-B
baptism	26-1530-B
baptist	26-1555-B
baptize	26-1578-B,26-1614-B,26-1639-B
bar	26-1666-B,26-1677-B,26-1694-B,26-1715-B,26-1732-B,26-1747-B,26-1772-B,26-1795-B,26-1810-B,26-1833-B,26-1850-B,26-1867-B,26-1884-B,26-1905-B,26-1932-B,26-1959-B,26-1992-B,26-2013-B,26-2030-B,26-2047-B,26-2060-B
barb	26-2075-B,26-2095-B,26-2115-B
