fistful	135-1382-B,135-1395-B
fluctuation	138-634-B,138-656-B,138-680-B
flue	138-699-B
fluency	138-720-B
fluent	138-738-B,138-753-B
fluently	138-769-B
fluff	138-786-B,138-802-B
fluffiness	138-819-B
fluffy	138-844-B
flugelhorn	138-864-B
fluid	138-887-B,138-901-B,138-916-B,138-931-B,138-950-B,138-965-B
fluidity	138-979-B
fluke	138-1000-B
flukey	138-1012-B
fluky	138-1037-B,138-1052-B,138-1068-B
flume	138-1087-B,138-1100-B
flummery	138-1112-B,138-1133-B
flung	129-1905-S,129-1924-S,138-1150-B,138-1162-B,138-1176-B
flunk	138-1189-B
flunkey	138-1206-B,138-1220-B
flunky	138-1235-B,138-1248-B
fluoresce	138-1262-B,138-1285-B
fluorescein	138-1309-B
fluorescence	138-1333-B
fluorescent	138-1359-B,138-1387-B
fluoridation	138-1416-B,138-1440-B
fluoride	138-1464-B
fluorine	138-1481-B
fluorite	138-1496-B,138-1513-B
fluorocarbon	138-1530-B
fluorosis	138-1572-B,138-1592-B
fluorspar	138-1617-B,138-1635-B
flurry	138-1653-B,138-1666-B
flush	138-1682-B,138-1702-B,138-1714-B,138-1729-B,138-1744-B,138-1762-B,138-1781-B,138-1796-B,138-1811-B,138-1826-B,138-1843-B,138-1859-B,138-1874-B,138-1895-B,138-1910-B
fluster	138-1927-B
flute	138-1949-B
flutter	138-1963-B,138-1980-B,138-1998-B,138-2013-B,138-2031-B,138-2047-B,138-2063-B,138-2081-B,138-2102-B,138-2118-B,138-2136-B,138-2157-B,138-2176-B,138-2191-B
fluvial	138-2215-B,138-2235-B
flux	138-2253-B,138-2264-B,138-2280-B,138-2294-B
fly	138-2303-B,138-2311-B,138-2322-B,138-2333-B,138-2344-B,138-2355-B,138-2369-B,138-2381-B,138-2394-B
fly by night	138-2407-B,138-2452-B
flyaway	138-2475-B,138-2503-B
flyblown	138-2525-B
flycatcher	138-2547-B,138-2570-B
flyer	138-2592-B,138-2604-B
flying	138-2617-B,138-2633-B,138-2647-B,138-2663-B,138-2682-B,138-2698-B
flyleaf	138-2715-B
flyover	138-2735-B,138-2751-B
flypaper	138-2767-B
flypast	138-2787-B
flytrap	138-2816-B
flyway	138-2835-B
flyweight	138-2857-B
flywheel	138-2880-B,138-2902-B
foal	138-2928-B,138-2942-B
foam	138-2964-B,138-2977-B
foamy	138-2988-B,138-3010-B,138-3025-B,138-3040-B
fob	138-3057-B,138-3082-B,138-3094-B
focal	138-3120-B,138-3136-B
focalization	138-3153-B
focus	138-3178-B,138-3190-B,138-3209-B,138-3223-B,138-3240-B,138-3256-B,138-3274-B,138-3295-B
focusing	138-3311-B
fodder	138-3335-B,138-3350-B,138-3364-B,138-3377-B,138-3394-B
foe	138-3415-B
foetal	138-3430-B
foetid	138-3446-B
foetus	138-3465-B
fog	138-3477-B,138-3486-B,138-3504-B,138-3519-B,138-3532-B
fogey	139-0-B
foggy	139-28-B,139-41-B,139-55-B
foghorn	139-72-B
foible	139-96-B
foil	139-114-B,139-126-B
foist	139-139-B
folate	139-154-B
fold	139-172-B,139-186-B,139-196-B,139-209-B,139-222-B,139-238-B,139-255-B,139-268-B,139-286-B,139-300-B,139-313-B,139-325-B
foldable	139-338-B
foldaway	139-356-B,139-374-B
folder	139-396-B,139-413-B,139-426-B,139-443-B,139-458-B
folding	139-472-B,139-494-B,139-515-B,139-534-B,139-554-B
foliage	139-574-B,139-591-B
foliate	139-606-B,139-624-B
foliation	139-643-B,139-661-B,139-683-B
folie	139-709-B
folio	139-728-B
foliose	139-740-B,139-758-B
folk	139-779-B,139-788-B,139-798-B,139-811-B,139-822-B
folklore	139-837-B,139-854-B,139-877-B,139-897-B
folksy	139-915-B,139-930-B
follicle	139-950-B
follicular	139-967-B
follies	139-992-B,139-1010-B
follow	139-1031-B,139-1046-B,139-1062-B,139-1080-B,139-1099-B,139-1116-B,139-1135-B,139-1152-B,139-1168-B,139-1184-B,139-1204-B
follow on	139-1221-B
follow through	139-1249-B,139-1281-B
follow up	139-1312-B,139-1335-B,139-1357-B,139-1382-B,139-1407-B
follower	139-1430-B,139-1453-B,139-1476-B
following	139-1495-B,139-1520-B,139-1545-B
folly	139-1564-B
foment	139-1582-B
fond	139-1601-B,139-1615-B,139-1631-B
fondant	139-1648-B,139-1664-B
fondle	139-1684-B,139-1698-B
fondly	139-1712-B,139-1727-B
fondness	139-1746-B,139-1763-B
fondue	139-1780-B
font	139-1794-B,139-1804-B
food	139-1816-B,139-1828-B,139-1839-B,139-1852-B,139-1867-B,139-1882-B
foodstuff	139-1894-B,139-1914-B
fool	139-1934-B,139-1947-B,139-1961-B,139-1974-B,139-1990-B,139-2002-B
foolhardiness	139-2012-B
foolhardy	139-2041-B,139-2062-B
foolish	139-2086-B,139-2104-B,139-2120-B,139-2139-B
foolishly	139-2158-B
foolishness	139-2178-B
foolproof	139-2202-B,139-2225-B,139-2256-B,139-2278-B
foolscap	139-2302-B,139-2333-B
foot	139-2358-B,139-2372-B,139-2385-B,139-2398-B,139-2412-B
footage	139-2425-B,139-2462-B,139-2479-B
football	139-2495-B,139-2521-B,139-2537-B,139-2557-B,139-2580-B,139-2597-B
footballer	139-2612-B
footboard	139-2634-B,139-2654-B
footbridge	139-2674-B
footer	139-2692-B
footfall	139-2706-B
foothill	139-2727-B
foothold	139-2749-B,139-2764-B
footing	139-2781-B,139-2794-B,139-2810-B,139-2829-B,139-2845-B
footloose	139-2861-B
footman	139-2885-B
footnote	139-2899-B,139-2916-B,139-2946-B
footpad	139-2968-B
footpath	139-2982-B,139-3000-B
footplate	139-3016-B
footprint	139-3036-B,139-3052-B,139-3072-B
footrest	139-3092-B,139-3117-B
footsore	139-3136-B
footstep	139-3167-B,139-3182-B
footstool	139-3201-B,139-3221-B
footwear	139-3250-B
footwork	139-3264-B
fop	139-3286-B,139-3298-B
foppish	139-3310-B,139-3327-B
for	139-3346-B,139-3352-B,139-3359-B,139-3370-B,139-3376-B,139-3384-B,139-3397-B,356-1265-S,356-1346-S,359-2354-S,359-2378-S
for all	143-83-S,143-114-S
for word	376-2491-S
forage	139-3404-B,139-3421-B,139-3435-B
foramen	139-3451-B
foray	139-3465-B
forbear	139-3479-B
forbearance	139-3507-B,139-3532-B,139-3559-B,140-0-B
forbid	140-24-B,140-41-B
forbiddance	140-57-B
forbidden	140-76-B,140-97-B
forbidding	140-118-B
forbiddingly	140-142-B
force	140-169-B,140-183-B,140-199-B,140-215-B,140-229-B,140-241-B,140-253-B,140-268-B,140-282-B,140-297-B,140-312-B,140-328-B,140-342-B,140-354-B,140-365-B,140-380-B,140-396-B,140-407-B,140-422-B,140-435-B,140-449-B,140-465-B
forceful	140-479-B
forcefully	140-499-B,140-520-B
forcefulness	140-541-B
forceps	140-567-B
forcible	140-583-B
forcibly	140-602-B
ford	140-619-B,140-629-B
fore	140-645-B,140-659-B,140-680-B,140-693-B
forearm	140-710-B
forebear	140-730-B
forebrain	140-747-B
forecast	140-772-B,140-791-B,140-814-B,140-838-B,140-860-B
forecaster	140-881-B,140-903-B
forecasting	140-921-B,140-950-B
foreclose	140-975-B,140-1012-B
foreclosure	140-1032-B
forecourt	140-1054-B
foredeck	140-1075-B,140-1100-B
forefinger	140-1117-B,140-1138-B
forefoot	140-1162-B
forefront	140-1185-B
foregather	140-1205-B
forego	140-1226-B
foregone	140-1244-B
foreground	140-1260-B
forehand	140-1281-B,140-1299-B
forehead	140-1316-B
foreign	140-1331-B,140-1353-B,140-1373-B,140-1393-B,140-1407-B
foreigner	140-1428-B
foreignness	140-1446-B
foreknowledge	140-1465-B
foreland	140-1493-B,140-1506-B
foreleg	140-1521-B
forelimb	140-1543-B,140-1572-B
forelock	140-1594-B,140-1611-B,140-1626-B
foreman	140-1646-B,140-1660-B
foremast	140-1677-B,140-1705-B
foremost	140-1736-B,140-1756-B
forename	140-1773-B
forenoon	140-1799-B
forensic	140-1818-B,140-1837-B
forepart	140-1854-B
foreplay	140-1871-B
forerunner	140-1890-B,140-1914-B
foresail	140-1937-B
foresee	140-1963-B
foreseeable	140-1983-B,140-2005-B
foreseen	140-2034-B
foreshadow	140-2057-B
foreshore	140-2076-B,140-2093-B
foresight	140-2117-B
foreskin	140-2140-B
forest	140-2161-B,140-2172-B,140-2186-B,140-2200-B
forestall	140-2216-B,140-2237-B
forestay	140-2257-B
forestry	140-2281-B
foretaste	140-2301-B,140-2319-B
foretell	140-2341-B,140-2361-B,140-2384-B,140-2408-B,140-2429-B
forethought	140-2447-B
foretold	140-2472-B,140-2492-B,140-2515-B
forever	140-2539-B,140-2555-B,140-2571-B,140-2587-B
forewarn	140-2602-B,140-2619-B
forewoman	140-2644-B
foreword	140-2664-B
forfeit	140-2684-B,140-2710-B,140-2730-B
forfeiture	140-2747-B,140-2770-B
forge	140-2788-B,140-2804-B,140-2816-B,140-2831-B,140-2846-B,140-2860-B,140-2874-B
forger	140-2891-B,140-2910-B
forgery	140-2928-B,140-2945-B
forget	140-2965-B,140-2987-B,140-3005-B
forget me not	140-3023-B,140-3051-B,140-3075-B
forgetful	140-3098-B,140-3123-B
forgetfulness	140-3147-B
forgettable	140-3177-B
forgivable	140-3204-B
forgive	140-3229-B,140-3246-B
forgiveness	140-3264-B
forgivingness	140-3289-B
forgo	140-3316-B,140-3333-B
forgotten	140-3349-B
fork	140-3371-B,140-3386-B,140-3403-B,140-3418-B,140-3436-B,140-3454-B,140-3475-B,140-3487-B,140-3498-B,140-3511-B,140-3526-B
forlorn	140-3542-B,140-3563-B,140-3583-B
forlornly	140-3602-B,140-3624-B
form	140-3645-B,140-3658-B,140-3669-B,140-3683-B,140-3699-B,140-3716-B,140-3728-B,140-3740-B,140-3754-B,140-3764-B,140-3778-B,141-0-B,141-14-B,141-30-B,141-45-B
formal	141-58-B
formaldehyde	141-76-B
formalin	141-101-B
formalisation	141-120-B
formalise	141-146-B
formalism	141-169-B,141-191-B
formalistic	141-213-B
formalities	141-240-B
formality	141-262-B
formalization	141-282-B
formally	141-308-B
format	141-328-B,141-343-B,141-362-B,141-376-B,141-391-B,141-403-B,141-420-B
formation	141-436-B,141-454-B,141-476-B,141-493-B,141-515-B
formative	141-532-B,141-554-B
former	141-575-B,141-591-B,141-612-B,141-627-B,141-646-B,308-1345-S
formerly	141-661-B,141-678-B,141-693-B
formic	141-712-B
formidable	141-730-B,141-750-B,141-769-B,141-792-B
formidably	141-813-B,141-833-B
formless	141-854-B
formula	141-873-B,141-889-B
formulaic	141-904-B
formulate	141-923-B
formulation	141-944-B
fornicate	141-966-B
fornication	141-984-B
fornicator	141-1005-B
forsake	141-1025-B,141-1041-B
forsaken	141-1058-B
forsooth	141-1079-B,141-1096-B
forswear	141-1111-B,141-1149-B
forsythia	141-1171-B,141-1195-B
fort	141-1215-B,141-1231-B
forth	141-1244-B,141-1256-B,141-1268-B
forthcoming	141-1278-B,141-1305-B,141-1333-B,141-1360-B
forthright	141-1385-B
forthrightly	141-1405-B
forthrightness	141-1429-B,141-1454-B
forthwith	141-1481-B
forties	141-1502-B
fortieth	141-1524-B
fortification	141-1547-B,141-1572-B,141-1594-B
fortify	141-1619-B,141-1635-B,141-1652-B
fortissimo	141-1668-B
fortitude	141-1690-B
fortnight	141-1712-B
fortnightly	141-1737-B,141-1757-B,141-1786-B
fortress	141-1815-B,141-1835-B
fortuitous	141-1852-B,141-1874-B,141-1895-B
