daktylsky	85-3510-B
debilita	87-3476-B
debilni	81-1806-B,109-1013-B,171-204-B,328-3336-B,375-2988-B
debitor	88-173-B
debugger	88-219-B
debut	88-306-B
debutantka	88-318-B
decelerace	88-1091-B
decentni	88-1182-B
decentralizace	88-1282-B,88-1343-B,330-718-B
decentralizovat	88-1314-B,88-1375-B
dech	41-2928-B,147-1511-S,147-1550-S,282-2176-B
dechar	374-3061-B
dechove nastroje	41-253-B
dechovou zkousku	41-3004-S
dechovy	282-2281-B
dechovy hudebni nastroj	376-2104-S
dechovy nastroj	41-278-B
dechu	41-3236-S,41-3299-S,147-1491-S
decibel	88-1562-B
decimalizace	88-1848-B
decimetr	88-1960-B
decimovani	88-1911-B
decimovat	88-1876-B
decka	62-478-B
decko	38-2123-B,57-622-B,191-1386-B,348-332-B
ded	153-2539-B
deda	153-2158-B,153-2488-B,153-2553-B,153-2984-B
dedecek	153-2502-B,153-2568-B,153-2657-B,153-2998-B
dedic	162-3176-B,180-938-B,197-430-B
dedicka	162-3188-B
dedicky	241-1560-B
dedicnost	163-2113-B,163-2426-B,180-914-B
dedicny	163-2069-B,163-2385-B,180-840-B,199-3089-B
dedicny majetek	241-1632-B
dedicny statek	241-1661-B
dedictvi	32-1881-B,159-2418-B,162-3206-B,163-2045-B,163-2406-B,180-891-B,197-13-B,241-1611-B
dedikace	89-1359-B
dedikovat	89-1303-B
dedina	366-2554-B
dedit	180-809-B,180-863-S
dedukce	89-1610-B,179-445-B,273-2257-B
dedukcni	89-1651-B
dedukovani	89-1628-B
dedukovat	89-1425-B,121-3482-B,179-381-B
deduktivni	89-1765-B,179-503-B
defekace	89-3111-B
defekovat	89-3038-B
defekt	89-3177-B,128-243-B,130-1445-B,136-2887-B
defektnost	89-3381-B
defenestrace	89-3707-B
defensivne	90-61-B
defenziva	90-0-B
defenzivni	90-20-B
defetismus	89-2949-B
defetista	89-2996-B
defibrilace	90-331-B
defibrilator	90-358-B
deficience	90-386-B
deficit	90-408-B,90-526-B,305-0-B
definice	90-949-B
definicni obor	104-3477-B
definitivne	90-809-B,134-214-B
definitivni	90-1014-B,133-3248-B,355-2242-B
definovani	90-969-B
definovat	90-641-B,275-2689-S
definovatelny	90-616-B,95-948-B
definujici	90-690-B
deflace	90-1210-B
deflacni	90-1228-B
deflektor	90-1415-B
deflorovat	90-1457-B
defoliace	90-1538-B
defoliant	90-1494-B
deformace	90-1698-B,90-1770-B,206-2064-B
deformacni	90-1720-B
deformita	90-1790-B
deformovany	216-54-B
deformovat	90-1610-B,326-2271-B
deformovatelny	90-1646-B
defraudace	114-1125-B
defraudant	114-1174-B
defraudovat	90-1810-B,114-1081-B
degenerace	90-2152-B,90-2267-B,96-289-B,110-1284-B
degeneracni	90-2291-B
degenerativni	90-2367-B
degenerovani	90-2318-B
degenerovany	90-2174-B
degenerovat	90-2199-B,288-866-B
deglutinace	90-2395-B
degradace	1-1746-B,90-2442-B,92-348-B
degradovani	260-1517-B
degradovat	1-289-B,51-1771-B,90-2510-B,92-330-B,106-697-B,278-1927-B
degustator	339-143-B
dehet	249-1624-B,338-2269-B
dehiscence	90-2681-B
dehtovat	338-2279-B
dehtovy	338-2793-B
dehtovy makadam	338-2573-B
dehydrace	90-2787-B
dehydratace	90-2809-B
dehydratovat	90-2743-B
dehydrovat	90-2766-B
deikticky	90-2833-B
deismus	90-2942-B
deisticky	90-2956-B
dej	5-0-B,46-2738-S,150-613-B
deje	336-3330-S
dejepis	165-901-B
dejepisec	165-672-B,165-820-B
dejinny	165-712-B,165-752-B
dejiny	165-918-B
dejiste	201-2112-B,308-692-B,321-1635-B,365-753-B
dejova linie pribehu	326-659-B
dejstvi	4-3572-B
dejte	150-622-B
deka	35-1648-B,269-1014-B
dekada	88-339-B
dekadence	88-410-B
dekadent	88-448-B
dekadentni	88-466-B
dekan	87-2365-B,264-2402-B
dekanat	87-2418-B
dekanstvi	87-2377-B,87-2397-B
dekantovat	88-545-B
dekapitace	88-647-B
dekarboxylace	88-692-B
deklamace	88-2447-B
deklamovat	88-2428-B
deklarace	88-2514-B
deklaracni	88-2685-B
deklarativni	88-2633-B
deklaratorni	88-2659-B
deklarovani samozrejmeho	255-2625-B
deklarovat	88-2710-B
deklasovat	234-773-B
deklinace	88-2966-B
dekoder	88-3521-B
dekodovat	88-1979-B,88-3503-B,89-1284-B
dekokce	88-3366-B
dekolonizace	88-3538-B,88-3593-B
dekompozice	88-3772-B
dekomprese	88-3965-B
dekomprimovani	88-3990-B
dekomprimovat	88-3895-B,361-2183-B
dekonstrukcionismu	89-26-S
dekontaminace	89-149-B
dekontaminovat	89-96-B
dekorace	89-232-B,89-332-B
dekoracni	89-497-B
dekorater	89-591-B
dekorativni	89-473-B
dekorativnost	89-562-B
dekorovat	89-262-B,275-2530-S
dekorum	89-708-B
dekovat	342-251-B
dekret	89-972-B,111-2552-B
del	29-2326-S
del na strane lodi	43-471-S
dela	104-2593-B
delajici	152-394-B
delal	96-3370-B
delani kuk	242-2830-B
delat	104-1289-B,206-923-B,376-2987-B
delat kazani	256-2735-B
delat loopingy	202-2546-B
delat manikuru	207-867-B
delat narazky	11-1838-B
delat natlak	259-69-B
delat pokroky	7-733-B
delat pokusy	124-2858-B
delat si starosti	377-1366-B
delat smycku	202-2567-B
delat starosti	352-3021-B
delat zmeny	338-699-B
delba	104-660-B
delce	197-2078-S
dele	202-1568-B
delegace	90-3375-B,90-3490-B,93-1959-B
delegacni	90-3510-B
delegat	90-3434-B,93-2077-B
delegati	93-1979-B
delegovani	90-3393-B
delegovat	90-3415-B,93-2020-B
deleni	104-364-B,104-676-B,135-1242-B,240-371-B,329-1712-S
deleni bunek	211-2114-S
deleni slov	170-713-B
delfin	104-3432-B
deliberativni	91-246-B
delic	104-327-B
delici	104-382-B
delikatne	91-441-B
delikatni	86-441-B,90-3306-B,91-350-B,340-3115-B
delikatnost	86-321-B,225-109-B,225-147-B
delikt	91-1139-B,230-1033-B,347-3403-B
delikvent	91-1227-B,230-1185-B
delimitace	91-983-B
delimitovat	91-947-B
delirantni	91-1313-B
delirium	91-1419-B
delit	104-120-B,239-2837-B,329-1667-S
delit se	104-134-B
delitel	104-310-B,104-892-B,127-2439-B
delitelny	104-622-B,301-2058-B
delitelny beze zbytku	10-2643-B
delka	109-2635-B,197-1920-B,202-1797-B,202-1814-S,210-470-S,371-758-S
delka merena ve stopach	139-2425-B
delka v milich	214-11-B
delka v yardech	378-1463-B
delkova mira 201 m	145-1779-B
delkova mira loket	83-2262-B,113-2973-B
delnicky	37-171-B
delnik	129-2485-S,165-2071-S,192-3628-B,206-3212-B,243-2931-S,250-2731-S,376-3443-B
delnik barvici vyrobky	321-2641-B
delnik na vrtne vezi	285-2289-B
delnik v doku	104-1755-B
delnik v pristavu	324-1601-B
delo	49-144-B
deloha	78-257-S,209-3222-B,362-3006-B,376-950-B
delostrelba	49-157-B,303-1558-B
delostrelec	20-981-B
delostrelectvi	157-2143-B
delostrelectvo	20-954-B
delova koule	49-201-B
delovy clun	157-1932-B
delozni	362-2987-B
delozni sliznice	116-827-B
delsi	202-1553-B
delta	91-1954-B
deltoid	91-1966-B
deltovity	91-1982-B
demagnetizace	91-2318-B
demagog	91-2467-B
demagogicky	91-2444-B
demagogie	91-2485-B,91-2507-B
demant	96-2139-B
demaskovat	88-288-B,125-1773-B
demence	91-2963-B
dementne	91-2942-B
dementovat	99-1961-B
demilitarizovat	91-3089-B
deminutivum	98-44-B
demise	91-3118-B
demo	91-3202-B
demobilizace	91-3247-B,91-3300-B
demobilizovat	91-3227-B,91-3275-B,91-3328-B
demodulator	95-417-B,216-3439-S
demograf	91-3532-B
demograficky	91-3553-B
demografie	91-3579-B
demokracie	91-3353-B
demokrat	91-3374-B
demokraticky	91-3392-B,91-3417-B
demokratizace	91-3445-B,91-3475-B
demokratizovat	91-3505-B
demolice	91-3706-B
demolici	69-3879-S
demolovat	91-3636-B,94-3183-B,363-3252-B,363-3314-B
demon	86-65-B,91-3789-B,95-3965-B,110-603-S,149-2283-B,149-2414-B
demonicky	91-3816-B,91-3855-B,91-3878-B
demonstrace	91-4043-B,207-3434-B,286-1144-B
demonstrant	247-4246-B
demonstrativne	92-138-B
demonstrativni	92-56-B
demonstrator	92-170-B
demonstrovat	91-3952-B,207-3452-B
demontaz	99-575-B,101-947-B
demontovani	327-3194-B
demontovat	101-774-B,101-1459-B,279-2012-B
demoralizace	92-224-B,92-277-B
demoralizovat	92-252-B,92-305-B
demoverze	91-3212-B
demystifikovat	92-516-B
demytologizovat	92-541-B
den	86-303-S,87-771-B,87-815-S,87-1018-B,241-3276-S,300-3604-S,371-3062-S,371-3084-S,376-3400-S,376-3422-S
denacifikace	92-781-B
denar	92-1016-B
denaturovat	92-742-B
dendrit	92-809-B
dendriticky	92-826-B
dengue	92-849-B
deni	159-2813-B
denice	87-985-B
denik	96-2494-B,189-1674-B,202-493-S,202-664-B
deniku	96-2408-S
denim	188-1297-B
denka	57-1946-B
denne	86-252-B,121-2431-B
denni	58-3453-B,86-239-B,87-779-B
denni doba	87-1030-B
denni program	294-1009-B
denni svetlo	87-922-B
denominace	92-1349-B
denotace	92-1556-B
dentalni	92-2077-B
dentice	92-2309-B
dentin	92-2169-B
dentista	92-2201-B
denudace	92-2395-B
denunciace	92-1812-B,92-2448-B
denunciant	179-2918-B,179-3225-B
denuncovat	92-1734-B,179-2699-B
denzita	92-2019-B
denzitometr	92-1927-B
denzitometrie	92-1952-B
deodorant	92-2670-B,287-2584-S
dependence	92-3337-B
depersonalizace	92-3531-B,92-3565-B
depese	101-2617-B
depilacni	92-3761-B
depilator	92-3784-B
depo	93-736-B,288-2574-S
depolarizace	92-4188-B,92-4216-B
deponent	26-2559-B,72-2595-B
deponentni	92-4244-B
deponovani	26-2500-B,93-222-B,280-2525-B
deponovat	93-204-B
depopulace	93-20-B
deportace	93-103-B
deportovany	93-125-B
deportovat	93-69-B
depozice	26-2522-B,93-591-B
depozit	93-243-B
depozitar	26-2392-B,93-296-B,93-692-B
depozitni	93-259-B
depozitum	26-2540-B,93-278-B
deprese	90-2990-B,93-1484-B,93-1524-S,94-2530-B,106-521-B,151-461-B,211-2185-B,311-1302-B
depresivne	93-1435-B,101-731-B
depresivni	93-1343-B,93-1772-B,101-625-B,106-538-B,232-1850-B
depresni	93-1503-B
depresor	93-1795-B
deprimovane	101-3284-B
deprimovat	93-1268-B,100-3121-B,101-3245-B
deprimujici	64-1022-B,93-1366-B,107-1868-B
deptat	232-1710-B,355-1624-B
deputace	93-2000-B
deratizator	126-323-B
deravy	165-3118-B,196-1018-B
derby	93-2289-B
deregulace	93-2324-B
deregulovat	93-2301-B
derivace	93-2639-B,93-2705-B,97-880-B
derivacni	93-2680-B,93-2725-B
derivacni obvod	97-965-B
derivat	93-2748-B
derivator	97-998-B
derivovat	93-2789-B,97-775-B
dermatitida	93-2905-B
