covering	79-1502-B,79-1516-B,79-1533-B
crutch	83-842-B,83-855-B
cry	83-870-B,83-882-B,83-892-B,83-905-B,83-917-B,83-928-B,83-939-B,83-951-B,83-967-B,83-986-B,83-996-B,83-1009-B,83-1025-B,83-1041-B,83-1052-B
crybaby	83-1061-B
crying	83-1079-B,83-1091-B,83-1105-B,83-1118-B,83-1137-B,83-1155-B
cryogenic	83-1169-B
cryostat	83-1190-B
crypt	83-1208-B
cryptic	83-1221-B,83-1240-B,83-1257-B
cryptogamic	83-1275-B,83-1302-B
cryptogram	83-1327-B
cryptographer	83-1349-B,83-1374-B
cryptographic	83-1398-B
cryptography	83-1428-B,83-1454-B
cryptology	83-1480-B
crystal	83-1503-B,83-1519-B,83-1539-B,83-1559-B
crystalline	83-1583-B,83-1608-B
crystallisation	83-1636-B
crystallise	83-1665-B,83-1691-B
crystallite	83-1715-B
crystallization	83-1737-B,83-1766-B
crystallize	83-1799-B
crystallography	83-1825-B
cub	83-1856-B,83-1871-B,83-1883-B,83-1895-B,83-1907-B,83-1926-B,83-1940-B,83-1954-B,83-1964-B,83-1983-B
cubby	83-1996-B,83-2011-B
cubbyhole	83-2037-B,83-2057-B
cube	83-2095-B,83-2107-B,83-2120-B
cubic	83-2141-B
cubical	83-2158-B
cubicle	83-2177-B,83-2192-B
cubiform	83-2209-B
cubism	83-2231-B
cubist	83-2247-B
cubit	83-2262-B
cuboid	83-2290-B,83-2304-B
cuckold	83-2318-B,83-2341-B
cuckoo	83-2359-B,83-2372-B,83-2388-B,83-2406-B
cuckoo land	62-942-S
cucumber	83-2418-B,83-2434-B
cud	83-2453-B
cuddle	83-2465-B,83-2491-B,83-2507-B
cuddly	83-2522-B
cudgel	83-2540-B,83-2554-B
cue	83-2568-B,83-2580-B,83-2590-B,83-2600-B,83-2609-B,83-2619-B
cuff	83-2630-B,230-926-S
cuirass	83-2644-B
cuisine	83-2658-B
cull	83-2675-B,83-2686-B,83-2715-B
culm	83-2728-B,83-2738-B
culminate	83-2748-B,83-2769-B
culmination	83-2788-B,83-2810-B
culotte	83-2829-B,83-2849-B
culpability	83-2875-B
culpable	83-2898-B,83-2914-B
culpably	83-2934-B
culprit	83-2953-B,83-2974-B,83-2991-B
cult	83-3006-B,83-3016-B,83-3027-B
cultivable	83-3044-B
cultivar	83-3072-B
cultivate	83-3090-B,83-3111-B,83-3130-B,83-3152-B
cultivation	83-3172-B,83-3194-B,83-3221-B
cultivator	83-3246-B,83-3269-B,83-3289-B
cultural	83-3310-B
culturally	83-3329-B
culture	83-3350-B,83-3366-B,83-3384-B,83-3402-B
culvert	83-3422-B,83-3436-B
cum	83-3452-B
cumber	83-3463-B,83-3482-B
cumbersome	83-3501-B,83-3523-B
cumbrous	84-0-B
cumin	84-20-B
cummerbund	84-32-B,84-62-B
cumulate	84-91-B,84-109-B,84-128-B,84-148-B
cumulative	84-165-B,84-189-B,84-215-B,84-235-B
cumulatively	84-254-B
cumulus	84-280-B
cuneiform	84-296-B,84-323-B
cunnilingus	84-343-B
cunning	84-367-B,84-387-B,84-403-B,84-419-B,84-436-B,84-452-B,84-471-B,84-489-B,84-509-B,84-530-B,84-550-B,84-571-B,84-591-B,84-611-B
cunningly	84-630-B,84-648-B
cunt	84-666-B,84-677-B
cup	84-689-B,84-699-B,84-710-B,84-724-B,84-735-B,84-748-B
cupboard	84-760-B,84-777-B
cupful	84-795-B,84-822-B
cupidity	84-848-B,84-868-B
cupola	84-888-B,84-902-B
cur	84-916-B,84-927-B
curable	84-941-B
curacy	84-964-B
curare	84-984-B,84-998-B
curate	84-1019-B
curative	84-1033-B,84-1050-B,84-1069-B
curator	84-1088-B,84-1105-B
curatorial	84-1120-B
curatorship	84-1145-B,84-1171-B
curb	84-1200-B,84-1212-B,84-1233-B,84-1248-B,84-1262-B,84-1274-B
curd	84-1284-B
curdle	84-1296-B,84-1315-B
cure	84-1330-B,84-1341-B,84-1351-B,84-1364-B,84-1379-B,84-1392-B,84-1406-B,84-1423-B,84-1441-B,84-1458-B,84-1473-B
cure all	84-1491-B
curettage	84-1509-B,84-1529-B
curfew	84-1549-B
curio	84-1575-B,84-1591-B,84-1604-B
curiosity	84-1623-B,84-1643-B,84-1660-B,84-1683-B,84-1704-B
curious	84-1725-B,84-1742-B,84-1762-B,84-1780-B,84-1796-B
curiously	84-1814-B
curl	84-1834-B,84-1846-B,84-1860-B,84-1875-B,84-1887-B,84-1898-B,84-1908-B
curler	84-1925-B
curlew	84-1955-B
curlicue	84-1969-B
curling	84-1988-B,84-2011-B
curly	84-2027-B,84-2044-B,84-2060-B,84-2077-B
curmudgeon	84-2091-B,84-2111-B
curmudgeonly	84-2129-B,84-2155-B
currant	84-2179-B,84-2196-B
currency	84-2211-B,84-2226-B
current	84-2245-B,84-2262-B,84-2281-B,84-2298-B,84-2312-B,84-2331-B,84-2350-B,84-2371-B
currently	84-2383-B,84-2404-B,84-2420-B,84-2441-B
curricular	84-2470-B
curriculum	84-2506-B,84-2524-B,84-2551-B,84-2569-B
curry	84-2591-B,84-2610-B,84-2621-B,84-2641-B
curse	84-2653-B,84-2666-B,84-2678-B,84-2694-B,84-2711-B,84-2726-B,84-2743-B,84-2760-B
cursive	84-2775-B
cursor	84-2791-B
cursorily	84-2805-B
cursory	84-2825-B,84-2843-B
curst	84-2861-B,84-2877-B
curt	84-2888-B
curtail	84-2905-B,84-2920-B
curtailment	84-2937-B
curtain	84-2960-B,84-2974-B,84-2988-B,84-3005-B,84-3023-B
curtilage	84-3039-B
curtly	84-3056-B
curtness	84-3070-B
curtsey	84-3092-B
curtsy	84-3108-B
curvaceous	84-3123-B
curvature	84-3141-B,84-3156-B
curve	84-3178-B,84-3192-B,84-3205-B,84-3216-B,84-3234-B,84-3250-B,84-3266-B
curvilinear	84-3281-B
curving	84-3306-B,84-3322-B,84-3341-B,84-3361-B,84-3381-B
curvy	84-3400-B,84-3423-B
cuscus	84-3446-B
cushion	84-3460-B,84-3478-B,84-3495-B,84-3514-B,84-3535-B,85-0-B,85-18-B
cushiony	85-34-B,85-51-B,85-77-B,85-95-B,85-123-B
cushy	85-147-B
cusp	85-184-B
cuspate	85-194-B
cuss	85-218-B,85-229-B,85-243-B
cussedness	85-256-B
custard	85-279-B,85-293-B
custodial	85-308-B,85-327-B,85-349-B
custodian	85-374-B,85-392-B,85-411-B
custodianship	85-431-B
custody	85-460-B,85-481-B,85-495-B,85-524-B
custom	85-541-B,85-558-B,85-570-B,85-585-B,85-606-B,85-625-B,85-637-B,85-653-B,85-673-B
custom built	85-686-B
custom made	85-722-B
customarily	85-757-B,85-777-B
customary	85-800-B
customer	85-819-B,85-835-B,85-855-B
customise	85-875-B
customize	85-899-B
cut	60-2362-S,60-2388-S,60-3009-S,85-923-B,85-935-B,85-948-B,85-962-B,85-977-B,85-991-B,85-1003-B,85-1017-B,85-1031-B,85-1039-B,85-1049-B,85-1062-B,85-1077-B,85-1090-B,85-1101-B,85-1111-B,85-1126-B,85-1138-B,85-1151-B,85-1160-B,85-1171-B,85-1185-B
cut price	85-1200-B
cut rate	85-1221-B,85-1238-B,85-1254-B
cutaneous	85-1274-B
cutaway	85-1292-B
cutback	85-1307-B,85-1323-B
cute	85-1342-B,85-1355-B,85-1371-B
cuteness	85-1387-B
cuticle	85-1408-B,85-1425-B
cutlass	85-1451-B,85-1467-B
cutler	85-1482-B
cutlery	85-1498-B
cutlet	85-1516-B
cutoff	85-1531-B,85-1552-B,85-1572-B
cutout	85-1590-B,85-1613-B
cutpurse	85-1628-B,85-1654-B
cutter	85-1672-B,85-1686-B,85-1701-B,85-1723-B,85-1738-B,85-1755-B,85-1779-B
cutthroat	85-1794-B
cutting	85-1814-B,85-1831-B,85-1849-B,85-1869-B,85-1886-B,85-1902-B,85-1919-B,85-1940-B,85-1964-B,85-1985-B,85-2002-B
cuttingly	85-2020-B
cuttle	85-2039-B
cuttlefish	85-2053-B
cyan	85-2071-B
cyanide	85-2085-B,85-2100-B
cyanosis	85-2119-B
cybernetic	85-2137-B
cyberspace	85-2162-B
cyborg	85-2193-B
cyclamen	85-2207-B
cycle	85-2228-B,85-2243-B,85-2256-B,85-2274-B,85-2294-B,85-2305-B,85-2320-B,85-2335-B,85-2347-B
cyclic	85-2361-B,85-2378-B,85-2394-B
cyclical	85-2413-B,85-2432-B,85-2450-B
cycling	85-2471-B,85-2490-B
cyclist	85-2510-B
cycloid	85-2527-B
