juridical	190-1263-B
ketone	191-646-B
kettle	191-659-B
key	191-674-B,191-686-B,191-699-B,191-710-B,191-725-B,191-738-B,191-753-B,203-2059-S,203-2074-S,230-725-S
keyboard	191-765-B,191-785-B
keyhole	191-806-B
keynote	191-832-B,191-858-B
keystone	191-887-B
khaki	191-905-B
khan	191-917-B,191-928-B
kibble	191-962-B
kibbutz	191-997-B
kibosh	191-1033-B
kick	191-1056-B,191-1065-B,191-1078-B,191-1089-B,191-1102-B,191-1116-B,191-1131-B,191-1146-B,191-1162-B
kickback	191-1174-B,191-1191-B
kicker	191-1209-B
kicking	191-1220-B
kickoff	191-1239-B
kid	191-1254-B,191-1267-B,191-1278-B,191-1293-B,191-1306-B,191-1318-B,191-1329-B,191-1341-B,191-1351-B,191-1363-B,191-1373-B,373-2682-S
kiddy	191-1386-B,191-1399-B
kidnap	191-1418-B
kidnapper	191-1432-B
kidney	191-1450-B,191-1465-B
kill	191-1481-B,191-1493-B,191-1506-B,191-1520-B,191-1532-B,191-1548-B
killer	191-1561-B,191-1573-B
killing	191-1589-B,191-1609-B,191-1625-B
killjoy	191-1644-B
kiln	191-1668-B,191-1687-B
kilo	191-1708-B
kilobyte	191-1718-B
kilocalorie	191-1736-B
kilogram	191-1760-B,191-1774-B
kilohertz	191-1792-B
kilometer	191-1812-B
kilometre	191-1831-B
kiloton	191-1850-B
kilowatt	191-1867-B
kilt	191-1885-B,191-1895-B,191-1909-B,191-1931-B,191-1952-B
kilter	191-1965-B
kimono	191-1982-B
kin	191-1996-B,191-2015-B,191-2031-B
kinaesthetic	191-2042-B
kinase	191-2069-B
kind	191-2084-B,191-2094-B,191-2106-B,191-2121-B,191-2135-B,191-2146-B,191-2162-B,191-2175-B,191-2192-B,191-2210-B,191-2219-B,191-2232-B,191-2241-B,191-2254-B,191-2268-B,191-2281-B
kindergarten	191-2293-B,191-2320-B,191-2351-B
kindle	191-2372-B,191-2389-B
kindliness	191-2405-B
kindly	191-2426-B,191-2448-B,191-2464-B,191-2483-B
kindness	191-2499-B,191-2516-B,191-2535-B
kine	191-2554-B
kinetic	191-2564-B
kinfolk	191-2583-B
king	191-2603-B,191-2617-B,191-2628-B
king size	191-2643-B
kingcup	191-2666-B
kingdom	191-2683-B
kingfisher	191-2704-B
kingly	191-2727-B
kingpin	191-2746-B,191-2771-B
kingship	191-2785-B
kink	191-2809-B,191-2822-B
kinky	191-2840-B,191-2856-B,191-2872-B,191-2889-B,191-2908-B,191-2926-B,191-2940-B
kinsfolk	191-2957-B
kinship	191-2981-B,191-3005-B,191-3026-B
kinsman	191-3049-B
kinswoman	191-3078-B
kiosk	191-3109-B
kip	191-3123-B,191-3143-B
kipper	191-3155-B,191-3171-B
kiri	159-3071-S
kirk	191-3191-B
kirsch	191-3203-B
kismet	191-3242-B
kiss	191-3265-B,191-3279-B,191-3291-B,191-3304-B,191-3320-B,191-3334-B
kisser	191-3344-B
kissing	191-3363-B
kit	192-0-B,192-14-B,192-27-B
kitbag	192-42-B
kitchen	192-55-B,192-72-B,192-88-B
kitchenette	192-108-B,192-130-B
kitchenware	192-159-B
kite	192-192-B,192-202-B
kith	192-215-B
kitsch	192-231-B
kitten	192-244-B,192-257-B
kittenish	192-274-B
kittiwake	192-291-B
kitty	192-319-B,192-331-B
kiwi	192-347-B,192-357-B
klaxon	192-367-B,192-384-B,192-420-B
kleptomania	192-435-B
kleptomaniac	192-459-B
klystron	192-482-B,192-500-B
knack	192-545-B,192-561-B,192-574-B,192-590-B
knacker	192-616-B
knapsack	192-628-B
knave	192-643-B
knavery	192-658-B
knavish	192-679-B
knead	192-699-B,192-712-B
knee	192-729-B,192-743-B,192-755-B,192-769-B,192-783-B
knee deep	192-801-B
knee high	192-821-B
kneecap	192-841-B,192-865-B
kneel	192-882-B
kneeling	192-896-B,192-915-B
knell	192-936-B
knickerbockers	192-954-B
knickers	192-976-B
knife	192-994-B,192-1006-B
knight	192-1019-B,192-1033-B
knight errant	192-1048-B
knighthood	192-1084-B
knightly	192-1108-B
knit	61-3554-S,192-1129-B,192-1141-B,345-897-S,345-924-S
knitter	192-1154-B
knitting	192-1170-B
knitwear	192-1188-B
knob	192-1214-B,192-1225-B,192-1237-B,192-1251-B,192-1278-B,192-1287-B,192-1303-B
knobbly	192-1317-B
knobby	192-1335-B,192-1352-B
knock	192-1369-B,192-1382-B,192-1395-B,192-1408-B,192-1424-B,192-1438-B,192-1451-B,192-1465-B,192-1480-B,192-1495-B,192-1510-B
knock down	192-1522-B
knockabout	192-1562-B,192-1581-B,192-1603-B,192-1627-B
knockdown	192-1652-B
knocker	192-1688-B,192-1705-B,192-1735-B,192-1753-B
knocking	192-1774-B
knockout	192-1795-B,192-1812-B,192-1830-B,192-1847-B
knoll	192-1876-B
knot	192-1890-B,192-1901-B
knothole	192-1911-B
knotty	192-1934-B,192-1951-B,192-1968-B,192-1985-B,192-2002-B
know	192-2019-B,192-2041-B,192-2053-B,192-2067-B,192-2078-B,192-2091-B
know how	192-2102-B
know it all	192-2121-B
knowable	192-2145-B
knower	192-2166-B
knowing	192-2186-B,192-2202-B,192-2224-B,192-2243-B,192-2261-B,192-2278-B,192-2296-B,192-2314-B,192-2332-B
knowingly	192-2347-B
knowledge	192-2366-B,192-2388-B,192-2408-B,192-2429-B,192-2448-B,192-2468-B,192-2486-B,298-3624-S
knowledgeable	192-2505-B,192-2539-B
known	32-2719-S,192-2563-B,372-1142-S
knuckle	192-2577-B
koala	192-2591-B
kohlrabi	192-2603-B,192-2619-B,192-2637-B
kola	192-2655-B
kolkhoz	192-2684-B
kookaburra	192-2700-B
kooky	192-2749-B
kopek	192-2767-B,192-2781-B,192-2796-B
koruna	192-2815-B
kosher	192-2829-B
kraal	192-2843-B
krill	192-2856-B
krona	192-2871-B,192-2908-B
krone	192-2947-B,192-2983-B
krypton	192-3018-B
kudos	192-3034-B,192-3047-B
kudu	192-3059-B
l	192-3078-B
laager	192-3082-B,192-3107-B
lab	192-3131-B
label	192-3146-B,192-3160-B,192-3175-B,192-3190-B,192-3207-B,192-3222-B,192-3236-B,192-3251-B
labial	192-3265-B
labile	192-3279-B,192-3295-B
labium	192-3310-B
labor	192-3322-B,192-3336-B,192-3351-B
laboratory	192-3364-B,192-3388-B,192-3410-B
laborious	192-3430-B
labour	192-3448-B,192-3462-B,192-3481-B,192-3496-B,192-3514-B,192-3527-B,192-3543-B,192-3566-B,192-3580-B
labour intensive	192-3603-B
labourer	192-3628-B
labouring	193-0-B,193-22-B
labyrinth	193-44-B,193-65-B,193-84-B
labyrinthine	193-107-B,193-132-B
lace	193-155-B,193-167-B,193-183-B,193-196-B,193-209-B,193-224-B,193-242-B
lacerate	193-256-B
laceration	193-276-B,193-296-B
lacework	193-321-B,193-341-B
lachrymose	193-360-B,193-381-B
lack	193-401-B,193-417-B,193-429-B
lackadaisical	193-445-B,193-470-B
lackey	193-494-B,193-507-B
lacking	193-528-B,193-546-B,193-569-B
lacklustre	193-591-B
laconic	193-614-B
laconically	193-633-B
lacquer	193-655-B,193-667-B
lacrimal	193-685-B
lacrosse	193-701-B
lactase	193-717-B
lactate	193-734-B,193-749-B,193-765-B
lactation	193-783-B
lactic	193-801-B
lactose	193-818-B,193-835-B,193-855-B
lacuna	193-878-B
lacy	193-892-B
lad	193-907-B,193-919-B,193-928-B,193-939-B,193-951-B
ladder	193-965-B,193-986-B,193-1004-B,193-1026-B,193-1050-B,193-1067-B
laddie	193-1087-B,193-1102-B,193-1117-B
lade	193-1134-B
laden	193-1148-B,193-1165-B
lading	193-1183-B,193-1201-B
ladle	193-1216-B
lady	193-1234-B,193-1245-B
ladybird	193-1256-B,193-1274-B
ladylike	193-1307-B,193-1334-B,193-1356-B
lag	193-1376-B,193-1390-B,193-1405-B
lager	193-1424-B
laggard	193-1438-B
lagoon	193-1462-B
laid	193-1476-B,193-1492-B
laid back	193-1506-B,193-1530-B,193-1553-B
lair	193-1574-B,193-1585-B,193-1597-B
laird	193-1609-B,193-1625-B
laissez faire	193-1637-B,193-1663-B,193-1704-B,193-1733-B,193-1775-B,193-1812-B
laity	193-1837-B,193-1849-B,193-1868-B
lake	193-1898-B,193-1910-B
lakeside	193-1923-B
lam	193-1948-B
lama	193-1959-B,193-1969-B
lamb	193-1980-B,193-1994-B,193-2006-B,193-2022-B,193-2038-B
lambast	193-2051-B
lambda	193-2070-B
lambent	193-2084-B,193-2103-B,193-2123-B
lambert	193-2141-B
lambkin	193-2170-B
lambskin	193-2189-B
lame	193-2216-B,193-2229-B,193-2243-B,193-2257-B
lamella	193-2272-B,193-2287-B
lamely	193-2304-B
lameness	193-2318-B,193-2335-B
lament	193-2353-B,193-2369-B,193-2388-B,193-2406-B,193-2423-B
lamentable	193-2438-B,193-2468-B
lamentably	193-2490-B,193-2509-B
lamentation	193-2531-B
lamina	193-2551-B,193-2566-B
laminar	193-2581-B,193-2601-B,193-2622-B
laminate	193-2642-B
lamination	193-2660-B,193-2678-B,193-2698-B,193-2722-B
lamp	193-2743-B,193-2754-B
lamplight	193-2769-B
lamplighter	193-2793-B
lamplit	193-2814-B
lampoon	193-2841-B,193-2857-B,193-2873-B,193-2891-B,193-2911-B
lamppost	193-2934-B,193-2955-B
lamprey	193-2992-B
lampshade	193-3007-B,193-3027-B
lance	143-142-S,193-3048-B
lancer	193-3060-B,193-3076-B
lancet	193-3099-B
land	62-942-S,193-3114-B,193-3127-B,193-3140-B,193-3156-B,193-3170-B,193-3187-B,193-3202-B,193-3219-B,193-3230-B,193-3241-B,193-3254-B,193-3270-B,193-3279-B,193-3291-B
landfall	193-3302-B
landfill	193-3317-B,193-3335-B
landgrave	193-3354-B
landholder	193-3374-B
landing	193-3395-B,193-3416-B,193-3438-B,193-3458-B,193-3480-B,193-3499-B
landlady	193-3516-B,193-3532-B,193-3550-B
landless	193-3570-B
landlord	193-3588-B,193-3606-B
landlubber	193-3625-B
landmark	194-0-B,194-17-B,194-35-B
landmass	194-59-B
landowner	194-76-B,194-100-B
landscape	194-120-B,194-135-B,194-153-B
landslide	194-176-B,194-192-B
landslip	194-208-B,194-229-B,194-244-B
landsman	194-259-B
landward	194-279-B
lane	194-310-B,194-320-B,194-332-B,194-351-B,194-361-B,194-381-B,194-394-B
language	194-412-B,194-427-B,194-446-B
languid	194-461-B,194-479-B
languidly	194-493-B
languish	194-508-B,194-528-B,194-559-B,194-578-B,194-596-B
languor	194-615-B
languorous	194-634-B
languorously	194-655-B,194-673-B
lank	194-693-B
lanky	194-707-B
lanolin	194-723-B,194-751-B
lantern	194-768-B,194-784-B
lanthanide	194-802-B
lanthanum	194-823-B
lanyard	194-843-B,194-883-B
lap	194-912-B,194-922-B,194-932-B,194-941-B,194-953-B,194-968-B,194-981-B,194-996-B,194-1011-B,194-1030-B,194-1042-B
laparoscopy	194-1058-B
laparotomy	194-1083-B
lapel	194-1106-B
lapidary	194-1118-B,194-1152-B,194-1173-B
lapse	194-1206-B,194-1219-B,194-1230-B
laptop	194-1245-B,194-1259-B
larceny	194-1288-B,194-1305-B
larch	194-1327-B
lard	194-1342-B,194-1360-B,194-1372-B,194-1394-B,194-1405-B
larder	194-1420-B
large	194-1438-B,194-1456-B,194-1471-B,194-1488-B,194-1505-B,194-1522-B,194-1541-B,194-1555-B
large scale	194-1568-B,194-1602-B,194-1620-B
largely	194-1648-B,194-1669-B
largeness	194-1694-B
larger	194-1713-B
largess	194-1729-B,194-1749-B
largesse	194-1768-B,194-1789-B
largest	194-1809-B
largish	194-1829-B,194-1849-B
largo	194-1868-B,194-1880-B
lariat	194-1912-B
lark	194-1924-B,194-1937-B,194-1951-B,194-1964-B
larkspur	194-1975-B
larva	194-1998-B
larval	194-2010-B,194-2026-B,194-2044-B
laryngeal	194-2066-B,194-2086-B
laryngitis	194-2110-B
larynx	194-2133-B,194-2146-B
lasagne	194-2160-B
lascivious	194-2174-B,194-2195-B,194-2216-B
lasciviously	194-2236-B
lasciviousness	194-2259-B
laser	194-2285-B
lash	194-2297-B,194-2307-B,194-2321-B,194-2333-B,194-2349-B,194-2360-B,194-2373-B,194-2389-B,194-2402-B
lashings	194-2417-B
lass	194-2434-B
lassie	194-2447-B
lassitude	194-2462-B,194-2479-B,194-2498-B,194-2519-B,194-2536-B
lasso	194-2553-B
last	194-2564-B,194-2579-B,194-2592-B,194-2605-B,194-2619-B,194-2634-B,194-2649-B,194-2662-B,194-2679-B,194-2696-B,194-2707-B,194-2721-B,194-2735-B,194-2750-B
last ditch	194-2766-B
last minute	194-2786-B
lasting	194-2819-B,194-2838-B,194-2854-B
lastly	194-2871-B
latch	194-2886-B,194-2900-B,194-2915-B,194-2932-B
latchkey	194-2946-B
late	194-2972-B,194-2986-B,194-3003-B,194-3016-B,194-3028-B
latecomer	194-3045-B
lately	194-3065-B,194-3081-B,194-3104-B
latency	194-3129-B,194-3145-B
lateness	194-3162-B,194-3184-B,194-3206-B
latent	194-3227-B,194-3244-B,194-3259-B
later	194-3275-B,194-3290-B
lateral	194-3308-B,194-3324-B,194-3344-B,194-3359-B,194-3378-B,194-3397-B,194-3416-B,194-3435-B
laterality	194-3457-B
laterally	194-3479-B,194-3497-B
latest	194-3519-B,194-3540-B,195-0-B
latex	195-17-B
lath	195-29-B,195-39-B
lathe	195-51-B
lather	195-66-B,195-79-B
latish	195-93-B
latitude	195-114-B,195-131-B,195-147-B,195-164-B,195-194-B,195-211-B
latitudinal	195-229-B
latrine	195-253-B
latter	195-270-B,195-287-B,195-315-B
latter day	195-334-B,195-354-B
latterly	195-376-B
lattice	195-394-B
latticework	195-410-B,195-435-B
laud	195-459-B
laudable	195-473-B,195-495-B
laudanum	195-518-B,195-537-B
laudatory	195-552-B
laugh	195-573-B,195-587-B,195-604-B,195-616-B,195-631-B,195-644-B
laughable	195-662-B
laughably	195-682-B
laugher	195-702-B
laughing	195-719-B
laughingly	195-735-B
laughter	195-756-B
launch	195-772-B,195-790-B,195-806-B,195-825-B,195-843-B,195-858-B,195-875-B
launcher	195-891-B
launching	195-910-B,195-932-B
launder	195-955-B,195-969-B,195-983-B,195-998-B
launderette	195-1016-B,195-1038-B
laundress	195-1075-B
laundry	195-1094-B,195-1109-B,195-1127-B
laundryman	195-1143-B
laureate	195-1178-B,195-1218-B,195-1236-B
laurel	195-1266-B,195-1279-B
lav	195-1295-B
lava	195-1307-B
lavage	195-1318-B
lavatory	195-1334-B,195-1346-B,195-1362-B,195-1379-B,195-1399-B
lavender	195-1416-B
lavish	195-1435-B,195-1451-B
lavishly	195-1468-B,195-1490-B,195-1508-B
lavishness	195-1527-B,195-1548-B,195-1573-B,195-1595-B
law	43-1791-S,66-2836-S,87-410-S,130-823-S,174-3563-S,195-1622-B,195-1635-B,195-1648-B,195-1666-B,195-1685-B,195-1696-B,195-1707-B,219-1323-S,219-1345-S,308-460-S,315-896-S
lawbreaker	195-1717-B
lawful	195-1755-B,195-1773-B,195-1790-B,195-1808-B
lawfully	195-1825-B,195-1844-B,195-1865-B,195-1888-B
lawfulness	195-1907-B,195-1930-B
lawgiver	195-1952-B
lawless	195-1975-B,195-1995-B,195-2017-B,195-2040-B
lawlessness	195-2059-B,195-2084-B
lawmaker	195-2111-B
lawman	195-2134-B
lawn	195-2151-B,195-2163-B
lawsuit	195-2178-B,195-2193-B,195-2206-B,195-2227-B
lawyer	195-2253-B,195-2269-B,195-2295-B
lax	195-2312-B,195-2323-B,195-2338-B
laxative	195-2351-B,195-2371-B,195-2392-B
laxity	195-2413-B,195-2428-B
laxly	195-2445-B
lay	195-2458-B,195-2468-B,195-2479-B,195-2497-B,195-2506-B,195-2520-B,195-2531-B,195-2544-B,195-2559-B
lay by	195-2572-B
layabout	195-2593-B
layer	195-2611-B,195-2624-B,195-2635-B,195-2648-B
layette	195-2663-B
laying	195-2691-B
layman	195-2708-B,195-2720-B
layoff	195-2739-B,195-2765-B,195-2780-B
layout	195-2805-B,195-2822-B,195-2837-B,195-2851-B,195-2864-B,195-2883-B,195-2901-B,195-2922-B,195-2941-B,195-2960-B,195-2982-B
layperson	195-3000-B
lazar	195-3020-B,195-3034-B,195-3046-B
laze	195-3063-B
lazily	195-3077-B
laziness	195-3091-B
lazuli	195-3107-B
lazy	195-3122-B,195-3135-B,195-3147-B
lea	195-3165-B,195-3175-B,195-3187-B,195-3196-B
leach	195-3209-B,195-3223-B
lead	195-3239-B,195-3257-B,195-3275-B,195-3290-B,195-3308-B,195-3324-B,195-3337-B,195-3352-B,195-3366-B,195-3377-B,195-3392-B,195-3405-B,195-3417-B,195-3431-B,195-3446-B,195-3460-B,195-3473-B,195-3487-B,196-0-B,196-12-B,196-26-B,196-37-B,196-54-B,196-66-B,196-79-B,196-92-B
lead in	196-107-B,196-120-B,196-137-B
leaden	196-164-B,196-181-B
leader	196-203-B,196-218-B,196-234-B,196-249-B,196-267-B
leaderless	196-281-B
leadership	196-310-B,196-329-B
leading	196-353-B,196-369-B,196-386-B,196-403-B
leadless	196-421-B
